text,time,votes,replies
"Fala, torcedor! 🤙
Galo embalou? E o que falta no time do Inter?",há 3 anos,161,38
É campeão!,há 2 anos,0,
o segundo jogo de volta foi a mesma mudança com entrada do Keno e o Hulk servido. Galo ta jogando muito bem,há 2 anos,2,
Esse galhardo pelo amor de Deus,há 2 anos,0,
Jogo dos cavalos paraguaios!!,há 2 anos,0,
O mesmo resultado da 23 partida,há 2 anos,1,
Esse narrador ai meu deus,há 2 anos,0,
Mas é muita burrice...faz Pelo Dez minutos que devia ter mudado o Inter....táison está andando em campo...,há 2 anos,0,
"Atlético mg 🤝 Inter
Ter rivais com a cor azul",há 3 anos,2,
Amassar hoje,há 3 anos,0,
rever ta parecendo o tom hanks,há 3 anos,0,
1:09,há 3 anos,0,
Volta Abelao,há 3 anos,0,
Esse rever é  uma comédia 😭😭😭 doido pra entregar a rapadura,há 3 anos,0,
"Temos 2 times do Sul que vai cair esse ano 

BINTER É BBREMIO",há 3 anos,0,
"Parabéns Galo🖤q momento vive o Hulk,mandou até recado pro garotinho da Netflix, parabéns Nathan pelo gol👏🏾",há 3 anos,1,1
"O rever não  tem mais condições, perdeu a titularidade para o jameson  em 2014 e ainda hoje joga com o cuca espero que o técnico  reveja essa titularidade porque está lento.",há 3 anos,1,1
Cruzeiro 6 atlético mg 1 👍,há 3 anos,0,
perde um monte de gol esse inter kkk,há 3 anos,0,
O Inter mds kkkkkkkkkkkk,há 3 anos,0,
Sei lá,há 3 anos,10,
INTER CONTINUA MAIOR DO SUL,há 3 anos,9,
Valeu Galooooooo,há 3 anos,8,
Faltou um Estádio pro São Paulo 😢,há 3 anos,3,
Gostaria de saber onde está o estádio do flacadela,há 3 anos,7,
"Oxi, não entendi!! O Hulk deu assistência para o Nathan no gol do Galo, mas no Cartola não contou a assistência!!! 🤬🤬🤬🤬 ele fez 4 pontos!!",há 3 anos,6,
Porque tiraram a assistência do Hulk?,há 3 anos,5,
"@Gustavo Tomara, porque até agora o Hulk fez 2 pontos!! Se eles não arrumar eu vou ficar pistola!!",há 3 anos (editado),1,
O que falta no binter é 11 jogadores,há 3 anos,2,
Cara esse inter parece que já entra em campo derrotado. Alguém chama um psicólogo pros cara. Olha o festival de gol desperdiçado.,há 3 anos,4,
