text,time,votes,replies
"Faala, torcedor! Beleza?
E ai, curtiram o resultado da partida??",há 3 anos,239,40
Quem não faz toma,há 1 ano,0,
Voadora na bandeira do bahia parabéns Mikael é bandeira lixo mesmo.,há 2 anos,0,
A honde tá a diretoria do Corinthians que não busca o Mikael do hesporte o cara e do ramo,há 2 anos,0,
Pedro Mikael você vai ser o centroavante do Corinthians em 22 valeu,há 2 anos,0,
Pedro de Sorocaba esse Mikael é bom de bola vem para o Corinthians,há 2 anos,0,
"Quem não faz toma, foi o Bahia nesse jogo!",há 2 anos,0,
saudades quando o sport ganhava,há 2 anos,0,
Como e o nome do narrador 😐,há 2 anos,0,2
o bahia nunca estar com a defesa organizada kkkkkkkkkk,há 2 anos,0,
Superclassico Nordestino ou Derby do Nordeste?,há 2 anos,0,
"2:30 Danilo,o reserva frangeiro",há 2 anos,1,
Coitadinho do Cahia,há 2 anos,0,
"MÚLTIPLA DO PALPITES DE MESTRE 

CHINA 09:00 GUANGZHOU
BELARUS 09:30 BATE
PORTUGAL 14:00 PORTO
BRASIL 18:15 FLAMENGO 

TODOS PRA VENCER !!!!!!",há 3 anos,0,
"Times Pequenos Assim
Ñ passa de Mil Comentários kkk",há 3 anos,0,
Maior do nordeste 🔴⚫,há 3 anos,0,
O Bhaia é a sua freguesia pro Leão!! 🦁🔥😜,há 3 anos,0,
"Tá triste e quer ter alegria, é só jogar com o lixo do Bahia.",há 3 anos,0,
"Deu a lógica, venceu o maior.",há 3 anos,0,4
"BAHIA    
SPORT  
CHAPECOENSE   
GREMIO  

TAO LUTANDO  LA EM BAIXO   

ATLÉTICO MG      
FLAMENGO   
PALMEIRAS  
BRAGANTINO    

TAO LUTANDO NA PARTE DE CIMA",há 3 anos,0,
Mazeclaru,há 3 anos,12,
Bahia time pequeno até uma formiga é maior do que esse time,há 3 anos,17,
Como é bom ter o Bahia na série A... Sempre é 3 pontos garantidos pro Leão 🖤❤️,há 3 anos,11,
O maior venceu 🔴⚫🖤❤.,há 3 anos,13,
O resultado ja era o esperado,há 3 anos,9,
Venceu quem tem copa do Brasil,há 3 anos,10,
CURITIA PUTA DO MEGÃO 😎✌️,há 3 anos,5,
Adorei,há 3 anos,5,
"Bhaia é isso mesmo, 5 jogos 5 derrotas, venceu o melhor",há 3 anos,6,
Cadê a copa do Brasil do São cadela?,há 3 anos,5,
Opa amigos isso dara um estádio ao Flamengo menor do RJ?😭👍,há 3 anos,4,
 @flurinthiansfc3465  Flaputa nunca terá um estádio e nem um mundial amigo,há 3 anos,3,
Quem não faz leva! Simples assim.,há 3 anos,2,
Claro! Sempre é o prazer ganhar do bahia,há 3 anos,2,
 @guilhermemedeiros7628  Esses títulos que Sport e Bahia tem é passado. Hoje  Ceará e Fortaleza  que não tem título a nível de série A  são  os melhores do nordeste mais time que o Sport e Bahia.,há 3 anos,1,
Ridículo esse time do Bahia vai cair pra série B. A diretoria ainda mantém a base do time do ano passado que escapou do rebaixamento por sorte.,há 3 anos,1,
Volta com os hinos no momento do gol. 😡😡😡😡😡😡😡,há 3 anos,4,
A sardinha perdeu? Ótimo resultado,há 3 anos,1,
 @danieldebrito750  verdade atualmente fortaleza e o melhor do norte nordeste,há 3 anos,2,
" @guilhermemedeiros7628  Sim atualmente o Fortaleza é o melhor do Nordeste,  está bem no campeonato brigando na parte de cima da tabela por libertadores.
 Mas os palhaços acham que Sport x Bahia são melhores só pq ganharam títulos nacional no passado.",há 3 anos,2,
 @kieza1882  Que piada hem!  Um time fraco que está na parte debaixo da tabela se acha o maior só pq ganhou de um time mais fraco que ele. Esse é o Sport a maior piada do Nordeste kkkkkkkkkkkkkk.,há 3 anos,1,
" @anecil6851  O que o Bahia tem de bom pra ser um prazer ganhar do Bahia? Seria um prazer se ganhasse do Flamengo, Palmeiras, Atlético Mg,  Fortaleza times que estão disputando a parte de cima da tabela e não um timeco como o Bahia que tem um elenco quebrado a nível de série B ou C.",há 3 anos,2,
Ĺ,há 3 anos,1,
Bahêa tá uma bosta heim vai brigar pra não cair,há 3 anos,1,
 @kevinlukas5589  Bahia tem dois brasileiros como ele e pequeno?,há 3 anos,1,
 @kieza1882  Sport não e maior nem que o Botafogo,há 3 anos,2,
 @guilhermemedeiros7628  Sport tá pior que o Bahia,há 3 anos,2,
NOSSO SPORT VENCEU !🖤❤,há 3 anos,2,
🙏🙏🙏,há 3 anos,2,
" @guilhermemedeiros7628  o fortaleza está o melhor, são coisas diferentes.",há 3 anos,1,
Sim,há 3 anos,1,
🇧🇪🇦🇴🇦🇴,há 3 anos,0,
Foi bom dmai junio,há 3 anos,0,
 @fatimasiqueira6531  e porque ele venceu kkkkk?,há 3 anos,0,
 @fatimasiqueira6531  81 é pinga,há 3 anos,0,
" @deyvisonferreira2268  é o melhor, mas ainda é um nanico",há 3 anos,1,
muito,há 3 anos,1,
Salve já ia obrigado pelo mais 3 pontos,há 3 anos,2,
 @danieldebrito750  brigando para jogar uma libertadores sport jogou 2 libertadores só um detalhe,há 3 anos,1,
"Times Pequenos Assim
Ñ passa de Mil Comentários kkk",há 3 anos,0,
Rodrigo raposo,há 2 anos,0,
Rogerio lemes,há 2 anos,0,
@Senpai Tricolor Baiano mas não foi o jahia que ganhou ué 🤷🏻‍♂️,há 3 anos (editado),0,
"@Senpai Tricolor Baiano eu comemoro brasileiro e copa do Brasil. De resto é tudo normalidade, agora volte para seu quarto para chorar por conta do seu time .",há 3 anos (editado),0,
@Senpai Tricolor Baiano então você tem que chorar ué... Na próxima rodada já passamos o finado jahia. Todo ano começa alegre e depois finaliza chorando 😭 chega a ser hilário kkkk,há 3 anos (editado),0,
Jahia kkkkk,há 3 anos,0,
Esse Bahia tá fraquinho,há 3 anos,0,
Amo sport,há 3 anos,0,
Sport nem time e,há 3 anos,1,
Só deu Sport 👏👏👏👏,há 3 anos,0,
"Fora eu alguém mais ouviu Rodrigo raposo falando, "" bate o coração do torcedor do Náutico""...?😾😾😾",há 3 anos,0,
Cadê o bahea?😂,há 3 anos,0,
Golaço vai Leão,há 3 anos,0,
"BAHIA E SPORT , DOIS TIMES DE MACUMBEIROS a macumba do sport foi mais forte🤣🤣🤣🤣🤣",há 3 anos,0,
"É, pelo visto esse ano o meu Bahia vai ""brigar"" mais uma vez pra não cair. Time sem vontade.",há 3 anos,0,
🦁🦁🦁🦁🦁🦁😎😎,há 3 anos,0,
"Os cara se achando pq deu 4x0 No Sport com Time Reserva do Sport kkkk, Bahia muito Fraca não tem como!",há 3 anos (editado),1,
Esse time do Bahia tá fraco de mais vai cai,há 3 anos,0,
87 é do leão flamengo,há 3 anos,1,
Que narração foi essa moleque,há 3 anos,1,
Se o Bahia não acordar vai ficar no Z 4,há 3 anos,0,
Ganhou o maior !,há 3 anos,0,
Une blat ordinanry,há 3 anos,0,
Parabéns esport,há 3 anos,0,
Show  De Bola  de  Bola Do spotr Para cima   do  Bahial,há 3 anos,0,
Perdir no bolão arenaesportiva por causa desse gol coloquei empate kkkk,há 3 anos,1,
Obrigado amigo,há 3 anos,0,
Valeu Leão. É isso aí,há 3 anos,0,
Eu tô gostando muithu thuthuthupa,há 3 anos,0,
Jogao,há 3 anos,0,
Esses time nem sabe se a bola e quadrada oi redonda,há 3 anos,0,
Salve SPORT Recife maior do nordeste,há 3 anos,0,
Venceu o maior do nordeste. Nenhuma novidade.,há 3 anos,1,
"O Sport poder tá na fase ruim, Que ganha do Bahia 🤣",há 3 anos,3,
Venceu o maior do Nordeste! ❤💪,há 3 anos,0,
Cuidado Bahia o galão tá chegando,há 3 anos,0,
Venceu o maior do nordeste!,há 3 anos,0,
Balão! 🙅‍♂️🎈,há 3 anos,0,
KKKKKK bahea,há 3 anos,0,
🔴⚫️👏👏👏👏,há 3 anos,0,
"Jogamos bem e para continuar assim o SPORT precisa da ajuda de todos os torcedores URGENTEMENTE, procurem se associar ao SPORT , da melhor maneira que couber no seu orçamento faça o sacrifício..",há 3 anos,5,
"Pela copa do Nordeste 
Bahia 4x0 sport
Brasileirao 
Bahia 0x1 sport 
sport 2x0 Bahia
Bahia 1x2 sport",há 3 anos,1,
"Desse jeito é rumo a serie B em 2022, sem duvida.",há 3 anos,0,
Cconseguiu perder pro morto do sport,há 3 anos,0,2
"Nem tem mais graça o Sport ganhar do Bahia, até pq ja e 6 pontos garantidos 🔴⚫🐟🐟🐟🐟",há 3 anos,1,
valeu freguês!,há 3 anos,1,
"Foda mesmo é o sport, so meteu 1 num time que todo mundo goleia",há 3 anos,1,
Bhaia é um saco de pancada,há 3 anos,0,
Mas de 20 chutes 30 lançamentos e o bahia não teve capacidade pra fazer um gol era pro bahia fazer uns 9 gols mas a falta de capacidade atrapalha.,há 3 anos,0,
Bahia minha puta,há 3 anos,2,
O lugar do Bahia e na série  b,há 3 anos,1,
Nunca critiquei,há 3 anos,0,
Chora santinha,há 3 anos,0,
O garoto joga tem que ser titular,há 3 anos,0,
Esse zagueiro do bahia é muiiiito ruim,há 3 anos,0,
Dentro de casa o Bahia é uma porcaria,há 3 anos,0,1
Já já já já jahia,há 3 anos,0,
"A galera falando de série A aí nos comentários, mas já esqueceu que nunca ganhou UM JOGO da gente na COPA DO NORDESTE. Devem ter esquecido o 4x0 no início do ano tbm kkkkkk. Então comemorem msm emocionados pq é bom mesmo ganhar de um time maior que o seu.",há 3 anos,0,15
"Bahia:
Peia hoje
Peia amanhã
Peia pra sempre",há 3 anos,0,
Pow esse time do Bahia tà  envergonhando o Estado. TEmos que trocar os jogadores. Só fica quem honrar a camisa porra.,há 3 anos,0,
Espero que sim,há 3 anos,0,
Sera que o esport  vai vencer do fla,há 3 anos,1,1
Esse tecnico do bahia ja passou da hora de vazar,há 3 anos,0,
Vergonha time limitado.foraaa  Dado,há 3 anos,0,
Maior do nordeste ⚫🔴,há 3 anos,0,
Jogão,há 3 anos,0,
Bora jaia,há 3 anos,0,
"É isso aí jahia, sempre perdendo pra Rubro Negros 🦁",há 3 anos,0,
Fora também,há 3 anos,0,
Bhaia é isso mesmo 5 partidas 5 derrotas,há 3 anos,0,
 @guilhermemedeiros7628  engraçado que mesmo perdendo a gente tá melhor que vocês no campeonato né?kkkkkk no ano na verdade.,há 3 anos,0,
" @talissonfelipe7658  por pouco tempo, bhaia tem 17 pontos e o sport 14",há 3 anos,0,
E a tendência é o jhaia cair mais,há 3 anos,0,
 @talissonfelipe7658  kkkkkkk vcs tomaram de 5 do flamengo,há 3 anos,0,
 @guilhermemedeiros7628  ah então você é Flamenguista?kkkkkkk,há 3 anos,0,
" @guilhermemedeiros7628  quer dizer que agora o Popoti vai ganhar todas? Kkkkkk calma aí né emocionado, agradeça ao Bahia por ter perdido vários gols isso sim.",há 3 anos,0,
 @guilhermemedeiros7628  vou nem discutir contigo cê nem tem argumento kkkkkkk,há 3 anos,0,
" @talissonfelipe7658  não, mais tomar de 5 é vergonhoso",há 3 anos,0,
 @talissonfelipe7658  pelo menos mais vitorias que o jhaia ele vai ter,há 3 anos,0,
" @talissonfelipe7658  obrigado pelos 3 pontos, 2° turno tem mais",há 3 anos,0,
" @guilhermemedeiros7628  5 é vergonhoso sim, mas 4x0 tbm é kkkkk já esqueceu do jogo da copa do nordeste?",há 3 anos,0,
" @talissonfelipe7658  kkkkkkkk vergonhoso mesmo é o jhaia que se acha grande, e não tem copinha",há 3 anos,0,
" @talissonfelipe7658 parabens por ganhar da base do sport, deve ser um titulo pra vcs",há 3 anos,0,
" @guilhermemedeiros7628  kkkk não é título não irmão, agora o jogo de ontem pra vocês foi né?kkkkkkkk",há 3 anos,0,
"Vai nada, vai brigar por empate",há 3 anos,0,
Jahia minha puta ⚫🔴,há 3 anos,0,
Somos o pai do Bahia.....,há 3 anos,0,
Que momento ruim o BAHIA tá passando!,há 3 anos,0,
Torço pro athletico Paranaense e apesar de athletico e Bahia ter virado uma rivalidade interestadual respeito muito o bahia na minha opinião o maior do nordeste,há 3 anos,1,2
A sardinha não consegue ver um leão q já treme impressionante,há 3 anos,0,
Estou sem paciência 🤬🤬😠,há 3 anos,0,
Os outros clubes deveriam denunciar o Sport na CBF. É o único time que já começa o campeonato com 6 pontos garantidos. A freguesia continua...,há 3 anos,0,
"Bora meu leão. Também o time do bahia cheio de jodador italiano, é Conti, é Rossi. Kkkkkk",há 3 anos,0,
Ganhando ou perdendo eu amo muito meu baêa minha poorra!,há 3 anos,0,
Ge Globo/Bahia!,há 3 anos,0,
Jahia kkllfregued,há 3 anos,0,
"Deu a lógica, o Maior do NE Venceu o seu freguês de carteirinha kkkk",há 3 anos,1,
Rogério Ceni no Bahia 🔵🔴⚪ seria uma boa para as partes,há 3 anos,0,
Bahia tá em queda live. Quarta agora vai jogar com o meu Galo. Tomara que não resolva a jogar bem.,há 3 anos,1,
"Continuem trazendo jogadores que não tem interesse nenhum em ver o time do Bahia lá em cima,se fossem jogadores da região a maioria estariam falando que não eram jogadores prá está vestindo a camisa do esquadrão um abraço a todos campeão dos campeão. Quem escreve é o pai de Elias Santos.",há 3 anos,0,
"NA ILHA VAMO GOLEAR ESSE TIMINHO 

VOLTE SEMPRE FREGUÊEEEESSSS",há 3 anos,0,
"E os torcedores do Bahia falam que é o maior do NE, como?",há 3 anos,0,
Интересный футбол,há 3 anos,0,
Essa desgraça do gilberto pqp,há 3 anos,0,
CPF na nota senhor?,há 3 anos,0,
"Maior pq os times paranaenses ganham em confrontos diretos pra dupla BaVi , ja pro Sport a dupla Athetico e Coritiba são fregueses de carteirinha. Faz 1 ano ou 2 anos que Coxa teve sua primeira vitória na história pro Sport fora de casa e Papetico PR ate vice nacional já foi do Sport .",há 3 anos,0,
" @diil.3440  é agora falta os titulos internacionais da leoa pra alcançar o ""patetico""",há 3 anos,1,
Hahahahah,há 3 anos,0,
parabéns sport  saudações alvinegra da Juventus do Nordeste.  Ceará venceu tbm. Mais q Maravilha ver Ceará  x  sport  vencerem os tricolores. parabéns mesmo,há 3 anos,0,
"Vale Bahia, pelos os 3 pontos mais uma vez ✌️🖤♥️",há 3 anos,1,
"Galera que torce pro Sport, oq houve com o pançudo do toró? Achei que o sp ia ganhar uma grana com ele, mas pelo jeito vai voltar e dar prejuízo na área alimentícia do clube…",há 3 anos,0,
Ganhamos fácil como sempre!,há 3 anos,1,
"😂😂😂😂😂😂😂esse e nosso ex goleiro,não te conheci tomando frango 🦁chupa jahia.",há 3 anos,0,
"É Impressionante como depois das Negociações  dos Jogadores, Juninho e Taciano,se acabou não só o Sistema Defensivo do Time do Bahia, mas também o Bom Futebol desapareceu.....",há 3 anos,0,
Meu freguês lkkk,há 3 anos,0,
Tudo normal. O maior do Nordeste ganhou do segundo maior.,há 3 anos,0,
"JOGARAM COMO NUNCA ,PERDERAM COMO SEMPRE",há 3 anos,0,
"Cuidado Bahia
Vai pegar Outro Chumbo do Galoooo kkkkkk",há 3 anos,0,
Venceu o Maior do Nordeste ❤🖤,há 3 anos,0,
"SPORT CLUBE DO RECIFE SEMPRE SERÁ O MAIOR DO NORTE NORDESTE.

SERIE C 🤔
NUNCA VI SÓ OUÇO FALAR
SÉRIE D 🤔
😂😂😂😂😂",há 3 anos,0,
"Sempre mikael pra salvar o Sport, e o treinador deixa ele no banco",há 3 anos,0,
"MIKAEL TEM QUE TER MAS OPORTUNIDADE, O CARA É OPORTUNISTA !",há 3 anos,0,
Quem não faz toma,há 3 anos,0,
Aqui e Sport porra! que vitória e que final de semana perfeito. Chupa de novo bi-serie C terceira vitória seguida na série A em cima de vcs mostramos novamente quem manda. A chave tá virando com a nova diretoria vamos sim ficar novamente no nosso lugar que será sempre a série A. PST 🦁🔴⚫,há 3 anos (editado),0,
Mikael meu chara😳,há 3 anos,1,
"Tudo normal,Venceu o maior 😍❤️🖤",há 3 anos,0,
Esse Gilberto e muito ruim,há 3 anos,1,
Parabéns esport,há 3 anos,0,
