text,time,votes,replies
"O Santos foi mal praticamente o campeonato todo,  mas nesse  jogo eu pensei que ali já estava decretado o rebaixamento",há 2 anos,0,
Eu odeio o América mg,há 2 anos,0,
"Esse jogo foi logo no meu aniversário 🤡
E o pior é que eu pensei em ir no jogo, ainda bem que não fui",há 2 anos,0,
Há males que vem para o bem. Essa derrota foi a que salvou o Santos do rebaixamento.,há 2 anos,0,
Cavichineuer,há 2 anos,1,
Esse goleiro do América pega demais!!,há 2 anos,0,
Nada disso,há 2 anos,0,
Vê se vocês ganham uma porra só perde caralho desse jeito vocês vão pra série b que porra,há 2 anos,0,
Santos não vai cair,há 2 anos,0,
Se o Santos não se esperta tá fod@,há 2 anos,0,
Mudar o nome do goleiro pra João Volpi kkk.,há 2 anos,0,
Arerê o Santos vai jogar a série B,há 2 anos,0,2
kkkkk san7os e Gaymio vai a cruzeirar Kkkkk CHUPA GAYMIO TRIREBAIXADO CHUPA SAN7OS TIME MORTO 🅱️🅱️🅱️🅱️🅱️,há 2 anos,0,1
"Aí  SSNTISTAS, EM 2014 MUITOS CRITICARAM PELO SANTOS GANHAR  DO VITÓRIA E LIVRAR O PALMEIRAS DO REBAIXAMENTO,....... AGORA SINTAM O DRAMA: O NOSSO VERDAO ESTÁ  BATENDO UM POR UM DOS SEUS  CONCORRENTES NA BRIGA PARA ESCAPAR DO REBAIXAMENTO. SPORT,  GRÊMIO, E NÃO VAMOS ENTREGAR NENHUM JOGO. REPENSAR SEMPRE E BOM.",há 2 anos,0,
Carille e mt o amor da mvd e corinthiano KKKKKKKKK intendedores intenderão,há 2 anos,1,
# REAGE PEIXÃO PORRA CARAIO MANO,há 2 anos,0,
Culpa do Bolsonaro,há 2 anos,0,
SANTOS😂SERIE B😂✌,há 2 anos (editado),1,
lateral marlon joga muuuuito,há 2 anos,0,
"ano que vem vai ser a maior série B de todos os tempos Cruzeiro, Vasco, Santo e grêmio KKKJKJJKJJ",há 2 anos,0,
Ano que vem não,há 2 anos,0,
