text,time,votes,replies
"Bom resultado para o Vovô!
O que acharam da partida?",há 3 anos,106,15
"Só os vovô, torce pro Ceará kkk🤣🤣",há 2 anos,0,
"Vovózinha feliz, pegou uma molezinha!",há 3 anos,0,
Sem meu campo de piscina eu n consigo kk..,há 3 anos,0,
Nunca vou te abandonar juventude 🇳🇬🇳🇬🇳🇬,há 3 anos,1,
"TUDO NORMAL,VENCEU O TIME QUE NUNCA JOGOU TERCEIRA DIVISÃO 🤷‍♂️⚫⚪🖤🙌🙌🙌🔥🔥🤣🤣",há 3 anos,1,
Ceará atropelou!,há 3 anos,0,
Valeu Ceará kkkkkkkk kkkkkkkkkkk kkkkkkkk kkkkkkkkkkk kkkkkkkk kkkkkkkkkkk kkkkkkkk 😁😁😁😁😁😁😁👀🤣🤣🤣🤣🤣🤣🤣👀😂😂😂😂😂😂😂😎,há 3 anos,0,
Vina é muito ruim. Não entendo porque o real madrid quer contratar este pereba.,há 3 anos,0,
Vitoria Merecida,há 3 anos,0,
Bora vozão🏁❤,há 3 anos,0,
Ceará e suas mania de parar os time q em boa fase kkkkkkkk,há 3 anos,1,
"Caramba, esse Lacerda aí me lembra muito o Vitor Hugo que jogou no Palmeiras",há 3 anos,0,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Fbastos, rua 38 cohab, alô rapaziada vamos ver velho, )",há 3 anos,0,
Taca no juventude do vozao,há 3 anos,0,
"Juventude não aguenta  o vozao n , sou time  fraco",há 3 anos,0,
Bora vozao,há 3 anos,0,
Parabéns vovô 👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,há 3 anos,0,
Dá até gosto ver esse time jogar quando a tática funciona,há 3 anos,2,
Só quem botou Lima e G. Lacerda no Cartola deixa o like,há 3 anos,1,
Foi boa mas o juventude vai brigar pra não cair,há 3 anos,5,
O Ceará ganhou mais cadê o Gustavo fut pra zuar?,há 3 anos,1,
Palbosta só ganha de time pequeno,há 3 anos,3,
Uma partida muito boa Ge.,há 3 anos,1,
Bora vozao,há 3 anos,2,
Ótima vai vozão,há 3 anos,3,
Parabéns ao vozão campeão da copa do Brasil de 94,há 3 anos,5,
 @lucassousa5780   sério?,há 3 anos,1,
Vozão tá ON 🏳🏴🏳🏴🏳🏴,há 3 anos,1,
 @lucassousa5780  foi o grêmio pois o juiz roubou si campeão grêmio,há 3 anos,0,
Gostei do 2 tempo,há 3 anos,1,
LEGAL MAS O FLAVADIA CONTINUA SEM ESTADIO,há 3 anos,1,
Boa Vitória.,há 3 anos,1,
Ótima,há 3 anos,1,
"( ferroviário, cabo de st. Agostinho, pe. Brasil. Fbastos, rua 38 cohab, alô rapaziada vamos ver velho, )",há 3 anos,0,
🏴🏳️,há 3 anos,0,
Boa vozão,há 3 anos,0,
Jogo de série b.,há 3 anos,0,1
Respeita o vovô seus juvenil,há 3 anos,0,
Coloquei esse Gabriel lacerda no cartola um tiro no escuro e deu bom kkkk.. nunca mais,há 3 anos,0,
Ceará com Gordiola é sucesso,há 3 anos,0,
Carnê tá pago 😏😂,há 3 anos,0,
Bahia maior do norte e nordeste ! BBMP,há 3 anos,0,
Da-lhe vozão,há 3 anos,1,
Pra cima deles vozão,há 3 anos,0,
Macha seguimos 🏁🙅🏽‍♂️,há 3 anos,0,
Parabens ao pai do Fortaleza e vô do Bahia.,há 3 anos,14,3
"""Sem meu Flamerda eu ""num"" consigo""

Juventude Transviada.",há 3 anos,0,
"Valeu vovó, muito obrigada",há 3 anos,0,
"Sou Tricolor Baiano... Sou Bahia Esquadrão de Aço..Mas gostaria de parabenizar o Time do Ceará, pela belíssima Vitória, diante do Juventude-RS.",há 3 anos,3,6
"Cade o pipoca do vovó 
Vina amo vc",há 3 anos,0,
Ceará time pequeno time lixo,há 3 anos,0,1
pq o vina é reserva??,há 3 anos,0,1
Valeu Vozao!!!,há 3 anos,1,
Valeu vozão! Força Nordeste!!,há 3 anos,2,
De serie b e o ceara está em 7 lugar piada kkk,há 3 anos,0,
Pai do fortaleza?quantas vezes o siara ganhou de nois no ano?,há 3 anos,0,
" @mitalo6955  196 é maior que 180, sabe contar não??",há 3 anos,0,
 @tigorbr1845  agora Ceará tem 200 vitórias contra seu rival,há 2 anos,0,
Triunfo!!!!,há 3 anos,0,
Torcedor do Bahia não usa essa palavra de m....,há 3 anos,0,
Torcedor do bahia não usa essa palavra,há 3 anos,1,
" @olairaraujo514  Você pode não usar... Mais como Tricolor Baiano e Torcedor do Esquadrão de Aço, fiquei imensamente feliz com a Vitória do Bahia, diante da Chapecoense...E que daqui pra frente,o Bahia consiga muitas "" Vitórias"".",há 3 anos,0,
 @luisflaviobispoferreira7600  primeiro torcedor do Bahia que não vejo falar triunfo,há 3 anos,0,
" @fortalezamaiordonordeste3867  Poisé, rapaz",há 3 anos,0,
Pequeno e está em 7 lugar piada kskskssks,há 3 anos,0,
"Porque caiu de rendimentos, e o Jorginho que e da mesma posição ta jogando melhor.",há 3 anos (editado),1,
"GORDIOLA É COM CERTEZA UM DOS MELHORES TÉCNICOS DO BRASIL, SÓ TAVA NUMA FASE RUIM",há 3 anos,14,1
A experiência superou a juventude 🏁🏁🏁,há 3 anos,6,2
Valeu Vozão 💪⚫⚪💜,há 3 anos,1,
"O Lima está jogando bem, não só nessa bem como em outras também",há 3 anos,1,
Bora Vozão #+3Pontos,há 3 anos (editado),0,
"Primeiro tempo foi ruim, mas pelo menos o time resolveu jogar alguma coisa no segundo e conseguiu o resultado.",há 3 anos,1,
VALEU MEU VOZAO NA HUMILDADE VAMOS SUBIR MAIS AINDA NA TABELA SE DEUS QUISER E ELE QUER ⚫⚫⚫👈👉⚪⚪⚪⚪MAIOR DA CAPITAL 🏁🏁🏁🏁🏁🏁⚫⚪,há 3 anos,45,14
"Foda e que todo mundo esqueceu o papelão que essa arbitragem fez hoje, absurdo esses árbitros brasileiros.",há 3 anos,0,
Vovo venceu a juventude kkkk,há 3 anos,5,
"Sonho em ser narrador de futebol, e graças ao Youtube eu tenho a oportunidade de mostrar meu trabalho. Narrei a vitória e classificação do BRASIL em cima do CHILE, narrei também FLAMENGO  X FLUMINENSE, SPORT X PALMEIRAS e ARGENTINA X EQUADOR.  Gratidão a todos pela a atenção!! Tudo de bom pra vcs!!!",há 3 anos,1,
Aqui é vozão porra,há 3 anos,0,
Cadê o lance do Jorginho que ele saiu?,há 3 anos,0,
Hj não deu pro meu juventude mais o Nordeste está arrebentando na série a seria massa ver Ceará fortaleza Bahia  é red bull bragantino sp  na próxima temporada da libertadores na fase de grupos merece muito 😊👏❤🏟,há 3 anos (editado),3,3
Ganhou em casa .,há 3 anos,0,
Kanal de bosta sempre ajudando o pai deles....kkk,há 3 anos,0,
Chora menor do SUL🔴⚪😂😂,há 3 anos,2,
lacerda de cabeca vai ser um monstro,há 3 anos,3,
Vozão tá ON 🏳🏴🏳🏴🏳🏴,há 3 anos,2,
"Jael bom jogador, só está fora de forma, muito pesado, parecendo um tanque de guerra !",há 3 anos,8,1
Bora Vozão,há 3 anos,0,
Tanto que algumas rodadas atrás tinha vários torcedores do Ceará querendo matar ele kkkkkkkkkk,há 3 anos,3,
Genio!,há 3 anos,2,
kkkk genio kkkkkkk,há 3 anos,1,
Envolve Deus nisso não irmão,há 3 anos,0,
 @andersonlima4852  eae,há 3 anos,1,
Agora é na Humildade né? Pq quando na soberba caíram do cavalo 😂😂😂 BAHIA PASSOU O TRATOR 🇳🇱🇳🇱🇳🇱,há 3 anos,1,
 @FelipeOliveira-fb4vx  cringe,há 3 anos,2,
Sim ou concerteza,há 3 anos,1,
 @FelipeOliveira-fb4vx  3 anos sem ganhar da gente né? 🤣,há 3 anos,2,
" @andersonlima4852  E so o modo de ""falar""",há 3 anos,0,
" @FelipeOliveira-fb4vx  porra de Bahia mané, qm aq tá falando de Bahia?",há 3 anos,2,
" @semnome123o  calma meu freguês, calma.",há 3 anos,0,
" @luan6x293  vcs ficaram 8 jogos sem ganhar da GNT e é a gente q é freguês?, sai daí corno jogador de fogo livre",há 3 anos (editado),1,
Kkkkkkk fortaleza la em cima da tabela....e vcs falando que são os melhores da capital😅😅😅 vai corinthians!!!👹,há 3 anos,0,
 @Jeyvi798  muito,há 3 anos,0,
 @ROGERGUEDES-rz3yy  tabela define qm é o maior da onde gaivota?,há 3 anos,0,
 @ROGERGUEDES-rz3yy  o kra todo bobao KKKKKKKKKK,há 3 anos,0,
bragantino não é do nordeste amigo kkkk bragantino é do sudeste de sp,há 3 anos,0,
 @paulogabriel329b4  parsa quem  foi que falou que o red bull bragantino é do nordeste tá viajando filho eu apenas falei que Ceará Bahia fortaleza está arrebentando na série a como clubes do nordeste eu não mim referir ao red bull bragantino eu sei que ele é de SP assim como outros que estão sem divisão no brasileiro eu conheço todos os clubes de sp mano inter de limeira santo André portuguesa de desportos lusa querida  são bento de sorocaba são José do vale do Paraíba Nacional SP portuguesa santista juventus da moca querida são bernardo penapolense xv de jau xv de piracicaba paulista de Jundiaí oeste velo clube atibaia união são João de araras grêmio Prudente americana ou Guaratinguetá mogi Mirim Marília SP linense matonense Jaboticabal jabaquara inter de bebedouro união de mogi flamengo de guarulhos é isso mano aqui são clubes tradicionais de São Paulo que devia já está de volta a elite do paulista ou brasileiro a anos pronto falei 😑😌🤓👏❤,há 3 anos,0,
" @davidferreira3799  a quanto tempo um nordestino não vai pra libertadores,seria bom voltar",há 3 anos,1,
Skksks eu vdd mas tbm quero ver toma a bola dele assim o cara ganha de todos no físico ksskks,há 3 anos,3,
Bora vozão,há 3 anos,1,
Parabéns ao vozão campeão da copa do Brasil de 94,há 3 anos,55,4
Bora vozao,há 3 anos,0,
"2:41 cortou o que a Fernanda achava adm.....





MACHISTA!",há 3 anos,0,1
Está representando bem o nordeste!!!,há 3 anos,13,3
"Se fosse o bostaleza contra o juventude,com certeza cairia para a série bq",há 3 anos,0,
"SEM MEU FRIO EU NÃO CONSIGO!



JUVENXARCADO",há 3 anos (editado),1,4
Q deus abençoe sua família de,há 3 anos,0,
Mendoza = tenebroso.,há 3 anos,0,
Vina puta véa castilho cabaço kkkkkkkkkkkkkk vermelho,há 3 anos,0,
Hj a experiência ganhou da juventude.,há 3 anos,1,
"Galera, me inspirei em uns canais e acabei criando o meu.. toda ajuda é bem vinda! Abraços",há 3 anos,32,
Gosto muito das narrações do Eduardo Moreno. Não sei pq ele não faz grandes jogos nos canais Globo. Poderia ser mais valorizado.,há 3 anos,20,3
"É assim que se vence o Juventude 🧐 

Pra uns times aí que não conseguiram",há 3 anos,11,4
Nordeste vem forte!,há 3 anos,20,3
É pra glorificar de pé Brasil o nome de Jesus assim fala o nosso Apóstolo Valdemiro o maior homem de Deus da face da terra de todos,há 3 anos,1,
Valeu Vozão,há 3 anos,0,
Salve Pra Todos,há 3 anos,0,
Nessa Vez Ô Ceará Conseguiu Vencer Do Juventude Mais Juventude É Um Jogador Bom,há 3 anos,22,2
Passa nem.perto.dos.melhpres momentos neste ge  muito fraco parece mais um só ganha like somente que pena!!!,há 3 anos,0,
Exato Roubado pelo Juiz kkkkkkkkkkk,há 3 anos,16,
Kkkkkkkk exatamente,há 3 anos,6,
Verdade 😔🏆,há 3 anos,8,
Nunca serão,há 3 anos,0,
UaU ;_;,há 3 anos,0,
