text,time,votes,replies
"Fala, torcedor!
O que achou da partida?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,84,13
"EU FUI, EU TAVA",há 2 anos,1,
Nosso maior freguês,há 2 anos,0,
ขอบคุณครับ,há 2 anos,0,
Parabéns ao Presidente por demitir o Fernando Diniz e o Mazucco,há 2 anos,0,
"O Grêmio torce para que o Flamengo coloque o seu time reserva na partida contra o Grêmio,  pois aí o Grêmio terá a certeza que vai dar um pau no Flamengo e se livrar do rebaixamento.",há 2 anos,0,
"E bom ver a chape voltar a jogar , por mais q seja poucas vitórias 😪❤🖤",há 2 anos,1,
TIME GIGANTE NÃO CAI MESMO!!! PARABÉNS AO SANTOS PELA VITRÓRIA!!!,há 2 anos,1,
"O jogo é contra a chape vamos jogar fechadinho

Retracarili",há 2 anos,0,
"Pra que tudo isso? 1x0 já era necessário.

-Carile,Fábio",há 2 anos,0,
"Vamos Santos, Time de Elite Não Cai! 🔴⚫",há 2 anos (editado),1,
Narração ruizinha demais .... Slc,há 2 anos,0,
"Grande não, GIGANTES!!",há 2 anos,0,
Que pênalti ridículo..começou o movimento pra essa merda não cair,há 2 anos,0,
Respeita o Santos,há 2 anos,0,
Q narração bosta vsfd kkkkkkkkkkkkkkkkkkkkkkkkk,há 2 anos,0,
Ótima narração da Nathalia Lara.,há 2 anos,0,
"Parabéns Marinho, você lacrou! kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",há 2 anos,1,
Seria legal mostrar o lance do pênalti em outra câmera.. pecaram nisso..,há 2 anos (editado),0,
Santos deu agora uma distanciada Boa longe da zona de rebaixamento parabéns Santos pela Vitória,há 2 anos,0,
Meu peixão tá de parabéns,há 2 anos,10,
Ótima!,há 2 anos,3,
"O santos jogou mal , mas o que importa é a vitória",há 2 anos,7,
NÃO MUDA O FATO QUE PRANTOS E VARMENGO SÓ GANHAM DA FALIDA DA CHAPECOENSE,há 2 anos,0,
 @flaglobosemtetominusculo1156  teu time deve ser freguês do peixão e do flamengo pra tu se esconder kkk chora 🤍🖤,há 2 anos,0,
Santos é gigante,há 2 anos,2,
 @isaquemartins1110  Santos é maior que teu time isso posso te garantir,há 2 anos,1,
" @isaquemartins1110  Espero que você não seja CÚrintiano, pq até outro dia as galinhas pretas estavam comemorando uma vitória sofrida de 1x0 na Chape.",há 2 anos,2,
Acho que o importante é o +3,há 2 anos,0,
"Tirem esses comentaristas rivais dos jogos do Santos ,contratem alguem que seja Santista ou que goste do time ,PVC ,Noriega ,Roque Jr palmeirenses só secam ,Lozetti também é horrível.",há 2 anos,3,
A partida até ode ter sido boa mas a narradora pode abandona,há 2 anos,1,
O que estragou foi a narração.,há 2 anos,1,
Top,há 2 anos,0,
Pessoal mais parece que foi fora da área?,há 2 anos,0,
Narração horrível,há 2 anos,0,
é ótimo vê que as mulheres tão ganhando espaço como narradores,há 2 anos,0,
Melhor deixar o vídeo no mudo,há 2 anos,0,
Essa mulher narrando e tristeza slk kkkk  deu nem vontade d ver,há 2 anos,0,
"Santos continue ganhando as rodada
😃😃😃😃😃😃😃😃",há 2 anos,0,
"Para quem achava a narração do J Junior ruim,tá aí uma 100000000 de vezes pior",há 2 anos,0,
santaço,há 2 anos,0,
Ueedghi,há 2 anos,0,
Vamos peixão pow🤍🖤🤍🐬🐬🐬🐬🐬,há 2 anos,0,
"O time do Santos é muito ruim, sempre dependendo desse excelente goleiro João Paulo.",há 2 anos,0,
"O Grêmio,  promete uma grande vitória em cima da Chapecoense.",há 2 anos,0,3
E isso meu peixe pode ater perde algumas mas nunca larga de se meu orgulho,há 2 anos,0,
Narração é um c#,há 2 anos,0,
Bora meu peixão 🐳,há 2 anos,0,
Aqui é Santos futebol clube⚽,há 2 anos,2,
Forçaram mesmo a narração kkkkk.  Ruim demais soooooo,há 2 anos,0,
"A chape nao parece ta jogando tao ruim assim , pena que nao ta dando resultado. Mas vamos em frente meu peixão!",há 2 anos,0,
🇧🇷🇩🇪🇨🇳🇦🇷🇦🇩🇦🇪🇦🇫🇦🇬🇦🇮🇦🇱🇦🇲🇦🇴🇦🇸🇦🇹🇦🇺🇦🇼🇧🇮🇧🇯🇧🇲🇧🇳🇧🇴🇧🇸🇧🇹🇧🇼🇧🇾🇧🇿🇨🇦🇨🇩,há 2 anos,1,
SANTOS SÉRIE   B...JUNTO COM  SÃO  PAULO...VAI  CAIR,há 2 anos,0,1
Grêmio não vai conseguir vencer a chapecoense,há 2 anos (editado),2,
" @lucasgoncalves1713 .  O pessoal do Grêmio está dando o time da Chapecoense como galinha morta,  menosprezando o time catarinense.",há 2 anos,1,
 @dimaspaulo3066  exatamente esse mesmo time da chapecoense empatou com líder atlético e flamidia,há 2 anos,0,
Santos está em 10 está a 9 pontos do primeiro fora do z4 que é o Bahia e o atlético goianiense e precisa de apenas uma vitória pra matematicamente estar livre de rebaixamento pesquise antes de escrever asneiras seu imbecil,há 2 anos,0,
