text,time,votes,replies
"Michael está jogando muito!
Diz aí, qual foi o gol mais bonito? ⚽
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,"1,9 mil",208
Saudades desse flamengo do renight,há 9 dias,3,5
toma gol 27 segundo e foda kkk,há 2 semanas,3,
Bruno Henrique camisa 29,há 3 semanas,0,
40😢😢😢😢,há 3 semanas,0,
Michael é o pai dos Trikas 😂,há 1 mês,3,
Meu filho se chama St. Paul,há 1 mês,0,
Desculpa paulistas orientais mocanbicanos😢. Eu sei que o time de vcs so queria trazer alegria pro seu povo,há 1 mês,0,
"Dos jogos que já assisti do Flamengo de 2011 (ano em que comecei a assisti aos jogos com frequência) para cá (2024), esse São Paulo 0 x 4 Flamengo em pleno Morumbi está entre os 3 melhores, pois, para mim pelo menos, foi uma vitória muito significativa, tendo em vista que a gente era muito freguês deles durante um certo  tempo, e isso me deixava muito incomodado, fora que nesse mesmo ano ainda aplicamos 5 x 1 neles no Maracanã. Para ter completado essa ""lavagem de alma"", faltou apenas a gente ter ganhado a Copa do Brasil em cima deles em 2023. Mas é isso, nem sempre vai dar para ter tudo, né? Vida que segue.

OBS.: Os outros dois jogos que mais me marcaram bastante de 2011 até 2024 foram Santos 4 x 5 Flamengo em 2011 (que jogo foi esse, em?) e Flamengo 2 x 1 River Plate em 2019 (não podia deixar esse jogo de fora, né?).",há 1 mês,0,
Até hoje indignado do Renato Gaúcho não ter colocado Michael de titular no final da liberta..,há 2 meses,2,2
9 minutos do 2 tempo dla 4 x 0 sp,há 3 meses (editado),0,
Só o barulho pooooooow na trave,há 3 meses,0,
Que saudade do micha,há 3 meses,1,
INCRÍVEL COMO DIEGO COSTA NAO GANHA UMA ATE HOJE,há 3 meses,0,
Michael E craque,há 3 meses,0,
Saudades do micha man,há 3 meses,0,
Eu espero que o São Paulo ganhe do Flamengo na quarta-feira ❤,há 3 meses,0,14
Bom demais,há 4 meses,0,
Vamos Flamengo com fé em Deus ❤,há 4 meses,0,
Muito bom Deus abençoe ❤❤❤❤,há 4 meses,1,
Volta diniz,há 2 anos,11,
CORINTHIANS 4 X 0 FLAPUT4 2016 KKKKKKKKKKKKKKKKKK,há 2 anos (editado),18,
"Como diria o Gerson ""Executamos os caras"".",há 2 anos,34,
