text,time,votes,replies
"E ai, torcedor! 
O que achou da atuação do Kevin?",há 2 anos,279,49
❤😅❤😅❤😅❤❤😅❤😅😅😂😅😅😅🎉🎉😅🎉🎉😅🎉😅😂😅😂😅❤😅❤😅❤😅😊❤😊❤,há 7 meses,0,
😅😅😂😂😅😂😅😂😅❤😅❤😅❤😅❤😅😂😅😅😂😅😅🎉😅🎉😅🎉😅🎉😅🎉😅🎉🎉😂😅😂😅😅😂😂😂😅😂😊😊😂😊❤❤😊😊😂😂😅😂😅😅😅😂😊😅😅😅😂,há 7 meses,0,
❤❤❤😅😂😅😂😅😅😂😅😂😅😅🎉😅😅🎉😅🎉😅😅🎉😅😂😂😅😅😂😅❤❤😊❤😊❤😊,há 7 meses,0,
😅❤❤😅😅❤❤😅❤😅😅❤❤😅❤😅❤😅🎉🎉😅🎉😅🎉😅🎉😅🎉😊🎉😅🎉😅🎉😅🎉😊🎉😊😂😊😂😅🎉🎉🎉😅🎉😅🎉😅🎉😅🎉😅🎉😅🎉😅🎉😅😊🎉😂😊😂😊😂 1:27 1:27 1:27 1:27 1:27 1:27 1:27,há 7 meses,0,
❤❤😂😅😂😮🎉😮bx😂😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅,há 7 meses,0,
😂😅😂😅😂😅😂😅😂😅😂😅😂😂😅😂😅😂😅😂😅🎉🎉🎉😅😢,há 7 meses,0,
😅😂😅😂😅😂😅😂😂😅😂😅😂😅😅😂😅😂😅😂😅😅😂😅😂😂😅😂😅❤😅❤❤😊❤😊❤😊❤😊❤❤😊❤😊❤❤😊😊❤😊❤,há 7 meses,0,
❤❤❤😅❤😅❤😅❤😅❤😅❤😮❤😮❤❤😅❤😅😂😅😂😂😅😂😮🎉🎉😮🎉😮🎉😅🎉😅🎉😅😂,há 7 meses,0,
😅❤😅❤😅❤😅❤😅❤😅❤😅❤😅❤😅❤😅❤😅❤😅😅❤😅😅❤😅😅❤😅😅❤,há 7 meses,1,
obrigado por tudo vinicius silvestre,há 1 ano,0,
"Esse penalti que não marcaram no Giovani, já mostrava o que a arbitragem faria com o Palmeiras pela frente!!! CBF lixosaaaa",há 1 ano,0,
vc vê que foi um penalti escandaloso quando A GLOBO mostra o replay e o narrador fica desacreditado... Num jogo do Palmeiras isso é raro acontecer em favor do Palmeiras kk,há 2 anos,0,
Ceará vergonhoso perde pra base tá de sacanagem,há 2 anos,0,
Muito jogador promissor nessa base nível Europa do palmeiras.,há 2 anos,2,
Meu verdão joga de mais,há 2 anos,1,
Flameda Jesus Branco urubu otário deus zeus senhor baal flademonio TV 📺flaglobosta lixo xarope fim da lojeta,há 2 anos,0,
Vargonha,há 2 anos,0,
Krl na minha cidade,há 2 anos,0,
Será q a administração da arena Barueri não v que precisa de mais iluminação??,há 2 anos (editado),0,
Cadê o jogo do juventude?,há 2 anos,5,
 @_jimin_3libertadores2mundi72  o meu fi vc tá va no Montevideu vc tá na libertadores de 2022 chupa peixe tô fritando um pra min,há 2 anos,5,
" @_jimin_3libertadores2mundi72  comemore torcedor do santos, é só isso que vcs tem pra comemorar mesmo né, pq títulos...",há 2 anos,5,
Parece o MC menor nico mais velho,há 2 anos,1,
 @_jimin_3libertadores2mundi72  SARDINNN😂😂😂😂😂NHASSSSSSSS,há 2 anos,2,
SANTUS SEM TORCIDA,há 2 anos,6,
SANTUS MEU OVO,há 2 anos,3,
Muito bom,há 2 anos,1,
 @_jimin_3libertadores2mundi72  se tem câncer no cérebro?,há 2 anos,2,
Prantos freguês desde 2015.,há 2 anos,1,
