text,time,votes,replies
"Z-4 ainda por perto 👀
E ai,  o que acharam da partida? 

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,75,27
SÃO PAULO 0X0 ATHLETICO-PR,há 1 ano,0,
Resumo do jogo: SÃO PAULO FUTEBOL CLUBE,há 2 anos,0,
São Paulooooooooooooooo,há 2 anos,0,
"O Ceni foi um grande goleiro, mas é uma BOSTA de técnico, estamos lascados. 
O Benitez no banco? Uma piada! Ele vai acabar saindo e brilhando em  outro time logo, o São Paulo como sempre irá a procura de um meia de criação kkkk.
Quem não valoriza o que tem acaba perdendo.
Lembram quando perdemos o Jadson e o Corinthians se reforçou? Assim acontecerá, porque vai acabar reforçando essas equipes que vão pra libertadores. 
Errar é humano , porém permanecer errando há mais de dez anos é BURRICE!
Eu que pensei que o Caseres era diferente kkkķ. 
Decepção TOTAL!",há 2 anos (editado),0,
O São Paulo já era eu desacredito que um dia vote a ser sombra otario e o torcedor que apoia esses vermes,há 2 anos,0,
.,há 2 anos,0,
"Melhores momentos,ou piores momentos?",há 2 anos,0,
"Próximo ano o São Paulo disputa para ser campeão Brasileiro se o Rogério ceni continuar no clube, ele começando a temporada ele sabe montar o elenco",há 2 anos,1,
melhor jogo que já vi,há 2 anos,1,
Benitez não pode ser reserva para com isso Rogério. 🤦‍♂️,há 2 anos,0,
Jogo mais feio que bater em mãe,há 2 anos,0,
Roubaram o Atlético de novo.,há 2 anos,0,1
Jfsksks,há 2 anos,0,
B,há 2 anos,1,
"Eu não entendo pq benitez é banco do desgraçado do igor gomes, o maluco ruim do caralho",há 2 anos,0,
"Voltei pra concluir meu trabalho,levar o chupaulo a série B (Rogério Ceni)",há 2 anos,0,
Cadê os melhores momentos do Athletico PR?,há 2 anos (editado),0,
Jogo da trigésima quarta rodada? 🤔 Estava atrasado??,há 2 anos,0,
Se esse banana desse arbitro de vídeo chamasse o juiz Com certeza o Reinaldo seria expulso.,há 2 anos,1,
ESSE TIMECO DO SHUPAULO NÃO VAI A LUGAR NENHUM (:,há 2 anos (editado),6,
"ROUBARAM O CAP, VARBAMBIS KKKKKKKKKKKKKKKKK",há 2 anos (editado),9,
roubaram o furação varpaulo,há 2 anos,5,
Ver os Bambi chorando é minha inspiração meu remédio diário minha motivação 🙏,há 2 anos,3,
SHUPAROLAULO NANICO CONTINUA SEM COPA DO BRASIL MESMO ROUBANDO O ATLHETICO PR,há 2 anos,3,
 @matheussccp2023  kkkkkk,há 2 anos,0,
 @matheussccp2023  reembolso 👍😂,há 2 anos,2,
"tadinho do furacão 
foi operado pelo varpaulo",há 2 anos,3,
Reinaldo amassou a cerveja dó Paraná foi bem feito esse cerveja tava precisando de uma lição São Paulo único tri brasileiro e mundial e resto e lixo,há 2 anos (editado),3,
Time filho da puta serve ganho,há 2 anos,0,
" @isaquemartins1110  Eu não sou São Paulino mas porra os cara tem 3 Libertadores e 3 Mundiais

Eu prefiro que meu time tenha todos os títulos que ele tem do que ter uma Copa do Brasil",há 2 anos,4,
Esse time do são Paulo e oriver,há 2 anos,1,
uma merda o jogo,há 2 anos,0,
 @sekekama22   parabéns pelo seu paulista em dez anos 🤣🤣🤣,há 2 anos,0,
Boa mas só faltou gol 😠,há 2 anos,0,
