text,time,votes,replies
"Eita 💥
Quem pode ir à Pré-Libertadores?",há 2 anos,79,35
"E depois desse jogo levaram peia do porquinho.
Kkkkkkkkkkkkkkkkkkkk",há 2 anos,0,
Sem ataque...  Magno Alves com 60 anos teria feito uns 3 gols nesse jogo,há 2 anos,0,
Melhores momentos só do Ceará né,há 2 anos,0,
BOA TEMPORADA!! PARABÉNS COÊLHO!!,há 2 anos,0,
O SPORT já foi pra 2 vezes  libertadores e eram só  2 vagas e não 8,há 2 anos,0,2
FLUZÃO AGRADECE '-',há 2 anos,0,
"Este ademir egoísta, não pensa no.time,só quer aparecer, se tivesse tocado  para os companheiros",há 2 anos,0,
"Este jogador do América, egoísta,  se tivesse tocado para os companheiros, teria classificado para a libertadores,  agora o São Paulo vai vir aqui e vai dar uma cocada no América e vai ficar sem disputar a libertadores.",há 2 anos,0,
Meu América vai para liberta.,há 2 anos,0,
Porra Ademir,há 2 anos,0,
"America mg medroso deixou de jogar pra segurar empate kkk e dps acham que merecem vaga na liberta jogando covarde desse jeito coitados, não so vão a passeio pra liberta como tbm vão se complicar muito no br do jeito que esse time mau consegue se manter na serie A imagina joga br disputando liberta......",há 2 anos,0,
Vish,há 2 anos,1,
Oi,há 2 anos,0,
Ceará perdeu muitos gols. Se o técnico fosse corajoso teria vencido o jogo.,há 2 anos,3,1
Ceara jogou melhor,há 2 anos,1,
"Ademir é bom mas é muito fominha, fudeu no último lance.",há 2 anos,0,
Duas equipes qui estão fazendo um bom campeonato,há 2 anos,1,
Matheus cavichi neuer,há 2 anos,0,
Ķ,há 2 anos,0,
ISSO MUDA O FATO DE QUE O SUPER GRÊMIO TA DEMAIS? 🤪,há 2 anos,4,
América MG 🦁🤝🏼🐰,há 2 anos,9,
Chapecoense,há 2 anos,7,
Cruzeiro,há 2 anos,0,
Ibis,há 2 anos,0,
Ceará,há 2 anos,4,
 @RoyaleMarocaineFRMF  E vcs morrendo de inveja,há 2 anos,0,
 @RoyaleMarocaineFRMF  ta bem informado ein,há 2 anos,3,
