text,time,votes,replies
Esse popoti é pequeno kkkk,há 2 anos,0,
é facil jogar no braganti/redbull nao tem torcida é só uma empresa,há 2 anos,0,
O popoti perdeu foi(sou santa cruz),há 2 anos (editado),1,
"Quem concorda que o Red Bull bragantino joga o melhor futebol entre os clubes  Paulista,  e em relação ao brasileiro  só galo,flamengo joga mais bola que Red Bull.",há 2 anos,0,
VITÓRIA GIGANTE DO BRAGANTINO,há 2 anos,2,
Bragantino=leipzig😅,há 2 anos,1,
34º???,há 2 anos,1,
O bragantino ficou no passado esquecem agora é redbull se a redbull nao tivesse comprado o bragantino provavelmente o bragantino estava na serie d,há 2 anos,1,
O futebol Pernambuco está uma desgraça ! 😂.,há 2 anos,1,
Leão foi atropelado,há 2 anos,0,
Bragantino é bem organizado,há 2 anos,1,
VAMO BULLSSSSSSSS!!!!!!!!!!!!!!!!!!!!!!!!,há 2 anos,1,
Boa Popoti cai mais ae  :D,há 2 anos,1,
"Bragantia de Fortaleza chega na libertadores passa vergonha 
Não vão aguentar muito tempo",há 2 anos,1,
Respeita o meu BRAGANTINO rapaz o SPT E RUIM,há 2 anos,1,
O negócio é assistir a final da libertadores e Champions ligue no SBT!,há 2 anos,3,
Coitado do Sport,há 2 anos,0,
Serie b Sport,há 2 anos,0,
O sport perdeu foi kkkkkkkkkkk,há 2 anos,0,
"Jogada do terceiro gol linda , começa com um chapéu lá atrás que o Ortiz deu. É após faz um passe show pra jogada do gol.",há 2 anos,1,
Os Argentinos pensando na libertadores 2022 tem mais medo do Red Bull Bragantino e ATHLETICO PARANAENSE do que do resto a verdade é essa,há 2 anos,0,
"impossível ganhar quando vc joga contra o adversário e contra vc mesmo, que loucura.",há 2 anos,2,
Pior que briga de foice 😂😂😂,há 2 anos,0,
O Red Bull Bragantino  está justificando em campo os investimentos feitos pela Mega empresa estrangeira no time de Bragança Paulista. Inclusive mudou até as cores do uniforme ficando igual aos times da Red Bull no exterior,há 2 anos (editado),2,
"Popot não é time pra primeira ÷, e sim segunda ÷.  É só LAPADA no lombo.",há 2 anos,0,
Parabéns pela excelência campanha bragantino 👏👏👏👍,há 2 anos,1,
O Sport poderia passar a noite toda que não saia o gol dele.,há 2 anos,0,
joga de mais esse time do Leipzig,há 2 anos,0,
Arthur saiu do Braga? Se sim foi pra onde?,há 2 anos,0,
Vim conferir se esse 2° não era montagem.,há 2 anos,0,
Bragantino não... Redbull um ótimo time ...bragantino se foi perdeu a indentidade porquê suas cores eram preta e branca e não vermelho e branco.. parabéns aos empresários que compraram o time brasileiro e pá ótima campanha do time...,há 2 anos (editado),0,
"O goleiro do sport no primeiro gol ficou lá longe deixando o zagueiro na fogueira, não sabia que o fazer. Agora no último lance o goleiro do RB se atirou no meio da confusão depois do zagueiro salvar o gol.",há 2 anos,0,
por que essas duas equipes estão fazendo um jogo duma rodada lá da frente com tanta antecedência?,há 2 anos,0,
Olha aí o bragabull,há 2 anos,0,
Bragantino e fortaleza e só fogo de palha cavalo paraguaio,há 2 anos,0,
Os cara vão abrir as perna para o Santos.,há 2 anos,0,
como assim rodada 34 🤔/estamos na 29,há 2 anos,0,
Quanta lambança em um único jogo kkkkk,há 2 anos,0,
Caraca cadê a torcida do bragantino? Kkk time em ótima fase estádio vaziao,há 2 anos,0,1
Show  De Bola Do Red Bull Bragantino Pra  cima Do Sport Do Recife,há 2 anos,0,
"A torcida tá no lado da câmera, por isso não dá para ver",há 2 anos,0,
Maurício barbieri é o  cara  vai ser um ótimo técnico de futebol,há 2 anos,0,
Mas pq tão fazendo a rodada 34ª se ainda estamos na 28? kkkkkk,há 2 anos,0,
"Que jogo bizarro, hein! 😲",há 2 anos,0,
"Goleiro do sport vacilo muito no 1 gol
Com a bola em cima da linha ele tinha q ter pegado",há 2 anos,0,
"O Palmeiras ralou pra ganhar do esporte  e a imprensa  exaltando o Palmeiras ,e vem o bgt  e faz 3 e ninguém fala !!🤡",há 2 anos,0,
O esporte sabe fazer gol contra kkkkkk.,há 2 anos,0,
Bragantino Trilhionário Rolo Compressor! 🖤🦁,há 2 anos,1,
