text,time,votes,replies
"E aí, pessoal! 😎
O que acharam da partida? 
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,419,56
Jô era monstro,há 2 meses,1,
"Eu tava nesse jogo, meu primeiro na arena",há 1 ano,2,
"Fui pela primeira vez na arena assistir a esse jogo contra o santos, dominamos o jogo. E que felicidade realizar esse sonho q era conhecer a arena, mt brabo assistir o jogo la q energia ta maluco",há 1 ano,5,
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 1 ano,1,
Falei que o Corinthians é bom,há 1 ano,0,
do Corinthians,há 1 ano,0,
GooooooooooL,há 1 ano,0,
Vergoia Santos,há 1 ano,0,
"E se eu disser que em fevereiro de 2022, o Peixe, ou melhor, Marcos Leonardo fez o técnico Sylvinho pedir as contas do Timão!!!! RRRRRRRRRRRRRRRRRSSSSSSSSSSSSS!!",há 1 ano,0,
CORINTHIANS 2X0 SANTOS,há 1 ano,1,
Eozo,há 1 ano,0,
Salve o Corinthians,há 2 anos,1,
"Mano? Eu vendo isso e percebendo a grande diferença do futebol do silvynho pro do Vp... e pqp... o Futebol do silvynho é melhor kkkkk,apesar dos erros dele, pelo menos o time chutava no gol, e não ficava só nesse futebolzinho medíocre que hj em dia o time está apresentando.. vai ver o silvynho só precisa de tempo kkkkkj, aff",há 2 anos,0,1
Oi,há 2 anos,1,
.,há 2 anos,1,
VAIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII CORINTHIASSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,há 2 anos,0,
Globo tirou os hinos 💔,há 2 anos,1,
Corinthians Corinthians Corinthians Corinthians Corinthians,há 2 anos,1,
Slv,há 2 anos,1,
CORINTHIANS MAIOR DO BRASIL AMIGO,há 2 anos (editado),45,
"CORINTHIANS MAIOR TIME DO BRASIL, O RESTO É NANICO :)",há 2 anos (editado),40,
Jogo muito bom,há 2 anos,11,
" @matheussccp2023  maior não sei
Talvez ...
Mas concorde que o Fla tem o melhor time do Brasil",há 2 anos,4,
 @matheussccp2023  kkkkk agr c me fez rir,há 2 anos,1,
 @matheussccp2023  em compensação São Paulo tem títulos mais importantes,há 2 anos,3,
corinthians atacou bem mais...,há 2 anos,2,
"@UCieRzaHakWIxFmTiK3RLDbQ é seu Corinthias que antes ganhava no apito também amiga


Eu ja vi vários times serem massacrados por causa dos apitos malditos
Aquele 5x1 contra o são paulo
teve roubo contra o fla na aquela merda",há 2 anos,0,
O JÔ JOGA MUITO,há 2 anos,2,
 @matheussccp2023  sou corinthiano mais discordo vc n quernem saber de nd vem logo assim só pra gerar briga e xingamento.,há 2 anos,0,
O cara excluiu o comentário é ficou só  link dele ali kkk,há 2 anos,0,
Corinthians pais dos 3 patetas de SP amigo,há 2 anos,0,
 @coringaokg4976  Kakakakakakakakakakkaakkakaakkakakaka,há 2 anos,0,
 @shelby9691  ne kkkkkkk,há 2 anos,2,
FLAMENGO É O TIME MAIS SUJO DO CAMPEONATO BRASILEIRO.,há 2 anos,0,
"FLAMÍDIA É TIME PEQUENO, AMIGÃO",há 2 anos (editado),0,
 @matheussccp2023  CONFIA KKKKKKK,há 2 anos,1,
 @matheussccp2023  PERDEU PRI SPORT COM O ELENCO ATUAL LKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,há 2 anos,1,
"""Eu fui em Itaquera só pra ver o maior time do Brasil joga"" 

~Santos",há 2 anos,0,
 @coringaokg4976  kakakakakalakak,há 2 anos,0,
" @rodriguinho.4365  foi mal mas vocês sabem que nós temos o melhor time do Brasil  né? É o seu Cássio 
que depois de 20 segundos reage a uma bola",há 2 anos,0,
"@UCmO04PDYMsoQLQDjwDgwLMw olha eu acho que o fla ganha 
Não por eu ser flamenguista 

Mas sim sobre os eventos no brasileirão 
Pois perderam contra o são paulo
Acho que foi fora
É o Palmeiras fora é um assassino total 
Perderam contra o braga
que  fla é o timão empataram 
Estranho o Atletico mg perder para o palmeiras
mas  atletico tava muito mal eu vi bem",há 2 anos,0,
Os cara fica excluído comentário vai se ferrar,há 2 anos,0,
"@UCnKL9iBKhDqj5ztNoLq37hA não tem jeito 
O Corinthians é maior de São Paulo
quem não concordar deve torce pro são paulo , santos, ou palmeiras não é possível",há 2 anos,0,
Ah não mano excluíram de novo,há 2 anos,0,
 @silasalencar6601  Frio é flamenguista,há 2 anos,0,
 @shelby9691  Copa do Br?? Como eu posso te chamar de maior se não tem nem a copa do br se tivesse todos os títulos agente se falava mais ne,há 2 anos,0,
"Só fiquei com ""dó "" dos Santos não jogou nada. Kkk",há 2 anos,0,
" @Eduardo-xe9mz  nos temos 3
Nos temos 2 supercopa do Brasil 
otários
Tem super copa do Brasil?
Somos maiores nas super copa 
Seis nem tem.",há 2 anos,0,
Só falta ganhar uma do flamengo né oframengo tá ésbagasando os times paulistas,há 2 anos,0,
Empate,há 2 anos,0,
dois fregueses do PALMEIRAS 💚⚪🇧🇷,há 2 anos,0,
 @vatsker  modinha,há 2 anos,0,
 @fazuelli.  e o Flamengo empatou com a chapecoense kkkkkkkkkk,há 2 anos,0,
 @yamurasad1092  MELHOR EMPATA DOQ PERDER KKKKKKJKJK,há 2 anos,1,
Gatonet,há 2 anos,0,
Ses podem ate zuar do meu time mas nunca vou me rebaixa de um corinthians que não ganhou nada esse ano se acha o maior time de Sp mas nunca ganhou do palmeiras ou flamengo nenhuma vez eu que tenho maior respeito pelo corinthians estou falando a vdd podem ate me zuar nos comentarios mas n vo me rebaixa por causa de torcedores,há 2 anos (editado),0,
 @coringaokg4976  O menor tiem do brasil isso sim nunca ganhou um mundial mundial roubado como sempre,há 2 anos,1,
 Gabriel Silva  adimito jogou muito msm,há 2 anos,1,
 @josecosta8173  Fregues do palmeiras ate parece teu time não vai ganha nada perto do flamengo palmeiras e fregues do corinthians amigo kkk,há 2 anos,1,
 @corruptedfiles8741  Sula e so pra time pequeno amigo..,há 2 anos,1,
"Se pode ter a melhor casa, o melhor carro, a melhor família, cursar a melhor faculdade, ter o melhor emprego, os melhores amigos, as melhores roupas, viajar para os melhores lugares... mas se não tiver Jesus, não tem nada. 

""Louco! esta noite te pedirão a tua alma; e o que tens preparado, para quem será?
- Lucas 12: 20 📖""

""Ergueu os olhos o rico no inferno, e de longe via o Lázaro no isso de Abraão"" (Lucas 16:18)
Arrependei-vos Jesus tá voltando ou na morte você vai ser julgado por Deus.",há 2 anos,0,
CORINTHIANS MAIOR QUE SANTOS,há 2 anos,1,
🇰🇷🇧🇷,há 2 anos,0,
G L O B O L I X O,há 2 anos,0,
"A partida foi maravilhosa o foda é ver esse Casa Grande comentar, esse cara so fala bosta",há 2 anos,1,
 @matheussccp2023  dpois fica falando do flamengo,há 2 anos,0,
O Santos cegura a bola de mas,há 2 anos,0,
"Top demais,jogaram com raça",há 2 anos,0,
VAI CORINTHIANS,há 2 anos,0,
 @josecosta8173  123 pra vc amigão,há 2 anos,0,
 @matheussccp2023  tem times nanico que tem mais libertadores 🏆🏆🏆 mais mundial 🏆🏆🏆 e ganhou de time grande . não do Vasco time de segunda divisão..O🐔🐔🐔🐔 não fala 💩seu💩💩💩💩kkkk,há 2 anos,0,
 @matheussccp2023  quem  tem boca fala o qui quer  seu caso não esse vc fala 💩seus🐔🐔🐔🐔🐔🐔🐔🐔🐔✌️,há 2 anos,0,
CHORA SRFINHA2 ETERNO 7X1,há 2 anos,0,
Llĺlllllllll,há 2 anos,1,
5g6c,há 2 anos,0,
você deve estar ficando maluco,há 1 ano,0,
JÔ o rei dos classico😎,há 2 anos,1,
Gabriel pensador kkkkkkkkk,há 2 anos,3,
melhor jogo do Corinthians no ano,há 2 anos,1,
CAIU NA REDE E PEIXE KKKKKKK,há 2 anos,2,
🖤⚫⚫⚫⬛,há 2 anos,2,
Vai Corinthians,há 2 anos,2,
O Goleiro Do Santos Nem Se Meche,há 2 anos,3,
l0005ompim8pploimimpmm0uppoik8ullm0mm09p0plpppl0ll0lp0nopmp6mppplplmpppl0pľpppppmimympioloil00pnp9ill8mplpllppoloikillu99plł98l0ppiplpmjl0gppopllipopll,há 2 anos,1,
🖤🦅,há 2 anos,2,
Que venha o athletico pr 🔥😎🦅🤍🖤,há 2 anos,2,
asafe,há 2 anos,2,
asafe,há 2 anos,2,
asafe,há 2 anos,2,
asafe,há 2 anos,2,
asafe,há 2 anos,2,
"Ganha do Santos e perde pro Flamengo, respeita o meu Mengão",há 2 anos,1,
Sem internet,há 2 anos,1,
Timaaaaaoooo,há 2 anos,1,
Timaooooo,há 2 anos,1,
Corinthians,há 2 anos,1,
"Santos só não vai cair porque tem
 Times piores que ele esse ano na zona 🤣🤣",há 2 anos,1,
O Santos está um vergonha time lixo vei,há 2 anos,2,1
Time,há 2 anos,1,
Santos uh Caralho lugar de peixe e dentro do aquário 🤍🖤🦅,há 2 anos,1,
"Torcida do Corinthians é diferente 
Obs:sou colorado",há 2 anos,1,
Respeita porra,há 2 anos,2,
Tá demorando sair o gol do Wiliam!,há 2 anos,1,
"# O QUE ESTÁ POR TRÁS DE TUDO  ISSO ?
Valeu Sylvinho .
Ganhou do time do santos.
Mas Sylvinho tá na hora de ir embora.
O Gabriel fez o gol mas e outro tem que ir embora junto com Fagner, Fábio Santos, Luan.",há 2 anos,1,
O Jô tá muito lerdo slk,há 2 anos,2,
"Ser corinthians é diferente, é luta até o fim









C num vai conseguir me convencer do contrário",há 2 anos,1,
Sardinhas,há 2 anos,1,
Caralho os cara não se confunde com essas camisas não?,há 2 anos,1,
Difícil parar o slyvinho!,há 2 anos,0,
"Cara os uniformes muito semelhantes, deveria mudar isso, é ate difícil acompanhar.",há 2 anos,0,
"Terça feira. Eu estava em coma.
Não acredito que o Luís Felipe cagou em clássico de novo",há 2 anos,0,
Os dois times com uniformes praticamente iguais kkkkkkk,há 2 anos,0,
"Caralho, que jogo ruim! nível série B",há 2 anos,0,
Roger Guedes simplesmente jogou demais,há 2 anos,0,
O Timão esmagou e ganhou do time fubá do Santos. Kkkkk,há 2 anos,0,
Valeu CORINTHIANS Masculino SC Paulista paixão eterna obrigado,há 2 anos,0,
?,há 2 anos,1,
"Até eu ganho encima do Santos 
Eu queria ver o Corinthians ter feito pelo menos um gol contra o Flamengo e segurado o jogo .
Tem q ter resultados encima do flamengo, palmeiras e Atlético mineiro .
Aí sim eu acredito q o Timão voltou.",há 2 anos,0,
Corinthians jogou muito,há 2 anos,0,
ขอบคุณครับ,há 2 anos,0,
Estou começando agora no YouTube quem poder me ajudar ficarei muito agradecido pela sua atenção e compreensão de todos e agradeço,há 2 anos,0,
Eu não precisei assistir o jogo já sabia que o timão ia ganhar e lugar de peixe é dentro do aquário né pessoal,há 2 anos,0,
2x0 foi pouco viu...,há 2 anos,0,
Esse Roger Guedes é uma piada,há 2 anos,0,
Essa não deu para o Santos em,há 2 anos,0,
Corinthians Pohha!!!!!,há 2 anos,0,
"Se o time do Corinthians monta se um esquema pro Jô fazer jogadas curtas e finalizações ele seria o líder do brasileirao em gols e assistência!! 
Joga muito Jô",há 2 anos (editado),1,
Santos levanta defunto,há 2 anos,0,1
"Renato Augusto incrível com seus passe taloko, na vdd o time todo tava bem Man",há 2 anos,0,
"cleber machado já tá aposentado faz uns 15 anos, né?",há 2 anos,0,
Vcs repararam que eles tocaram a vinheta do corinthians no gol do Jo... talvez por isso cortaram nesse video aí kkkk,há 2 anos,0,
O CÚrintia foi no Maracanã aprender um pouco de futebol com os reservas do MENGÃO 😂😂😂😂😂,há 2 anos,0,
"Com a torcida de volta, tudo normal: caiu em Itaquera já era!",há 2 anos,0,
Não vi isso contra os reservas do MENGÃO 🤣🤣🤣🤣🤣,há 2 anos,0,
FORA CARILE!!,há 2 anos,0,
"""ah só não ganhamos pq o Corinthians ganhou""



Carille",há 2 anos (editado),2,
"Que amasso, vergonhoso um time ser dominado assim kkk",há 2 anos,0,
"Defunto que tá em quarto? Kkkkkk, defunto é o santos que tá lutando pra não cair",há 2 anos,0,
"Se não fosse o João Paulo e fora os gols perdidos, ia ser uns 5 ou 4",há 2 anos,0,
Boa noite  parabéns Corinthians,há 2 anos,0,
santos vai pra serie bbb,há 2 anos,0,
Segunda divisão Santos time ridículo,há 2 anos,0,
"Jô jogou muito!
Era para ser 3 x 0 brincando!",há 2 anos,0,
JÔnibus,há 2 anos,0,
"O jogador do santos não consegue driblar a forte defesa do todo varzáo timão.  As crianças da Vila tem que comer mocotó, para engrossar a perna. Se meu Santos querer driblar o Curitians, é mesma coisa de um tico tico quer driblar um galo😎😎😎. Já estou falando igual a Nilton Neves.😅😅😅😅",há 2 anos,0,
Rumo a libertadores  ano que vem é  nossa❤,há 2 anos,0,
"É POR ISSO QUE EU SEMPRE DIGO,NUNCA CRITIQUE UM JOGADOR EM MÁ FASE,DEVEREMOS APOIÁ-LO ATÉ O FIM,OBG JÔ E GABRIEL.",há 2 anos,0,
SANTOS FC tem uma zaga  muito ruim.,há 2 anos,0,
Santos escapou de uma goleada histórica!,há 2 anos,1,
"Peixinho freguês hahahaha 

Vai Corinthians ⚫⚪",há 2 anos,0,
Estamos sendo carregados pelo João Paulo...,há 2 anos,2,
Time do povo👍👍,há 2 anos,0,
🐟🐟👻👻🅱️🅱️,há 2 anos,0,
