text,time,votes,replies
"Fala, torcedor!
Diz aí, o que achou da partida?",há 3 anos,105,23
Pq os jogos do furacão não sai som dos narradores?,há 2 anos,0,
Mais alguém depois desses dois na final da sul-americana ??? KKKKK,há 2 anos,0,
"Athletico pr x Rb Bragantino , final da sulamericana 2021.",há 2 anos (editado),2,
Quem tá aqui depois de ser confirmado RB bragantino x athlético paranaense na FINAL da copa sul-americana?,há 2 anos,2,
Jogão de bola,há 2 anos,0,
Que jogão.,há 3 anos,0,
"Alerrandro gran jugador, espero que alguien aquí en Italia lo fiche pq tiene muy buen futuro este chico",há 3 anos (editado),0,
Uma pena.  Q esse. Trabalho. E curto .  Pois. Até. O. Verdadeiro. Escudo. Do. Clube. Essa empresa. Ocultou.  Puro. Marketing. .    Lembram.   Santo André.     Barueri.....empresas. respeitem. Ps. Escudos.  Futebol.  E.  Tradição.  .    Não. Pode. Marketing.,há 3 anos,0,
"Red Bull é o novo Corinthians  do futebol .
Tem dificuldades em propor o jogo mais quando joga como visitante defende com perfeição e os contra-ataque são sirurgicos  .",há 3 anos,0,
"O time pra fazer gol bonito mano esse tal de bragantino, Caracas",há 3 anos,0,
eita,há 3 anos,0,
Contenção de custos 😅😅😅😅😅,há 3 anos,0,
"INTERESSANTE MAIS AQUI NÃO É O BRASIL QUE NÃO TEM TEMPO PRA TREINAR E POR ISSO N EXISTE FUTEBOL DE ALTO NÍVEL,?? ?, PARABÉNS AOS DOIS TIMES QUE JOGAM AO INVÉS DE FALAR DO CALENDÁRIO.",há 3 anos (editado),1,
"O Flamengo não tem estádio e tem 8 títulos Brasileiros, 3 copa do Brasil,2 super copa do Brasil, 1 Recopa  é 39 cariocas, imagina se tivesse estádio.",há 3 anos,0,1
Ta virando moda no Bragantino um golaço por jogo,há 3 anos,1,
"Esse técnico do atlético é muito burro, tira sempre os melhores que está jogando.não é atoa que é português.",há 3 anos,0,
Dois golaços teve no jogo.,há 3 anos,1,
Deus é nosso pastor e nada nos faltara!,há 3 anos,1,
Atlhetico precisa de um zagueiro com urgência Thiago heleno não tem velocidade e veterano Henrique meia boca  ze  Evaldo doença tirica não tem futebol pra jogar na equipe principal    venderam Léo Pereira e bambu  pra ficar com estes caras  tomamos gols bobos principalmente de bola parada acordem  diretoria,há 3 anos,0,
Um espetáculo 😎💪,há 3 anos,4,
"Sem áudio de narração, e nao é o primeiro que eu assisto asim, e os outros vídeos mesmo com a narração na hora do gol a narração para, que que ta acontecendo?.",há 3 anos,3,
Campeonato argentino e a premier league das Américas,há 3 anos,0,
 @meitosantos632  o grupo Globo não tem contatos de narração com o atlhetico paranaense,há 3 anos,5,
Faltou narração mais foi bom o jogo,há 3 anos,3,
Não mostraram o gol que o nikão perdeu pq??,há 3 anos,2,
