text,time,votes,replies
É gol Flamengo 🎉🎉🎉🎉👍👍👍👍👍😃😃😃,há 5 meses,1,
"Flamengo como sempre com a mania de sair na frente e ceder o empate, tomara que hoje não faça isso e que o Renato Gaúcho não seja estrategista !!!!!!!!!!!!!!!!!!!!!",há 1 ano,0,
LUIZ SUAREZ                                                              BRUNO HENRIQUE,há 1 ano,1,
"POS 2019 ESSE TIME ERA UM HORROR....RONDINEI ,,RENE..VITINHO ..LEO PEREBA Q    AINDA TA AI....HUGO SOUZA E TINHA MAIS                CARACA",há 1 ano,1,
"Vitinho,Sempre fazendo os seus gols e mesmo assim,A torcida criticando o atacante.",há 1 ano,0,
"gol de Diego Souza (grêmio) é impedido

Vitinho faz primeiro gol do Flamengo

Vitinho faz outro gol",há 1 ano,1,
2 rodada não porra 😂,há 1 ano,0,
O grêmio podia ter ganhado po perder 5a0,há 1 ano,0,
Só eu reparei que nesse jogo o Grêmio tinha 2 técnicos? @EDICÃO🤣?????,há 1 ano,0,
"Mesmo roubando o Grêmio foi rebaixado, sinal de time nanico",há 1 ano,0,
O que o Renato fez nesse jogo é de uma falta de respeito e de uma vergonha na cara sem respeito nem um!!,há 2 anos,1,2
"Vitinho e michael mereciam ter sido titulares contra o palmeiras na final, da libertadores.",há 2 anos (editado),0,
Garfaram o Flamengo dentro do próprio Flamengo.,há 2 anos,0,
"revendo a queda do gremio
arere 
caiu 3 vezes não é mais grande",há 2 anos,3,
"2:45, narrador: "" e o impate no tricolor""",há 2 anos,0,
E ainda tem torcedores que brigam por seus clubes.,há 2 anos,0,
Esse jogo aí o Renato Gaúcho abriu sua própria cova de vez no Flamengo,há 2 anos,1,
Quem ama cuida . A Globo cuida do Flamengo e do corinthians.e o Renato cuida do Gremio,há 2 anos,3,
"Na boa mesmo, doa a quem dor o que irei dizer, mas torcedor invadir campo é ficar de joelhos pra jogador? Pra Gabriel ainda por cima??? Nem pra Romário, nem pra Fenômeno, nem pra Messi, é digo mais, nem pro Papa!!! Pro Papa era só dar a mão e pedir sua benção, ajoelhar é só pra Deus!!!! Que vergonha alheia, putz...",há 2 anos,0,
Por jogos como esse perdemos o Brasileirão 2021,há 2 anos,1,
Arbitragem roubou pro Flamengo também. Tá dominado.,há 1 ano,0,
 @GabrieldeCarvalho  Qual foi o roubo?,há 1 ano,0,
kkjkkj sinistro,há 2 anos,0,
"Seleção do brasileiro 
Gol wevertom 
Ld Fagner 
Zag g.gomez 
Zag J.alonso 
Le arana
Vol edenilson 
MD Arthur 
Me scarpa 
PD hulk 
Ata Gilberto 
PE Michael",há 2 anos,0,
"O Flamengo, com a vitoria, na mão, 2x 0, deixa o Time ruim do Grêmio empatar, fora Renato",há 2 anos,0,
"Tá de sacangem que o Flamengo, ganhando de 2x0, com 1 jogador a mais, conseguiu tomar o empate de um time beirando o rebaixamento?!
Nada a suspeitar... kk",há 2 anos,0,
RENATO NÃO QYIS GANHAR A PARTIDA QUE INCOMPETÊNCIA FICOU COM PENINHA DE GANHAR DO GRÊMIO E VAI A LIÇÃO SEJA COMPETENTE NÃO RESPEITE O ADVERSÁRIO,há 2 anos,1,
Bela partida contra o Palmeiras,há 2 anos,0,
"Hauhauahauauauhaahuauaha 
Se fuderam",há 2 anos,0,
"TOCA A MÚSICA  !! 
É FIEXXXTA NA FAVELA !!
O CHEIRIN VOLTOU !!",há 2 anos,3,3
Kkkkkkkkkkkkkkkkkkkkkk,há 2 anos,2,
Quem tudo quer nada tem.. sai renatoooooooo,há 2 anos,1,
Quem tudo quer nada tem .. sai renatoooooooo,há 2 anos,0,
Quem tudo quer nada tem .. sai renatoooooooo,há 2 anos,0,
