text,time,votes,replies
"Que jogão, hem! E que virada a do Flamengo!!!
Fala aqui para o Estagiário quem foi o melhor jogador da partida?",há 2 anos,"2,2 mil",339
Yyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,há 2 dias,0,
Vggggg,há 2 dias,0,
Hshshhdhdhdhhdhdhdhdhhdhdhhdhdyydydydyydyyyyyydydyhdydydydyghhhhhyyyuuuuuuy,há 2 dias,0,
Hshshhdhdhdhhdhdhdhdhhdhdhhdhdyydydydyydydydyhdydydydy,há 2 dias,0,
Uiueiieiieei3ieieiiriirrururuhuhhehhhejejhehehhehehehhehehehu,há 2 dias,0,
Resudo exame de DNA: Pedro é o pai do Palmeiras.,há 8 dias,0,
"Que narração horrorosa de Luís Roberto, ele inventou esse “guuoool” que ficou uma merda. E ainda botou um tal de “faz o seu destino”, horrível.",há 9 dias,0,
Se aposenta MR kkkkkkkkk,há 11 dias,0,
2:05 foi um chute de cabeça,há 11 dias,0,
"palllmeiras
sususuussusussuusususuususuuuuuuuususususuusu",há 1 mês,0,
Michael destruiu nesse jogo! Grande Michael Richard!!,há 2 meses,0,
"Não faz sentido! Flamengo ganha de goleada do Palmeiras na casa deles, e na final da LIBERTADORES perdeu de 2x1, ainda não entendo como esse jogo não foi espelhado na final!",há 2 meses,1,
"SÓ SE FOR UMA CAUSA MT IMPORTANTE IMPORTANTE MESMO PRO FLAMENGO E PALMEIRAS SE UNIREM, SE FOR ESQUECE N SE BICAN NEM NA MARRA KK",há 6 meses,0,
"Se n fosse o Andreas entregando um gol p sem mundial, era outra lapada na final da libertadores.",há 7 meses,10,1
Boa tarde pra todos do canal é pra nós flamenguista isso aqui é flamengo,há 7 meses,3,
❤❤❤❤?flamego,há 7 meses,1,
"40 público

Giovana Cordeiro Bruna Marcos são os campeões da dança dos Famosos 2021!

E outro para Giovanna cordeiro",há 7 meses,0,
Esse Michael era nojento 🔟,há 8 meses,2,
O Allianz Parque deveria se chamar Allianz Fla. ⚫🔴⚫🔴⚫🔴,há 8 meses,1,
"No duelo entre os dois filhos São Malvadão,ganhou quem é mais filho do tricolor.",há 2 anos (editado),31,
4 😡,há 2 anos (editado),10,
Mengão malvadao maior do brasil o resto è resto amigos,há 2 anos (editado),81,
.,há 2 anos,7,
"Para o Palmeiras não cair no PAULISTINHA de 1968, o Guarani, que já tinha escapado, escalou jogadores irregulares, amadores e assinou um documento afirmando que não usaria os seus titulares na partida. Está tudo documentado e é facilmente achado em jornais da época e na internet.

PAGUE A SÉRIE B DO PAULISTINHA DE 1968, PALMEIRAS",há 2 anos,46,
Flalixo não tem estádio,há 2 anos,5,
⚫🔴⚫🔴⚫🔴⚫🔴🔴🔴🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,há 2 anos,7,
Estagiário é kkkkk,há 2 anos,6,
o que fez o gol do mundial do palmerda 😂😂😂,há 2 anos,14,
"Coloquei o Michael de capitão no cartola, ele foi o melhor, jogou muito",há 2 anos,16,
MICHAGOL,há 2 anos,12,
FLAPUTA SEGUE SEM MUNDIAL E SEM ESTÁDIO,há 2 anos,7,
Porco assado mais uma vez,há 2 anos,16,
Michagol,há 2 anos,12,
"Michael tá bem dms, mereceu",há 2 anos,15,
"FlaCAFETAO: a

Palput1nha g0z4d4 : aiiiiinnnnnn met3 tudo",há 2 anos,11,
"""Se não tivéssemos levado 3 gols, ganharíamos a partida de 1x0.""

Abelão português, 2021",há 2 anos,14,
 @rafaeldias4950  Kakakakakaakakakakakaka freguês sem mundial Chupa palmerdinha,há 2 anos,14,
"Deu a logica, venceu o meu maior freguês",há 2 anos,7,
Sãobosta não tem copa do Brasil,há 2 anos,9,
Lionel Michel Ronaldo 👏🏾🔴⚫🔥,há 2 anos,5,
Palmeiras não tem mundial kkk,há 2 anos,11,
