text,time,votes,replies
"E aí, torcedor?
O que achou da vitória do Flamengo?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,689,190
Gustavo Villani Narrando Internacional X Flamengo,há 2 semanas,0,
2024???,há 2 meses,1,
Esse Flamengo tava voando sdds,há 8 meses,1,
esse Flamengo de 2021 dava gosto de ver jogar...pena que foi tudo uma ilusão,há 10 meses,0,
"Sinceramente, o Andreas foi muito injustiçado no Flamengo, só por causa daquele maldito lance 😞",há 1 ano,0,
Gol do Flamengo,há 1 ano,0,
Pelo visto o Inter deu a volta por cima na estreia do Sampaoli com 2 gols de Maurício kkk,há 1 ano,0,
Ah meu Mengqo te amo ❤️❤️❤️,há 1 ano,0,1
"O jogo virou, Agora Inter 2x1 Flamengo kkk",há 1 ano,1,
Andreas pereira 😢,há 1 ano,1,
Obgd meu deus,há 1 ano,0,
Meu Flamengo aqui é Flamengo continua assim Flamengo ganhou do Inter muito bom parabéns pela derrota o Inter kkkkkkkkkkk,há 1 ano,0,
"Torcida do inter:🖕🖕🖕🖕🖕🖕🖕kkkkkk
Gabigol:💪💪kkkkkkkk",há 1 ano,3,
Bom dia pra nós flamenguista isso aqui é flamengo,há 2 anos,0,
"Marcelo Lomba foi muito injustiçado pelo Inter, fez com que o time pudesse ter brasileirão e copa do Brasil, mas a incompetência do time (pipoqueiros) não deram nenhum, defesas absurdas que ele fazia.",há 2 anos,0,
Que golaço do mengão,há 2 anos,0,
"Rafael Clauss é um bandido, validou gol do Palmeiras (final do paulista 2022) quando o VAR chamou ele pra revisar um lance identico ao do Rodinei e o vagabundo nem falta deu, mas expulsou Rodinei compremetendo o título do inter. Sem contar o penalti do ramiro e o gol do Abel H. 2020 = 2005",há 2 anos,0,1
.,há 2 anos,0,
momento inesquecível,há 2 anos,0,
Flamengo maior do brasil,há 2 anos,53,
"Esses Dias Atrás Um Pessoal Me Perguntou Pra Que Time Eu Torcia, aí Sem Querer Eu Falei ""FLAMENGO"" é Do Nada Os Cara Começaram a Passar a carteira, relógio, cordão, celular é colocaram as mão pro alto. Não Entendi Nada!",há 2 anos (editado),21,
PASSARAM A MÃO NO INTER KKKKKKKKKKKKKKKKK,há 2 anos (editado),12,
Ótima OTARIO,há 2 anos,2,
Gabigol pai do binter kkkkkk,há 2 anos,19,
Estádio do flabumbum?,há 2 anos,5,
@UCmmhLwbLFO4BSmkW4Pu8cLA FDS VARGALO TIMECO SEM TRADIÇÃO ISSO É PATETICO MINEIRO AMIGO 50 ANOS SEM BRASILEIRÃO CAMARADA 😂,há 2 anos,9,
Era pra ter sido 4x1 pro Flamengo,há 2 anos,13,
" 2hxcks  é bom que a gente comemora no estadio dos outros quando é um título 
Isso você esqueceu",há 2 anos,13,
Prefiro a libertadores do que o Brasileirão,há 2 anos,12,
Flamengo é o melhor time do Brasil. Ixxxxxxquece fio,há 2 anos,6,
 @felipefontesalaniz  copa do brasil do são paulo?,há 2 anos,0,
Nanicada inferior vai senti o peso do Mengão,há 2 anos,4,
 @matheussccp2023  quem perguntou otario?,há 2 anos,1,
 2hxcks  Quem perguntou?,há 2 anos,2,
FLAMENGO O MELHOR DO BRASIL 👏,há 2 anos,6,
 @manoelmcpe9309  não existe amigo,há 2 anos,0,
 @felipefontesalaniz  QUEM PERGUNTOU?,há 2 anos,1,
"PASSEI POR UM FLAMENGUISTA E DISSE OI, QUANDO EU REPAREI JÁ ESTAVA SEM O MEU CELULAR",há 2 anos,0,
"@UCmmhLwbLFO4BSmkW4Pu8cLA todo mundo sabe disso
Ja ouviu falar que o flu ja foi ah te a serie c?
O vasco 4 rebaixamento?
Palmeiras não tem mundial?
São paulo não tem copa do brasil?
Isso todo mundo sabe também",há 2 anos,3,
"INTERNACIONAL É A MAIOR PIADA DO BRASIL! ESSE TIME NÃO PRESTA PRA NADA, JOGOU COMO TIME PEQUENO",há 2 anos,4,
Kkkk eaeeee rapaz Renata fan tacom medo do mengão,há 2 anos,1,
FLAPUTA NÃO TEM MUNDIAL,há 2 anos,3,
NOVAMENTE O FLAMÍDIA BENEFICIADO PELA ARBITRAGEM,há 2 anos,1,
 @felipefontesalaniz  mas quem liga de estadio? Gastar dinheiro atoa,há 2 anos,0,
 @rafaeldias4950 AS PEPPAS PERDERAM PRO FORTALEZA MDS IMAGINA O FLAMENGO,há 2 anos,2,
 @rafaeldias4950  nós não vacila com porcos não,há 2 anos,0,
"SEM MEU PÊNALTI EU NÃO CONSIGO 
                                                               
                                                                ""EDENILSON""",há 2 anos,5,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
 @rodriguinho.4365  acham que nós somo beneficiados pela arbitragem mas sabemos que isso ja aconteceu com outros times,há 2 anos,0,
"Nossa que loucura o torcedor do Atlético MG na torcida do Inter, que ponto nos chegou, daqui a pouco vai ter São Paulino na torcida do Corinthians kkkk",há 2 anos,5,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,2,
" @felipefontesalaniz  flabumbum?
Que bosta de desrespeito com o nome do fla é esse?
Pensei que os cara falaria mal melhor dele esses cara que fala que são fantásticos vascainos",há 2 anos,2,
 2hxcks  tem sim a casa dos aniversários é a casa do Mengão Kkkkk,há 2 anos,1,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,1,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,1,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,1,
Eu acho que vcs deveriam colocar todos os melhores momentos. Só isso...🤷🏻‍♂️,há 2 anos,1,
" @rafaeldias4950  bem a fifa concordou depois de uns tempos

Foi mal mano",há 2 anos,0,
 @rafaeldias4950  seu time que não tem mundial isso sim 😂😂😂😂😂,há 2 anos,0,
 @Guilherme.Dietrich  eis que o gremista é hipocrita,há 2 anos,0,
"Acho que deveriam colocar TODOS os melhores momentos, só isso. 🤷🏻‍♂️",há 2 anos,0,
 @matheussccp2023  Kkkk qnd o cara n tem argumentos,há 2 anos,0,
" @rodriguinho.4365  claro, super beneficiado, não marcou penalti claro, ficou dando impedimento aonde não existia.... mais uma prova, já dizia Arão...",há 2 anos,1,
 @BRIG4TTO  poise mano,há 2 anos,0,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,0,
FICA TRANQUILO BINTERZINHO...PAPAI VAI VINGAR VOCES NA TERÇA,há 2 anos,0,
N gostei era pra ser 4,há 2 anos,1,
 @LUCAS_CRF  como que vai precisar de uma coisa sendo que nao existe ? Ai tu se fodeu,há 2 anos,0,
 2hxcks  Melhor nao ter estádio do que ser um Rebaixado do q vc,há 2 anos,0,
 @matheussccp2023  caramba mano vai se tratar tu só fala de Flamengo kkk fica com raiva quando o malvadão ganha,há 2 anos,1,
Eu quero saber se a flacachorra tem estádio ou não isso sim,há 2 anos,0,
 2hxcks  pena que o palku não tem mundial kkk,há 2 anos,0,
" 2hxcks  NAO PRECISAMOS DE ESTÁDIO, AGENTE JA COME VC NO SEU ESTÁDIO 😎",há 2 anos,1,
"PARA DE CORTAR OS MELHORES MOMENTOS POXA, FORAM VARIOS CHUTES NO GOL NÃO MOSTRADOS , TRABALHA DIREITO, PODE TER 50 CHUTES E SEMPRE VCS COLOCAM 3 MINUTOS AFFS  🙄✌️🔴⚫",há 2 anos,0,
se ganhar a libertadores esse ano sim mas se nao ganhar nao,há 2 anos,0,
" @YESHAYA_  De quatro o flamengo só leva, fazer não consegue",há 2 anos,0,
 @ruanoliveira2238  VARGALO TIMECO SEM TRADIÇÃO ISSO É PATETICO MINEIRO AMIGO 50 ANOS SEM BRASILEIRÃO CAMARADA 😂,há 2 anos,0,
FALA QUE O PALMEIRAS NÃO TEM MUNDIAL O GALO TAMBÉM NÃO TEM MUNDIAL 😂,há 2 anos,1,
 @matheussccp2023  aí vc desceu as calças e disse  comam esse cu vascaíno né?,há 2 anos,0,
Pulou lances,há 2 anos,0,
 @sebastiaolopes6618  VARGALO TIMECO SEM TRADIÇÃO ISSO É PATETICO MINEIRO AMIGO 50 ANOS SEM BRASILEIRÃO CAMARADA 😂,há 2 anos,0,
Olha do retrovisor pra vê quem vem atrás 🤣🤣🤣,há 2 anos,0,
 @DiegoBibas  Acabou o patamar da mulambada 🤣🤣,há 2 anos,0,
Que porra de melhores momentos foram esses?? Cadê o monte de gols perdidos pelo Flamengo no primeiro tempo?? Estão de sacanagem ??,há 2 anos,0,
Liçao do dia: flacachorra não tem estadio!,há 2 anos,0,
 2hxcks  FDS? ESTÁDIO EU TÍTULO?,há 2 anos,0,
" @vargalo50anossembrasileira23  Com ou sem tradição já pode ser considerado o atual campeao brasileiro e com muito mérito, não depende de var pra levantar taça 👍",há 2 anos,0,
 @futfofoxssccp6119  quatrum?,há 2 anos,0,
" @RoyaleMarocaineFRMF  Depois do Nocaite do fluminense e o sacode do Atlético PR, os mulambos perderam a força 🤣🤣🤣",há 2 anos,0,
" @Guilherme.Dietrich  O GREBBBIO TRI REBAIXADO? ESSE ANO VCS SÓ SE SAFA COM AJUDA DA CBF, SMURFS JÁ TÃO TAPEALADO Kkkkkkk",há 2 anos,0,
 @ruanoliveira2238  vai dar o forebis 🤣🤣🤣🤣🤣🤣🤣,há 2 anos,0,
 @Guilherme.Dietrich  acho mais fácil se juntar a eles na derrota kakakaka,há 2 anos,0,
 @Guilherme.Dietrich  Gaymista já tá como Kkkk,há 2 anos,0,
 @Guilherme.Dietrich  Gaymista nato.,há 2 anos,0,
 @ruanoliveira2238  teu fiofó ta roxo meu tem q parar de dar🤣🤣🤣🤣🤣,há 2 anos,0,
 @shelby9691  ele têm que se preocupar com o Time horrível dele indo para a série b kkkkkk,há 2 anos,0,
 @loganwolverine9058  E as galinhas com cheirinho de libertadores comemorando um título que nem ganhou,há 2 anos,0,
A morangada foi amassada no treino do Flamengo.  Kkkkk,há 2 anos,0,
 @rafaeldias4950  E o can3co ?,há 2 anos,0,
 @DiegoBibas  Achei bom,há 2 anos,0,
"Flamengo Malvadão só precisou de 11 minutos pra comer morangos  🍓🍓🍓 kkkk

Binter filho do Flamengo, freguês!!!",há 2 anos,0,
David Luiz tá defendendo de mais,há 2 anos,0,
" 2hxcks  nois faz a festa no de vcs, então se liga",há 2 anos,0,
Flamengo maior do Brasil,há 2 anos,1,
Flamengo  e uma seleção,há 2 anos,0,
Vitória do Flamengo meu rubro urubu malandro na escuta só o ouro,há 2 anos,0,
É nóis Mengão é schow vamos nessa urubu malandro,há 2 anos,0,
"Campeonato manchado, manipulando. Foram vários jogos com erros MUITO SUSPEITOS contra o Flamengo. 
O problema é q toda semana torcida e comentaristas ficavam indignados com os ""erros"" de arbitragem cometidos contra o Flamengo, mas no outro dia todo mundo esquece. 
A torcida deveria mostrar pra CBF q não somos idiotas. Esse campeonato teve alguma interferência sim. Não sei se dá globo e CBF, com rixas contra o Flamengo, ou propina dos mecenas do Atlético, ou apostadores, já q está cheio de sites ""casas"" de apostas por ai. Acredito mais q foi a globo e a própria CBF fazendo de tudo pra prejudicar o Flamengo, na tabela, jogos seguidos e árbitros roubando",há 2 anos,0,
Normal como sempre o var roubando,há 2 anos,0,
Isso mostra a força que esse time tem. Flamengo sempre!!!,há 2 anos,0,
"Tá editando malzao hein, nem mostrou o chute do Taison q passou tirando tinta kkkkkk",há 2 anos,0,
De 50 em 50 anos a galinha enche o papo😭🖤👃👏🤭,há 2 anos,0,
" @Guilherme.Dietrich  com time reserva kkkkk
Isso se noix não rebaixar vcs kkkk",há 2 anos,1,
 @shelby9691  vascaídos*,há 2 anos,0,
"O que eu acho? Meu time não tem estádio e mesmo assim eu entro na casa dos outros sem respeito nenhum, chego abrindo a geladeira e botando o pé no sofá. Ainda Largo um barroso sinistro e deixo a privada entupida! Bebo a cerveja e não participo do rateio. Isso é FLAMENGO 🖤❤️🖤❤️🖤❤️🖤",há 2 anos,0,
Flabundinha sem estádio 😢😢😢,há 2 anos,0,
" @ivotagram1209  Pra discutir aqui tem que ter mundial, primeiro consiga um",há 2 anos,0,
Η αγαπημένη μου ομάδα είναι International.!!!!Η καλύτερη ομάδα στον κόσμο!!!,há 2 anos,0,
Oi,há 2 anos,0,
Normal o MENGÁO MALVADÂO não perdoa 🔴⚫🇧🇷,há 2 anos,0,
Jogão 🔴⚫🔴⚫🔴⚫,há 2 anos,0,
 @matheussccp2023  chora mais,há 2 anos,0,
 @felipefontesalaniz  la em portugal,há 2 anos,0,
Flamengo jogou bem,há 2 anos,0,
 @DiegoBibas  Só li verdades 😎💪 É nóis,há 2 anos,0,
 @matheussccp2023  confia,há 2 anos,0,
Flamengo são derrotados,há 2 anos,0,
Melhor time do mundo. Esqueci,há 2 anos,0,
 @ruanoliveira2238  chora moranguete caganeira filho do Renato,há 2 anos,0,
Foi dois o Flamengo amoo ele sou a única flamenguista da família eu e minha irmã kkkkkk,há 2 anos,0,
 @YESHAYA_ nada a ver ;-;,há 2 anos,0,
 @jordanoviana  pse,há 2 anos,0,
" @Guilherme.Dietrich  Tri rebaixado, suma daqui Kkkkk",há 2 anos,1,
Varmengo time más polêmico da história do futebol só ganha roubado,há 2 anos,0,
"A GloboLixo sendo sempre a Globolixo. No cartola fc ao invés de dar uma finalização pra fora do Gabigol contaram como finalização na trave, e nem mostrou esse lance nos melhores momentos. Vocês são lixos mesmo.",há 2 anos,1,
 @tomasmarques2859  vdd,há 2 anos,0,
 @futfofoxssccp6119  e eu sou teu pai,há 2 anos,0,
 @DiegoBibas só no Brasil mesmo,há 2 anos,0,
