text,time,votes,replies
"Emoção no último segundo!
E aí, gostaram do resultado?",há 2 anos,863,99
❤❤😊❤😊❤😊❤😅😂😅😂😅😂😅😅😂😊❤😊❤😊❤😊😊😊❤😊😊❤,há 7 meses,0,
Essa capa do jogo do sao paulo x gremio em 2 anos muda tudo Reinaldo no gremio e o Alisson no são Paulo,há 8 meses,0,
vídeo ta mal editado,há 11 meses,0,
"Uma curiosidade,alisson,que está na capa do vídeo juntamente de reinaldo,jogam em times opostos agr.",há 1 ano,0,
Kkkk 2023 vendo antes da partida de domingo,há 1 ano,0,2
Rigoni!,há 1 ano,0,
gremio fregues🤣🤣,há 1 ano,0,
VSFDLKKKKKKJJKJJ Vanderlan chutou é a Matrix bugou a bola ficou presa no ar,há 2 anos,0,
Se o gremio ganha o São Paulo seria rebaixado,há 2 anos,1,
É super grêmio,há 2 anos,1,
Alguém sabe o nome desse narrador???,há 2 anos,0,
So chapeco mesmo,há 2 anos,0,
São Paulo 2 x 1 Grêmio,há 2 anos,1,
Os caras se superaram nessa edição em 🤣🤣🤣,há 2 anos,0,
GREMIO FREGUES DEMAIS,há 2 anos,0,
"Corinthians 2019 vs Gremio 2021

Thanos:o equilíbrio é perfeito",há 2 anos,1,1
Edição porca!!!,há 2 anos,1,
Qual o nome desse narrador,há 2 anos,0,
"Parabéns torcedor por sempre arrumar desculpas para o fracasso do time , a culpa é de vocês . Crespo escalou errado é ninguém protestou . Parabéns torcedor , a diretoria segue nos enganando . Seus palermos , vamos continuar a ficar 10 anos sem título  Torcedores organizados como a independente e dragões da Real morreram e nem existem mais . Palermos !!! Vão ficar engolindo  tudo oq a diretoria arranja de desculpa, jogadores e técnicos e vão continuar perder tudo e ninguém faz nada . Parabéns torcida ridícula",há 2 anos,0,
"SIM,MAS ISTO MUDA O FATO DE QUE O ITRAVECÃO É DO GOVERNO👍",há 2 anos (editado),24,
MAIOR CLUBE DO BRASIL VENCEU🇾🇪,há 2 anos (editado),34,
Eu nunca critique Igor Gomes é vitor Bueno 😂😂,há 2 anos,17,
São Paulo ganhou com gol de vitor Bueno é Igor Gomes 😳😳😳😳,há 2 anos,10,
Resultado ótimo,há 2 anos (editado),5,
"INACREDITÁVEL a edição dos gols de vocês, cortam o grito de gol dos Narradores, vai tomar no cu!!",há 2 anos,28,
 @mjr6420  mas o morumbixa também é do governo Bambi sem copa do Brasil,há 2 anos,5,
SOBERANO TRICOLOR 🇾🇪🇾🇪 VAMO SÃO PAULO,há 2 anos,4,
TA CEDO AINDA PRA CANTAR ARE ARE ARE O GRÊMIO VAI JOGAR A SÉRIE B OU TA CEDO?,há 2 anos,7,
"São Paulo FC 🇾🇪
👟 ⚽️ ⚽️ 🥅 👍😀👍",há 2 anos,6,
Meu bolso agradece ao sportingretchen,há 2 anos,1,
"Enquanto eu estava lendo, mais um gol do Yuri Alberto no varmengo.",há 2 anos,7,
Adorei! Isso é São Paulo Futebol Clube! 🙏🇾🇪,há 2 anos,5,
Time reserva acabou com o gremio,há 2 anos,3,
Ótimo kkkk,há 2 anos,2,
@Æwøú200 Spfc blz,há 2 anos (editado),1,
São Paulo FC mais longe da degola! Vamos nação tri!!! 🇾🇪🇾🇪,há 2 anos,4,
"Sim mas não muda o fato dessa edição ser uma bosta
E esse canal uma merda",há 2 anos,8,
"Gremio x Cruzeiro na B....
11 TITULOS DA COPA DO BRASIL.......KKKKKKKK",há 2 anos,1,
 @rodrigojana2773  Cruzeiro vai subir,há 2 anos,2,
 @gusttavoflamenguista  eu ia falar o mesmo. Que porcaria de edição. Tem lance que é cortado e só da pra ver oq aconteceu no replay. Melhora issoai,há 2 anos,4,
"Sim
Foi fundamental essa vitória 
Vamos São Paulo",há 2 anos,4,
🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪,há 2 anos,2,
"Do resultado eu gostei
Essa edição de vocês que tá uma porqueira
Preguiça e desrespeito com os times
Que vergonha, globo",há 2 anos,6,
vao aprende a edita pqp video porco,há 2 anos,4,
GE cortando os lances 😡🤬,há 2 anos,5,
"Não gostei , vcs não colocaram o narrador na hora do segundo gol, é impressionante tirar a narração no momento do gol.  
Edição zuada né",há 2 anos,7,
Vocês cortaram a narração do gol,há 2 anos,6,
 @mjr6420  2 Copa jipe,há 2 anos,1,
Sim,há 2 anos,1,
Top SPFC aprendendo com os argentinos a ter raça isso os técnicos tem de sobra,há 2 anos,1,
 @erikcold2284  Deus te ouça kkkķ,há 2 anos,1,
Top demais,há 2 anos,1,
Vamo com tudo rumo a libertadores,há 2 anos,1,
Os porcos chora,há 2 anos,2,
"Vai tomar no cu GLOBO LIXO, sua reputação é tão boa que nem seus repórteres saem mais na rua, sabem qual pode ser a reação do povo...",há 2 anos,1,
"Falhas na edição dos gols viu, queria ver o gol de falta direito ! Do grêmio",há 2 anos,3,
espetacular.,há 2 anos,1,
 @corinthiansmaiordobrasil6777  vai ganhar 3 mundiais na raça depois vc passa por ak pra passar vergonha!!!+kkkkkk,há 2 anos,2,
Pô gê tá cortando o narrador,há 2 anos,4,
Pô ge tá cortando o narrador,há 2 anos,3,
 @omatematico223  quis dizer Cruzeiro maior da série b né,há 2 anos,1,
Eu amei o resultado,há 2 anos,1,
do jogo sim. da edição..nem um pouco,há 2 anos,2,
Ridículo esse goleiro que se chama volpi e a Pablo então aff 😤 se juntasse os 2 da pra leva pra várzea pra disputar copa Kaiser fora volpi e a Pablo fora o vovô 👴 da olimpíadas ne,há 2 anos,0,
Pow GE os direitos do Brasileirão são de vcs pq cortam as narrações dos gols? Fica muito zuado!,há 2 anos,4,
Muitíssimo! 🤩🤩🤩👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻✌🏻✌🏻✌🏻,há 2 anos,0,
Editor de araque,há 2 anos,1,
Flamengo continua freguês,há 2 anos,0,
 @corinthiansmaiordobrasil6777  calar boca mano vc não saber de nada,há 2 anos,0,
"O jogo foi bom. O que não tá legal é a edição de vocês. Po, falta de capricho. Deixa pelo menos a narração dos gols, véi!",há 2 anos,1,
 @MatheusGomes-ud3vf  tbm acho,há 2 anos,0,
"Melhorar essa edição por favor 
Cheio de cortes!",há 2 anos,0,
 @jeffersonmelhorshowdaminha4105  jjplkkkllllllllllllllllllkvhlj9okhkjhhy76656,há 2 anos,0,
 @mjr6420  COPA DO BRASIL?,há 2 anos,0,
Só faltam vcs explicar pq editam o grito de gol do narrador...muito mal editado esses melhores momentos.,há 2 anos,2,
"Muito mal editado, corta na momento da narração do gol.",há 2 anos,1,
Sim,há 2 anos,0,
Duelo dos 2 que vão cair pra série B,há 2 anos,0,
Sim mais não deixaram a narração do gol do Grêmio e nem do Igor Gomes pode demitir o editor desse jogo,há 2 anos,0,
"FLABUNDA NÃO TEM ESTADIO, FREGUÊS NOSSO 🇾🇪🇾🇪🇾🇪 AQUELE 5 X 1 VALE NADA",há 2 anos,1,
 @corinthiansmaiordobrasil6777  como pode ter 2 mundial com 1 liberta gamba nojento?,há 2 anos,1,
claro globo lixo,há 2 anos,0,
"Legal ,mais vocês tirou a emoção dos narradores na hora do gol ,de corta a narração do gol não precisa corta o áudio ,corta a imagem mais o áudio não tem gente que vem só pra escutar a narração do gol e vocês corta muda pro antes vlw",há 2 anos,0,
 Venosheen henrique  São paulo que é freguês,há 2 anos,0,
 @corinthiansmaiordobrasil6777  sem sul americana vcs n tem nem estadio e agente n é bambi seus ladrões,há 2 anos,0,
" @GUSTAV0159  só vale quando é para vocês, né? Só porque o Flamengo ganhou, aí não vale nada.",há 2 anos,0,
Que feio em ge tirou a narração do gol do Grêmio .... Faltou profissionalismo aí em .... E olha que torço para o São Paulo em,há 2 anos,0,
" @higorjuan.9915  ganhou so 1 dps de 3 anos, oq vcs querem???",há 2 anos,0,
Com certeza.,há 2 anos,0,
.   ttt,há 2 anos,0,
 @mariadosocorrofelipao5113  muito provavelmente foi um estagiário.,há 2 anos,0,
" @GUSTAV0159  pelo menos meu time é o atual bicampeão brasileiro, e o São Paulo? Já tem quantos anos sem títulos de expressão?",há 2 anos,0,
 @mjr6420  discordo,há 2 anos,0,
 @higorjuan.9915  plmns n temos 2 rebaixamentos,há 2 anos,0,
 @TeenPilotBR  denunciado por spam,há 2 anos,0,
Sim,há 2 anos,0,
BARCELON,há 2 anos,0,
 @GUSTAV0159  não entendi.,há 2 anos,0,
"Vídeo lixo da porra 
Faz alguma coisa que preste porra 
Fica cortando as melhores partes do jogo 
Desgraça, bando de burro",há 2 anos,0,
Zz2 @mjr6420 ,há 2 anos,0,
Faltava 2 minutos kk,há 2 anos,0,
Äqzrueg,há 2 anos,0,
Oi,há 2 anos,0,
 @corinthiansmaiordobrasil6777  nunca perco tempo em página do Corinthians ou do Palmeiras,há 2 anos,0,
Sim,há 2 anos,0,
 @drigoedition7 pp,há 2 anos,0,
 @gustavofigueira8177  d,há 2 anos,0,
 @shaidvieira7504  ??,há 2 anos,0,
 @mjr6420   fVjzfm,há 2 anos,0,
Uma bosta,há 2 anos,0,
Não sou gremista,há 2 anos,0,
P,há 2 anos,0,
