text,time,votes,replies
Qual dos dois times vai conseguir vaga na Libertadores?,há 2 anos,115,23
Kkkkk. Perderam de novo.. Kkkk Só não caíram pq meteram a mão no grenal ... deixa eu ver ... então 12 anos sem título..srm libertadores ...kkkk,há 2 anos,0,
O Ceara vai terminar melhor colocado que o Inter. Aceita que doi menos,há 2 anos,0,
Atlético Go se acustamando com a serie A e janderson evoluindo muito,há 2 anos,0,
"fui de janderson e marcelo cabo na passada e farei isso novamente, flamengo reserva vai passar mal",há 2 anos,0,
"""Se o Juiz resolvesse adiantar e terminar o primeiro tempo com 43 minutos, sairiamos com a vitória!!""

Braga, Abel",há 2 anos (editado),1,
O Corinthians tá jogando no lixo o Janderson depois que outro grande aposta no talento do moleque vão se arrepender é novo se ainda falta algo tem muito pra evoluir,há 2 anos,0,
Fominha  Iuri!,há 2 anos,0,
"Esse time do inter tá é perdendo muito gol, se n melhorar até o próximo ano não vai ganhar mais nada.",há 2 anos,0,
Yuri perdeu mt gol,há 2 anos,0,
"Saudades de quando o locutor gritava"""" internacional campeão de tudo"""" ... Mas, esporte é assim.. parabéns ao AG.. mereceu, venceu...",há 2 anos,0,
Inter time ruim que da dó!,há 2 anos,0,
Que golaço viva o atlético,há 2 anos,0,
"Janderson malvadão fuzilou 
chora Inter.
Libertadores sou eu quem vou",há 2 anos,0,
deem logo o Puskas pro Baralhas.,há 2 anos,0,
"O Inter não jogo nada em 2021 , vai ter que contratar em 2022 se quiser brigar por título .",há 2 anos,1,
Fortaleza América e atlético Go libertadores 22,há 2 anos,0,
Ja deu desse cara burro no comando técnico.  Sub 20 ganhando títulos.  E ele mal aproveita.  Desde quando Patrick é ponta ? Abel 2022 .,há 2 anos,0,
O inter tá deixando a desejar,há 2 anos,0,
Valeu meu Dragão,há 2 anos,0,
Nenhum,há 2 anos,9,
A vaga vai ser do Ceará e do América,há 2 anos,14,
" @nicholas2483  o Ceará está atrás nas colocações do campeonato, com o msm tantos de pontos",há 2 anos,4,
Nenhum Claro !,há 2 anos,2,
 @daisypassos5443  vai abrir um g9,há 2 anos,2,
"""VOU MORRER, SEM NEM VER UM TÍTULO DO BITERLIXONAL""

RAINHA ELIZABETH 2080",há 2 anos,8,
nenhum,há 2 anos,2,
" @gabgrd  na real g8 pq o paranaense ganhou a sula.. era g6 + copa do brasil (que ambos ja tem vaga e o galo em 1°).. g7, + libertadores (palmeiras em 3°).. g8",há 2 anos,3,
eu acho que as ultimas vagas ficam com fluminense e america,há 2 anos,1,
Internacional é time pequeno o único título deles é ver o grêmim rebaixado,há 2 anos,8,
ACGO,há 2 anos,0,
" @gabgrd  vai não, Athlético ta mto atras",há 2 anos,0,
dragao,há 2 anos,0,
MERECE QUEM GANHOU K K K,há 2 anos,0,
Se América perder Flu perder ceara empata eo flamengo deixa o Atlético Goiniense ganha,há 2 anos,1,
Nenhum,há 2 anos,0,
Nenhum dos dois,há 2 anos,0,
 @nicholas2483  a vaga e do América e do Fluminense,há 2 anos,0,
 @palzaoterrordananicada2395  mais 15 anos sem um título tri_revaixado😂,há 2 anos,0,
