text,time,votes,replies
"Fala, torcedor! 🤙
Bahia se aproximou do G4! Tem chance de liberta?",há 3 anos,254,60
💙❤💙❤,há 2 anos,0,
Não sei como Bahia tem conseguido segura ele,há 3 anos,0,
Gilberto e monstro joga muito,há 3 anos,0,
"Só eu acho que a pequena chape, vulgo chapecoco, vai ser rebaiixado esse anos?",há 3 anos,1,
Alguém pode me informar quando o vascu vai estrear no Brasileirão série A?,há 3 anos,0,
Bahía amassou a chape,há 3 anos,0,
Bahia foi superior ! mereceu o triunfo,há 3 anos,0,
Se Gilberto jogasse num time como flamengo e Atlético MG que tem bola toda hora dentro Da área Gilberto teria uns 80 gols por temporada 😂😂😂 ele é barril,há 3 anos,0,
Abri passsagem  que o terrror chehou ô gilberto  e  brocadorrrrr,há 3 anos,0,
"Bahea esta com muito volume.
Parabéns Nino melhor lateral direito na atualidade",há 3 anos,0,
Não sei porquê Gilberto ainda tá no Bahia? O cara é uma máquina de fazer gols,há 3 anos,0,2
Can someone tell me why 1-2 goal was cancelled? Was an offside or what? Are we sure the reffery was not hit by the sun?? The player was so obviece covered when the attack kick started!!,há 3 anos,0,
"Rapaz zaga do Bahia parece que tem chumbo nas pernas tudo devagar, zaga toda aberta fez dois gols e iria levar o empate se não fosse impedimento. Aff",há 3 anos,1,
Bora meu Bahia,há 3 anos,0,
Gilberto e mais 10 no meu Cartola,há 3 anos,0,
"No momento atual, Gilberto é centroavante de seleção!!! O cara tá fazendo muito gol, maluco!! Mas no time desse b... do Tite, só joga se vier da Europa.",há 3 anos (editado),0,
Bora Bahêa,há 3 anos,0,
O unico jogador do bahia que aciona Gilberto.centroavante completo e nino o restante deixa a desejar neste quisito0,há 3 anos,1,
Avante Bahia 💙❤️✝️,há 3 anos,0,
Me mama,há 3 anos,7,
Estágiario guei,há 3 anos,4,
Pau,há 3 anos,4,
Pau,há 3 anos,3,
Pau,há 3 anos,3,
Não,há 3 anos,7,
 @SaoPaulo---  Va com calma bambino,há 3 anos,17,
Palbosta nao tem mundial,há 3 anos,11,
Sim,há 3 anos,21,
Simm,há 3 anos,18,
Sim Ge .,há 3 anos,22,
Sem dúvida!,há 3 anos,19,
SERIE A N B MANOS,há 3 anos,1,
"Finalmente deixaram o grito de gol, gostamos disso 👏🏻👏🏻👏🏻",há 3 anos,8,
 @chaves2841  nem copinha,há 3 anos,9,
CORRIGE ESSE TÍTULO DO VÍDEO IMBECIL.,há 3 anos,1,
"Concerta é Série A, não série B Globo. Até eu entendo vcs já que o vasquin do rio tá na série B, mais não confunda.",há 3 anos,1,
Série A conserta maluco,há 3 anos,2,
SHUPAULO NANICO Z4 DO REBAIXAMENTO VAI CAIR,há 3 anos,5,
 @SaoPaulo---  oxe,há 3 anos,1,
 @independientemaiordomundo7030  tem sim sai da doente,há 3 anos,3,
 @jailsonsantanadesa5587  calado sem foto,há 3 anos,1,
"Vai, não. Infelizmente",há 3 anos,1,
 @isaquemartins1110  vdd,há 3 anos,1,
Bahia vai ser campeão,há 3 anos,6,
 @luiscarvalho7238  não,há 3 anos,0,
Ainda bem que eu não deixar de ser tricolor se perde-se aí sim,há 3 anos,2,
Com fé e apoiando vamos sim,há 3 anos,4,
"Todos que disputa tem chance principalmente o Bahia que tá jogando muito .. tem chance até de título , sou Flamenguista ..",há 3 anos,4,
No máximo a Sulamericana,há 3 anos,2,
"G4 nao, sul americana sim",há 3 anos,1,
Sim com fé em Deus o Bahia vai pra libertadores!🙏🙏🙏🇳🇱🇳🇱🇳🇱🇳🇱🇳🇱🇳🇱,há 3 anos,3,
Sim com fé vamos pra liberta,há 3 anos,3,
 @adrianorios3406  é isso ai irmão 🙏🙏🙏🙏🇳🇱🇳🇱🇳🇱🇳🇱,há 3 anos,3,
Sim,há 3 anos,2,
"Sou torcedor, e posso falar, se não contratar o Bahia vai ter que se contentar com a sula, elenco muito limitado, o time não tem banco.",há 3 anos,2,
Vamos Bahia,há 3 anos,2,
Se continuar ganhando mais do que pardendo aí sim pode ter alguma chance,há 3 anos,2,
Muitas!!!,há 3 anos,0,
 @independientemaiordomundo7030  vcs acham q só pq o bahia foi pra série B n pode ir pra liberta,há 3 anos,2,
🇫🇷,há 3 anos,3,
Sim,há 3 anos,2,
Sim,há 3 anos,1,
campeonato começou agora e o Bahia vai cair 😂,há 3 anos,1,
 @chaves2841  quem time q não tem mundial??,há 3 anos,0,
 @pirocudo1411  sim,há 3 anos,0,
 @isaquemartins1110  sim,há 3 anos,0,
" @luiscarvalho7238  nunca  será e nunca vai ser,🤭😅🤣",há 3 anos,0,
 @Dantas1993  🤣🤣🤣🤣,há 3 anos,0,
Quem sabe mais acho que o Baêa briga por disputa na sul-americana poow !!!,há 3 anos,1,
 @PedroHenrique-kk2ic  🤣🤣🤣🤣🤭,há 3 anos,0,
