text,time,votes,replies
"Fala, torcedor!
O que achou da partida? 🤔",há 2 anos,131,18
"sou América e respeito muito o maior de Pernambuco!! Torci pelo acesso em 2023, mas em 24 sobe os dois!!!",há 6 meses,0,
Jogão,há 8 meses,0,
aport da    muito vacilo contra time pequeno,há 9 meses,0,
SPORT 2X3 AMÉRICA-MG,há 1 ano,0,
"A partida que me fez ser rubro negro, vibrei até o fim, Depois nunca mais abandonei, Faz pouquíssimo tempo, mais a paixão e de anos. 🖤🦁🖤, O maior do nordeste",há 2 anos,0,
"Com um goleiro desse, pra que inimigo? Kkkkkkk",há 2 anos,1,
Goleiro do Sport meu Deus em 🤦🤦🤦,há 2 anos,0,
"O Thiago Neves é zika mesmo, os 3 últimos times que ele jogou vai cair pra serie B.... Cruzeiro já caiu, agora Grêmio e Sport são os próximos....",há 2 anos,0,
"Quem tem Mailson como goleiro no time, não precisa de adversário pra chutar a bola no gol, que ele msm dá uma ajudinha!!!",há 2 anos,0,
"Esse goleiro do Sport é burro demais...pq ele não pegou essa bola do segundo gol com a mão? O corpo dele tava na meia lua, mas se ele tivesse esticado os braços, dava pra defender já dentro da área mesmo q o corpo dele tivesse fora, e mesmo q não tivesse era pra ter defendido do mesmo jeito, tomsria cartão amarelo e seria falta pro América - mg.",há 2 anos,0,
America mg parabens,há 2 anos,0,
O goleiro falhou nos 3 gols.,há 2 anos,0,
"Infelizmente ,  Sport está em uma grande maré de azar,  com pinta de rebaixado.",há 2 anos,0,
Brenno Vendo Esse Jogo kkk Só Vem América,há 2 anos,0,
Carai Galo vai focar monstro em 2022 com esse Ademir 🥵,há 2 anos,1,
Meu America não cai e ainda vai para libertadores.,há 2 anos,0,
A diretoria preocupada em comprar briga com o Fla e esquece que o problema eh o time,há 2 anos,0,
claramente o Mailson entregou a paçoca,há 2 anos,0,
"E lembrar,que o Zé welison no galo não sabia nem pra que lado atacava kkk",há 2 anos,0,
Foi um jogão🔥🔥,há 2 anos,4,
Boa América está jogando bem,há 2 anos,6,
"@Antonio Jabor maiores não ,melhores*",há 2 anos (editado),1,
Achei q o maison caiu o desempenho,há 2 anos,3,
"Eu sou torcedor do sport vou falar tudo, primeira porra da cbf altera as datas dos jogos do sport e trocam com as do gremio para o gremio pegar bragantino e flamengo desfalcados, depois vem esse jogo com esse vermelho inexistente e o penalti não marcado penalti claro e ainda empatamos mas nosso goleiro falhou mas enfim é isso A CBF É UMA VERGONHA!",há 2 anos,10,
@Antonio Jabor 👍,há 2 anos (editado),1,
Tá difícil hein Sport?,há 2 anos,0,
 @1j4um63  esse juiz é Paulista lógico que ele vai atrasar os times que podem tentar rebaixar o santos,há 2 anos,1,
MAÇONARIA E VÁRIOS CLUBES PAULISTA 👌👁️🤟👨🏻‍🎤👹 TÁ BOM DEMAIS,há 2 anos,2,
1vaca de g2p,há 2 anos,0,
Eu so sei que ajudou o santos,há 2 anos,3,
 @1j4um63  😭😭😭😭😭😭,há 2 anos,1,
Maison canalha!,há 2 anos,0,
Sport Recife goalkeeper sell the match I've never seen a Muppet goalkeeper like him,há 2 anos,0,
"Ótima, quero o popóti na Série B.",há 2 anos,2,
"Aconteceu um pênalti claro a favor do Sport.  Mailson que vinha muito bem, juntamente com Gustavo, foram os principais motivos da perda do jogo.",há 2 anos,2,
SPORT SÉRIE B EM 2022 😔,há 2 anos,3,
Hmm..Ainda pergunta eu tô uma arara kkk Mano O sport Jogou muito Mas não Deu Tomara que O sport não seja rebaixado Vamos Rubro-Negros❤🇧🇪,há 2 anos,0,
Mailson entregou a paçoca 😂😂😂,há 2 anos,0,
Usjs,há 2 anos,0,
"Bela vitória do América, pena q não deram o penálti pro sport,o jogo ia ser outro👍🏾",há 2 anos,0,
O goleiro do Sport é o próprio Sedex,há 2 anos (editado),0,
