text,time,votes,replies
"Que golaço do Mikael!! 😎⚽ 
E aí, o Sport vai sair do Z-4? 
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,489,73
"Que esse resultado se repita sexta feira contra esse mesmo atlético,agora é pra subir a  primeira divisão.Volta Leão",há 9 meses,0,
Spot.0. X 3atetico. Spot 1 x. 3 atetico.   GooL. Spot. 0. X. 4 atetico  4. X 0 spot. Kkkkllkklkk spot. Perdeu foi. Spot 0.x perdeu. Foi. Spot. Perdeu. Foi. Spot. Pede foi. Spot. Perdeu. Foi. Spot perdeu. Foi. Kkkkllkklkk 😅 spot 0 x 4 atetico,há 1 ano,0,
Meu momi emiraso. Tô aposto para spot 0. X. 3atetico.  3Gool. Primeiro.  Mas. 3  GOOL no sigudu tempo. 3. Gool. Mas 3 Gool.,há 1 ano,0,
KiGolaco rapaz merecia ate um bônus de uns 5 mil na conta no fim do mes,há 1 ano,0,
"Um gol desse e o narrador não põe uma emoção, André Henning narrando esse gol ia ser maravilhoso",há 2 anos,0,
Esse merecia no mínimo estas entre os 11 dos puskas,há 2 anos,0,
Só de pensar que esse gol não foi eleito o mais bonito do brasileirão chega deu uma dó do mikael :(,há 2 anos,0,
Esse segundo gol do Mikael foi MUITO MAIS BONITO que o do Michael do flamengo. Esse sim deveria ser escolhido o gol mais bonito do campeonato.,há 2 anos,1,
"Tinha tudo pra ser o gol mais bonito do campeonato, mas joga em time do nordeste, né?!",há 2 anos,0,
Falaram tanto do gol desse cara vim ver i e só isso ? Até o Renato no futvôlei deve fazer todo dia,há 2 anos,0,
Michal ganho o prêmio de gol mais bonito do campeonato kkkk,há 2 anos,0,
"Vim do futuro pra avisar que Mikael foi eleito com esse gol o mais bonito do Brasileirão 2021, esse menino tem futuro, a Europa vai levar se o Sport vacilar.",há 2 anos,0,1
Bem vindos a série b... de boa...,há 2 anos,0,
⚫🔴⚫🔴⚫🔴♥️♥️,há 2 anos,0,
Golaço do Mikael!!,há 2 anos,1,
"Que golaço...
O futebol é demais.",há 2 anos,1,
Brasil é diferenciado mesmo kkkk até técnico comemorando no meio da galera,há 2 anos,0,
Esses gol anulado no Brasil é foda na Europa eu ñ vejo anulando gol assim,há 2 anos,0,
