text,time,votes,replies
"América-MG na Libertadores! 💚🤍
Gostaram da atuação do Ademir?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,227,17
😮😂😮😂😮😂😮😂😮❤😮❤😮❤😮❤😮❤😮❤😮❤😮❤😮❤😅❤😅😅😅😅😊😊😊😊❤😊,há 7 meses,0,
❤😊❤😊❤😊😊❤😊❤❤😊❤😊❤😊😊😊😊❤❤😊😊❤❤😊❤😊😊❤❤😅❤😅😂😅😂😅,há 7 meses,0,
😮🎉😅🎉😅🎉😅🎉😅🎉😅😂😅😅❤😅😅😂😅😂😅😂😅😂😅😂😂😅😂😅😂😅,há 7 meses,0,
😂😅😂😂😅😂😅❤😅❤😅😅❤😅❤😅❤😅😅😅😂😅😂😅😂😅🎉😅🎉😅🎉😅🎉🎉😅😅🎉😅😂😅😂😅😊❤😊❤😊😊❤❤😊😊❤😊❤😊❤,há 7 meses,0,
❤❤😅😂😅😅😅😅😅😅😅😅😅❤😅❤😅❤😅❤😅❤❤😅😂😅😂😅❤😅❤😅❤😅❤,há 7 meses,0,
Mesmo sendo São paulino nessa rodada coloquei o ademir de capitão no cartola e fiz 140 Pontos 🤩,há 9 meses,0,
"Luciano
Calleri
Marcos paulo",há 1 ano,1,
esse são Paulo e pior de que esse ano era pra se uns 5 na moral,há 1 ano,1,
AMÉRICA-MG 2X0 SÃO PAULO,há 1 ano,0,
Ano passado foi 2x0 quero ver de quantos o são Paulo perde esse ano 2022 na copa do Brasil,há 2 anos,0,1
América é muito maior que o são paulo,há 2 anos,0,
Sou Atléticano mas o America tem meu respeito parabéns pela vaga na pré libertadores,há 2 anos (editado),0,
Ribamar na libertadores,há 2 anos,0,
Legal,há 2 anos,1,
😡😡😡😠😠😠😠😠😠😠😠😠😠😠😠😠😡😡,há 2 anos,0,
A110 com k espera um América violento com mais garra só vitória! E importante sandes& sandes,há 2 anos,0,
Kerolayne Amo 📺,há 2 anos,1,
É a primeira vez que vejo vídeo do América com mais de mil visualizações.,há 2 anos,1,
"Ge não sabe nem fazer um resumo de uma partida, mostra o comemoração da porra do gol e tals mal sai o gol os caras já cortam o vídeo",há 2 anos,0,
"ADORO VER OS TORCEDORES DO SÃO PAULO CHORANDO É MEU REMÉDIO DIÁRIO MINHA ENERGIA SEMANAL, MINHA INSPIRAÇÃO MENSAL, MINHA MOTIVAÇÃO ANUAL O CHORO DELES É A UNICA RAZÃO PELA QUAL AINDA VIVO, NASCI PARA AMAR É DESFRUTAR O FRACASSO QUE ELES ALCANÇARAM.",há 2 anos,7,
A Freguesia do Shupaulo kkkkkkk,há 2 anos,2,
Esses times que estão na libertadores vai ser eliminado logo na pré nem adianta nada só os times grandes vão para libertadores : Palmeiras Flamengo Fluminense Corinthians bragantino fortaleza e Atlético MG esses são os times que estarão lá libertadores pra mim ano que vem 👆👆,há 2 anos (editado),3,
Grêmio Na Série B,há 2 anos,0,
"Esse Volpi é horrível, chutou é gol",há 2 anos,2,
Mereceu,há 2 anos,1,
@C̷O̷P̷E̷I̷R̷O̷ venceu a última ?,há 2 anos (editado),0,
 @StevenGamer2024  Chupa São Paulo,há 2 anos,0,
São puta é Time pequeno nem copa do Brasil tem,há 2 anos,0,
 @samuelsanches7240  Vamo ver! Se n der pelo menos tem a Sula,há 2 anos,0,
meu cartola agradeçe essa atuação,há 2 anos,0,
"Sou São Paulino, mais Ademir joga demais slc, fez um bom campeonato👏👏👏",há 2 anos,1,
"Ele tá voando , está inspiradíssimos e no galo com o time que temos ele vai se destacar mais ainda",há 2 anos,1,
america mg maior verdão do pais,há 2 anos,0,
" @gabrielr1326  kkkkkkk oq? Sou São Paulino, mais a verdade é que o maior verdão é o Palmeiras kkkk, e os maiores do Brasil é São Paulo, Santos, Corinthians e Flamengo respeita, só pq o América foi pra pré liberta, não quer dizer que é o melhor verdão, isso é uma piada kkkkkkkkkkk",há 2 anos,0,
" @rauny_felipe   Os maiores do Brasil são São Paulo, América MG , Santos e Palmeiras",há 2 anos,0,
" @gabrielr1326  quem é américa mn? Kkkkkkk não tem nem Libertadores, não tem nem Brasileirão serie a e nem Mundial kkkkkk, vc diz q é o melhor, pq vc torce pra esse time véio kkkkkk",há 2 anos,0,
😳😳,há 1 ano,0,
Kkkkkk kkkkkk kkkkkk kkkkkk kkkkkk kkkkkk kkkkkk,há 2 anos,0,
Léo Pelé é Ruim,há 2 anos,0,
Choram as rosas 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,há 2 anos (editado),1,
"É muito engraçado ver o Cruzeiro virando time de serie B, o Atlético se confirmar como time grande, e o América substituindo o Cruzeiro kk",há 2 anos,0,
"O maior venceu, normal",há 2 anos,1,
Foi um baile,há 2 anos,0,
"VERGONHA tricolor .
VERGONHA d jogadores...
Troquem elenco TD 
Urgente.",há 2 anos,0,
Diretoria do América mostrando como gerir bem um time de futebol 👏👏👏👍💯🇧🇷,há 2 anos,1,
Sao Paulo muito ruim,há 2 anos,0,
O volpi fecha o gol,há 2 anos,0,
Bela aquisição do galo esse Ademir é muito bom,há 2 anos,0,
Nos   mineiros  coheçemos  com   amor   o   america,há 2 anos,1,
quem foram os rebaixados?,há 2 anos,0,
"Eu sou daqui de Minas e América,  o independência é lindo , mais continua horrível atrás das traves dos goleiros, parece campo de várzea.",há 2 anos,0,
Pior time da história do São Paulo! !,há 2 anos,0,
"Sou botafoguense, mas parabéns ao América, do Z4 a Libertadores, que campanha, uma pena o Cruzeiro não estiver numa situação tão boa como eles",há 2 anos,2,
"Leo Pele, Igor Gomes, Bruno Alves, I. Vinicius, Pablo, V. Bueno é muita ruindade em um só elenco!! Ano que vem cai, infelizmente",há 2 anos,0,
Cleber falando que o são Paulo tem a esperança dele kkkkkk.,há 2 anos,1,
Parabéns América.,há 2 anos,1,
"América-MG 8°
Pré-libertadores

São Paulo 13°
Sul-americana",há 2 anos (editado),0,
"Futebol brasileiro tá em carência, tipo.
De três grandes só o Botafogo subiu, e agora desceu o Grêmio.
Ano que vem tem Vasco, Grêmio, cruzeiro, sport, guarani e Bahia na segunda.
Todos já foram campeões brasileiro.
Tipo América mg não faz diferença nessa libertadores.",há 2 anos,0,
"Cara ,sou cruzeirense mas o América tá dimais,rivalidade tem de ser saudável e amigável ,parabéns América 👏👏👏",há 2 anos,0,
Time do SP e muito ruim.... nesse ritmo um dia o SP cai,há 2 anos,0,
"Nem jogo assitir mas do SPFC , não perco meu tempo com esses jogadores que só jogam por dinheiro hoje.
Saudades do tempo de Raí , Cafu , Serginho , França , Luis Fabiano , Kaká e careca.",há 2 anos,1,
Time bosta esse do SPFC só BUNDA MOLE,há 2 anos,0,
time vergonha  essa má gestão  a fundou o tricolor   parabéns  a gestão do Fortaleza   não tem jogador  estrela más tem raça  que vergonha  são Paulo,há 2 anos,0,
Ademir é do galo papai kkkkkkk,há 2 anos,0,
"fora volpi, igor gomes e igor vinicius, todos jogadores lixos fdps que não deveriam vestir o manto nunca mais",há 2 anos,0,
essa zaga do são Paulo sem o arboleda é muito fraca,há 2 anos,0,
"São Paulo te odeio , por sua causa meu dragão n foi para a libertadores",há 2 anos,0,
"Q vergonha q zaga lixo

2 a 0 fora o baile",há 2 anos,0,
"Esse Ademir do coelho , é bom jogador ...",há 2 anos,0,
Não caiui poque teve time piores que o do SPFC,há 2 anos,1,
Esse time do SPFC e e um lixo um dos piores de todos os tempos,há 2 anos,0,
Futebol de rebaixado esse do são Paulo. Ta doido..,há 2 anos,0,
"O ADEMIR DEIXOU OS COMPANHEIROS VÁRIAS VEZES NA CARA DO GOL E ELES NÃO APROVEITARAM, ENTÃO ELE MESMO CHAMOU A RESPONSA E MARCOU OS GOLS.",há 2 anos,0,
"Léo Pelé, Igor Gomes e Volpi...🥶",há 2 anos,0,
"Esse São Paulo já foi grande ,hoje não é mais",há 2 anos,0,
😂😂SÃO PAULO PASSOU MAL CONTRA ADEMIR,há 2 anos,0,
Nao sou saopaulino mas da uma. Pena ver o sao paulo nessa situaçao,há 2 anos,0,
Tricolor paulista foi eliminado em tudo esse ano que elenco ruim o que esperar desse time 2022.,há 2 anos,1,
Esse time do América é foda demais 🔥,há 2 anos,0,
Parabéns América-MG pela vaga na Liberta na minha opinião surpreendeu mais que o Fortaleza nessa edição,há 2 anos,0,
Nem si ouvi mais falar em cruzeiro...quem diria..rsrsrsrs,há 2 anos,0,
"2 x 0 foi pouco ainda, pelas chances perdidas era pra ter sido no mínimo uns 4 x 0",há 2 anos,0,
América 11/12/2021,há 2 anos,0,
"Olha o Igor Gomes jogando,puta que o pariu",há 2 anos,1,
COELHO,há 2 anos,0,
"Igor gomes ..
  Nao sei como joga no sao paulo ..
  Meu Deus ..
 Vai ser ruim assim ..
  E o volpi sempre salvando um vexame maior",há 2 anos,0,
SO PERCO FUTEBOL CLUBE FOI DESTROÇADO PELO ADEMIR KKKKK,há 2 anos,0,
Patético oq virou o são paulo hoje,há 2 anos,0,
Parabéns ao Coelho .. fez uma bela campanha 👏👏,há 2 anos,1,
"Parabéns Coelho pela conquista desta vaga. Foi na última rodada, mas eu acreditei o tempo inteiro. O time estava redondo jogando muito certinho. Teremos os 2 maiores de Minas na libertadores 2022. Galoooooooooooooooo",há 2 anos,0,
o america vai jogar a libertadores da america....,há 2 anos,0,
So deu o América slc kkk,há 2 anos,0,
O são Paulo teve sorte de não ter levado uma goleada 🛐,há 2 anos,0,
Difícil esse Ademir fica na América . Joga demais,há 2 anos,0,
"Ademir é muito bom, falta ser lapidado para se tornar um craque.",há 2 anos,1,
"Parabéns ao america, esse time vai longe na libertadores. Ou até brigar pelo o título",há 2 anos,1,
"O São Paulo deve ter ficado muito feliz com essa derrota, pq era pra ter sido uma goleada",há 2 anos,2,1
