text,time,votes,replies
"Fala, torcedor!
O que achou da partida?",há 2 anos,108,23
Alguém.tem notícia do Santa Cruz?? 😂😂😂😂😂,há 2 anos,0,
"Q gol da pohha,,,, oxxi tas doido....",há 2 anos,0,
"Quando vc para pra pensar, quê esse jogo foi quê destacou ó Luciano juba",há 2 anos,0,
Prefiro jogar no ps4.,há 2 anos,0,
..,há 2 anos,0,
0x4,há 2 anos,0,
"Sr árbitro, deixe pra tirar o cartão qdo for apresentar.....em que academia aprendeu a correr com ele na mão ????",há 2 anos,0,
O arrotador de microfone se esguelando num jogo horroroso desse kkkkkkkkk,há 2 anos,0,
Sport 08/12/2021,há 2 anos,0,
🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁,há 2 anos,0,
O jogo mais foda-se do campeonato kkk,há 2 anos,0,
Pq o video n tem 10 segundos eu n sei porra ge,há 2 anos,0,
Tomara que a chape Faca retorno ano que vem,há 2 anos,0,
"QUE JOGAÇO SLKK,, MUDO MUITA COISA NO BRASILEIRÃO SLK SPORT FOI PRA 5 E A CHAPE PRA 16...JOGAÇO",há 2 anos,0,
Kd o Fernandinho,há 2 anos,0,
O Sport pediu pra caí já faz é tempo,há 2 anos,0,
SPORT vergonha de Pernambuco,há 2 anos,0,
Que golaço da vitória do Sport.,há 2 anos,2,
Dois lixos que nunca mais deveriam mais voltar pra série a,há 2 anos,0,
"Eu achei uma maravilha, pq o grêmio vai conseguir escapar do rebaixamento",há 2 anos,3,
Pelo Sport tudooooo 🦁🦁🦁🦁🦁🦁🦁,há 2 anos,7,
 @paidoalisson9109  KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK KKKKKKKKKKKKKKKKKKKKKKKK,há 2 anos,2,
