text,time,votes,replies
Reage Cuiabá a série b e logo alí não pode deixar o Grêmio subir eu quero vê o Grêmio na série 🅱️👻,há 2 anos,0,
MUITO BOM O JOGO SÓ  GOLAÇO,há 2 anos,0,
🏴‍☠️💪👀❤️♠️🌪️,há 2 anos,0,
"Não axiste jogo fácil,amigo""",há 2 anos,0,
"Arbitragem tendenciosa, primeiro da um  pênalti que não existiu, depois se enrola em um lance de dois toques na batida do pênalti, não foi dessa vez que vocês conseguiram prejudicar o DOURADO.",há 2 anos,0,
"Parabéns ao Cuiabá , time organizado dentro e fora de campo, que bela campanha!",há 2 anos,1,
Mas estamos no empate aí porque não conseguiram acertar as finalizações kkkkkkkkk,há 2 anos,1,
"Ganharam roubado,foi gol do Braga",há 2 anos,0,4
cuiaba tem jogado bem ein,há 2 anos,0,
Isso foi incrível. Os grandes não ganham. Do braga. E vem esse time e ganha,há 2 anos,0,1
"o nosso cuiaba vai  pra libertadores  , primeiro ano de A ai sim hein 
orgulho de ser matogrossense",há 2 anos,1,
nossa esse jogo foi bem roubado,há 2 anos,0,1
Depois de varios empate 😂,há 2 anos,0,
pq o gol do Bragantino n valeu?,há 2 anos,0,3
Toma Braguinha,há 2 anos,0,
Cuibayern tá d+ . 🔥🔥🔥,há 2 anos,0,
"Você vê o nível de arbitragem brasileira, quando o juiz marca gol em 2 toques em uma cobrança de pênalti. Se não fosse o VAR, ele daria gol.",há 2 anos,1,1
Alguém me explica pq anulou o gol do bragantino.,há 2 anos,0,1
"Tô tentando entender o gol anulado do bragantino, o jogador bateu o pênalti a bola foi na trave voltou pra e ele fez o gol e o var anulou o gol, não existiu impedimento no lance.",há 2 anos (editado),1,2
Não entendi pq n valeu o gol,há 2 anos,0,1
Onde q Cuiabá tem dinheiro pra comprar jogo?,há 2 anos,0,
Foi trave por isso ñ vlw e nem foi pênalti ñ sei como o juiz marcou,há 2 anos,0,
"o jogador no pênalti tava impedido, não era pênalti",há 2 anos,1,
 @sukitas2247  Pq pegou na trave só podia rebote se pegasse no Walter podia,há 2 anos,0,
"Esse time ñ "" CUIABAYERN""",há 2 anos,0,
Ñ,há 2 anos,0,
"Pq pegou na trave logo ñ podia rebote, só se pegasse no Walter",há 2 anos,0,
 @kqkwkwkKKOaiiqiqiwjwjwjw  Essa regra é nova?,há 2 anos,0,
 @GDconta  ñ,há 2 anos,0,
Ent,há 2 anos,0,
Pq pegou na trave só podia rebote se pegasse no Walter podia,há 2 anos,0,
Pq pegou na trave só podia rebote se pegasse no Walter podia,há 2 anos,0,
" @kqkwkwkKKOaiiqiqiwjwjwjw  vdd, depois que eu vi, a jogada contou como 2 toque do próprio batedor.",há 2 anos,0,
Pq pegou na trave só podia rebote se pegasse no Walter podia,há 2 anos,0,
"O lance do pênalti eu não entendi foi nada, ele não teria que esperar o var pra validar o pênalti?",há 2 anos,0,1
"Um narrador da rádio vendo o lance disse que não valia o narrador da Globo grita gol e fala que o h
Juiz tá perdido ....",há 2 anos,1,
Eu quase infértei.... Cuiabá mais que time... representa nosso mato grosso 💚💚💚💚,há 2 anos,0,
"parabéns Cuiabá,chegaram na série A para ficar.",há 2 anos,1,
Bragantino voltando as suas origens 🤣🤣,há 2 anos,0,
Empate e seu chifre comentarista afobado,há 2 anos,0,
Parabéns Walter!! Monstro sagrado. Vc e ótimo.☺️👏👏👏🖤🖤🖤🖤,há 2 anos,0,
Belo gol na vitória do Cuiabá.,há 2 anos,0,
"Gol do elinho foi anulado ilegalmente , A bola entrou!",há 2 anos,0,4
Não entendi pq não foi gol do Braga?,há 2 anos,1,1
"Oque fãs de Futebol querem ver: Brasil campeão da Copa do Mundo.
Oque eu quero ver: CUIABAYERN X BAYERN DE MUNIQUE",há 2 anos,3,1
Perdi 1.000 nesse time,há 2 anos,0,
"Galera, me expliquem porque anularam o gol de pênalti do Helinho?",há 2 anos,1,2
Valeu Cuiabá.,há 2 anos,0,
Ridículo... Mostraram dois lances do primeiro tempo .. o Cuiabá atacou o jogo inteiro...resumo de merda ..seus lixo,há 2 anos,0,
O CUIABÁ QUÊ CAMPANHA SURPREENDENTE É PERIGOSO BELISCAR UMA PRÉ -LIBERTADORES 😨😨😨,há 2 anos,0,
O gol do bragantino foi vscido,há 2 anos,0,
"Glr, pq n valeu o gol de pênalti do bragantino?? Se a bola entrou.",há 2 anos,0,2
"Sou baiano torcedor do Flamengo, mais Cuiabá sem dúvidas meu segundo Time de coração , força dourado.",há 2 anos,1,
so nao entendi pq o arbrito anulou o gol do bragantino depois do rebotew do walter o jogador que fez o gol tava impedido é ou a bola pegou na mao dele,há 2 anos (editado),0,1
Pq pegou na trave só podia rebote se pegasse no Walter podia,há 2 anos,0,
Mas ele deu dois toques seguidos,há 2 anos,0,
Já que o Walter não defendeu,há 2 anos,0,
A regra é que o jogador não pode dar dois toques na cobrança e quando ele cobro o pênalti bateu na trave e voltou nos pés dele e como o Walter não escosto na bola o gol foi anulado legalmente,há 2 anos,1,
 @luishenriquedineck3424  Velho esses leigos de hj em dia kkkkk,há 2 anos,0,
"Considerado dois toques, bateu na trave e pegou o rebote sem tocar em outro jogador",há 2 anos,0,
Ent jogão kkkk,há 2 anos,0,
Pq pegou na trave só podia rebote se pegasse no Walter podia,há 2 anos,0,
 @kqkwkwkKKOaiiqiqiwjwjwjw  Valeu,há 2 anos,1,
Quem bate o pênalti não pode dar 2 toque seguidos,há 2 anos,0,
"Só valeria o gol se o Walter tivesse dado robote, o que não aconteceu, já que a bola pegou na trave.",há 2 anos,0,
Pq pegou na trave só podia rebote se pegasse no Walter podia,há 2 anos,0,
Porque o gol do Bragantino não valeu?,há 2 anos (editado),0,1
"Sou flamenguista, mas torço muito para que o ""Dourado"" permaneça na Série A, com uma vaga na Sulamericana.",há 2 anos,1,
"RB Bragantino e suas manias de perder pra time do seu tamanho, e quando é contra times grande vira o Bayern de Munique",há 2 anos,0,
O cara é jogador profissional e não sabe q após a bola bater na trave ele não pode chuta-la novamente no pênalti pqp 🤦‍♂️🤦‍♂️,há 2 anos,0,
