text,time,votes,replies
"Segue o líder!! 😎
Será que alguém vai parar o Atlético-MG?",há 2 anos,1 mil,394
e o placar se repetiu 2 anos depois...,há 9 meses,0,
"(Hoje 07,10,23)

Abel Ferreira x GALO:
2 vitórias, 7 empates, 2 derrotas
Equilíbrio absurdo

Bem verdade que o palmeiras dele eliminou o galo da liberta por três anos seguidos mas o que eles tiveram que se superar e contar com o detalhe da sorte não é brincadeira.

Próprio Abel já deixou nas entrelinhas que o Galo é o adversário mais duro que ele enfrentou aqui no br",há 10 meses (editado),1,
Hoje o Atretico MG tem quê jogar com raça vontade de ganhar do Palmeiras 💭🖤🗯🖤🗯🖤🗯🖤🗯🖤🗯🖤🗯🖤🗯🖤🗯,há 1 ano,0,
Hoje o Atretico MG tem que Jogar com raça com vontade de ganhar do Palmeiras 🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤,há 1 ano,1,
Ele foi trapaceiro 😡,há 1 ano,0,
Era pra ter ganhado a liberta tbm 😢😢😢😢,há 1 ano,0,
ATLÉTICO-MG 2X0 PALMEIRAS,há 1 ano,0,
Goooool,há 2 anos,0,
"Por isso o galo ganhou … o técnico e mais um jogador foi expulso né , como diria o thiago Neves : se não ganhar pelo amor de Deus né",há 2 anos,0,
🏳️🏴🏴🏴🏴🏴🏴🏴🏴,há 2 anos,1,
0:30 onde q isso foi falta?,há 2 anos,0,
É campeão!,há 2 anos,0,
Oioiii8o9p996o6o890ip6 PP 6lt o69gyi bolo ou 6o PP y7⁶,há 2 anos,0,
Joga muito arana 🐔galo forte vingador,há 2 anos,0,
"Kkkkkkk ganhou no Brasileiro , mas na hora de ver quem vai pra final o Palmeiras não pipoca",há 2 anos,1,2
Cade o felipe melo,há 2 anos,2,
A vingança do galo,há 2 anos,0,4
Quem tá aqui depois das semi Avanti palestra,há 2 anos,0,
Eugênio leal da ESPN é um mala fala de mais,há 2 anos,0,
