text,time,votes,replies
"Jogo animado!😎
Diz aí: Qual foi o gol mais bonito da partida?⚽
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,618,87
Vai Corinthians,há 9 meses,0,
Foi um dos melhores jogos que na vi,há 1 ano,0,
..❤❤,há 1 ano,0,
parecia até liga dos campeões,há 1 ano,0,
Renato Augusto é monstro,há 1 ano,1,
CORINTHIANS 3X2 CUIABÁ,há 1 ano,0,
😱,há 1 ano,0,
👍👍,há 1 ano,0,
Oi,há 1 ano,0,
"Resultado, quê beneficia ao Palmeiras. 💚🤍💚",há 1 ano,0,
Gol mais bonito do cuiaba não teve tempo nem de ajeitar ... do jeito que veio mandou pro gol golaço,há 2 anos,0,
"Primeira vez que fui no estádio ver o Corinthians jogar foi esse dia, slc que emoção!",há 2 anos,3,
Jogaco,há 2 anos,1,
Corinthians é bom,há 2 anos,2,
Viciado em fazer gol em time verde mesmo... mais  só ganha  de time verde pequeno porque dos grandes só toma...,há 2 anos,3,1
Po ta na hora do flamengo trazer o pepe de volta,há 2 anos,3,
Fodah,há 2 anos,1,
Esse narrador é bom pra caramba,há 2 anos,1,
Não troco Renato Augusto por nenhum meia que tem na atualidade,há 2 anos,4,
Do mito Renato Augusto,há 2 anos,73,
PROCURANDO O MUNDIAL E A GRANDEZA DO PALBUNDA,há 2 anos,43,
Do melhor meia do Brasileirão,há 2 anos,37,
"Roger Guedes: a





Times verdes: só a cabecinha 😭",há 2 anos,66,
Corinthians Maior Do Brasil Amigão,há 2 anos (editado),24,
Corinthians Maior De Sp,há 2 anos (editado),26,
RENATO AUGUSTO IDÓLO!,há 2 anos,20,
tenho certeza q se o pp tentasse esse chute no flamengo ele iria isolar q cara ruim HORROROSO LIMITADÍSSIMO tá jogando 1 futebol médio e enganando todo mundo,há 2 anos,5,
GAMBAS VÃO FALIR ESTÁDIO COM DINHEIRO PÚBLICO TIME PEQUENO AMIGO,há 2 anos,6,
 @apocalipsenow165  Chegou Atrasado Babac4,há 2 anos,11,
Marmitinhas freguês do Galão 😂😂😂😂😂,há 2 anos,1,
 @tiago23sccp40  o melhor meia do brasileirão fez 1 golaço na cdb 2018 contra o corinthians na final,há 2 anos,0,
O do Renato Augusto sem dúvidas que bola no ângulo foi perfeita joga a luva Walter,há 2 anos,7,
do renato Augusto que golaço,há 2 anos,7,
 @alexandretyrone415   Qm é esse?,há 2 anos,2,
Mundial do palmeiras?,há 2 anos,4,
Gol mais bonito foi o do renato Augusto,há 2 anos,6,
