text,time,votes,replies
Esse Everton que fez o gol foi que deu caneta no neymar ...,há 2 anos,0,
Era pra ser uns 5 a 0 pro bragantino,há 3 anos,0,
o atlético tinha chance de nao perder esse jogo mas ta bom,há 3 anos,0,
Esse Atlético goianiense è ruim de mais sò leva cacetada. Vai cair pra série B .,há 3 anos,0,
Jogo horrível,há 3 anos,0,
Goleiro do bragantino tá catando tudo muito bom,há 3 anos,1,
2020?,há 3 anos,0,
Vitória gigantesca do Bragantino !,há 3 anos,0,
Bragantino vai ser campeão brasileiro,há 3 anos,0,
Melhor time de SP aonde é melhor time do Brasil,há 3 anos,0,
Melhor time de SP aonde é melhor time do Brasil,há 3 anos,0,
Como éo nome desse narrador,há 3 anos,0,
No gol do Brangantino o narrador nem gritou gol! Só da valor pra time grande narrador de bosta,há 3 anos,0,
Bragantino vai ser campeão da sula Americana,há 3 anos,1,
Red Paraguaio Bull. Daqui a pouco o Verdão assume a liderança dessa bagaça!!!,há 3 anos,1,
E olha que a empresa Redbull nem começou a colocar dinheiro direito eim. Imagina isso daqui 1 ou 2 anos! Vai ganhar tudo.,há 3 anos,0,
"os dois  times  estão  de  parabens,  esse  atlético-go, tambem  é  osso duro de  roer.  jogão de  bola.",há 3 anos,0,
Ja q o campeonato volta ao normal mais acho q o bragantino belisca uma vaga na liberta,há 3 anos,0,
Claiton e outro patamar,há 3 anos,0,
"só esperando a sorte acabar, nem no g7 fica",há 3 anos,0,
"Ta jogando bem e tb ta com muita sorte... flamengo amassou e levou gol no fim, palmeiras teve uma pilha de chances tb, goleiro muito bom esse Cleiton. Esse gol no fim perdido pelo atg mostra essa sorte em alta.",há 3 anos,0,
"Porra q jogão, começou mto pegado  e os dois times n tem mta mídia. Isso q é futebol",há 3 anos,0,
Red Bull será campeão,há 3 anos,0,
Curintia que é nanico mesmo 🤏,há 3 anos,0,
"Atualmente o Bragantino é o melhor time do Brasil, não é a toa que ele é o líder do campeonato brasileiro.E ganhando de todos os grandes até agora",há 3 anos (editado),0,
"Codigo Tiktok J185107777
Codigo Kwai 514705756
Codigo Tiktok Lite K9156784",há 3 anos,0,
Narrador fala os nome dos jogadores não? Kkkk,há 3 anos,0,
Será que é fogo de palha 🤔,há 3 anos,0,
O Atlético foi melhor....deu azar,há 3 anos,0,
"Weverton apenas 1 partida pelo cruzeiro ,fecha as pernas neymar",há 3 anos,0,
"Sou Palmeiras 
Mas se palmeira não ganha título 
Vou torce pro bragatino ser campeão",há 3 anos,0,
"Sou Corinthiano, mas confesso que estou encantado com esse time",há 3 anos,0,
tomara que o redbull ganhe esse campeonato,há 3 anos,0,
Alguém segura o Bragantino ele tá voando muito alto se ele ganhar o Brasileirão eu acredito que o São Paulo consiga ganhar a copa do Brasil,há 3 anos,0,
Detalhe esse Weverton deu a caneta no Neymar hahahahaha,há 3 anos,0,
Legal Obrigado pela reportagem sobre esporte boa noite pra vocês.,há 3 anos,0,
Daqui a pouco bragantino começar a perder a perder a perder e ja era a midia muda de opinião e começa a puxar saco pro time que ta lider 🤣🤣,há 3 anos,0,
GLOBO LIXO,há 3 anos,0,
Tao jogando o fino.,há 3 anos,0,
"Dois times Bom e bem arrumado ,pouca mídia e muito futebol sou flamengo mas parabéns ao Redbull Brasil , e o Atlético de Goiás , ótimos trabalho de Barroca e Barbieri esses dois times vão dar muito trabalho",há 3 anos,1,
Bragantino não tem vergonha de chutar de fora da área .futebol brasileiro não faz muito isso,há 3 anos,0,
E saudades que BH tá do Cleiton☹️,há 3 anos,1,
"Cavalo paraguaio, daqui 3 ou 4 rodadas peida",há 3 anos,0,
E o novo são Caetano vai nadar nadar é morre na praia .,há 3 anos,0,
"Cadê o grito de gol, narrador!?",há 3 anos,0,
Sou flamenguista.mas gosto do bragantino.eles jogam pra frente seja em casa ou fora.pena que não tem elenco pra aguentar até o final.,há 3 anos,0,
Não curti a narração,há 3 anos,0,
Profissionalismo faz diferença em todas aéreas. Segura o Touro Vermelho!,há 3 anos,0,
Como é bom ter de volta a narração do Jota Júnior! Bem-vindo jotinha,há 3 anos (editado),0,
Achei que esse narrador tinha aposentado. Bem que deveria.,há 3 anos,1,
"Nunca gostei da narração desse cara,Mas ele ficou tanto tempo sem narrar que até fez falta perto de outros narradores que colocaram no lugar deles ele e o Milton Leite",há 3 anos,0,
Grande J junior voltando a narra um jogo,há 3 anos,0,
"Mengão precisa só de uma rodada na liderança 
🏆🇹🇹",há 3 anos,0,
Essa camisa vermelha do Atlético é linda demais tá doido,há 3 anos,0,
O Edimar salvou no finalzinho.,há 3 anos,0,
Daqui uns anos o Bragantino vai ser um time gigante!!jogando dessa forma como estão jogando,há 3 anos,0,
Bragantino não rede bull por se vendeu ficou só nome mesmo vergonha. Mais espera o quero time não tem torcida mesmo,há 3 anos,0,
"Posso tá errado,mas esse Bragantino vai dá muito trabalho.",há 3 anos,0,
Quem colocou jogadores do bragantino no cartola da like,há 3 anos,0,
