text,time,votes,replies
"Fala, pessoal! 😎
Será que teremos América-MG na Libertadores?
Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos,86,17
Combinação de resultados pro Grêmio n cair: ATLÉTICO mg fortaleza flamengo Fluminense america ceará internacional palmeiras cair,há 2 anos,0,
AMÉRICA MG MOITO BOM,há 2 anos,0,
Coelhão merece,há 2 anos,0,
R chapecoense não foi dessa vez adeus a série a,há 2 anos,0,
"Campanha Belíssima do América, A Torcida tem que Lota o Estádio e aplaudi esse time 👏👏",há 2 anos,0,
Mancini :🥴🤡,há 2 anos,0,
"Se prepara mequinha , ano que vem o Ademir é nosso !!! ⚪⚫
Vão perder o principal jogador desse elenco de 2021 , vai precisar de um reforço à altura pra poder disputar a liberta heim...
Enfim , boa sorte pra noix .",há 2 anos,1,
Bela Vitória do América,há 2 anos,0,
Fico triste pela chapa sou mengao,há 2 anos,0,
...e o estádio lotado...,há 2 anos,0,
"Se o América terminar o brasileiro em 8 lugar, ele vai ter que torcer pro rival ganhar a copa do Brasil, prq aí abriria mais uma vaga no brasileiro, então esse 8 lugar é muito precioso pro América.",há 2 anos,0,
Vamo meu america mg,há 2 anos,0,
Foi bater o penalti e passou vergonha kkkkkkkkkkkkkkk bem feitooooo mala sem alça kkkk,há 2 anos,0,
🐰💚,há 2 anos,0,
"América é um dos poucos exemplos no mundo de tradição, estádio próprio, shopping p arrecadar recursos. Torcida que não vai no campo e são pouquíssimos. E o time está aí e muito bem.",há 2 anos,0,
"Sou atleticano e tenho um puta respeito pelo america, acho que nenhuma pessoa daqui não gosta do america, é um time muito humilde e estou feliz dessa campanha muito boa deles.",há 2 anos,1,
América 02/12/2021,há 2 anos,0,
Gosto muito do saudoso ipatinga simpatizou demais com o tigre 🐅e o coelho 🐰🇳🇬💚💚🤍🤍parabéns América mineiro rumo a vaga inédita pra libertadores tmj galera,há 2 anos,0,
"Acho que o Wagner Mancini errou. Trocar o América que estava jogando bem e continua bem , pelo Grêmio que melhorou muito pouco e o que tudo indica cairá pra série B .",há 2 anos,0,
Sim,há 2 anos,5,
Sim,há 2 anos,6,
Evidentemente.,há 2 anos,4,
"Libertadores é a competição onde o Flacadela foi vice do Verdão?
🏆🏆🏆💚",há 2 anos,6,
sim,há 2 anos,2,
 @nacional1481  51 e o número de vezes que sua mãe deu o  c u,há 2 anos,1,
Seria legal ver o mequinha na libertadores,há 2 anos,1,
Sim,há 2 anos,0,
Com Certeza,há 2 anos,0,
"Paulo Pires, MC Danny, Marcynho Sensação ᴴᴰ 👈✌️ música boa e muito futebol",há 2 anos,0,
Talvez no ano qui vem sim porque esse ano tam difícil,há 2 anos,0,
Talvez no ano qui vem sim porque esse ano tam difil já feiz até muito se livrol do rebaixamento kkkkkk,há 2 anos,0,
Estou na torcida para o América pegar uma vaga na libertadores. 😁✌,há 2 anos,0,
"Onde o seu bicho não morre, e o fogo nunca se apaga.
Marcos 9:46

Esse bicho citado acima, é a consciência da pessoa.
E o fogo é fogo literal mesmo.
Deus, não manda ninguém pra lá, é o tal do livre arbitrio de cada um. Arrependei-vos porque o Reino de Deus tá próximo.",há 2 anos,0,
Espero que sim mas vai ser eliminado rápido,há 2 anos,0,
SIM É AMÉRICA MG NA LIBERTADORIS,há 2 anos,1,
AGORA É CEARA VS AMÉRICA,há 2 anos,0,
Cadê a torcida do América?!,há 2 anos,0,
"Aki é Galo, mas feliz pelo Coelho! 👊🏻 Bora, Coelho! 👏🏻",há 2 anos,0,
Porra não 👎 e porque a chape já caiu que o vara precisa bater um pênalti assim,há 2 anos,0,
"Parabéns América pela permanência na série A !Muitos não esperava, nem eu 🤭",há 2 anos,0,
"Se o Lisca não fosse covarde, tava empregado. Kkk",há 2 anos,0,
Faz gol contra o lanterna e manda um cala boca?? .só se for pra ele mesmo..kkkkk,há 2 anos,0,
O Coelhão Malvadão Vai Para a Conmebol Libertadores,há 2 anos,0,
A chape na situação que está o cara me bate um pênalti assim kkk,há 2 anos,0,
"Esse time da Chapecoense é muito ruim kkk , até os times de interior povoado do Maranhão são melhores q esse daí",há 2 anos,0,
Ademir é do galão 🖤🤍,há 2 anos,1,
América melhor de minas sou flamengo bom se forem p libertadores,há 2 anos,0,
"Através desse pênalti , mostra porq a chapecoense tá na série b  como um jogador profissional bate um pênalti assim lamentável",há 2 anos,0,
Coelhão finalista da Libertadores 22 contra o Boca Juniors.,há 2 anos,0,
Esse Mauro Zarate joga muito. Olha a visão de jogo que esse cara tem pra dar os passes 👏👏👏 o América tava precisando era disso,há 2 anos,1,
Ademir vai Arrebentar no Galo em 2022,há 2 anos,0,
ano que vem Ademir no galão,há 2 anos,0,
"Não é atoa que a Chape é a última colocada , que vergonha esse pênalti batido",há 2 anos,0,
Campanha espetacular do america hein de candidato ao rebaixamento pra disputa libertadores 2022 fantástico quem deve chorar nesse momento o Vagner mancini kkkkk,há 2 anos,0,
O narrador tem a língua presa. Oliveiga 😅,há 2 anos,0,
"chapecoense is fucking joke, their place is in serie c or serie d lol",há 2 anos,0,
"Seu futebol é sensacional , cantamos para o mundo inteiro . Parabéns meu América , só orgulho",há 2 anos,1,
"O América tem potencial pra encher o estádio, se abaixassem os preços eles lotariam com ctz nessa boa fase",há 2 anos,1,
Será que já temos o saco de pancadas da Libertadores do ano que vem ? Kkkk,há 2 anos,0,
Esse Ademir não fica no América ano que vem não. Vai pra um time da Europa.,há 2 anos,1,1
q narrador horrível kkkkk,há 2 anos,0,
Jogo com gosto de vingança do coelho!,há 2 anos,0,
"Chapecoense já era ,esse e um time de série C",há 2 anos,0,
Está chapecóece  me traz traumas  aquele tragédia ninguém esquece,há 2 anos,1,
Adhemir joga muito,há 2 anos,1,
(  ferroviário. Cabo de st. Agostinho. PE. Brasil. Alô rapaziada. ),há 2 anos,0,
Esse time do América entregou 2 jogo pro galo e ainda tirou ponto do flamengo e ainda de quebra deu o Ademir pro galo... Vai vendo,há 2 anos,0,1
Daora,há 2 anos,0,
"esse Ademir aí joga em
fds vai ser um jogaço ceará e América",há 2 anos (editado),1,
Esse burro não sabe bater pênalti,há 2 anos,0,
"Eu acho que a torcida do América deveria dar valor a campanha do time e encher o estádio, e a diretoria colocar os ingressos mais baratos",há 2 anos,2,
Show  De Bola Do América Mineiro Pra cima Da chapecoense,há 2 anos,0,
América dando aula de como vencer o lanterna pro Corinthians.,há 2 anos,2,
"Esse Ademir colocar hyoran , Natan e sacha no bolso .",há 2 anos,1,
Esse jogo aí de vê ter uns 45 torcedores,há 2 anos,0,
Ta jogando dms o ameriquinha,há 2 anos,0,
Ele já fechou com o Atlético Mineiro,há 2 anos,1,
América maior amigo do galo,há 2 anos,0,
Esse foi o ano para provar que a distância entre os clubes de mídia e massa do futebol brasileiro diminuiu consideravelmente dos demais. Prevejo logo logo um campeão brasileiro inédito.,há 2 anos (editado),1,
coitada da chape,há 2 anos,0,
"olha o time que o mancini abandonou pra ir pra um time ""ja rebaixado""",há 2 anos,1,
Parabéns ao América-MG... melhor goleiro do Brasil... Sou corinthiano e admito,há 2 anos,2,2
Ademir joga muito. O Galo vêm muito poderoso em 2022,há 2 anos,1,
Oque o mancine pensa quando ver isso em,há 2 anos,1,
Grande MECÂO.,há 2 anos,0,
"Merece sim,mais para a sulamericana,  pq libertadores é passar vergonha,  se os presidentes não gastam para que o América permaneça na série A, imagina o vexame na libertadores,  mais parabéns,  time muito envolvido",há 2 anos,0,
Ademir joga muito e parabéns pro América pela campanha,há 2 anos,0,
"Parabéns América...
Em Minas temos dois grandes times......",há 2 anos,2,6
Tchau chape🖐🖐,há 2 anos,0,
AsxrrsseesAasa,há 2 anos,0,
"O Coelho vem forte para disputar uma vaga na Libertadores? 


TODOS os gols da rodada e os melhores palpites você só encontra aqui.

Inscreva-se em nosso canal e não perca nenhum vídeo!",há 2 anos,0,
COELHÃO VAI BEM,há 2 anos,0,
