text,time,votes,replies
"E aí, torcedor?
O que achou do resultado?",há 2 anos,594,164
SOU de Pernambuco e tenho simpatia pelo sport por meu pai,há 9 meses,0,
SPORT 1X0 CORINTHIANS,há 1 ano,0,
vulgo maior do nordeste 🔥,há 2 anos,1,
Finalmente narrou direito pq 2008 meu deus vergonha pra Cleber machado,há 2 anos,0,
"kkkkkkkkkkkkkkkkkkkkkk se fodeu timinho lixo, foi pra série b",há 2 anos (editado),2,1
Alfassio entregando a rapadura,há 2 anos,0,
Que jogo apático,há 2 anos,0,
"Esse gol anulado do Sport foi mó mancada, o fracassio veio logo chorando pra cima do juiz 🤦🏻‍♀️",há 2 anos,0,
Vitória mericida do Sport,há 2 anos,0,
Kkk,há 2 anos,0,
Pensou que era o flamengo🤭🥺,há 2 anos,0,
Sport o melhor time do nordeste,há 2 anos,0,
Mais 1 frango!,há 2 anos,0,
Cássio mão de alface,há 2 anos,1,
Time totalmente desorganizado...isso eh a mão do Sylvinho,há 2 anos (editado),0,
Esse é o Cássio que eu conheço,há 2 anos,1,
Vcs Não Perceberam Ainda Que O Cassio Tá Sem Vontade S,há 2 anos,0,
Meu Deus esse Cássio é muito frangueiro cara,há 2 anos,0,
Esse Cássio é um frangueiro da disgraça!,há 2 anos,0,
FlaBosta não tem estádio,há 2 anos,33,
Rival a altura do Flaimenso?,há 2 anos (editado),24,
flacachorra prenha não tem estádio 🤣🤣🤏 minúsculos,há 2 anos (editado),18,
"Corinthians com o sylvinho:



Corremos sérios riscos de não pegar vaga direta da libertadores, podemos ser eliminado facilmente na fase de grupos da libertadores, podemos ser Rebaixado no Br de 2022, ser eliminado da copa do Brasil, ser eliminado do paulista
Vá embora sylvinho, desista cara!",há 2 anos,20,
"Merecido, sport tava mt melhor",há 2 anos,38,
Os nanicos nos roubaram! FORA CÁSSIO FORA JÔ,há 2 anos,7,
"Parabéns sylvinho, fomos amassado pelo time do pior ataque do brasileiro, e ainda perdendo a série de 10 jogos invicto!",há 2 anos,14,
mais um vexame do corinputa!,há 2 anos (editado),8,
corincú nanico.,há 2 anos (editado),9,
Ótimo ⚫🔴⚫🔴,há 2 anos,10,
CADE A SULAMERICANA NANICO,há 2 anos,4,
Justo o Sport jogou melhor,há 2 anos,19,
 @mjr6420  Oi,há 2 anos,1,
Gg papai,há 2 anos,0,
Ruin,há 2 anos,0,
 @user-lu4td8cm5k  Já viu seleção ter estádio?,há 2 anos,3,
Resultado normal pro poderoso timão🤣🤣,há 2 anos,11,
Achei ruim pq o sport passo nois na tabela,há 2 anos,6,
Juiz ruim 🤢,há 2 anos,1,
