text,time,votes,replies
"Se não fosse gol, tinha que se dado pênalti para o Corinthians em, que foi pênalti claro em",há 9 meses,0,
Corinthians e Red Bull Bragantino empataram! Bragantino 2 x 2 Corinthians,há 1 ano,0,
"Lembro que foi num sábado à noite, estava minha família aqui fazendo churrasco, dois tios palmeirenses fanáticos e meu namorado santista, só secando o jogo kkkkkk",há 1 ano,0,
Mosquito mereçe demais jogar esse paulista de 22,há 2 anos,1,
Um dos melhores jogos da série A 2021,há 2 anos (editado),2,
Alfassio entregando a rapadura,há 2 anos,2,1
"De um time que brigava no Z4 pra uma evolução absurda. Com algumas melhorias táticas, posições e menos erros de passes, podemos brigar por títulos ano que vem.",há 2 anos,1,
"O bragantino escorregou na bosta nesse jogo,fora o clayton que pegou demais,o timao deitou,se é o loko castanhera",há 2 anos,1,
Full match please 🙏,há 2 anos,1,
O bragantino joga muito,há 2 anos,1,
"Tomar no cu , Cássio tá ruim pra caralho , tem que sair dessa porra",há 2 anos,2,1
Ja perdi a paciencia com o cassio vei,há 2 anos,2,
São Paulino de todas as idades 😳 ta chegando o jogo contra o curintia🤡,há 2 anos,2,
🤍🤍🤍💯💬,há 2 anos,2,
"Cara, vejam os 2 gols do Corinthians em câmera lenta, e acompanhem a movimentação dos defensores do Bragantino. Muito estranho, parece que estavam marcando de longe e ensaiando os gols para o adversário.
Na Itália teve um baita escândalo de interferência nos resultados e das casas de aposta, não falando porque é o Corinthians, mas temos que abrir os olhos aqui no Brasil",há 2 anos,1,
"Melhores momentos do jogo pra vê um time andando em Campo?? Que jogo horroroso,  uma várzea mesmo. Flamengo carrega  a qualidade do futebol Brasileiro nas costas.",há 2 anos (editado),1,1
Corinthians entra em 2022 pra disputar até Champions league 🖤⚪🦅🚨,há 2 anos,2,
SUPER MEU CURINGÃO!!!!,há 2 anos,2,
"Ei, meu Palmeiras! Estamos há anos com grandes elencos, nada justifica esse futebol medroso, ok? O Corinthians tá se remontando agora e já tá mostrando atitude nas quatro linhas, não estão se omitindo!

Palmeiras, temos time para mais futebol!",há 2 anos,1,3
"Caramba, o jogo parece que foi animado...

Corinthians é um bom time, mas não esperava que empatassem àquela altura",há 2 anos,1,
Kkkkkkkkk so corintiano mas nâo tankei,há 2 anos,0,
FALA DELE,há 2 anos,0,
"Mds mano, ironia né?",há 2 anos (editado),1,
Palmeirense emocionado,há 2 anos (editado),0,
" @dangerousop7085 , e aí, fake! Me ajuda aí, dá algum argumento! Porque falar merda assim, até minha sobrinha de 8 anos fala.",há 2 anos,0,
 @erickmoura9355  eu discordo craque!,há 2 anos,0,
"Rapaz há um tempo atrás a gente tinha que assistir Vital, Camacho, Natal, Ramiro... agora dá até gosto ver esse time jogando",há 2 anos,1,
"Narrador falar que merecia, ele é Corinthiano?",há 2 anos,2,1
Jogaço,há 2 anos,1,
Camisa 123?,há 2 anos,1,1
"Esse Corinthians tá jogando igualzinho a 2015, até na postura! 4-1-4-1, NO final Giuliano veio fazer a função de camisa 5.",há 2 anos,1,
Crlh q daora o narrador do Pes.,há 2 anos,2,
Se não empatassee com 8 minutos de acréscimo  tava jogando até agora kkkkkkkk,há 2 anos,1,
Esse goleiro do bragantino mds pegou tudo,há 2 anos,0,
perde mais não kkkkkk,há 2 anos,0,
"Juiz ruim ainda acenou dizendo que não foi pênalti 
Ainda bem que o mosquito fez o gol",há 2 anos,0,
quando o Renato fez o gol todos correram pra comemora já o do mosquito só o Fagner apareceu que estranho isso não,há 2 anos,0,
"O Corinthians já caiu duas vezes, igual o WhatsApp, que caiu junto com insta.",há 2 anos,0,1
"Renato Augusto chama a responsabilidade
Giuliano muito inteligente taticamente
Willian enorme habilidade 
Roger Guedes chama marcação 
GP drible e inteligência",há 2 anos,0,
Corinthians nos últimos jogos só golaços !,há 2 anos,0,
"Caramba gente, o cassio não pode tomar gol tão fácil de defesa, de um lado cleiton pega tudo; do outro esse  pé de rato do cassio levando frango como esse.",há 2 anos (editado),0,
"Gol do mosquito impedido, mas ngm viu",há 2 anos,0,
"Jogaço, corinthians vem melhorando. Sou flamenguista, aprecio o futebol jogado",há 2 anos,0,
Vergonha Red Bull 😠😠,há 2 anos,0,
"É sério q o Bragantino fez 2x0 aos 40"" do segundo e conseguiu tomar o empate? Meu Deus do céu! 🤦‍♀️",há 2 anos,0,
narrador é chato que doi,há 2 anos,0,
Ele é santista,há 2 anos,0,
23 e a data que o filho dele nasceu. E como o Fagner já tá com a 23 foi mesmo 123,há 2 anos,1,
Duas vezes? flamenguista é burro pra crl,há 2 anos,1,
"Resumindo foram 4 chutes do bragantino pra 2 gols, e 10 do corinthians pra 2 gols, o goleiro do bragantino tava inspirado,se nao era pra ser goleda corinthiana ! OBS; SIM EU CONTEI TODOS CHUTES A GOL DE CADA EQUIPE!",há 2 anos,1,
Se não for na luta nem é o timão🖤🖤🖤🦅,há 2 anos,0,
Timão jogou como nunca e empatou como sempre,há 2 anos,0,
Se não fosse gol do Mosquito o juiz não daria o pênalti. E olha que o cara  quase leva a alma do Adson na pernada.,há 2 anos,0,
Jogão,há 2 anos,0,
"Várias bolas difíceis o goleiro do Braga pega a primeira bola de longe Cássio toma, se aposenta caralho",há 2 anos,0,
"Quer saber se um jogador é ruim? Se ele fizer gol e por o dedo no ouvido, manda embora kkkk",há 2 anos,0,
Cassio ja era aceita tudo . Vende esse frango,há 2 anos,0,
"Cara, Renato está jogando demais, era para o Flamengo ter trazido ele!! Kkkk",há 2 anos (editado),1,
Goleiro do bragantino e bom.,há 2 anos,0,
Hoje tem gol do rg Roger guedes,há 2 anos,0,
O jogo terminou 2x2 mas moralmente foi uns 5x 3 pro Corinthians. Esse goleiro do Braga e uma parede. E esse time é enjoado demais. Parabéns ao esquema técnico do bragantino.,há 2 anos,0,
também olha esse goleiro dos cara mn,há 2 anos,0,
Isso é CORITNHIANS!,há 2 anos,0,
Comunistas safados,há 2 anos,0,1
Jogo roubado hurtado tava a frente eo COMENTARISTA ainda fala que foi correto a arbitragem o futebol tá muito injusto,há 2 anos,0,
Joga muito Renato Augusto,há 2 anos,1,
"tem uma galera anti ai dizendo que mosquito estava impedido, eu nao sei se estava impedido ou nao, mais mesmo que estivesse foi penalti claro em adson, dificilmente nao sairia o gol de empate, o cara do bragantino errou o chute e acertou bem nas costelas de adson , penalti claro e ainda acho que o lance foi violento, se aquilo nao for penalti, eu sinceramente nao sei mais o que é.",há 2 anos,0,
"Fica cortando a narração, deixa rolar inteiro os lances! Muito ruim a edição!",há 2 anos,0,
Roubaram o bragantino 🤢,há 2 anos,2,
Kkkkkkkkk vo te pegar e fazer vc passar fome,há 2 anos,0,
8 minutos de acréscimo é só no brasil que isso acontece.,há 2 anos,0,
Bragantino incompetente.... merecia a derrota.,há 2 anos,0,
Bragantino Redbull tá bom demais,há 2 anos,0,
bragantino é time muito vacilão,há 2 anos,0,
"Realmente foi um jogasso e esse goleiro Cleiton fez milagres também a vitória não veio, mais só em ver o time em evolução já nos dá esperança de dias melhores",há 2 anos,0,
O roger de ponta joga mt mas centroavante nao,há 2 anos (editado),0,
NÃO SE ESQUECEM Q O CORINTHIANS TÁ GARANTIDO OS PONTOS PRA NÃO SER REBAIXADO KKKKKKKKKKKKKKK,há 2 anos,0,
Renato Augusto é muito fod@,há 2 anos,0,
Corinthians precisa contratar um grande goleiro urgente.ta difícil  aturar desculpas Pará manter o cassio,há 2 anos,0,
