text,time,votes,replies
"Fernando Miguel agarrou tuuuuudo! 😎
Quem aí colocou ele no Cartola e mitou?",há 3 anos,220,20
😊,há 1 ano,0,
A,há 1 ano,0,
Kkk,há 1 ano,0,
2:01 que nojo ver isso mano,há 2 anos,1,
"Camacho não joga porra nenhuma, no Coringão nem no Santos.",há 2 anos,0,
Quem está em 2022 vendo essa belezinha,há 2 anos,1,
o jogo que marcou a estreia de sylvinho no comando do Corinthians,há 2 anos,2,
Só rindo dos comentários de quem disse que o Corinthians iria cair 😂😂😂😂😂😂,há 2 anos,0,
Esse Camacho era Ruim kkkk,há 2 anos,0,
"Mds ,como é bom saber que agora temos um time  ,esses pe de rato foi tudo embora.",há 2 anos,0,3
Sksksk,há 2 anos,0,
Vai curica. Kkkkkkkk,há 2 anos,0,
"( Quem tá aí surpreso que o brasileirão já começo ? ) ⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️ mais foi só por um gol 🥅 não é mesmo ? Então eu Levei 9 ,7 mil vídeos para saber do brasileirão eu fiquei tão surpreso e até assisti no premiê da TV",há 3 anos,1,
globo LIXÃO,há 3 anos,0,
Perdeu de novo na Copa do Brasil,há 3 anos,0,
O eterno freguês do ATLÉTICO GOIANIENSE 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 3 anos,1,
Quem veio depois dos 2 a 0 kkk,há 3 anos,0,
Choraaaaaaa uééé 😂😂,há 3 anos,1,
Qualquer um vai ganha do Corinthians esse ano,há 3 anos,0,
Euuuuuu,há 3 anos,7,
"FERNANDO MIGUEL FEZ UM JOGAÇO HOJE
pensa a felicidade de quem boto ele no cartola
Corinthians nao ta conseguindo engrenar hein
DRAGAO TA COMEÇANDO BEM O BRASILEIRAO",há 3 anos,6,
FlaMaconha segue sem estádio,há 3 anos (editado),7,
Eu escalei o Walter 🤡 foi dica do Caioba 😐,há 3 anos,7,
 @jeffersonsabino2629  tbm e o infeliz negativou,há 3 anos,6,
"Corinthians maior do Brasil, fase ruim é passageira 🏴🏳️🦅",há 3 anos,6,
Flamengo sem estádio.,há 3 anos,3,
 @jeffersonsabino2629  eu tbm kk,há 3 anos,3,
 @Balt0_oLobo  Boa piada mano kkkkk,há 3 anos,4,
 @marceloalves7467  n é piada é fato,há 3 anos,2,
 @Balt0_oLobo  maior vergonha ne? Adianta nada mandar treinador embora. Sendo que os jogadores nao vale nada 😂😂😂😂😂😂😂,há 3 anos,5,
Escalei ele fui um dos 38 mil cartoleiros que escalaram ele,há 3 anos (editado),3,
"Ai pega mesmo, oa cara acham que tao chutando na propria mae, pelo amor de deus com esse comentario, foi pra ganhar like ou passar mais vergonha que esse time ridiculo?? Ate eu que nao posso jogar bola fora de forma, com ligamento no joelho, e com problema na colunad faço pelo menos um gol nesse time, se eu nao fizer gol eu deixo o cara sozinho no jeito de fizer, se isso nao acontecer eu dou meu cu pra qualquer cachorro, ass juninho jesus!!

Time de merda, mais merda ainda quem colocou esse comentario do ge",há 3 anos,1,
Duvido se eu tivesse nesse time do corinthians se tava esse merda de time de hj,há 3 anos,3,
Esse time do corinthians não toma vergonha na cara mesmo diretoria de merda todos safados Gil não da Camacho esses caras são horríveis jogando,há 3 anos,1,
Time fraco o goleiro as vezes se Destaca.,há 3 anos,2,
FM do vascao😎,há 3 anos,2,
 @darkness5098  serie 🅱️🅱️ logo vem,há 3 anos,1,
Eu fiquei em dúvida entre ele Tiago Volpi e Walter acabei colocando walter,há 3 anos (editado),1,
Aqui qi ódio,há 3 anos,2,
Sim,há 2 anos,0,
Alguns estão voltando,há 2 anos,0,
F,há 10 meses,0,
"Que merda de time hein?,  Sofrendo pra ganhar...desse timeco do Cúrintia , Pô vamos melhorar Atlético rsrsrs",há 3 anos,2,
CURINTIA ESSE ANO NÃO ESCAPA KKKKK,há 3 anos,0,
CARALHOOOOO QUE TIME RUIM DA DESGRAÇAAAAAAAAAAAAAAAAAAAAA RAPAZ PORRAAAAAAAA,há 3 anos,0,
Amanhã e dia de perde de novo 1x0,há 3 anos,0,
Esse CU rintia vive levando...,há 3 anos,0,
Time lixo Cássio seu bosta,há 3 anos,0,
Que Zica do Corinthians mano kkkkkkkk,há 3 anos,0,
"O corinthians jogou mtt ,era pra ter goleado o atlético, mas esse time perdeu mt gol vei ,se ferra",há 3 anos,0,
O atlético já deu uma amostra pra gaivota do que eles vão ganhar na copa do Brasil,há 3 anos,0,
"E pensar q um dia já foi um gigante do futebol😔




Forças Paraná",há 3 anos,0,
Bicho esse goleiro do do meu Dragão pega muito ein Fernando Miguel 🥅⚽️🙌,há 3 anos,0,
"Vitória moral pro time do Atlético- Go!    Derrotando os gambás dentro do seu Campo! K k,k  k 😬😬",há 3 anos,0,
C n fosse o fernando miguel teria goleado,há 3 anos,1,
Corinthians vai brigar pra não Cair,há 3 anos,0,1
Perdemos pro Dragão Negro dos Olhos Vermelhos vsf,há 3 anos,0,
Essa rodada era pros 4 grandes Paulistas perderem se o Fluminense não pipocasse contra o sp.,há 3 anos,0,
Eu já Sabia!!!,há 3 anos,0,
chances claras corinthians 4x3 goiniense,há 3 anos,0,
"Falo nd







KKKKKKKKKKKK",há 3 anos,1,
O MAIOR CULPADO FOI O ORGULHO E PREPOTENCIA DO SILVINHO ...ERA MANTER O ELENCO QIE GOLEOU OS DOIS JOGOS DA SULAMÉRICANA MAS CAMACHO NAO DA MAIS FABIO SANTOS E GIL E JÔ DEVEM ESQUENTAR BANCO,há 3 anos,0,
PIADA KKKKKKKKKKKKK,há 2 anos,0,
"Poha velho, técnico fraco do caralho, colocar Ramiro, Cmacho e Roni no meio de campo e Luan de centro avante é ser burro dms, isso porque ele estudou e foi auxiliar técnico de vários treinadores.

Poha, continua jogando com 3 zagueiros

3 3 1 3

Cássio

João Vitor
Bruno mendes
Raul

Fagner
Gabriel
Piton

Luan

Mosquito
Araus
Vital

Faz o simples poha!!!!",há 3 anos,0,
Corinthians série B 2022..... time ruim da porra,há 3 anos,0,
Eu sou corinthiano mais o rebaixamento esse ano inevitável  👎,há 3 anos,0,
Vai acabar é caindo pra serie b desse jeito,há 3 anos,0,
"Eu acreditando que Vital não ia perder o pênalti🤡🤡🤡🤡, mas esqueci q ele não é Fábio Santos.",há 3 anos,0,
O sistema de 4 do sylvinho não deu certo contra o Atlético goianiense 😂😂😂,há 3 anos,1,
CHUPA GAMBAZADA CALOTEIROS,há 3 anos,1,
Gaivotas fiéis KKKKKKKKKKKK,há 3 anos,0,
A diferença de um time! No VASCO TETRA REBAIXADO esse Fernando Miguel era um goleiro comum....foi só ir para um time superior ao VASCO TETRA REBAIXADO o cara agarra tudo kkkkkkkkkkkkkkkk,há 3 anos,1,
O Corinthians não por causa do Miguel,há 3 anos,0,
"Está na primeira rodada e já estão dizendo q o Corinthians vai cair, me passa o número da mega sena da virada pois tem muita mãe Diná",há 3 anos,0,
"pikachu e fernando miguel sendo decisivos, obvio q o problema é o vasco",há 3 anos,0,
"Sou corinthiano mas o Parmera perdeu pro Flamengo,Fora d casa,Aí td bem,MAS O CURINTHIA PERDER PRO ATLÉTICO-GO EM CASA É D+",há 3 anos,0,
"2017 O Rogério Ceni quase rebaixou o São Paulo, vamos ver se o Sylvinho é fraco mesmo  ou se apenas deu azar na estreia...",há 3 anos,1,
2:45 quase que o bandeirinha entra na area pra fazer o gol ksksk,há 3 anos,0,
Realmente estamos bem de goleiros atualmente e o curintia o jeito é olhar pelo retrovisor mesmo pra frente está ruço sem grana time ruim só falta penhorar a arena também,há 3 anos (editado),0,
"BOA MEU ACGG EU T AMO ACG , VAMO PSS POR O CORINTHIANS,  VAMOS  ALTETICO GOOOO",há 3 anos,0,
Cu,há 3 anos,0,
"- ""Dragão enterrou a espada no coração de sao jorge""

Autor Desconhecido,2021",há 3 anos,0,
"tinha criticado o timão, mas vendo os melhores momentos o timão jogou muito mais",há 3 anos,0,
"Esse técnico do Corinthians é mó doentão, é só observar escalação e formação..
Vai embora doente",há 3 anos,0,
"Parabéns Sylvinho conseguiu perder pra um time treinado pelo BARROCA

Tô gostando de ver 👏👏👏",há 3 anos,0,
Só são Paulino e da até dó do mosquito o cara joga bem mais esse time do Corinthians não da,há 3 anos,0,
"Rony cara desesperado com a bola no pé parece que quer se livrar da bola porque não sabe nada, e camacho nem se fala,  que vergonha, cadê o camisa 10 e um 9 , e um volante q sabe sair jogando e tem raça.",há 3 anos (editado),0,
"Alguém me ajuda,como saber se eu fui o maior pontuador da rodada no cartola??",há 3 anos,1,
Fernando Miguel  tava  um paredão  mesmo,há 3 anos,0,
OBSERVARAM O TÉCNICO DO ATLÉTICO GOIANIENSE..  VERMELHO E PRETO ... MENGÃO ASSUSTOU  !!!,há 3 anos,1,
"Sou Corinthians, mas tem que admitir que essa é nossa realidade: com esse time fraco não tem treinador que dê jeito..
E podemos estar preparados, porque é daí pra pior esse ano!!",há 3 anos,0,
😂😂😂😂😂😂😂😂,há 3 anos,0,
Parabéns ao Dragão.  Não é fácil vencer o Timao no seu campo . Goleirao do atletico pegou tudo .,há 3 anos,0,1
Que goleiro!! Pra mim um dos melhores do Brasil!,há 3 anos,2,
no vasco o fernando miguel n fazia isso,há 3 anos,0,
Ae nmrl esses fdm quer coloca  Luan só no segundo tempo,há 3 anos,1,
Tá ruim mas tá bom..,há 3 anos,0,
Corinthians é pior do que qualquer time de terceira divisão,há 3 anos,0,
Gil Camacho Ramiro no mesmo time é pedir pra perder!!!,há 3 anos,1,
Caiu em Itaquera Corinthians já era !,há 3 anos (editado),0,
"Especialistas em cartola:

""Pode botar Matheus Vital que vai dar bom.""",há 3 anos,1,
Que aza em o Corinthians não marca nem com pênalti namoral traz jogadores novos kkkkkk,há 3 anos,0,
