text,time,votes,replies
"E ai, o que achou da vitória do Santos? ⚽",há 2 anos,"1,5 mil",283
Saudades desse dia 🥺 Santos sempre santos 🤍🖤🐋,há 6 meses,2,
"Essa globo é GABIZETE, tirou o lance que mais interessa aos torcedores, ver o GAROTO JOÃO GOMES DAR UM EMPURRÃO NOS PEITO DO GABIPERDEGOL e ele ficar caladinho, kkkkkkkkkkk",há 1 ano,1,
Meu time ganhou ne,há 1 ano,1,1
E foda,há 2 anos,1,
"Flamengo ama uma vergonha, time horrível do Santos.",há 2 anos,1,
Flamengo jogou mt,há 2 anos,1,
Impedimento aff,há 2 anos,1,
EFILP,há 2 anos,1,
Flamengo jogou como nunca e perdeu como sempre kkkkk,há 2 anos,1,
2:30 - É a primeira vez que eu vi esse cara perder penálti,há 2 anos,1,
SANTÃO 💪⚪⚫,há 2 anos,1,1
Alguém tinha dúvida que o Gabigol ia erra esse pênalti? Kkkkkkk,há 2 anos,1,
Os flamenguistas chorando kkkkkkk falando q foram roubado,há 2 anos,2,
João Paulo paredão 👏👏👏,há 2 anos,4,
Eu vendo o vídeo depois da chegada do marinho no flamengo,há 2 anos (editado),2,
Ele pegou muito cheio pra bater pro gol e ele errou 😅🤣🤣,há 2 anos,1,
So da jogão quando flamengo e santos se enfrenta slk,há 2 anos,2,
O Jean Paulo devia vir para o Timão para substituir o cassio,há 2 anos,2,1
João Paulo. Um monstro,há 2 anos,0,
"ADORO VER OS TORCEDORES DO FLAMENGO CHORANDO É MEU REMÉDIO DIÁRIO MINHA ENERGIA SEMANAL, MINHA INSPIRAÇÃO MENSAL, MINHA MOTIVAÇÃO ANUAL O CHORO DELES É A UNICA RAZÃO PELA QUAL AINDA VIVO, NASCI PARA AMAR É DESFRUTAR O FRACASSO QUE ELES ALCANÇARAM.",há 2 anos (editado),92,
"ADORO VER OS TORCEDORES DO SANTOS CHORANDO É MEU REMÉDIO DIÁRIO MINHA ENERGIA SEMANAL, MINHA INSPIRAÇÃO MENSAL, MINHA MOTIVAÇÃO ANUAL O CHORO DELES É A UNICA RAZÃO PELA QUAL AINDA VIVO, NASCI PARA AMAR É DESFRUTAR O FRACASSO QUE ELES ALCANÇARAM.",há 2 anos (editado),23,
Flamengo não tem estádio,há 2 anos,55,
SOU CORINTIANO É ADMITO QUÊ O PRANTOS NÃO TEM TORCIDA,há 2 anos (editado),19,
SOU CORINTIANO É ADMITO QUÊ O SANTOS É TIME PEQUENO,há 2 anos (editado),12,
"HERÓICA, A CAMISA PESOU ISSO SIM!!!!!!!",há 2 anos,29,
GOOOOL DO DEYVERSON 👃👃👃💚💚💚🐷🐷🐷,há 2 anos,19,
Olha só o Deyverson 👀👀 roubando a bola 🥷🏻🥷🏻🥷🏻 o Deyverson bateu pro gooooool 🥅🥅 é do palmeiras 🟢🟢 Deyverson 🧑🏽 predestinado deyverson 🙅🏻‍♂️🙅🏻‍♂️ uma bobeira danada 😴😴😴 da zaga do Flamengo 🔴⚫ lá estava ele ⬇️⬇️ Deyverson 🧙🏻‍♂️ que não desiste nunca ❌❌ Deyversooooon 👃👃👃,há 2 anos,20,
Flamengo Perdeu a libertadores com gol do Deyverson 😂😂😂pqp,há 2 anos,16,
 @LUCAS_CRF  kkkk chora anti vai falar mal do time agr ??,há 2 anos (editado),4,
Venceu que e maior e tri da libertadores,há 2 anos,10,
"ATHLETICO PARANAENSE: SUL-AMERICANA
ATLÉTICO MINEIRO: BRASILEIRÃO
PALMEIRAS: LIBERTADORES
FLAMENGO:










KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
👃👃👃👃👃👃👃👃👃👃",há 2 anos,17,
Venceu o que tem estádio,há 2 anos,16,
gostei não,há 2 anos,1,
 @matheussccp2023  seu time ganhou oq nesse ano não ganhou nada então fica quieto Corinthians e time pequeno lixão do karalho,há 2 anos,3,
I-N-C-A-Í-V-E-L ⚪⚫⚪⚫,há 2 anos,9,
 @LUCAS_CRF  tá valendo sim o santos não ser rebaixado,há 2 anos,3,
Amém,há 2 anos,2,
 @rafaeldias4950  Flamengo super copa do brasil e carioca,há 2 anos,0,
Decepcionante,há 2 anos,0,
Não gostei,há 2 anos,0,
Roubo,há 2 anos,0,
Flamidia de volta ao cheirinho com força,há 2 anos,2,
Otimo,há 2 anos,0,
 @matheussccp2023  nanico,há 2 anos,0,
Achei que deixaram de mostrar lances importantes do Santos. Nota 0 para o editor!,há 2 anos,3,
Flalixo não tem estádio,há 2 anos,2,
Eu li,há 2 anos,0,
 João Vinícius  VC conseguiram,há 2 anos,0,
SANTOS PAI DO FLANANICOOOO,há 2 anos,2,
Nada de mais apenas a camisa pesando🤷,há 2 anos,3,
Maior time do Brasil ganhou!!,há 2 anos,6,
 @bugao9527  ksksksksks Pelé vai dar pra eles,há 2 anos,0,
