text,time,votes,replies
"E aí, torcedor?
O que acho da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,364,62
😂😅😅😂😅😂🎉🎉🎉🎉🎉,há 7 meses,0,
😅😂😅😂😂😅😂😅😂😅😂 0:25 0:25 ❤❤ 0:25 ❤ 0:25 ❤ 0:25 ❤ 0:25 ❤ 0:25 ❤ 0:25 ❤😅😅😂😅😂😅❤😅❤😅❤😅❤😊❤😊❤😊❤😊😂😂😅😂😅🎉😅🎉😅🎉😅🎉😅🎉😅😂😅😂😅😂😅😅😂😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂,há 7 meses,1,
Que sdd de ver scarpa e veiga mano,há 1 ano,0,
PALMEIRAS 4X0 ATLÉTICO-GO,há 1 ano,1,
"Há mais de duas semanas atrás o Palmeiras ganhou desse time de virada por 4 a 2, esse goianiense sempre vacila kkkk",há 2 anos,1,
Vamos PALMEIRAS seremos campeões com fé em Deus Jesus eu acredito 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾,há 2 anos,1,
Palmeiras ganha nada esse ano...fogo de paia,há 2 anos,0,
Coitado do bota fogo foi jogar de vermelho o exército verde atropelou .,há 2 anos,2,
"Ahh, que bom ficar revendo!",há 2 anos,1,
scarpa<3,há 2 anos,0,
rafael veiga e dudu e uma lendaaa,há 2 anos,0,
Veiga tem uma esquerda Linda,há 2 anos,0,
Veiga e scarpa puta que pariu jogam muitos,há 2 anos,0,
"Últimos 4 jogos Palmeiras x Atlético GO

Palmeiras 11x1 Atlético go",há 2 anos,1,
"Não é pq sou torcedor não, mas esse estádio do allianz parque e muito menos o gramado parece ser da América lindo demais, diferente demais!!",há 2 anos,1,
Que tapa do Patrick de paula,há 2 anos,1,
sopa de gools vai verdao,há 2 anos,0,
💚🤍💚🤍💚,há 2 anos,0,
ANDRÉ ALVES LUKA LUCAS CLARO JOÃO PAULO DUDA BRUNINHO THOMAS RONALDINHO  DANIEL O WALAN RODRIGO CAIO FÁBIO JUNIO RONY FRED Y FRED Y MARCOS ROCHA KAYE FABIAN O DARLEY GUSTAVO ESCARPA FERNANDO MIGUEL PATRICK DE PAULA RONALDINHO GAÚCHO  YOU APAIXONADO PORVOCES. QUERO CASAR CON VOCÊS TENHO MUITA TE SÃO POR VOCÊS TENHO MUITA TE SÃO POR VOCÊS TENHO MUITA TE SÃO POR VOCÊS TE MUITA TE SÃO POR VOCÊS JOÃO PAULO TENHO MUITA TE SÃO POR VOCÊS TENHO MUITA TE SÃO PORVOCES.,há 2 anos,0,
Segura o Palmeiras malvadão 💚💚,há 2 anos,14,
PALPUT4 NÃO TEM MUNDIAL,há 2 anos (editado),1,
 @cruzeiro6432  apodreça na série B nanico kkk,há 2 anos,9,
"Raphael Veiga era para tá na seleção, tá jogando mais que Coutinho.",há 2 anos,7,
Verdão 💚💚👏,há 2 anos,3,
Os antis piram 💅💅 ficam tudo puto quando o Palmeiras ganha,há 2 anos,13,
Flaputa continua sem estádio,há 2 anos,4,
 @JhonSouza10  fato,há 2 anos,2,
 @cruzeiro6432  kkkkkkkk como è senti torce por cruzeiro KKK se a Atlético mineiro e amarica tão mas a frente que vcs kkkkkkkk,há 2 anos,3,
" @cruzeiro6432  VCS vão morrer na série B, time pequeno não merece ir pra série a não kkkkkkkk",há 2 anos,5,
" @cruzeiro6432  chega na final da libertadores então, teu time tá na série b, apanhou pro Remo kkkkkkkkk não conseguiu ganhar do avai kkkk e faz rivalidade com csa na série b kkkkkkkk",há 2 anos,3,
" @cruzeiro6432  série b, time falido",há 2 anos,3,
 @cruzeiro6432  fregues de time que não tá nem na primeira divisão??? Fala o Cruzeiro com C maiusculo que tá na serie b querendo ter moral,há 2 anos,3,
@UTC−3 tá vendo alguém jogando mundial?eu vi brasileiro,há 2 anos (editado),3,
"Aqui é gato, mas valeu.",há 2 anos,1,
Não tem Mundial 😂😂😂😂😂,há 2 anos,1,
 @cruzeiro6432  não e agente que tá na série b hahahaha,há 2 anos,2,
 @cruzeiro6432  falou o torcedor sofredor seria c kkkkkkkkk,há 2 anos,3,
 @matheussccp2023  mundial não define time não meu amigo se ligar,há 2 anos,4,
 @fabioalquati8739  não vir ninguém jogando mundial não vc viu ? Mundial ficou na história muito tempo atrás e quem vive de coisa antiga e museu,há 2 anos,4,
 100 SEM ESTÁDIO 87 É DO SPORT ISSO É FLAVADÍA  vc merece meu respeito amigo 👏👏👏,há 2 anos,3,
Avanti palestra 💚💥💯👏👏,há 2 anos,3,
 @cruzeiro6432  do seu time está na série D vc n se importa né?😥,há 2 anos,3,
"essa mocinha q falou q não foi pênalti, vcs poderiam reciclar o curso de arbitragem pra ela, q pelo amor hein, e a desculpinha dela foi ainda pior",há 2 anos,1,
Avante Verdão 💚🐷🏆,há 2 anos,3,
Mais um espetáculo alviverde!!!,há 2 anos,2,
PREPARA O COOOLL FLAMENGO,há 2 anos,2,
Jogou com objetivo dos 3 pontos. É assim que gostamos .,há 2 anos,1,
"O que vc acha não podemos responder, só vc msm estagi!",há 2 anos,1,
