text,time,votes,replies
"Que jogaço! Piscou, rolou lance perigoso! 
Mas diz aqui para o Estagiário, o resultado foi justo?",há 2 anos,250,41
"lembro até hoje
dei um grito tão alto nesse gol de empate do Lacerda que até fez eco no quarto",há 1 ano,0,
KKKK MUITA CAGADAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,há 1 ano,0,
QUAL NOME DESSE NARRADOR? KKK MT ENGRAÇADO SLK,há 2 anos,0,1
Jesus te ama muito ❤️,há 2 anos,0,
Alguém vendo em 2022?,há 2 anos,1,
O barulho da torcida do ceara do gol do lacerda,há 2 anos,0,
Boa vozão,há 2 anos (editado),0,
Cmcmccmc,há 2 anos,0,
"2:40 Meu Deus que AZAR, depois dos 45 do 2o.tempo o mesmo jogador por duas vezes desvia a bola nos dois gols do empate do Ceará.    Parabéns para CEARÁ por não desistir.",há 2 anos,0,1
"2:07 Narrador em país de primeiro mundo jamais diria o que este narrador disse. Pq o lance não é de falha do goleiro ou como ele coloca ""FRANGAÇO"" e sim de infelicidade. 
O desrespeito dos narradores no Brasil com os jogadores de futebol só acontece em país subdesenvolvido.",há 2 anos,0,
vamos leao 🔴🔵🔴🔵🔵🔴🔵🔴⚪⚪🔵🔴🔴🔵,há 2 anos,0,
O vozao foi roubado e teve ótimas oportunidade merecia ter ganho esse jogo,há 2 anos,0,
Braga Antino... Vai dar mole assim lá em Bragança kkkkk,há 2 anos,0,
"Gente, cade o Artur do Bragantino,  que ouve com ele?",há 2 anos,0,
Quanto gols do bragantino.😂😂😂,há 2 anos,0,
Red bull te da assas,há 2 anos,0,
"resultado foi justo, o Ceará produziu muito mais, o interessante que as chances claras do vozão o goleiro defendeu com muita técnica, nesse outros a bola nem estava na direção do gol e infelizmente para o goleiro não deu; por isso que  chutar apenas quando esta limpa a jogada nem sempre é o suficiente; 
na quarta faltou ao Mengão acreditar que a bola desvia e engana o goleiro, e o que vale é bola na rede e não como ela entrou ou se o goleiro falhou ou se desviou em alguém, agua mole em pedra dura tanto bate até que fura",há 2 anos,1,1
Bragantino dá muito mole deixando seus adversários empatarem no finalzinho 🤦🏼‍♂,há 2 anos,0,
que jogaço porra,há 2 anos,0,
.,há 2 anos,2,
.,há 2 anos,1,
Ceará merecia a Vitória,há 2 anos,22,
Quem toma energéticos e torcedor do Red Bull Bragantino,há 2 anos,3,
Ceará merecia a vitória,há 2 anos,14,
Ceará merecia a vitória,há 2 anos,10,
"O Ceará engrenou, finalmente! É um time muito bom, e só faltava um pouco mais de sorte e efetividade.",há 2 anos,5,
Ceará foi assaltado o cara dominou com o braço,há 2 anos,6,
Flaquenga segue sem teto,há 2 anos,0,
"Ceará jogou muito melhor, mas como perde muito gol o empate foi justo",há 2 anos,5,
Tá muito mal editado esse vídeo.,há 2 anos,0,
Não. Ceará teve bem mais produção ofensiva do que o RB. Mas estou orgulhoso com o empate do meu vozão.,há 2 anos,1,
"""eu prometo inscrever no canal do BLUES""

Vc prometeu, agora cumpre 😂.
,",há 2 anos,0,
Ceará merecia muito mais a vitória,há 2 anos,2,
"Não muito, pq o Ceará era pra ter vencido, pq o cara que fez o segundo gol  a bola bateu na mão dele , e pra confirma isso o próprio Lacerda disse, que quando o cara fez gol, o Alessandro disse a bola bateu na minha mão mesmo",há 2 anos,1,
 @ianoliveira4149  rapaziada vou estar trasmitindo o jogos todos do Corinthians do santos do Flamengo do Palmeiras foi grêmio agr fiquem ligado já se escrevi,há 2 anos,0,
 @kevinlukas5589  rapaziada vou estar trasmitindo o jogo do Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @cruzeiro6432  rapaziada vou estar trasmitindo o jogo do Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @renanlima8003  rapaziada vou estar trasmitindo o jogo do Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @etiehnenavarro7622  rapaziada vou estar trasmitindo o jogo do Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @etiehnenavarro7622  rapaziada vou estar trasmitindo o jogo do Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @isaquemartins1110  rapaziada vou estar trasmitindo o jogo do Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @alessandrosoares4951  rapaziada vou estar trasmitindo o jogo do Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
Não,há 2 anos,0,
Melhor jogo da rodada  Ceará x Bragantino.,há 2 anos,1,
O estagiário faz os melhores momentos melhor blz quê aquele jogo do Brusque pelo amor de deus,há 2 anos,0,
Parabéns um time horrível empatou com o Braga 😻🙌🏻👏,há 2 anos,0,
Perdeu tanto gol q nem parece q fez o  Ceará 🤣🤣🤣,há 2 anos,0,
"Vocês poderiam deixar os melhoras momentos com o grito de gol, não? É a melhor parte",há 2 anos,0,
Nao injusto,há 2 anos,0,
2x0,há 2 anos,0,
O bragantino mereceu ganhar esse Ceará é uma merda de Time empatou foi na sorte com um gol contra e outro que desviou!!!.,há 2 anos,0,
 @renanlima8003  merecia meu ovo time de merda nanico !!!.,há 2 anos,0,
 @etiehnenavarro7622  engrenou aonde doido vem de Quantas vitórias seguidas?? Pareci que nem assisti futebol mané,há 2 anos,1,
Fortaleza tem o melhor futebol nordestino 🔵🔴,há 2 anos,0,
" @PedroHenrique-kk2ic  kkkk se acalma mano, ta pistola o mlk kk",há 2 anos,1,
" @PedroHenrique-kk2ic  , criatura, eu disse engrenou porque jogou bem, com vontade, com padrão tático, e conseguiu fazer frente ao ótimo time do bragantino. Ou seja, resultado do trabalho do novo técnico. O time do Ceará é muito bom, só faltava acreditar mais nele mesmo. Daqui três rodadas você vai aceitar essa verdade!",há 2 anos,1,
 @etiehnenavarro7622   não se iluda joven como falei esses gols aí foi na sorte já quase nos acréscimos do segundo tempo vamos ver então no decorrer do campeonato essa evolução kk,há 2 anos,1,
