text,time,votes,replies
Grêmio acertou em trocar Felipão por Mancini?,há 2 anos,1 mil,215
Grêmio é maior ao real Madrid,há 3 meses,0,
"Nesta época... Vilassanti já era muito bom! Achava que o Jean Pierre ia ter uma baita história no  futebol, jogava muito... Ferreira não evolui só no mais do mesmo ainda em 2023.",há 10 meses,0,
"Como e que o Grêmio caiu,tendo times piores no campeonato",há 1 ano,0,
Esse goleiro Douglas é muito bom,há 1 ano,0,
"ee... me emocionei nesse jogo achando q ia da, mas não deu agora bola pra frente",há 2 anos,0,
KKKKKKKKKKKKKKK NÓS TE REBAIXAMOS BBBremiu É O JU,há 2 anos,3,8
Eu vendo esse vídeo depois de Bahia 3-1 Grebbbio kkk,há 2 anos,0,
Super Grêmio tá DMS 🥰💙,há 2 anos,0,
"No agregado Brasileiro 2021:
Juventude 4 x 3 Grêmio",há 2 anos,0,
G R E M I O V E R,há 2 anos,0,
D. S. Só erra quando vê o Cássio kkkkk brincadeira adoro o grêmio sou corintiano o inter odeia meu time,há 2 anos,0,
Quais as eaperenças com um placar destes,há 2 anos,0,
Mancini volta para o Corinthians pelo amor de Deus,há 2 anos,0,
"Alisson tá jogando mto, Bruno Mendez ou Mercado vão ter que quebrar ele no Grenal",há 2 anos,1,1
Vagner Mancini é bom técnico,há 2 anos,0,
Hoje é uma noite especial voçe não pode perde gremio série b gremio série b,há 2 anos,0,
Aeeee o grêmio vai jogá a série bbbb,há 2 anos,2,
"Douglas Costa faz um gol de rebote,  os cara põe ele na capa do vídeo kkkk brasileiro não pode sentir cheiro de Europa",há 2 anos,0,1
falei que meu time não vai ir pra série b respeita,há 2 anos,0,1
.,há 2 anos,20,
Mancinismo,há 2 anos,37,
Foi só o primeiro jogo cara 🙄,há 2 anos,42,
Isso dará um estádio pro flamerda???,há 2 anos,32,
"Claro, se fosse o felipao seria 1 a 0",há 2 anos,14,
Flamidia segue sem estádio,há 2 anos,19,
Agora eu tenho certeza o jogador do grêmio tava fazendo panelinha para derrubar o Felipão😡,há 2 anos,18,
Palmeiras não tem mundial,há 2 anos,10,
Lógico mo fih,há 2 anos,2,
100% de aproveitamento,há 2 anos,5,
Seu comentário não dará um estádio pro Flaputa,há 2 anos,4,
Palcadela segue sem mundial,há 2 anos,2,
Nanicos,há 2 anos,0,
Sim,há 2 anos,2,
Sim,há 2 anos,2,
Sim,há 2 anos,3,
"O problema não é o técnico ,mas sim o time",há 2 anos,2,
Muito cedo pra analisar.,há 2 anos,1,
Logico,há 2 anos,0,
VAI DEMORAR PRA COLOCAR O JOGO DO CEARA DENOVO? 😡,há 2 anos,2,
Yes,há 2 anos,0,
"OQUE É ISSO AQUI?


🐎🐴🇵🇾🇵🇾",há 2 anos,1,
.,há 2 anos,3,
.,há 2 anos,2,
Obvio,há 2 anos,1,
"Apenas primeiro jogo. ....valeu mais pela vitória, mas Grêmio levou 2 gols do grandioso Juventude.",há 2 anos,1,
 @Euraff._.  2 a 1* kkkk,há 2 anos,0,
Claro,há 2 anos,0,
Felipão rei do Rebaixamento e do 7x1,há 2 anos,0,
simmmmk,há 2 anos,0,
Foi tarde !,há 2 anos,0,
 @delcioalves6620  verdade,há 2 anos,0,
 @clecaoberranteiro4271  pro juventude,há 2 anos,0,
Por enquanto sim..,há 2 anos,0,
Série B já é realidade pro Grêmio,há 2 anos,2,
Simm,há 2 anos,0,
sim,há 2 anos,0,
Até o momento s,há 2 anos,0,
"Mas o Juventude perdeu 3 a 1 para o Flamengo no Maracanã, que dizem ser o melhor Time do Brasil e um gol que o Juventude levou foi entregue totalmente pelo jogador do  Juventude... Ou seria 2 a 1 apenas... Em Caxias do Sul o Juventude ganhou do Flamengo...",há 2 anos,0,
Por 5 milhões até eu não deixava o Grêmio cair KKKKK,há 2 anos,0,
 @Governor.  não tem copinha e não tem supercopa,há 2 anos,0,
A segundona te quer gremio,há 2 anos,0,
"O gremio ta final da liberta ? Ata 
O flamengo ta no rebaixamento ??? Ata 

O grebosta em 2022 vai jogar a serie b",há 2 anos,3,
Sim,há 2 anos,1,
"Sei lá, só o tempo dirá.",há 2 anos,0,
"Fui assistente de Mãe Dináh por um ano e meio, e ela me ensinou algumas coisas.
Tenho duas notícias para dar à torcida gremista, uma boa e uma ruim.
A notícia boa é que o Grêmio vai sair do Z4, e chegar na última rodada dependendo só dele para seguir na Série A, precisando para isso apenas empatar na Arena.
A notícia ruim é que o jogo será contra o Atlético/MG, que precisará ganhar para garantir o título.
Não direi o resultado, apenas desejo Paz e Harmonia aos torcedores envolvidos neste jogo tão importante para todos eles!",há 2 anos,0,
Foi meio que trocar seis por meia dúzia mas o jeito Mancini de jogar é melhor que o jeito Felipão,há 2 anos,0,
 @lightyagami5141  por isso foi um pergunta ani...,há 2 anos,0,
S,há 2 anos,0,
Com toda certeza do mundo👍🏼🇪🇪,há 2 anos,0,
"tinha nem q ter contratado o felipao, foi muito bom trocar",há 2 anos,0,
Cedo para querer opinar sobre isso vamos ver daqui fora esse jogo como vai se desenvolver o imortal. Mas espero que agora de certo e vamos em busca de grandes títulos. Antes de tudo sair do rebaixamento.....,há 2 anos,0,
 @lightyagami5141  melhor do q nada,há 2 anos,0,
"Sim ,o macinismo do coringao vai fazer o gremio salvar do reibaxamento",há 2 anos,0,
Mancinismo Supremacy 🇪🇪,há 2 anos,0,
Adm corno,há 2 anos,0,
Simmm,há 2 anos,0,
Sim,há 2 anos,0,
sim,há 2 anos,0,
Sin,há 2 anos,0,
Calma ainda é o primeiro jogo,há 2 anos,0,
"Ainda vai cair, vai ter uma sequência de 5 jogos contra times difíceis",há 2 anos,0,
Idai😳,há 2 anos,0,
Flacusujo ainda sem estádio...,há 2 anos,0,
Sim,há 2 anos,0,
Sim,há 2 anos,0,
 @cruzeiro6432  vlw 2° divisão,há 2 anos,0,
É só o primeiro,há 2 anos,0,
 @lightyagami5141  primeiro e ja começo ganhando mais respeito sua opinião é só,há 2 anos,0,
 @oscaritoelremolon4696  o futuro só pertence a Deus charlatão,há 2 anos,0,
"Calma o gremio ganhou do Juventude, ainda tem mta coisa pra rolar, time tem mto que melhorar, pois terá jogos duros pela frente",há 2 anos,0,
Muito cedo para afirmar algo,há 2 anos,0,
" @tassiozanusxavier2618  
Não existe futuro, nem presente, nem passado.
Tudo acontece concomitantemente.  Aprenda!",há 2 anos,0,
Ss,há 2 anos,0,
Não,há 2 anos,0,
"Sim, minha opinião",há 2 anos,0,
Sim.,há 2 anos,0,
 @Euraff._.  traduzido: canhoto,há 2 anos,0,
Ainda e cedo para afirmar globo,há 2 anos,0,
Sim,há 2 anos,0,
Sim acertou demais,há 2 anos,0,
Simm,há 2 anos,0,
 @cruzeiro6432  e vcs n tem mundial e tão na série b cala boca série b,há 2 anos,0,
 @lightyagami5141  que o Felipão não ia ganhar,há 2 anos,0,
Isso é assim mesmo... Próximo jogo perde e volta tudo ao normal!!!,há 2 anos,0,
Sim,há 2 anos,0,
Sim. Time é outro.,há 2 anos,0,
Acertou na demissão do Marcos Herrmann,há 2 anos,0,
Não,há 2 anos,0,
" @Euraff._.  o importante é ganhar né, tecnicamente foi 1x0",há 2 anos,0,
Vagner Maldini ?,há 2 anos,0,
 @realthrezy23  vdd,há 2 anos,0,
 @realthrezy23  3 a 0 jogando bem,há 2 anos,0,
 @realthrezy23  3a2*,há 2 anos,0,
 @pedrocarvalho5837  cavalo cavalo chile chile,há 2 anos,0,
"Tá cedo pra qualquer análise, mas pelo menos o time joga pra frente, ou busca jogar...",há 2 anos,0,
S,há 2 anos,0,
"Acertou, e o Grêmio pode sair da zona de rebaixamento",há 2 anos,0,
 @semideiadenome2178  e nada o Felipão e mo ruim,há 2 anos,0,
 @coringaokg4976  teu ku,há 2 anos,0,
Errou,há 2 anos,0,
Aparentemente sim,há 2 anos,0,
Aparentemente sim,há 2 anos,0,
S,há 2 anos,0,
 @lightyagami5141  o 1 do São Paulo não foi bem,há 2 anos,0,
Sim,há 2 anos,0,
SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM SIM 🇪🇪,há 2 anos,0,
Sim,há 2 anos,0,
Logico,há 2 anos,0,
Cara pra ser pior que felupao tem que esforça muito.técnico ultrapassado nao gosto mancini.porem qualquer merda e melhor que ele,há 2 anos,0,
Muito cedo pra tirar conclusões,há 2 anos,0,
Vai fazer igual o Corinthians tirou o Corinthians do z4,há 2 anos,0,
"Eu acho o Vagner Mancini um ótimo técnico!
Pena que o meu time não deu tempo para ele mostra do que é capaz!
Mas o futebol é isso é uma caixinha de surpresa que você tem que desvendar seja boa ou ruim!",há 2 anos,1,
VAIII CORINTHIANS !!!,há 2 anos,1,
Confia 👌 o Mancini só tem 4 rebaixamentos no currículo,há 2 anos,0,
Tinha que ter contratado o Tcheco ou Celso Roth.,há 2 anos,0,
Claro é o mancinismo,há 2 anos,0,
 @pedrosccpfado123amemamem4  Flabunda ??,há 2 anos,1,
 @pedrocarvalho5837  Série d 🤣🤣🤣 PORTUBOSTA vergonha do Brasil kkkk,há 2 anos,1,
 @andriusantunesdeoliveira1462  Mas tem 3 liberta 5 copa do Brasil e temos sim uma supercopa ganhamos lá em 90 fomos os primeiros a ganhar,há 2 anos,3,
 @VictorHugo_1909  🅱️inter Volta pra casa 🤣 Olha o porção aí 🐷 kk,há 2 anos,1,
 @flamengofcdls7645  put......oooo,há 2 anos,0,
 @Foxy-gz4tb  oque isso tem aver mano?,há 2 anos,0,
"E o pior de tudo é que o Grêmio consegue ser tri campeão da libertadores, e tri rebaixado ao mesmo tempo...",há 2 anos,0,
rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
@Edilson rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos (editado),0,
 @jota9105  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @pedrosccpfado123amemamem4  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @semideiadenome2178  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,1,
 @rodriguesgomes4178  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @kauagago6918  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @pedro9454  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @emersonpietro7538  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @brayhan5660  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @matheussantana3745  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @uelersonvlogs26  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @anthonycoelho8584  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @daviemanuel5395  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @LUIZSUAREZ-ng6ld  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @pit3467  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @henriquedobatidao6448  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @user-gk1yi5hc3j  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @PedroHenrique-rz5qc  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @Gameplays14123  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @arielmods1687   👌,há 2 anos,0,
 @user-gk1yi5hc3j  rapaziada meu sonho 1k amanhã vou tá transmitindo Corinthians x São Paulo Com Imagem já se escrevi pra ficar ligado,há 2 anos,0,
 @user-gk1yi5hc3j  desumilde e assim mesmo,há 2 anos,0,
Felipão nao deveria bem ter vindo. Era muito obvio oq ia acontecer,há 2 anos,0,
Acertou em cheio,há 2 anos,0,
Gremio vai cair juventude não é parâmetro,há 2 anos,0,
Claro,há 2 anos,0,
