text,time,votes,replies
"Faaaaala, galera! E aí, o que acharam do clássico? 😎⚽",há 3 anos,489,114
Palmeiras😂,há 1 ano,0,
santos,há 1 ano,0,
mano os 2 gols do santos foi de pênaltis kkkkkkkk,há 1 ano,0,
q penaltis foram esses q o juiz deu? Pqp,há 1 ano,0,
PALMEIRAS 3X2 SANTOS,há 1 ano,0,
""" se o jogo fosse só o segundo tempo ganharíamos de 2x1 do palmeiras""
- Diniz, Fernando",há 2 anos,0,1
Nem com pênalti consegue ganhar :/ a defesa do santos é muiiiiito ruim,há 2 anos,0,
🐷🐷💚💚 Nosso Palmeiras é bom hein o nosso Palmeiras,há 2 anos,0,
bora verdâo,há 2 anos,1,
"BRENO LOPES, PAI DAS SARDINHAS HAHAHAHA",há 2 anos,0,
VAMOS PALMEIRAS DÁ-LHE PORCO AVANTI PALESTRA !,há 2 anos,0,
Se ganha do santos é bom ganhar do Corinthians ia ser melhor ainda,há 2 anos,0,
"VEJA COMO É, O SANTOS É FREGUES DESDE A ERA DO PELÉ!

VAI PALMEIRAS",há 2 anos,0,
SUPER PALMEIRAS VENCE NOVAMENTE,há 2 anos,0,
Zjduggqggdhsedehed gefdujgdjjjjjjjjjdige,há 2 anos,0,
Vamos PALMEIRAS seremos campeões com fé em Deus Jesus eu acredito 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾,há 2 anos,2,
Vamos PALMEIRAS seremos campeões com fé em Deus Jesus eu acredito 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾,há 2 anos,2,
O santista Cléber Machado estava bem triste nos gols do Palmeiras! 🤭,há 2 anos (editado),0,2
Melhor clássico,há 2 anos,0,
Jogão! Mas só do lado do Palmeiras. O Santos só fez gol pq o Palmeiras deixou kkkk,há 3 anos,44,
Jogão,há 3 anos,5,
Campeonato argentino e a premier league das Américas fato,há 3 anos,4,
Fácil,há 3 anos,3,
"VERDÃO  E NANICO
SE TIRAR FAX MAS 2 BRASILEIRO DA SÉRIE B
E UM TIME NANICO",há 3 anos,9,
CORINCÚ NANICO SEM ESTÁDIO,há 3 anos,10,
TETO DO SHURINTIANS?,há 3 anos,6,
Duelo dos menores de sp 😂😂,há 3 anos,4,
Bom,há 3 anos,1,
 @space...cowboy  Pergunta para a FIFA o otario,há 3 anos,1,
 @vaisefuderadministracao8758  fato bota mas o São Paulo nesta colocação,há 3 anos,3,
Palmeiras nunca ia perde né ?,há 3 anos,6,
Foi muito bom,há 3 anos,1,
Roubado,há 3 anos,2,
Gostei demais do clássico,há 3 anos,1,
"𝐏𝐫𝐢𝐧𝐜𝐞𝐬𝐚𝐬 𝐝𝐞 𝐈𝐭𝐚𝐪𝐮𝐞𝐫𝐚 𝐢𝐦𝐩𝐥𝐨𝐫𝐚𝐦  
                  𝐩𝐨𝐫 𝐮𝐦𝐚              
             𝐒𝐮𝐥-𝐀𝐦𝐞𝐫𝐢𝐜𝐚𝐧𝐚
      😭😭😭😭😭😭😭😭",há 3 anos,4,
dubrabo💚🙄⚽😎👏,há 3 anos,3,
" @pirocudo1411  São Paulo é outro nanico, freguês do malvadão de Itaquera 🦅🤙🏽",há 3 anos,4,
Continua sem mundial,há 3 anos,1,
 @vaisefuderadministracao8758  né,há 3 anos,3,
"Só o Flamengo para tirar esse titulo do palmeiras , esse ano na série a !",há 3 anos,4,
Uma bosta,há 3 anos,1,
Globolixo,há 3 anos,0,
Quem roubou?,há 3 anos,0,
 @loudkids3439  kkkkkkkkkkkkkkkkkkkkkkkk,há 3 anos,0,
"Estagiário, para de enganar a gente vai, você já sabia que o jogo ia ser 3x2 aliás esse foi o mesmo resultado do campeonato Paulista, vcs combinam os resultados e ficam aí com esses papos, para q já tá feio !",há 3 anos (editado),3,
Jogo bom de maiiissss,há 3 anos,2,
 @Isaacpereiradesouza1234  quem tá jogando são ele se Palmeiras e santos combinarão já não sei 🤣🤣🤣,há 3 anos,1,
Que vocês vão tomar um pau hj do sbt com Argentina vs Brasil Kkkk,há 3 anos,2,
" @thiagoangelo3051  Mais a globo sabia de tudo, aliás eles participam das manipulações dos resultados",há 3 anos,2,
Palmeiras roubou,há 3 anos,1,
Venceu o melhor time 💚,há 3 anos,3,
Foi nada,há 3 anos,1,
Tem que fazer vídeo de melhores momentos melhor! Mal deixa o lance acaba e já pula pro outro ? Assim não dá pow,há 3 anos,1,
Continua Sem mundial 🐷😂😂😂,há 3 anos,1,
Não corta o gol,há 3 anos,0,
Lógico que não só palmeiras jogou Po o santos só feiz 2 goll de pênaltis se não fosse os burro do Marcos Rocha e Maike só ele para acabar com a tranquilidade,há 3 anos,2,
 @Isaacpereiradesouza1234  kkkkkkkkkkkkkkkkkkkkkkkk,há 3 anos,2,
Faiz sentido combinou com os Marcos Rocha e e Maike,há 3 anos,1,
"É fato que dos grandes de São Paulo, o menor é o Corinthians ao longo da história.",há 3 anos (editado),8,
Legal,há 3 anos,2,
" @thiagoangelo3051  Não é atoa q o Santos teve dois pênaltis, pra dar o mesmo resultado do paulista",há 3 anos,3,
@ge manda pra longe esses editores de vcs,há 3 anos,1,
" @chaves2841  Então o Santos deveria ganhar fácil esse jogo, já que tem Mundial kkkkk",há 3 anos,1,
🤡,há 3 anos,1,
 @vaisefuderadministracao8758  tá errado o corinthias é o são Paulo não jogarão hoje,há 3 anos,1,
VAMO MEU PALMEIRAS O HENDECA TÁ LOGO ALI!!! ONZE TAÇAS PRA QUEM FICA OFENDENDO A GENTE APENAS ACEITAR!! SOMOS GIGANTESSSS,há 3 anos (editado),5,
" @space...cowboy  Os filhos da puta só sabe falar isso, sabe pq? Porque não tem outro argumento contra o Palmeiras.",há 3 anos,4,
"Um clássico de suma importância que gerou expectativas em boa parte das pessoas, e com certeza não decepcionou...",há 3 anos,2,
 @space...cowboy  está no seu rabo 😂,há 3 anos,2,
"Normal, meninos da vila arregam mais uma vez para os homens do palestra. Segue o líder!!!",há 3 anos,2,
"Globosta, Globolixo",há 3 anos,1,
" @independientemaiordomundo7030  campeonato argentino nao chega nem aos pés do br, kkk se ta doente amigo? Kkkkk",há 3 anos,2,
 @ryriancrociari  calado sem foto,há 3 anos,1,
" @independientemaiordomundo7030  kkk agora vem falar de foto, tem a foto do psg e coloca ""independiente maior do mundo"" no nome😂😂😂",há 3 anos,4,
Scarpa é o jogador mais importe hj em dia neste Palmeiras !!! Tem q respeitar,há 3 anos,0,
 @space...cowboy   kkkkk amigao se for pra ver motivos de zoaçao o curica não fica pra trás não kkkkkkk,há 3 anos,2,
E isso palmeiras  foco vamos ganhando  pra cada vez mais difícil  de passar o porco,há 3 anos,0,
Jogo bom narrador horrivel,há 3 anos,1,
Thomas Shelby da zoeira,há 3 anos,1,
" @vaisefuderadministracao8758  , pqp aí forçou dms kakakakakakak",há 3 anos,1,
 @space...cowboy  e duvido achar a torcida do santos pois só é escondida por asilo,há 3 anos,0,
Será que Palmeiras é Campeão do brasileirao,há 3 anos,0,
Cedo não começa a ganhar jogando bem no começo,há 3 anos,0,
chora imprensa rancorosa,há 3 anos,1,
Mesmo perdendo tá ok,há 3 anos,1,
"Deixa mais tempo a narração de gol ,fica sem emoção assistir os melhores momentos, pq isso n deixa de ser um jogo histórico pros clubes",há 3 anos,0,
