text,time,votes,replies
Vai Corinthians,há 2 semanas,0,
Só golaço,há 1 mês,0,
Eu vi  esse  jogo  que o galo ganhou do Corinthians por 3 A  0 no Mineirão  era  realmente uma máquina  esse time do  galo em 20021 dava gosto de ver  viu ❤❤❤❤❤,há 4 meses,0,
"Eu acho, que o Cruzeiro tem raiva do galo, só porque o galo tirou o maior orgulho que eles tinha o único time a ter conquistado a tríplice coroa que hoje não é mais pois o galo quebrou isso em 2021.",há 5 meses,0,
kkkk,há 6 meses,0,
Foi um jogão,há 6 meses,0,
"É satisfatório ver os gols, mesmo sendo corinthiano",há 9 meses,0,
02:36,há 10 meses,1,
Muito obrigado,há 11 meses,0,
Muito bom,há 11 meses,0,
Golaço,há 11 meses,0,
Eu estava nesse jogo emecionante dmsss esse título 🎉🎉🎉,há 1 ano,0,
vim do futuro pra dizer q o corinthians perdeu dnv pro galo kkkk,há 1 ano,0,1
"Que saudades desse galo de 2021, hoje em 2023 só tristeza😢",há 1 ano,1,
Clube atlético mineiro ganha de todos até morrer,há 1 ano,2,
"Nunca gostei de futebol, mas quando fui visitar um tio avô que torcia pelo galo eu virei torcedor, bem nesse ano o galo ganhou a tríplice coroa",há 1 ano,4,
Que time,há 1 ano,2,
"Que timasso esse galo de 2021. Diego Costa,Keno, HULCK,Zaracho ,Nacho Fernandez, Guilherme Arana,etc... Que timasso.",há 1 ano (editado),2,
Baita chocolate do galão querido.,há 1 ano,0,
Cassio foi uma mãe kkkk,há 1 ano,0,
como ?,há 11 meses,0,
Mano eu não acredito que o keno não saiu do galo para jogar no Fluminense,há 1 ano (editado),0,
"Eu estava lá ,. obrigado Deus !",há 1 ano,0,
Como era bom ver esse time jogar,há 1 ano,0,
Eu tava nesse jogo no setor amarelo,há 1 ano (editado),0,
Diego Costa um dos melhores jogadores da historia,há 1 ano,0,
"Ques cortes de imagens ridículos mano 🙄
Impressionante como cagaram os lances do jogo e até mesmo a narração.",há 1 ano,0,
Jogo inesquecível esse pq em 2022 não tá arrumando nada galo cadê o de 2021 vms vê se ganha do Cuiabá hj,há 1 ano,0,
"Ma ,ganharam de nois de 3 a 0 em casa e perderam de 2 a 0 em casa no último jogo de Corinthians e Atlético mineiro",há 1 ano,0,
SSE U PAI MOREU ?,há 1 ano,0,
Só resta saudades desse GALO 😪,há 1 ano (editado),1,
Melhor jogo do Galo no campeonato,há 1 ano,0,
Impressionante a queda do patético de 2021 pra 2022,há 1 ano,0,
saudades desse galo,há 1 ano,0,
Jeiwiwwiwoqoiaiaa8aoaoaoqoqooaqoqoqoqoqo😗😗😗😗😗😗😗😗😗😗😗😗,há 2 anos,1,
2x1,há 2 anos,1,2
00:34 O estagiário mais vez entra em ação.,há 2 anos (editado),1,
"Voltando aqui pra ver como esse time jogava uma barbaridade, e pensando como o Turco conseguiu estragar isso em tão pouco tempo...",há 2 anos,1,
"ACIMA DO GALO SÓ JESUS E DEUS, NINGUÉM PASSA POR CIMA",há 2 anos,1,1
3x0,há 2 anos,1,
Plsla,há 2 anos,0,
"Kkkkkkkkkkkkkkkk VAI, CORINTHIANS! 🦅🦅🦅",há 2 anos,0,
1 x 0 no itaquera neo quimica do small club de sp,há 1 ano,0,
"Esqueceu q o tio Chico amassou esse galo em 2022, galo pipoqueiro kkkkkkkk",há 1 ano,1,
"Galão jogou fácil demais nesse jogo, no Mineirão e em Minas quem manda somos nós",há 2 anos,0,
"Saudades desse galo 2021...o de 2022 não tem técnico, organização, orientação, jogadas ensaiadas, nada...time joga sozinho todo jogo...mete o pé nesse apático aí pelo amor de Deus...",há 2 anos,0,
3+0=3•f e a Irma nao liga pra ela ela nao sabe ESCREVE,há 2 anos,0,
O dia em que o Giuliano pegou a camisa do Gustavo 🤣🤣,há 2 anos,0,
saudades dessa porra,há 2 anos,1,
Atléticoooo,há 2 anos,0,
Galo é uma bosta,há 2 anos,1,3
Kkkkkkkkkkkkkkk galo engoliu os gamba fregues fiel kkkkkkkk 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,há 2 anos,1,2
Que passeio!!!!,há 2 anos,0,
".            Diego Costa       
Keno                              zaracho
                     Hulk

Que linha de frente forte slk",há 2 anos (editado),0,
"Vídeo do globo esporte com a falta de qualidade de sempre, jogada linda do pisão do Hulk pro Diego Costa o editor amador de vídeo cortou, depois passa jogador trocando de camisa que não acrescenta absolutamente nada a melhor momento. Até para ser ruim de serviço tem que ter limite.",há 2 anos,0,
Num ganha nunca jamais,há 2 anos,1,
"2:46 Arana veste a camisa, msm contra o ex time ele vibra dms",há 2 anos,2,
"Copa Conmebol?🤔😂
Galo é BI CAMPEÃO",há 2 anos,0,
SUPERCOPA do Brasil?🤔,há 2 anos,0,
Curintia tem Tríplice coroa Nacional?🤔,há 2 anos,0,
AKí não curintia>>>>AKÍ É GALO !!!!,há 2 anos,0,
Fé em Deus pai 🙏🙌 que o Meu Galão vai ganhar este Brasileirão 🤍🤍🤍🤍🤍🤍🖤🖤🖤🖤🖤🖤🐓🐓🐓🐓,há 2 anos,0,
🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓🖤🤍🐓,há 2 anos,0,
Cássio mão de alface isso é goleiro ruim da porra Jô jogador horrível,há 2 anos,0,2
igual a sua vida,há 2 anos,0,
Vdd galo  é   uma bosta,há 2 anos,0,
 @michael7678  igual sua mãe,há 1 ano,0,
time pequeno,há 1 ano,0,
galo nanico,há 1 ano,0,
Kkkk o tempo muda né,há 1 ano,0,
 @HS-io1iy  sempre foram horríveis,há 1 ano,0,
Meu Deus qui ano 2021 dó nosso galao jogou muito bonito foi só golaço tomará quê 2022 quê será melhor quê continua igual,há 2 anos,1,
Parte da imprensa do eixo não aceita que o Galo montou um esquadrão e tem time.pra bater de frente com os queridinhos de sempre,há 2 anos,1,
A vibração do arana no gol do Hulk é contagiante ...,há 2 anos,0,
"Melhores momentos , mostrando camisa rasgada do cara kkkk nada a ver",há 2 anos,1,
Bom de mais esse time,há 2 anos,1,
"Είμαι Έλληνας, αλλά είμαι Κόκορας",há 2 anos,0,
انا عربي ولكن انا جالو.,há 2 anos,1,
"Я русский, но я Гало.",há 2 anos (editado),1,
