text,time,votes,replies
"Fala, torcedor!😎
Qual dos dois times merecia os 3 pontos?",há 2 anos,284,81
"O Luciano é uma baba. Jogamos com 1 atleta a menos quando esse cara joga. Que inhaca. Só o Dorival cabeça de velha não enxerga isso.

Também…. O goleirão falhou no gol do Hulk … brother! Quem jogou futebol profissional sabe disso… e muito longe e daria sim tempo dele se posicionar melhor e teria como chegar sim. FALHOU o goleirão.

E pelo anode de Deus! Tira o Luciano reclama reclama da estrela do time.

Coloca o Rato que pelo menos corre e da o sangue 🩸 pelo time.

E trocando tudo em miúdos… nós São Paulinos o que temos de melhor 100 dúvidas é a NOSSA torcida. 
Esses patas 🐾 secas aí não conseguem jogar com essa massa motivando então vai carpir lote mano.

Na hora que tem que provar e mostrar futebol a galera PIPOCA e amarela GERAL.",há 1 ano,0,
Esse sp de 2021 no Br era ridículo pqp kkkk lembrando agr,há 1 ano,0,
SÃO PAULO 0X0 ATLÉTICO-MG,há 1 ano,0,
É campeão!,há 2 anos,0,
Kerolayne Amo 📺,há 2 anos,2,
GALOOOOOOO 🐓🐓🐓⚽⚽⚽🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤,há 2 anos,2,
Cm esse time  rui merece  a segunda  divisão,há 2 anos,0,
Sentem falta de mim?,há 2 anos,0,
Hulk deu umas chorada nesse dia kskskks,há 2 anos,0,
Cavalo paraguaio não merecia ! Nem o São pato. 1 ponto ainda foi muito pelo jogo fraco,há 2 anos,0,
Porra o galão vai entregar mais um título kkkkkk,há 2 anos,0,
"Ótimo dia hoje pra ser torcedor do Galo 🐓🐓🐓🐓🐓🐓🐓! Que bom que eu não sou. Já caiu de uma, faltam duas KKKKKKKKKKKKKKKKK",há 2 anos,0,1
Falam que o tiago volpi só falha mas nesse jogo ele salvou o São Paulo,há 2 anos,0,
Na minha opinião Thiago volpi salvou o time na real,há 2 anos,0,
O são paulo jogou bem Gostei,há 2 anos,0,
ate q o jogo foi bom,há 2 anos,0,
"Melhores Momentos do 1° Tempo se resume em 34 segundos de Vídeo ?? 🤔🤔
Quer dizer q outros 3 min e pouco é 2° tempo ??
Piada kkk",há 2 anos,1,
Melhor momento desse jogo foi quando acabou o jogo,há 2 anos,0,
"Porque a TV omite a ajuda da arbitragem e o var ao Atlético?????
E o penalti , só vale contra os outros?????
Parece ordem de dentro da diretoria da CBF , pois beira a atrocidade , já arrancaram através da arbitragem uns 15 pontos do CRUZEIRO , e como se nota está mesma arbitragem é vesga quando se trata das frangas.",há 2 anos,0,
"Sou sp, mas quem mereceu foi o galo, buscou fazer o gol o tempo todo",há 2 anos,28,
Goleiro de jogo pequeno,há 2 anos,8,
O estádio do framengo,há 2 anos,8,
O São Paulo,há 2 anos,8,
Lixão,há 2 anos,1,
SPFC,há 2 anos,5,
SP,há 2 anos,5,
Crespo tá poupando Benitez é calleri para o campeonato Paulista de 2022😎,há 2 anos,14,
Empate ficou de bom tamanho pra ambos os time. Sou são Paulino ❤️,há 2 anos,1,
"São Paulo.
Esse galinho é patético. Pensei que daria mais trabalho.",há 2 anos,0,
Nenhum boy,há 2 anos,0,
nenhum,há 2 anos,0,
Flamengo,há 2 anos,0,
são paulo,há 2 anos,0,
"Bom, como ninguém ganhou... ninguém merece os 3 pintos
Quero dizer pontos",há 2 anos,5,
Sua mãe,há 2 anos,0,
 Flamenguista boladão  v,há 2 anos,0,
Flacu continua sem estádio amigo,há 2 anos,0,
Nenhum dois timecos sem BI da copa do Brasil,há 2 anos,0,
As putinhas do Mengão,há 2 anos (editado),1,
 @neymidiasemboladeourokkkkk251  estádio do flatraficante kd?,há 2 anos,0,
 @josemonteio3748  vdd,há 2 anos,0,
 @eronildovinho3311  clubista,há 2 anos,0,
 @humorismoimparcial4874  cala boca falastrão,há 2 anos,0,
 @AnaMaria-eg7rl  Atlético,há 2 anos,1,
 @brayansantosvieira5342  flakchorra continua sem estádio,há 2 anos,0,
GALOOO,há 2 anos,1,
Uma vergonha são Paulo empatar com um time nanico que não tem nem Bi campeonato 🤡😂,há 2 anos,1,
O Vasco.,há 2 anos,0,
 Flamenguista boladão  tá mais e o flalixo tem estádio?,há 2 anos,0,
"Quem teve Sanche mais clara de gol foi o são Paulo porém não soube aproveitar , e o Atlético só atacou mas sem MT eficiência",há 2 anos,0,
" @isaquemartins1110  alakkkkkkkjjjkkkkkkkkkkkkkkkkkkk mds mlk tu é kid, deixa os adulto conversar",há 2 anos,0,
"Tem gente que fala que o Felipe Luiz é melhor que o arana ainda, pqp",há 2 anos,0,
@MELHOR DA HISTÓRIA essa Criança tem raiva do São Paulo e do flamengo kkk,há 2 anos (editado),0,
São Paulo e Maior que nanico patético do atlético Mineiro Sem bi campeonato,há 2 anos,1,
 @josemonteio3748  aonde ?,há 2 anos,0,
 @josemonteio3748  q mentira kkkk torcedor que e torcedor não ia diminuir o nome do são Paulo Pra sp,há 2 anos,0,
Sp,há 2 anos,0,
 Flamenguista boladão  Tu sabia que a torcida que tem mais gays é a do Flamengo seguida pelo Corinthians neh!? Vem dizer que não sabia?!,há 2 anos,0,
