text,time,votes,replies
O estagiário quer saber se o resultado foi a estreia de camisa do Corinthians? 🤔👀,há 3 anos,270,53
"MEU DEUS O CASSIO FRANGO EM




eu depois de ver isso:
Vou treinar gol!
Eu:
ANÃO EU FRAAAAAAAAANGUEEEEEEEEEIIIIII😡",há 1 ano,0,
Qto comentario de anti- corinthiano cuidem de torce do seu proprio time kkk,há 2 anos,0,
Uma derrota gambás é gostoso demais! A BAND CORINTHIANS TOMOU NAQUILO!,há 2 anos,0,
Mano ó cara do Fágner no segundo gol do Red Bull BraClaudinho,há 2 anos,2,
Fixed match,há 3 anos,0,
Tira esse Cássio caralho 🤬,há 3 anos,0,
Corinthians freguês do bragantino.,há 3 anos,0,
Infelizmente a imprensa Redbull que está patrocinando o bragantino irá dominar a América. Preparem-se pra vê o bragantino ser campeão brasileiro copa do Brasil e libertadores.,há 3 anos,0,1
ja foram 3 vitimas do Red Bull Bragantino,há 3 anos,0,
Fecha essa perna galinha 🐔 só leva gol assim kkkkk,há 3 anos,0,
Corinthians perdendo e meu primo suando meu time que da série b mais o Corinthians vai e meu vai subir,há 3 anos,0,
"Viva o CAP. 4 jogos, 12 pontos. 1ª lugar no topo da tabela.",há 3 anos,0,1
Corinthians esse time é uma piada que não perde a graça 😂😂😂😂,há 3 anos,0,1
O time do Bragantino é muito melhor que o Corinthians. Resultado justo.,há 3 anos,0,
Perdemos mas foi com raça antes que os antis falem q nosso time e ruim perdemos mas foi pro bragantino Mano que Tá um timasso e capaz de ganha o brasileiro,há 3 anos,0,
Vaiii Corinthians,há 3 anos,0,
ดีงาม good,há 3 anos,0,
Lindo mesmo,há 3 anos,0,
dale braga bull,há 3 anos,1,
"Rachado que nem o clube, sim",há 3 anos,16,
Palmeiras sem Mundial,há 3 anos,7,
Macumba é foda,há 3 anos,3,
Essa camisa nova me lembra a de 2018,há 3 anos,1,
"Não, perdeu pq o time é ruim mesmo",há 3 anos (editado),3,
"É difícil torcer pro maior do Brasil, estagiário 😭🤙🏻🦅🏴⚓",há 3 anos (editado),2,
SILVYNHO AQUI👎,há 3 anos,2,
Não o time que é ruim mesmo kkkkkk,há 3 anos,1,
 @user-mu5ho1rs3p  81 é o q ? Vai estudar canalha,há 3 anos,0,
 @isaquemartins1110  não é só por causa q o time é ruin,há 3 anos,2,
Corinthians eterna segundinha,há 3 anos,2,
" @ricardosalviano4780  Maior de sp, respeita 🤙🏻
Únicos bi Campeões mundiais da FIFA",há 3 anos,1,
 @Balt0_oLobo  não respeito time que caiu pra segundinha,há 3 anos,2,
" @ricardosalviano4780  
𝗖𝗼𝗻𝗰𝗼𝗿𝗱𝗼 𝗰𝗼𝗺 𝘃𝗰 𝗔𝗺𝗶𝗴𝗼",há 3 anos,2,
 @TikTok-pc2lq  o São Paulo eu respeito,há 3 anos,1,
 @TikTok-pc2lq  Corinthianos ficam bravos 😂😂🤣🤣🤣🤣🤣,há 3 anos,2,
