text,time,votes,replies
"Grêmio campeão da série B

Realidade grêmio caindo pra série C 🤣🤣🤣🤣🤣 fico triste com uma notícia dessas 🤣🤣🤣🤣🤣🤣",há 2 anos,0,
Jogou bem o tricolor..... mas tenho saúdades do Luan,há 2 anos,0,
Tricolor pra cima,há 2 anos,0,
sera que o gremio se livra,há 2 anos,0,
alguém tira o cortez puta que pariu o cara ta velho e só faz merda como que esse técnico  não percebe essa poha,há 2 anos,1,
"Galera vou falar a mais pura verdade, sou flamenguista mais estou torcendo muito para o grêmio não cair ,o grêmio é um time  de respeito vamos guerreiros a seria A fica sem brilho sem vocês.",há 2 anos,1,
Eu vi os gols dormindo kkk nem me lembro do 2 e 3 gol kkk,há 2 anos,1,
O Cortez em 4 jogos ele entregou 3 gols,há 2 anos,0,
Avisem para o Patrick que a b ainda não chegou e que ainda respiramos 💪🏻,há 2 anos,0,
"Lucas Silva joga demais, e tá aí o Grêmio ensinando pro flamengo com vencer da chapecoense fora de casa",há 2 anos,0,
Batendo em carro morto,há 2 anos,0,
Jogo comprado,há 2 anos,0,
Que golaço do Lucas,há 2 anos,0,
gremio serie B kkkk,há 2 anos,0,
VEM PRA B GREMIO KKKKKKKKKKKKKKKKKKKKK,há 2 anos,0,
A chape garantiu o natal com esse jogo!! Mano só ver o segundo gol uma vergonha!! Ninguém fala nada!!não estou falando nada mas está estranho isso!!!  😂😂😂😂,há 2 anos,0,
"Se o Grêmio não cai manda embora esse Vanderson, Cortez são muito ruim",há 2 anos,0,
Boa madrugada simples equilíbrio do jogos,há 2 anos,1,
Da Pra Descapar Grêmio Bora💪🏻💪🏻,há 2 anos,0,
Cai logo Grêmio.,há 2 anos,0,
"Arerê, o Grêmio vai jogar a série B",há 2 anos,0,
Tá na cara que a Chape entregou o jogo p o Grêmio 😁😁😁😁😁😁😁😁😁😁💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰,há 2 anos,1,
"Nao adianta, VAI CAIR",há 2 anos,0,
"Sou gremista 
Mas meu segundo time é a chape 
Vamos vamos chape",há 2 anos,0,
"1:10 Q poha eh essa? Colocaram um ponta como goleiro kkk, falha do goleiro pô, c a chape n tivesse tomado talvez eles ganhariam, mas enfim eu n tava torcendo pra isso acontecer msm kk",há 2 anos,1,
"se não deixar o like, você vai MORRER :D",há 2 anos,2,
Dale gremioo,há 2 anos,0,
A mala preta funcionando os times não entregan o jogo mas sâo pago pra escala os pior jogador,há 2 anos,2,
Da-lhe Grêmio 🔵⚫⚪,há 2 anos,0,
"Mais que imortal, imortalíssimo !",há 2 anos,1,
Vamos GRÊMIO,há 2 anos,0,
Olha o Grêmio ai.,há 2 anos,0,
"Se a Chapecoense, que curiosamente resolveu mudar o time pra enfrentar o Grêmio, não entregou esse jogo, eu sou um triturador de papel. Observem os gols do Grêmio. Chapecoense tem um dos melhores goleiros do campeonato e deixaram o cara no banco",há 2 anos,6,
E continua o Grêmio ressurgindo das cinzas :-),há 2 anos,0,
Eu coloquei o Cortez como capitão no meu cartola. =(,há 2 anos,0,
Cara nao sei como cortez consegue fazer tanta cagada,há 2 anos,0,
"Grêmio rebaixado, só olhar os próximos jogos na tabela, o mais fácil é o São Paulo e o bahia kkkkkkkk",há 2 anos,0,1
Tá pegando só galinha morta bragantinosub23 chapecoense,há 2 anos,0,
kkkkk ganhou do pato morto e acha que nao vai cair,há 2 anos,0,
"AApostei na mallandrinha da kto 2x0 pro Galo , 1 x0 pro paranaense , 2 a 1 pro gremio e 2 x1 pro flamengo ou seja por conta desse gol contra ridiculo da chapecoense perdi de ganhar 20 Mil reais, espero do fundo do meu coração que nunca mais volte pra série A esse time de merda",há 2 anos,0,
"Higor, o Flamengo vai entregar pra eles também. Tem uma dívida do campeonato passado pra pagar, da época do Renato ainda. E é ele quem vai estar do outro lado.",há 2 anos,0,
A Chapecoense vai cair pra C.,há 2 anos,0,
Idai q o Grêmio ganhou ? Kkkkkkk vai ser rebaixado no fim kkkk,há 2 anos,0,
Pq só agora esses fdp começaram a mostrar resultado meeeeeeu 🤦🏾‍♂️,há 2 anos,0,
TÃO DEIXANDO A GENTE SONHAR KKKKK DALE GREMIO,há 2 anos,0,
Vao cair igual tricoletes,há 2 anos,0,
"Acho que os colorados riram cedo de mais, depois do grenal não ganharam mais de ninguém",há 2 anos,1,1
"Sem o Grêmio, a Super Série B vai ficar sem graça...  </3",há 2 anos,1,
Não possível que o Grêmio vai fazer igual o Inter e perder para o Varmengo !!!,há 2 anos,0,
CBF SENDO CBF TENTANDO SALVAR O GRÊMIO...,há 2 anos,0,
Vamos grêmio... estámos com você...sou palmeirense,há 2 anos,0,
💙💙💙,há 2 anos,1,
🇧🇼🇧🇼🇧🇼,há 2 anos,1,
🇪🇪🇪🇪🇪🇪,há 2 anos,1,
🔵⚫⚪,há 2 anos,1,
"Sério que Cortez é melhor que Diogo Barbosa? Tem que ir com Diogo Barbosa até o final do campeonato, esse Cortez só procrastinando...",há 2 anos,0,
(  ferroviário. Cabo de st. Agostinho. PE. Brasil. Alô rapaziada. ),há 2 anos,0,
Um timaço esse time do Grêmio não merecia cair,há 2 anos,0,
Grêmio pensando que vai subir kkkk,há 2 anos,0,
Kkkkkk tão se iludindo  já é tarde vão jogar a série B seus miseráveis,há 2 anos,0,
Show De Bola Do Grêmio Pra cima Da Chapecoense,há 2 anos,1,
E o Baldasso  está  quase  sentando em  cima daquela lanterna 🤣🤣🤣,há 2 anos,0,
"Sou Atlético Mg mas tava torcendo pro Grêmio ontem, pra eles ir com tudo pra cima do Flamídia na próxima rodada",há 2 anos,3,
"O grêmio ainda tem chance de salvar,  é  difícil mas não impossível,  vejam o caso do Brusque da serie B ,que todo mundo já dava como rebaixado,  reagiu nos últimos jogos e se salvou",há 2 anos,0,
"Incrível, mas depois que o avião  da chapecoense caiu com os bons jogadores,,, nunca  mais a chape foi a mesma , isso abalou muito o emocional de todos",há 2 anos,2,
Lucas Silva sou muito fã 💙🦊,há 2 anos,0,
adeus rebaixamento bora meu gremio,há 2 anos,0,
O Grêmio melhorou sem o Douglas Costa ou é impressão minha?,há 2 anos,0,1
Vai ser decretada a falência do grêmio contra o mengão campeão 🏆,há 2 anos,0,
"Meu santos ou seu grêmio ? Puts... Prefiro que caía o seu time. 
Santos permanece na série a",há 2 anos (editado),1,
Cortez já era faz muito tempo 🍃🍃🍃,há 2 anos,0,
"Um time grande Tri da América Penta da Copa do Brasil campeão do Mundo bi da recopa e sei lá mais quantos titulos , não mereçe cair pra B , que caia os pequenos onde o lugar é na B , e Viva o Furacão Bi da Sula",há 2 anos,0,
esse jogo foi tão bosta q nen o narrador queria narra pqp Jogo de serie B,há 2 anos,0,
"CLUBECO ESSA CHAPECOENSE TOMARA QUE CAIEE PRA SERIE D e fique por lá, serie D é o teu lugar timeco",há 2 anos,0,
Cortez não existe!,há 2 anos,0,
Chutando mto bem parabéns Lucas silva e isso aii💪🔥🔥,há 2 anos,2,
COITADA DA CHAPECOENSE,há 2 anos,0,
Vão deixa mesmo o Grêmio sair da zona?,há 2 anos,0,
Grêmio não cai mais.,há 2 anos,0,
"A Chape mesmo sendo o clube com a pior campanha do brasileirão 2021, não perde o apoio do torcedor! Parabéns👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🤍💚🤍💚💪🏻Essa é a importância do futebol! Não importa como o seu clube esteja; só apoie.",há 2 anos (editado),1,
Jogo entre o lanterna e o vice lanterna acontece dois gols contra. Tudo normal.,há 2 anos,0,
"Super Grêmio tá de mais, ganhou de:
Time sub-20 do Bragantino.
Chapecoense já rebaixada.",há 2 anos,1,
Sem Alisson*,há 2 anos,0,
Ganharam do sub 15 d bragantino e da seleção chapecoense.,há 2 anos,0,1
Agora quero ver ganhar os próximos jogos !!!🅱,há 2 anos,1,
Infelizmente grêmio já caiu,há 2 anos,1,
"4 gols do grêmio,tá melhorando..",há 2 anos,2,
O gremio não cai esse ano,há 2 anos,0,
Está chapecóece deveria ir direto pra série c,há 2 anos,1,
O ingresso lá no estádio da Chapecoense deve ser de graça!Não é possível que os torcedores pagam pra ver um tive que está rebaixado desde o começo do campeonato!,há 2 anos,0,
O grêmio só adiando o rebaixamento.,há 2 anos,0,
"Boa gremio ,tem que chegar vivo contra o corinthians ,o timao q vai rebaixar vcs 🤣✝️",há 2 anos,0,
Uma amostra da série B ano que vem,há 2 anos,0,
"Grêmio ja caiu so ganhou 2 pq pegou o braga todo reserva e a chape ja rebaixada,agora que o bixo vai pegar eles enfrenta Flamengo,São paulo,e o galo kkkkkkkk",há 2 anos,1,2
Grêmio vai pra série b,há 2 anos,0,
Time grande não cai,há 2 anos,0,
Defensivamente vanderson é muito fraco.,há 2 anos,0,
O grêmio  pode printar foi sua última Vitória no brasileiro  agora so ferro,há 2 anos,0,
VAMOS MEU GRÊMIO!!!!,há 2 anos,2,
O inter entrega pra ferrar o grêmio a chape entrega pra ajudar chupa gazelada morangada kkkkk,há 2 anos,1,
Ave Maria esse time da chape é o pior da história dos pontos corridos....não ganhou uma como mandante.,há 2 anos,0,
Grêmio 21/11/2021,há 2 anos,0,
"Aaafeeee!! Que time ruuuuim esse da chapecoense até gol contra fez, tem mais é que ir para a série b mesmo.",há 2 anos,0,
Mas o Flamengo e o Atlético empato kakaakakakakak,há 2 anos,1,
Mimimimimi de morango azedo olhando vídeo do Grêmio para ficar triste.,há 2 anos,0,
 @juliobarletta7144  CALMA AE TRI SÉRIE B KKKKKKKKKKKKKKKKK IMORTAL QUE MAIS MORRE MORREU DE NOVO KKKKKKKKKKK,há 2 anos,1,
"Não é por nada que esse time da chapecoense está na última posição do campeonato, não ganha de ninguém dentro de casa  nem do grêmio que tá uma várzea.",há 2 anos,0,
"Sou Corinthiano,boa sorte ao maior do Sul 💓e que o Inter se foda 🥰🥰",há 2 anos,6,1
"Musiquinha dos Beatles:

Operário, Criciúma, Madureira e ABC
Grêmio vai jogar... Série B

SÉRIE B, SÉRIE B, SÉRIE B, SÉRIE B
GRÊMIO VAI JOGAR... SÉRIE B",há 2 anos,0,
"Ão, ão, ão, segunda divisão

Kkkkkkkkkkk",há 2 anos,0,
"Sou Flamenguista, mas creio que o Grêmio nao vai cair. Time grande tem que ficar na primeira.",há 2 anos (editado),42,1
"mesmo o Grêmio ganhando vai cair pra série B, tem jogos difíceis !",há 2 anos,1,1
os gremistas ainda tem esperança,há 2 anos,1,
"Sou atlético mineiro,mas sempre  tive  muita simpatia pelo grêmio.  Meu segundo time do coração!",há 2 anos,63,3
Kkkk sejamos realistas né . Grêmio ganhou d um bragantino q estava com a cabeça numa final aí pegou um morto q não tem mais ND a perder . É jogo pra enganar trouxa grêmio série B . Não se iludam gremistas,há 2 anos,0,
"Com esse joguinho o grêmio, não ganha do Corinthians nem Flamengo e muito menos são Paulo o dia da série B do grêmio kkkk😂😂😂😂",há 2 anos,1,
"Sou cruzeirense
Tbm torcendo pro Grêmio ganhar",há 2 anos,2,
"Grêmio tá jogando Bem, jogando assim não cai pra segunda!
Vamo meu Grêmio",há 2 anos,5,
Oie,há 2 anos,0,
"Parabens Gremio Pela Vitoria.
⚽🇧🇷🙋🇧🇷⚽🇧🇷⚽👍",há 2 anos (editado),5,
Depois q tá acabando o campanato eles começa jogar bem agora é tarde,há 2 anos,0,
Esse Wanderson do Grêmio é uma avenida kkkkkkk todo mundo passa,há 2 anos,9,
"grêmio foi armado, não tinha como perder com esse conjuntinho..",há 2 anos,0,
Aleluia meu Grêmio venceu 2 jogos seguidos 🙌,há 2 anos,2,
O super grêmio tá demais,há 2 anos,0,
"A gora só falta o Gremio continuar ganhando mais cinco partidas, e torçer para os concorrentes perderem todas.",há 2 anos,0,
Sábias palavras 💙🖤💙🖤💙,há 2 anos,3,
"Sinceramente...eu acho q c eh o flamenguista mais gente boa q eu já vi kkk, vamos recuperar o 5 a 0 😅❤️",há 2 anos,0,
"quais? Sao Paulo que tomou 4x0 pro Flamengo? Bahia que nao ganha de ninguem? Flamengo sub 20 terça? Atlético mg sub 20 na última rodada? realmente, sao jogos bem difíceis",há 2 anos,0,
Franguinha kkk,há 2 anos,1,
Tcd modinha,há 2 anos,2,
dx o cara pow,há 2 anos,1,
"Gremio infelizmenre já nao tem mais como nao cair.....vai pehsr Flamengo e msm que ganhar vai ficar atras do Juventude em pontos depois pega bahia disputa direta ai Sao Paulo , Corinthians , e fecha com campeao atletico mg ....vcs acham que vai ter chance??? Duvido muito..se perder pro Flamengo já era se ganhar pode ate ser.",há 2 anos,0,
Cortes não vou fazer gol contra sozinho Laércio vai fazer tbm 😅,há 2 anos,3,
Chupa Renata Fan Lucas Silva joga muito no Grêmio 👏👏👏,há 2 anos,2,1
ajudando o grêmio para não ser rebaixado vergonha esse futebol brasileiro,há 2 anos,0,
Tão Deixando o Grêmio Sonhar🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 2 anos,1,
"O Cortez é tão ruim que faz gol contra até de costas, espero que mandem ele embora ano que vem, pensa em um jogador ruim mds, Alisson entra em campo da medo de ruim também, metade do time tem que mandar embora!",há 2 anos,0,
Acordo tarde de mais .kkkkkkkkk,há 2 anos,0,
Sou Cruzeiro mas torço que o Grêmio fique na série A,há 2 anos,61,4
"Se esse Lucas Silva nao tivesse tido as lesões e falta de continuidade na carreira eu não tenho dúvidas q seria titular na volancia da Seleção ao lado do Casemiro, e olha que sou torcedor do Galo. Barbaridade o q esse rapaz joga",há 2 anos,1,
Esse primeiro gol...que frangaço...,há 2 anos,0,
제발 잔류하자 그레미우,há 2 anos,0,
Vão deixar o Grêmio escapar,há 2 anos,0,
Tieos,há 2 anos,0,
