text,time,votes,replies
Edenilsonnnnnnnnnn 41 anos,há 1 ano,0,
"Na hora do pênalti vc pode ver q um jogador do Inter tá quase na pequena área numa falta de cruzamento tenque ta mt mais longe da grande área tava empedido então não é pênalti, um erro bobo o bandeira se vice  o erro antes do jogador do Corinthians te feito  pênalti teria evitado tudo isso um enorme erro do bandeira do árbitro e do ""VAR"" esses vagabundos nos prejudicaram se não fosse esse erro inadmissível o Corinthians teria ganhado de 1x0 mais uma vez fazendo um trabalho porco, inadmissível, prejudicador, sujo, bandido, por isso vão se ferrar dps fala q é onesto seus bandidos 

 e CBF o futebol é maior do q o os q o  comanda",há 2 anos (editado),0,
As vezes eu não entendo o pessoal prefere que não tenha o Var só porque ele acerta?,há 3 anos,0,
Roubaram o Corinthians,há 3 anos,0,
Vem corithians🤠🇲🇫,há 3 anos,0,
"A primeira vez na historia do futebol, um jogador em posição de impedimento, indo em direção a bola sofre o penal antes do impedimento, sendo q o impedimento é marcado na saída da bola. E tem comentarista esportivo tentando achar pelo em ovo. kkkkkkkkkkkkkkkkkkkkkk",há 3 anos,0,
Da onde que foi pênalti pro Inter nesse lance e o cara nem é ladrão da onde que foi penalidade kkk ?,há 3 anos,1,
"Pelo que entendo da regra, se no Lance o jogador está impedido, o V.A.R. vê, comunica ao Juiz, que antes do pênalti, houve impedimento, e se dá o impedimento.",há 3 anos,0,
sem meu var eu não consigo,há 3 anos,0,
Nem chutando em cima do Cassio ele consegue pegar mas q bosta ta kebrando o time ta pesadao o cara sera q os cara tem dó dele medo 2012 vai fazer dez anos,há 3 anos,0,
Luan não pfv Sylvinho,há 3 anos,0,
Jogo feio do caralho kkkkkk,há 3 anos,0,
quem e esse narrador,há 3 anos,0,
Corinthians como sempre levando a pior com esse var de filhos da puta,há 3 anos,0,
"Os cara perdendo tempo falando de var, var é a bunda deles, nem pagando juiz os cara me ganha",há 3 anos,0,
É sério que tem torcedor da quarta força de são paulo fundado em 1990 reclamando de arbitragem será que eles se lembram de 2005?,há 3 anos,1,
"Juiz Ladrão,Ladrão,Ladrão,Vá Ladrão, Ladrão,Ladrão",há 3 anos,0,
Gustavo Mosquito ta jogando muito,há 3 anos,0,
Matheus vital e Gustavo Silva são os únicos que tenta algo,há 3 anos,0,
Q pênalti bizarro foi esse? Cara impedido kkkkk,há 3 anos (editado),0,
Péssimo empate para os dois,há 3 anos,0,
Esse salvio so fala depois que juiz marca,há 3 anos,1,
Engraçado o comentarista ... Falo que tava impedido ... E por ser rede globo ..os caras não levaram adiante .... Nosso futebol acabou o brilho com var ou sem.var já não tem mais graça,há 3 anos,0,
Esse gol empedido do inter n foi nada pra vista do roubo que fizeram no internacional em 2005,há 3 anos,0,
"Eu achava que o Corinthians tinha feito um péssimo jogo, mas até que não hein, foi bom!",há 3 anos,0,
"O nosso time e muito fraco mesmo dava pra ganhar do inter, sao paulo e fluminense, mais tudo bem um time que tem roni e araos não ganha nem do time de araucaria. grças a Deus esse roni levou o terceiro amarelo e ta suspenso, porque ele nao e desfalque em lugar nenhum, como e ruim esse muleque. quando eu vejo ele no time me enoja.",há 3 anos,0,
Tem que vender o edenilson..e o patrik...,há 3 anos,0,
"Carlos Eduardo Taddeo

""... só não tem vontade de pegar em armas e destronar tiranos, aquele que não sabe, que todo o esplendor e luxo da alta classe, são responsáveis diretos por nossa situação sufocante de indigência. Só não tem vontade de pegar em armas, aquele que não sabe, que a nossa desinformação, falta de cultura e acesso à um ensino de qualidade, são responsáveis diretos pelo atual quadro da política nacional, composto por playboys governando em prol de playboys. Só não sente vontade de pegar a 12 cano cerrado para promover reparação social, aquele que não sabe, que quanto menor é o grau de escolaridade, maior é a quantidade de filhos para passar fome; que quanto menos abastada é uma família, maior é a porção de bocas para alimentar e que17% das casas nos bairros pobres, é habitada por uma adolescente grávida, em conformidade com o temerário controle de natalidade burguês...""",há 3 anos,0,
Campeonatinho MANIPULADO Brasileiro,há 3 anos,0,
Edenilson vai ser artilheiro só fazendo gol de pênalti. Kkk,há 3 anos,0,
"O EMPATE É NORMAL PRA OS DOIS TIMES QUE JOGARAM MELHOR. 

CARALHO, FÁBIO.",há 3 anos,0,
Ladrao covarde esse juiz,há 3 anos,0,
O cuesta tava impedido,há 3 anos,0,
"Mandem o salvio espinola pra pqp
Pilantra safado",há 3 anos,0,
Impressionante como essa zaga do Inter é uma mãe,há 3 anos,0,
"ASSALTO FOI 2005 ! 
ASSALTO FOI a final do Paulista com interferência externa ! 
ASSALTO É OQUE ESSE TIMECO FEZ POR ANOS NO BRASIL ! NA VERDADE NAO SE ESPERA MENOS DO TIME DO LULA NÉ 🤣",há 3 anos,0,
"Essa globo lixo junto com o Var e os empresários de casas de apostas são a segunda maior facção do país, só fica atrás dos políticos..",há 3 anos,0,
"O pé do jô da dentro da área, mas tem que ter a vista boa kkk",há 3 anos,0,
"Time ruim, não tem meio Campo, esse corinthians",há 3 anos,0,
"Contra o Corinthians não é roubo, é pagamento e ainda tem os juros, entendam, se não morre que passa.",há 3 anos,0,
