text,time,votes,replies
"E aí, torcedor!😎
O que achou da partida?",há 3 anos,55,22
X1,há 2 anos,0,
Se não ganhar do sport vai  ganhar de quem,há 3 anos,0,
Que goleiro burro esse Nelson,há 3 anos,0,
Sport e Mestre em tomar gols bobos,há 3 anos,0,
Sport levanta deffunto!,há 3 anos,0,
O Juventude ensina ae como se ganha do Sport😭,há 3 anos,3,
"Gramado top
Parabéns pelo cuidado Juventude
Vamos ficar na série A!",há 3 anos,0,
parabéns papada tão melhor que os times da capital..,há 3 anos,0,
"venceu o segundo maior do RS, atrás apenas do Grêmio FBPA
parabéns Juventude!",há 3 anos,1,
Kkkkkkk juventude tá melhor que o Shu Paulo,há 3 anos,2,
"O frio da Serra aqui do RS, um frio que o sport nunca é acostumado e o estádio do juve fica a 900m de altitude ajudaram muito",há 3 anos (editado),6,
Viva o CAP. 4 jogos 12 pontos. 1º lugar na tabela bras 2021. Único com 100% aproveitamento.,há 3 anos,2,2
Esse ano o sport começou a caí mais cedo que o ano passado.,há 3 anos,0,
Resumo: só deu Sport e o juventude fez um gol no aborto.,há 3 anos,2,
"Time de velhos aposentados e emprestados querer jogar contra a Juventude, o resultado foi o óbvio ululante tem mais que perder mesmo. Vai lá Cachorra de Peruca, que a derrota é tua.",há 3 anos,0,
Esse time frouxo do sport é um levanta defunto não pode ver um time de segunda divisão que perde,há 3 anos,1,
Não eses jogos tá muitos besta,há 3 anos,1,
"Os filhos apanham:
Internacional 2-2sport
Grêmio 0-1sport

O pai ensina:
Juventude1-0sport",há 3 anos,2,
Sou Flamengo mas gosto de ver p juventude,há 3 anos,0,
Juventude tem torcedor?,há 3 anos,7,
 @kevinlukas5589   vsfd,há 3 anos,4,
Uma merda,há 3 anos,1,
" @kevinlukas5589  Cara, Juventude é o principal time de Caxias do Sul, que é a segunda maior cidade do RS.",há 3 anos,3,
 @gasttock  da uma raiva desses cara se fude mano,há 3 anos,1,
Acho que os Shupaulinos tem que parar de usar o museu como argumento,há 3 anos,0,
 @pipocano5632  TEM QUE PARAR DE USAR O MUSEU E AS DROGASSS,há 3 anos,0,
"Duas perguntas: 
1) Este estádio é o Alfredo Jaconi?
2) Este gramado é sintético?",há 3 anos,0,
" @gasttock  Claramente né, além do Juventude n existe time bom em Caxias do Sul",há 3 anos,0,
" @edugallo100  Respondendo:
1. Sim, estádio do Juventude Alfredo Jaconi.
2. Não, o gramado está incrível desta forma pois foi trocado por completo recentemente.

Saudações jaconeras ao maior de Minas ! 🇳🇬🙌🇳🇬",há 3 anos,2,
"Um dos piores jogos da temporada 2021 q assisti. Dois elencos limitadíssimos, sem nenhuma inspiração. Destaque talvez o Castilho...bom volante.",há 3 anos,0,
Ge,há 3 anos,0,
 @antonioneto8930  tem o Caxias,há 3 anos,0,
Uma porra,há 3 anos,0,
👍👎,há 3 anos,0,
Gostei,há 3 anos,0,
" @jovemjaconero-juventuders.9496  Sou Sport, mas vi um vídeo do canal ""Ele Não Disse Isso"" sobre a reforma... e achei sensacional. Reformaram o Alfredo Jaconi para estar susceptível, respeitando as normas exigidas pra Série A e Libertadores, aos jogos das respectivas competições. Isso além da troca completa do gramado, do alargamento da saída dos vestiários/entrada para o campo e a troca do alambrado anterior por um novo alambrado de vidro. Parabéns ao clube! 👏",há 3 anos (editado),0,
Péssima eu só sporte e não acredito que ele perdeu o sporte tá o maior fracassado todo brasileirao ele faz isso,há 3 anos,0,
 @vinirodrigues18  ??,há 3 anos,0,
Não sei,há 3 anos,0,
" @WinningElevenGames  É nóis mano, parabéns pela humildade. Em geral só vi torcedor do Sport menosprezando o Ju kkk, vlw ! 🇳🇬 🤝 🇩🇪",há 3 anos,0,
" @jovemjaconero-juventuders.9496  Valeu amigo!
Saudações alvinegras e bem vindos de volta. 
Realmente o gramado está espetacular.",há 3 anos,0,
Até quando 🤣🤣🤣🤣,há 3 anos,0,
Pintou um cavalinho paraguaio,há 3 anos,0,
É o Ju! 💚,há 3 anos,0,
Chupa xpopot seu futuro é a série B,há 3 anos,0,
O Sport tava brincando com esse time de merda,há 3 anos,0,
que time ruim esse do sport meu deis rumo a sere a👎👎👎,há 3 anos,0,
Eu espero que o ju melhore tem que começar a ganha boa vitoria mas ainda tem que melhora muito cuida pra nao tomar gols bobo que nem comtra o palmeiras pq o juventude perdeu duas partidas no segundo tempo e isso tem que cuida,há 3 anos (editado),6,
300 jogadores do sport e msm assim n conseguiram tirar a bola . Kkkkkkkk pior zaga do ano passado e continuaram c todos oa zagueiros kkkkkk,há 3 anos,3,
Parabéns pro Sport que conseguiu perde,há 3 anos,2,
"""Pelo menos ganhei do gremio""


Thiago vermes, 2021.",há 3 anos,16,2
Parabéns juventude é isso aí 👏🎉,há 3 anos,7,3
Grande Vitória Juventude tomará que permaneça na série A.,há 3 anos,5,
Feio demais em Sport! Perdendo para time de várzea que não joga série A desde da época da minha vó,há 3 anos,2,
Sport a vergonha de Pernambuco,há 3 anos,2,
🤦 até o Juventude ganha do Sport. Ta complicado ser gremista!,há 3 anos,1,
Vamo juventude,há 3 anos,1,
Top,há 3 anos,0,
"Se O Juventude Tivesse Vencido Aquele Jogo Contra O Cuiabá,
Estaria Em Uma Situação Mais Confortável No Brasileirão",há 3 anos,5,
"Tmb ne com essa neblina ae não tem como jogar em Caxias pelo amor de Deus né
Neves Thiago",há 3 anos,0,
"Bom trabalho pro Juventude, o clube de Caxias do Sul venceu contra o Sport e objetivo manter o clube gaúcho na elite do futebol 🇧🇷 em 2022 👏🏻🙏🏻",há 3 anos,22,
Parabens ao Juventude Pela vitoria,há 3 anos,1,
Vence o Grêmio e perde pro Juventude wtf,há 3 anos,2,
Fala Zezé,há 3 anos,0,
Bom dia cara,há 3 anos,0,
"Vixi...
Alá o tricocô 🙆‍♂️",há 3 anos,1,
 @WinningElevenGames  🤭🤭🤭🤭🤭🤭🤭🤭🤭,há 3 anos,0,
Não ganhou da Jacuipense ? Puta que o pariu !,há 3 anos,0,
"Juventude , Cuiabá , América mg , chapecoense e sport briga pra ver quem vai , os outros três só vinheram passear na série A",há 3 anos,2,3
André balada kkkk,há 3 anos,0,
"Jogadores do Sport: Vamos congelar 

Jogadores do juventude: Tá esfriando kk",há 3 anos,65,3
Ixxport ajudando o Ju,há 3 anos,0,
"SPORT bota o juventude pra mamar o jogo inteiro e toma um gol idiota desses por causa das mexidas sem nexo do técnico, desse jeito vai cair mesmo",há 3 anos,2,
Chupa grêmio e inter com nois não é isso do sport ganha,há 3 anos,1,
Vamo meu Juuu💚,há 3 anos,6,
Gracias por ganar me hicieron ganar mi apuesta xd,há 3 anos,1,
Esses dois vão brigar pra não cair,há 3 anos,0,
Até o juventude ganhou e a bixarada não é o gremiover também  não,há 3 anos,2,
"na raça, mlk",há 3 anos,0,
"Eu zoo por sermeos rivas, mas espero que o Sport não caia",há 3 anos (editado),2,
Parabéns Juventude. Vitória merecida!,há 3 anos,4,
"Gramado tá um tapete, parabéns ao Juve.",há 3 anos,84,5
1:16 quase o encouraçado faz de cabeça,há 3 anos,7,2
Simplesmente o puskas do brasileirão do entretenimento,há 3 anos,20,2
Que gol fei do caramba 🤦‍♂️🤦‍♂️,há 3 anos,0,2
Mermão como sport leva um gol desse porra mermao me ajude,há 3 anos,4,
Dois timecos a diferença é que juventude vai lutar pela 18 lugar e o sport ja comprou sua posiçao pra 20 lugar,há 3 anos,0,
É o JU,há 3 anos,6,23
Pd bota o Corinthians nessa lista,há 3 anos,0,
 @diogobomfim3513  negativo.,há 3 anos,0,
 @pedrovale3762  kkkkkk meu fi Corinthians tá pior q o juventude lek n pega nem a sula esse ano briga pra n cair,há 3 anos,0,
Kkkkk,há 3 anos,0,
"Tava até calor, comparado a uns outros dias aqui no Sul kkk",há 3 anos,1,
Kkk,há 2 anos,0,
eu vendo o jogo do flamengo 🤡,há 3 anos,1,
 @pollarv  né 😬,há 3 anos,1,
hoje já reclamaram,há 3 anos,0,
kkkkkkk,há 3 anos,0,
E parabens pela vitoria,há 3 anos,0,
parece q Temos um fã de AOT aq 👍😎,há 3 anos,0,
Ashirogi muto,há 3 anos,0,
Iae somos nauticoo até morrreeee,há 3 anos,2,
👊🐭🇦🇹🇦🇹,há 3 anos,1,
Feio é não fazer gol,há 3 anos,2,
 @mrminnoti  É vdd,há 3 anos,1,
Vai pra merda lei do ex do caralho!,há 3 anos,0,
" @maiordonordesteistoesport596  Chora mais, Sport só tem moral e expressão na porra do Nordeste. Pisou em Caxias ? É vapooo ! 🤫",há 3 anos,1,
Vamo juventude!! Saudação Gremista🇧🇼,há 3 anos,3,
" @isaquesamuel4113  Saudações do maior do interior, ao maior do sul ! Seguimos JUntos ! 🇳🇬💪",há 3 anos,3,
" @jovemjaconero-juventuders.9496  vai tomar no cu timezinho de interior sulista sem expressão nacional, vai ser rebaixado em 20° timezinho sem títulos 🤣🦁🔴⚫",há 3 anos,0,
" @maiordonordesteistoesport596  
Como se os sport tivesse alguma relevância",há 3 anos,1,
" @maiordonordesteistoesport596  Timezinho do interior sulista ? Sem relevância nacional ? Sem títulos ? 1994, 1998 e 1999. Não conhece ? Pelo visto não, vem nem pesquisar sobre o Ju antes de falar merda ! Isso que nem falei dos chocolates históricos, 6 x 1 no Corinthians e 6 x 0 no Fluminense. Quer mais ? 14 anos consecutivos na série A ? Quanto tempo seu timezinho ficou ? Ata... Espero que pense melhor, antes de vir falar merda dnv. Torce pro Sport e quer dar uma de orgulhoso, arrogante... 🤣🤫🖕",há 3 anos,2,
 @jovemjaconero-juventuders.9496  acabei de me lembrar que o juve tem copa do brasil mas de boa mano 😳😃,há 3 anos,0,
 @maiordonordesteistoesport596 👍✊,há 3 anos,1,
 @jovemjaconero-juventuders.9496  Eu sou náutico quero vcs permanecer na série A,há 3 anos,1,
 @jovemjaconero-juventuders.9496  salve do bahia meu brother 🇫🇷🇳🇬🇳🇬👏👏,há 3 anos,0,
É o nosso Ju 💚👏🏻🙌🏻,há 3 anos,1,
" @tudodebola458  Salve irmão, Bahêa maior do Nordeste ! É nóis ! 🇳🇬 🤝 🇨🇵",há 3 anos,1,
" @junior_correia87  Valeu brother, ano passado não deu mas espero que esse ano Náutico volte pra A ! É nóis ! 🇳🇬 🤝 🇮🇩",há 3 anos,1,
" @jovemjaconero-juventuders.9496  é nois compaça,  saudações alvirrubras CNC",há 3 anos,1,
Tmj,há 3 anos,0,
"Ta de sacanagem né??😂 tu quer comparar teu juventude com o sport?? 😂 quantas vzs teu timeco participou de uma libertadores ou sulamericana? A historia do sport e grande , somos os primeiro finalista da copa do brasil perdemos para o gremio no roubo, temos Serie A e B e copa do brasil 2008 , nunca caimos pra Serie C que nem vcs😂 o juventude e o pior time comparado a todos da serie A não querendo hulmilhar mais estou falando so verdades",há 3 anos,0,
" @davivitorm.s5959  Juventude é o pior mais venceu teu Sport , então acho que o pior é teu Sport kkkkkkkkkk",há 3 anos (editado),0,
" @davivitorm.s5959  Vou te refutar, de forma que nunca mais vai querer comentar no Youtube: Perderam a Copa do Brasil no roubo ? Ok, mas perderam. Não, vocês não tem série A. 87 é do Flamengo, chora. Ah, tem série B e Copa BR ? Nós também kct, 1994 e 1999. É o pior time de todos ? Não sei da onde, você não tem um argumento pra isso, ao menos um que não foi refutado. Sem dizer, quanto tempo seguido ficaram na série A ? Nós 14 ANOS ! E quantas goleadas HISTÓRICAS aplicaram ? Bom, 6 x 1 no Corinthians e 6 x 0 no Fluminense do Juventude tá bom ? Fica quieto no teu lugar, arrogante do krl.",há 3 anos,0,
" @jovemjaconero-juventuders.9496  tu so fala do passado me diz quando foi teu ultimo titulo😂 meus argumentos amassa o teu ,  falei de libertadores tais e calado ate agora😂 juventude e o time mais fraco da serie A ganhou do sport com um gol chorado mais ta né me chama de arrogante que eu sei que te deixo irritado😂",há 3 anos,0,
" @davivitorm.s5959  Último título foi esse ano, seu merda. Campeão do Interior, que convenhamos, vale o mesmo ou até + que esses pernambucano fácil. Libertadores ? Participamos sim, mas da onde isso é argumento: ""aI PartICIPAMOS"" que merda kkk, usa de argumento participação em uma competição, típico de clube arrogante e pequeno. Feliz agora ? Sr. Argumentos.",há 3 anos,0,
 @jovemjaconero-juventuders.9496  valeu mano tmj,há 3 anos,0,
 @jovemjaconero-juventuders.9496  O cara tem que pensar duas vezes antes de falar mal do juventude,há 3 anos,1,
