text,time,votes,replies
"E aí, torcedor! 😎
O que achou do resultado?",há 2 anos,231,30
04/06/2024.,há 2 meses,0,
4x0 amanhã 🎉,há 1 ano,0,
"E a culpa era do Patrick, edenilson e companhia….. hoje o time sofre com as nabas🤦🏾‍♂️ tomamos 2x0 pro América lanterna do campeonato",há 1 ano,0,
Il,há 1 ano,0,
"yuri alberto é mt superestimado,ele nem jogava bem,mas só por causa do hat-trick contra o flamengo e são paulo ele virou um cracasso de bola do nada",há 2 anos,0,
"0:44 a pouco tempo passava pano pro daniel,agr eu sei q ele é um goleiro baixinho q n sabe  sair  do gol,poderia ter o keiller",há 2 anos,0,
A.  P.  A.  E.     A  P  A E,há 2 anos,0,
"Detesto o Patrick ....ele representa a decadência do Inter nos últimos anos....não se iludam....não ganhamos nada com ele, pelo contrário, perdemos muito em pouco tempo.",há 2 anos,0,
É o inter rapaz😴😎,há 2 anos,1,
"INTER ta garantindo sua vaga na liberta, tomare que vão bem",há 2 anos,0,
Yuri pereba perde muito gol 5 tentativa pra fazer 1,há 2 anos,0,
"Patrick é o novo Guinãzú (raçudo), Só estava em má fase...",há 2 anos (editado),0,
2:14 monstro perdeu o gol de do dos morangos ribalenda😎😎,há 2 anos,0,
SoloQ Patrick Vrau,há 2 anos,0,
Ribamar quase faz um gol de bike . Vai.,há 2 anos,0,
Faltou o olhaaaaaaaaaaaa ele aiiiiiiiiiiii,há 2 anos,0,
"não pode parar com o olhaaaaaaaa ele aiiiiiiiii, para não.",há 2 anos,0,
"Ufa pensei q o reibamar ia fazer um jogo ruim pela 1 vez, mas o monstro jogou muito como já era de se esperar😎 , ele ñ nos decepciona.


Ae fiz um vídeo limitando o md chefe, quem puder ver, agradeço!",há 2 anos,0,
que golaço do patrick,há 2 anos,0,
Na minha humilde opinião o FlaV4di4 não tem estádio não,há 2 anos (editado),19,
Eu acho que o FlaAberração continua sem estádio,há 2 anos (editado),13,
Bom,há 2 anos,2,
Verdade man,há 2 anos,2,
flaPUTA NEM TEM ESTÁDIO,há 2 anos,2,
"Bom, só sei que o greBBBio vai ser tri-rebaixado",há 2 anos,3,
@Edilson DPS EU QUE SOU ALTISTA,há 2 anos (editado),7,
 @onlythat9570  Fazem festa no seu!,há 2 anos,2,
 @w.ferreira6011  Sem argumentos!,há 2 anos,1,
@Edilson FONTE:MUNDIAL DO PALMEIRAS,há 2 anos (editado),2,
0:40 que frangasoooooo,há 2 anos,2,
 @Thfc10  porque o aguirre botar a porta do Zé Gabriel,há 2 anos,1,
 @SemNome-po1qs  e bom que BBremio vai ser trirebaixado,há 2 anos,1,
"Vamos ganhar do ""JENIO"" PORTUGUÊS e mandar ele de volta.",há 2 anos,1,
 @SemNome-po1qs  ksksks,há 2 anos,1,
 @Gabriel_cec  skksksksks,há 2 anos,1,
Ficou muito bom abertura do GE,há 2 anos,1,
" @w.ferreira6011  Fala besteira  , já se olhou no espelho hoje",há 2 anos (editado),1,
Esse resultado não evita do FLAMENGO ser o maior time do Brasil.,há 2 anos,1,
Não Gostei do Resultado,há 2 anos,1,
Legal,há 2 anos,1,
"Para de cortar a narração, desgraça",há 2 anos,0,
"Minha Família Está Passando Por Um Momento Difícil Nessa Pandemia"" Mais Não Vou Desistir De Ser Um YouTube De Sucesso 😔",há 2 anos,1,
@Edilson ah sim e vcs tentando roubar com penalti KKKKKKKKKKKKK edilson a piada,há 2 anos (editado),1,
Impresionante,há 2 anos,1,
Muito bom,há 2 anos,1,
"(  ferroviário, cabo de st. Agostinho, pe. Brasil. Alô rapaziada. )",há 2 anos,1,
Foi um jogo 3xq,há 2 anos,1,
Eu achei o resultado 3x1,há 2 anos,1,
Falta um volante de verdade lindoso muito fraco falta um volante de raça,há 2 anos,1,
Golaço o primeiro gol,há 2 anos,0,
Patrick joga muito,há 2 anos,0,
INTER🏆🎉🏆🇦🇹💌💝💪👦🇧🇷🏠⛅💻👍👍🎧💺🎙️🚨,há 2 anos,1,
"Não usem essa palavra
M A N C I N I S M O",há 2 anos,0,
"Taí, o incompetente do Galiotte não quis trocar o pereba do Luís Adriano pelo Yuri Alberto, o cara tá fazendo gol todo jogo. Lamentável.",há 2 anos,0,
"Obrigado ,ge ,por excluir o bordão ""olha ele aííííi""!!",há 2 anos,0,
Esse treinador do América é mto babaca tá igual o Tiago Nunes sair do América mg pra ir pro grêmio é um otario como que vai fazer algum milagre já era o grêmio,há 2 anos,0,
Placar mentiroso... igual os 4a0 no Flamengo.  Esse jogo se desse empate era mais justo. Mas futebol tem dessas coisas né 🤷‍♂️,há 2 anos,0,1
Riibamaaaar,há 2 anos,0,
Yuri Alberto monstro demais,há 2 anos,0,
Nessa rodada teve tantos resultados d 3×1,há 2 anos,0,
Inter ganhou na sorte do coelho.,há 2 anos,0,
ALGUÉM SABE INFORMAR POR QUE PATRICK NÃO É CONVOCADO PELO TITE?,há 2 anos,0,1
Faltou o gol do Ribamar.,há 2 anos,0,
"Orgulho 🇲🇨
Chora grêmio",há 2 anos,0,
Edenilso e guerreiro título só no Corinthians,há 2 anos,0,
"Patrick, nunca critiquei, se critiquei, não lembro! Se não lembro, não critiquei! Fera de mais",há 2 anos,0,
"Só vim aqui pra dizer que, Custa tá na meia esquerda",há 2 anos,0,
"fazia anos que patric nao marcava rsrs, nem lembro ultimo gol que vi ele marcar!",há 2 anos,0,
"O SUPER GREMIO TA DEMAIS 🇪🇪💪🇪🇪💪 NOS TRAZENDO ALEGRIA 😁😀😀 TEM O BRENNO, DC E RAFINHA 🔥🔥🔥 E CLARO TAMBÉM TEM O FERREIRA, O DIEGO DOUZA E O THIAGO 🐶🐶🐶🐶 QUE JOGAM MAIS QUE OS COLORADOS 🤣🍓🤣🍓 E É COMO DIZ O MAICON: QUEM É DOURADO? QUEM É DOURADO? QUEM É DOURADO? 👺👺👺",há 2 anos,0,
"realmente o placar diante do flamengo foi mt injusto, justo seria flamengo 0 x 6 internacional",há 2 anos,0,
pq nesse brasileiro ele n chegou a fazer  3 partidas boas,há 2 anos,0,
Agora vai dar de 4 ou 5 no Palmeiras escreve aí,há 2 anos,0,
"O AMERICA  FOI  GARFADO, SÓ O TAL DE R. DOURADO JÁ TINHA FEITO SEIS FALTAS ..",há 2 anos,0,
Futebol as vezes é injusto...hoje o america teve dez vezes mais chance com o Fortaleza nos jogos que perdeu alguns teve muitas chances,há 2 anos,1,
Gremio perdendo e o inter ganhando tem coisa melhor que isso,há 2 anos,0,
Lll,há 2 anos,0,
BOA VITÓRIA DO INTER,há 2 anos,1,
Ribagol sempre em alto nível 😂,há 2 anos,1,
Arerê O Grêmio vai jogar a série 🅱️🅱️🅱️,há 2 anos,0,
"Bom ver o Patrick voltar a jogar bem assim, se continuar jogando assim o inter pra mim vai pra libertadores colorados, vibrem enquanto o Yuri Alberto está no inter.",há 2 anos,1,
0 brasileirao e uma eliminatória para a libertadores  ..i porque não tem uma eliminatória para o mundial de clubes...um time representando sua seleção,há 2 anos,0,
Patrick jogá de +++,há 2 anos,0,
Título é difícil mas dá para repetir a campanha de 2018!,há 2 anos,1,
Esse Patrick tem estrela.,há 2 anos,0,
Golaço do brasileirão! Merece prêmio???,há 2 anos,1,
"Pior erro do santos foi ter vendido o Yuri Alberto o cara joga muito 
Merece ir pra seleção brasileira",há 2 anos,2,
Yuri Alberto Joga Muito,há 2 anos,0,
Inter >>> grêmio,há 2 anos,0,
"(  ferroviário, cabo de st. Agostinho, pe. Brasil. Alô rapaziada. ))",há 2 anos,0,
Cade Os Colorados Aii??,há 2 anos,2,1
Inter tá jogando bem o palmeiras terá que jogar muito pra ganhar do Colorado no domingo vamos lá verdao é a hora de reagir,há 2 anos,0,
aq,há 2 anos,1,
👍,há 2 anos,0,
Yuri Alberto tá fazendo muitos gols em. Pode ir pra seleção!,há 2 anos,2,
O América  perde muito gol,há 2 anos,0,
"Yuri Alberto precisa ser o novo atacante da seleção, aproveitar a fase boa do garoto e tirar o atual pé de rato que tá só fazendo gol de pênalti!",há 2 anos,3,1
"O melhor do sul venceu! 😎 e o ""maior"" perdeu 🤣",há 2 anos (editado),0,
Yuri Alberto merece mais jogar na seleção do GabiSemGol ...,há 2 anos,3,
Obg por mais um gol Yuri Alberto meu cartola agradece tbm🎩⚽✅,há 2 anos,1,
Parabéns,há 2 anos,0,
Não entendi esta do Cuesta cabecear deitado..era mais simples chutar e limpar a área no 1o GOL do América,há 2 anos,0,
"Não estou feliz
da vitória do inter em cima do 
América mas sim 👍 tamanha a felicidade que nossos rivais 
deram pra nos ontem por mas uma derrota kkkk
dele grêmio kkkkk",há 2 anos,0,
Vamos meu SPORTCLUBINTERNACIONAL!!! Tu és minha paixão! 👍👍👍,há 2 anos,0,
"Obrigado ge por tirar o ""ooooolha ele aí"", que coisa chata e sem graça!! 🤦🏻‍♂️",há 2 anos,0,
"2:18 se o ribamar faz esse gol seria Epico
Pena que o deus do futebol nao quis",há 2 anos,0,
Cade os gremista ai chora nao goleguinhaaa,há 2 anos,0,
Esse internacional e foda meu,há 2 anos,0,
Melhor movimentação do a10 vem  ver,há 2 anos,0,
"Ribamar é melhor que Neymar!
Ribamar melhor do mundo!",há 2 anos,0,
PATRIK GOL DO CAMPEONATO,há 2 anos,0,
PQP PQ OS CARAS CORTAM O GRITO DE GOL?,há 2 anos,0,
"Nossas seleções do passado sempre tiveram vários craques juntos,essa de agora tirando uns dois ou três bons jogadores,o que sobra não jogaria a quelas seleções do passado,nessa de agora ,só Neymar é craque.",há 2 anos,1,2
Kkkk,há 2 anos,0,
vdd,há 2 anos,0,
tirando neymar nenhum jogador dessa seleção seria reserva daquelas seleções mais antigas de 2002 pra trás,há 2 anos,0,
E tem muita gente criticando o Patrick o cara de da a vida dentro de campo se entrega muito ele e um dos melhores jogadores do Inter,há 2 anos,0,
Esse america é medonho de bater,há 2 anos,0,
"Aprenda palmeiras, é assim que se ganha do América...",há 2 anos,4,9
Inter teve sorte mais o América-MG muito superior,há 2 anos,0,
""" Yuri Alberto é sensacional"" 
Gatorade ,Rafinha D.C",há 2 anos,3,
é o Inter né pai,há 2 anos,0,
O mequinha de minas se achando grande kkkk.time minúsculo microbio verde.,há 2 anos,0,
Ninguém hoje está mais feliz de quer renata fan kkkkk,há 2 anos,1,
Se o gramado do inter é bom??? Tire suas conclusões.,há 2 anos,1,1
"Tem q respeita o coroa 👑
Patrick joga muito....",há 2 anos,0,1
Parabéns pro Internacional pela Vitória,há 2 anos,0,
"Yuri ""Gol Aberto"" 🇦🇹",há 2 anos,0,
Queee fase!!! Vamooo,há 2 anos,0,
Chupa gremio,há 2 anos,0,
Que isto Mequinha,há 2 anos,0,
185 gazelas estupradas passaram por aqui....⚰️⚰️⚰️🖕,há 2 anos,0,
Sou mengao mas admito que meu time n está entre os grande pois n ganha nada honestamente,há 2 anos,0,1
Patrick nem falo tanto porque altos e baixo todos jogadores tem e ele tá voltando Jogar igual estava o simples e eficiente e fazendo gol,há 2 anos,0,
