text,time,votes,replies
"Fala, santista!! E aí, como tá o coração depois desse fim de partida?",há 2 anos,"1,2 mil",304
"nosso time tava caindo hoje e vcs 😂😂🐟🐟
 vim do futuro dizer q peixinho vai conhecer Serie 🅱️🅱️ 2024",há 8 meses,1,1
Wagner Leonardo foi em 2021 o que Júlio Cesar Furch foi em 2023.,há 9 meses,0,
Vendo o jogo hoje esperando esse resultado no domingo para sairmos da zona.,há 11 meses,0,2
Jogo que determinou que se salvou e quem caiu,há 2 anos,4,
Botafogo 0 Santos 1 Engenhão,há 2 anos,0,
"Esse jogo foi muito emocionante, a partir daí o Santos não ia ser mais rebaixado para a série B",há 2 anos,3,1
parabéns ao santos,há 2 anos,0,
Esse Jogo eu Chorei De Mais ❤️,há 2 anos,1,2
Normal venceu o maior,há 2 anos,0,
"O Super Gremio Tá Demais 
Nos Trazendo Alegria 
Tem O Brenno DC e Rafinha 
Também Tenho o Ferreira o Diego Souza 
e o Thiago Que Jogam Mais que os
Colorado, e é como diz o Maicon ces conheçe 
Tal de Dourado Quem é Dourado Quem é Dourado
Me Responde quem é dourado Dourado Dourado",há 2 anos,2,
Esse jogo foi mais emocionante do que a final da libertadores kkk,há 2 anos,21,
Esse árbitro e o var deveria pegar no mínimo 1 ano de geladeira vergonho o gol que foi dado ao Santos só pra salvar o santos do rebaixamento vergonhoso,há 2 anos,0,3
Esse narrador é muito bom,há 2 anos,1,
"Que situação complicada está esses dois clubes !
Há dois anos estavam lutando pra ganhar a libertadores , e hj lutam pra não serem rebaixados .
As administrações desses dois grandes clubes , assim como de outros clubes tbm é lastimável e vergonhoso.
É um antro de bandidos q se apossaram desses clubes e não estão nem aí com a história desses dois grandes clubes . Eles eståo afundando com os clubes e acabando com a qualidade do futebol brasileiro.
Tudo virou uma só política , que é só roubar o que o puderem qdo eles eståo no comando do clube.
É uma ciranda de ladrões q se revezam eleição após eleição.
É o carrocel da alegria pra eles !",há 2 anos,1,1
"Enquanto tiver os trouxas os espertos vivem bem, alguém de Sã consciência aposta ainda em Felipão !!",há 2 anos,0,
Vamos sair dessa 🙏🇧🇷⚪⚫,há 2 anos,0,
"LIKEEEEEEEEEEEE !
Bora SANTOS F.C",há 2 anos,0,
Jogão,há 2 anos,0,
"A torcida do santos é foda , na vila com eles é embaçado",há 2 anos,0,
"Flaimpiedoso não tem rival na América, amigo.",há 2 anos (editado),25,
Flamerda não tem estádio kkk,há 2 anos,67,
Muito feliz🐳,há 2 anos,95,
Muito feliz 🐳🏴🏳️🖤,há 2 anos,29,
Tô ótima!,há 2 anos,14,
Quase infartei kkkkk,há 2 anos,11,
 🇩🇪 Maria ϟϟ  Santos 4x1 Gr4mio,há 2 anos,29,
COPA DO BRASIL DO SÃOBUCETINHAGOZADA?,há 2 anos,3,
Felizzz,há 2 anos,2,
O coração já acalmou,há 2 anos,9,
Slk Ge vou infartar depois desse jogo VAMOOOOO⚫⚪⚫⚪⚫⚪,há 2 anos,9,
Grebbio é muito nânico kkkkk,há 2 anos,3,
É o Santos Caraio 🤍🖤🐬,há 2 anos,12,
Muito feliz,há 2 anos,5,
 🇩🇪 Maria ϟϟ  so que perdeu,há 2 anos,5,
Slk meu coração até parou ❤️,há 2 anos,6,
flacadela tem estádio?,há 2 anos,1,
agora o coração tá tranquilo já acalmou ganhamos,há 2 anos,4,
ESTÁ DO CARALHO ADM,há 2 anos,5,
 🇩🇪 Maria ϟϟ  kskskks piada,há 2 anos,11,
 🇩🇪 Maria ϟϟ  Coitada mais uma gremista 🤣🤣🤣,há 2 anos,11,
 @NLB_14  eu sou santista e pensei que o Santos ia ficar em ultimo eu quase morri,há 2 anos,4,
 🇩🇪 Maria ϟϟ  piada,há 2 anos,8,
Que jogo,há 2 anos,0,
Coração a 1000,há 2 anos,0,
" @kikaolindao3075  Não

Da uma casa",há 2 anos,0,
Que coração ?,há 2 anos,0,
Isso não mudar o fato do Vasbuceta ser falido,há 2 anos,0,
"Batendo, se tivesse parado provavelmente eu não estaria fazendo esse comentário 🤍🖤😫😳👍",há 2 anos,4,
Ta osso,há 2 anos,0,
Vascachorra segue na série B time de gay,há 2 anos,1,
"Grêmio vai cair, sem mais kkkkk",há 2 anos,2,
So pq ganharam do Grêmio já tão achando que não vão cair kkkkkkkk,há 2 anos,1,
 🇩🇪 Maria ϟϟ  choraa freguês kkkkkkkk,há 2 anos,5,
 @cruzeiro6432  BBBBBBBBBBB Tá igual ao títulos do Cruzeiro e Palmerda,há 2 anos,0,
Quase infartei estagiário!,há 2 anos,4,
 🇩🇪 Maria ϟϟ  o nanico é o maior do Brasil 🥺,há 2 anos,8,
 @gregclubista7353  e o Vascachorra segue sem estádio time de gay,há 2 anos,0,
 🇩🇪 Maria ϟϟ  vai se fuder kid se apoia nazismo,há 2 anos,13,
 🇩🇪 Maria ϟϟ  sai alemã,há 2 anos,6,
 🇩🇪 Maria ϟϟ  vai se fuder kid se apoia nazismo,há 2 anos,7,
quase morri kkkkkkkk,há 2 anos,0,
 Flamengo Online  Ok filial do Santos!,há 2 anos,2,
ESTÁDIO DO FLAKCHORRA KD?,há 2 anos,0,
 @cruzeiro6432  MARIA FALIDA NÃO EXISTE MAIS NÃO AMIGO,há 2 anos,0,
ESTÁDIO DO FLATRAFICANTE KD,há 2 anos,2,
ESTÁDIO DO FLAVONOIDES KD,há 2 anos,2,
 @NLB_14  FLACU CONTINUA SEM ESTÁDIO AMIGO NANICÃO,há 2 anos,1,
" 🇩🇪 Maria ϟϟ  Se ele é melhor pq não ganhou? Chorem gremistas, chorem.😂😂",há 2 anos,7,
 @NLB_14  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @rfdelas  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 🇩🇪 Maria ϟϟ  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @joaovitorsfc7  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 🇩🇪 Maria ϟϟ  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @Vivih_933  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @cruzeiro6432  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
Prepara o lombo sardinha vai tomar um pau do líder na próxima rodada hehe,há 2 anos,2,
Santos e Gigante GE,há 2 anos,3,
 @joaopaulo05  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @Rianj99  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @cruzeiro6432  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @Rianj99  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @FutDuxxx_  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @alvinegrocampeaodomundo273  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
 @pedrohenriquealvespereira839  rapaziada vou estar disponalizando links de jogos com imagem tmj fica ligado,há 2 anos,0,
