text,time,votes,replies
"Gre-Nal 💥
O que foi esse final de jogo?😳

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,590,75
Arêrê...,há 1 mês,1,
Esse jogo é Histórico💯,há 1 mês,0,
Arerê o Grêmio é Rei da série B eeé Rumo ao Tetra kkkkk,há 1 mês,0,
Caixões do Grêmio em campo...😂😂😂,há 3 meses,0,
Será que 2024 isso vai se repetir? 👻,há 3 meses,0,
"Em 2021 rebaixamos eles, em 2023 tiramos o titulo deles",há 5 meses,1,
3 x B,há 5 meses,0,
perderaaam no campo e foram rebaixados hhahahahahhahaa,há 5 meses,0,
Taison rebaixou eles!,há 6 meses (editado),0,
Cade as smurfettes aqui nos comentários???🤣🤣🤣🤣,há 6 meses,0,
"Obrigado taison, por ter rebaixado o bbbremio kkkkk",há 6 meses,0,
Caixões do gremio em campo hehehehehehehehehehehehehhe🤣🤣😍😍😍😍😍😍😍🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 7 meses,1,
"Faltou um Jael, Dinho, Edilson, Rivarola,Sandro goiano nesse time do Grêmio aí vcs ia ver a porrada comer solto esses do grêmio tava parecendo puta dando a cara pro jogadores do inter bater bando de frouxo",há 7 meses,0,
Tri rebaixado,há 9 meses,0,
Bota a estátua treinar o Grêmio. Não o próprio paspalho.,há 10 meses,0,
"Aí Guerrinha tu denovo aí.
QUALQUER UM FAZ GOL NO GRÊMIO.",há 10 meses,0,
Amanhã o Grêmio vai amassar eles😈,há 10 meses,0,3
Esse dia foi louco,há 10 meses,0,
"91 no tapetão, 2004 o Fernandão, e 21 o Taison pregou teu caixão  🎶",há 1 ano,1,
O SUPER GREMIO TA DEMAIS,há 2 anos (editado),44,
Patrick e foda 😂😂,há 2 anos,35,
NANICO E SEM ESTÁDIO ISSO É FLAXERECAFEDORENTA CAMARADA,há 2 anos,21,
Os caras provocaram o Grêmio é foram para briga,há 2 anos,2,
Chupa grêmio vai jogar a série B😂😂😂,há 2 anos,13,
INVASÃO DE TÚMULOS,há 2 anos,6,
Não olha minha foto estagiário,há 2 anos,4,
 @user-cz7be6yb8x  kkkkk tá atualizado,há 2 anos,3,
Meu Grêmio não vai ser rebaixado,há 2 anos,0,
 @kevinlukas5589  todo jogo o patrick é expulso por brigar,há 2 anos,3,
O Flalixo continua sem estádio,há 2 anos,4,
😂😂😂😂😂😂😂,há 2 anos,2,
 @Haveaniceday23455  bora ver,há 2 anos,1,
Grenal,há 2 anos,2,
Flaputa continua sem estádio,há 2 anos,7,
"Se alguém tem duvida de quem é o maior do Sul, em 2022 não haverá mais, Internacional e ""."". Rebaixamento apequena demais um clube, ainda mais 3 vezes",há 2 anos,7,
 @Haveaniceday23455  E SEU GATO É UM LIXO,há 2 anos,0,
Agora e só fechar ⚰️⚰️⚰️,há 2 anos,4,
 @Haveaniceday23455  PAV NO SEU CV,há 2 anos,0,
 @ribamar4731  vdd amigo,há 2 anos,0,
Grenal é grenal,há 2 anos,9,
Galão Campeão 🏆,há 2 anos,0,
 @eduardosc7179  já é campeão,há 2 anos,0,
"MUITO BOM, HOJE IREI DORMIR NAS NUVENS!! BOA NOITE PARA TODOS!!!",há 2 anos,3,
"GE, VOCÊ TEM QUE EDITAR ISSO, AGORA É GREBBBAL KKKKK",há 2 anos,3,
Espero que o Grêmio consiga sair dessa situação força Grêmio,há 2 anos,2,
 @comentario611  ta,há 2 anos,1,
Confiança,há 2 anos,1,
" @cruzeiro6432  VERDADE. LEMBRANDO TAMBÉM QUE O CRUZEIRO PODE IR PARA A C E NÃO TER O CLÁSSICO CONTRA O GREBBBIO KKKKK IMAGINA OUTRO CLÁSSICO, GRÊMIO X TOMBENSE KKKKK IMORTCHAU KKKK",há 2 anos,2,
Arerê o grêmio vai jogar série b 🤣🤣🤣,há 2 anos,5,
Já caiu faz tempo,há 2 anos,5,
🅱️🅱️🅱️🅱️🅱️,há 2 anos,4,
" @cruzeiro6432  verdade 
Vamo cruzeirooo",há 2 anos,1,
 @thesimpsons6340  AAEEE O GRE🅱IO VAI JOGAR A SERIE 🅱🅱🅱🅱🅱,há 2 anos,4,
 @JhonSouza10  NAO VAI NAO KKKKK,há 2 anos,0,
Grêmio jeito que tá indo segunda divisão esta próxima.,há 2 anos,1,
O internacional fez 1 a 0 no seu maior rival e o super grêmio está jogando o futebol brasileiro muito mal que vexame do grêmio e enquanto o seu rival está jogando o futebol brasileiro muito bem que futebol brasileiro maluco ⚽️,há 2 anos,1,
O internacional fez 1 a 0 no seu maior rival e o super grêmio está jogando o futebol brasileiro muito mal que vexame do grêmio e enquanto o seu rival inter está jogando o futebol brasileiro muito bem  que futebol brasileiro maluco ⚽️,há 2 anos,1,
"Atlético Goiás 2 x 0 Grêmio
Grêmio 1 x 3 Palmeiras 
Atlético MG 2 x 1 Grêmio
Internacional 1 x 0 Grêmio",há 2 anos,5,
