text,time,votes,replies
"E aí, torcedor?
O que achou da vitória do Flu?",há 2 anos,98,29
ATHLETICO-PR 0X1 FLUMINENSE,há 1 ano,0,
Huu,há 2 anos,0,
Huuuyu,há 2 anos,0,
"Samuel Xavier acertando cruzamento ""é vc satanás?¿""",há 2 anos (editado),0,
Em Libertadores o Fluminense sempre brincando kkk,há 2 anos,0,
1:39 Que defesa do Marcos Felipe!,há 2 anos,1,
Esse time de série C tá não sei quantos jogos sem fazer gols e o gol ainda foi contra do próprio jogador do Furacão kkkkkkkkkkkl piada esse FLORMINENC,há 2 anos,0,
OUTRO JOGO E O SHUPABIXA NÃO TEM COPA DO BRASIL,há 2 anos,1,
"Infelizmente Teve Um Impedimento Mal Marcado Do Fluminense, Se Não Era 2x0. 





Vamos FLUZÃO ❤️💚",há 2 anos,0,
"Essa defesa do Fluminense, se não tem nome pode se chamar, Os Vascilão da Laranjeira.",há 2 anos,0,
Gol bizarro . Cara com medo da bola kkkkk. Profissional ainda.,há 2 anos,0,
Esse goleiraço Marcos Felipe é melhor do que Weverson. Que goleiro!,há 2 anos,0,
Tricolor de coração.,há 2 anos,0,
"Mesmo jogando com time reserva, foi um FIASCO o Furacão perder para o time pó-de-arroz, ainda mais com gol contra. Foi uma CAGADA trazer Alberto Valentim para o Atlético, ele não é bom técnico, no geral não mostra grandes trabalhos. Estamos despencando no Brasileiro, temos uma semifinal na Copa do Brasil contra o fortíssimo Flamengo e temos uma final na Copa Sul-Americana contra o Bragantino, mas com Valentim no comando do Atlético Paranaense eu não vejo condições para conquistar nada, entregamos tudo de mão beijada por uma péssima decisão dos dirigentes rubro-negros ao trazer um cara com pouca bagagem e sem grandes conquistas. Querem fazer experiência com técnico? Que façam no estadual, lá jogamos com time sub-23 a vários anos, lá é lugar para averiguar se o técnico tem capacidade de tirar o melhor do time.",há 2 anos (editado),1,
Oi,há 2 anos,1,
"Tá certo que o ze  ivaldo é um pé de  rato mais de novo, o goleiro Santos falhou saiu catando borboletas  kkk",há 2 anos,0,
Liga não! Mulambada 0x0 CUIABÁ!,há 2 anos,0,
