text,time,votes,replies
"Amigos, só acho que o Tiago Volpi foi o nome da partida. E vocês?",há 2 anos,644,169
CUIABÁ 0X0 SÃO PAULO,há 1 ano,0,
"Quem diria, volpi jogando bem . Milagre",há 2 anos,0,
Mas um técnico que cai diante do Cuiabá!,há 2 anos (editado),0,
"Volpi, voltando a ser Volpi.",há 2 anos,0,
"Nossa que pressão o São Paulo levou, o goleiro Vopi foi a salvação",há 2 anos,0,
So o Volpi estava vivo....o resto TUDO MORTO ‼‼‼🔚🔚🔚,há 2 anos,0,
kkkkk a falta do Igor Gomes ksksksksk,há 2 anos,0,
kkkkk a falta do Igor Gomes ksksksksk,há 2 anos,0,
kkkkk a falta do Igor Gomes ksksksksk,há 2 anos,0,
0 X 0,há 2 anos,0,
Cuiabá vs Volpi  porque o resto num entrou  em campo kkkkk  pelo menos foi um treinamento  de goleiro bom  esse que o Cuiabá ofereceu pro São  paulo,há 2 anos,0,
Crespo caiu por causa deste  empate 🙁,há 2 anos,0,
Volpi tem umas saídas perigosas,há 2 anos,0,
Volpi se provou nesse jogo!! pegou demais .,há 2 anos,0,
"Adeus Crespo :,(",há 2 anos,0,
"Cuiaba 34% posse de bola
São paulo 66% posse de bola

Cuiaba 15 chutes
São paulo 9 chutes 

Cuiabá 4 escanteios 
São paulo 2 escanteio 

Bglh de bola não tem nada aver, Cuiabá fez mais coisa q o São Paulo msm pegando pouco na bola",há 2 anos,1,
Hilario.eu.quero.asistir.jogos.do.corinthias.,há 2 anos,0,
Parece time pequeno jogando com o Cuiabá,há 2 anos,0,
O time como um são Paulo levando sufoco do Cuiabá é uma vergonha tem sair todos os jogadores que não tem condições de viste a camisa do são Paulo nem uma deles,há 2 anos,0,
Rival do Flaimenso na América?,há 2 anos,11,
SHUPAULO NÃO TEM COPA DO BRASIL KKKKKKKKKKKK,há 2 anos (editado),40,
AS BAMBIS VAI CAIR KKKKKKKKKKKKKKKKKKKKKKKKK,há 2 anos (editado),29,
Pegou todas 😐👐,há 2 anos (editado),4,
Sim,há 2 anos,1,
Cdb?,há 2 anos,1,
"Eu pensei que eu nunca ia dizer isso,eu tô com saudades do diniz",há 2 anos,13,
Desde quando o flacu tem estádio,há 2 anos,2,
Ninguém,há 2 anos,1,
Concordo com vc GE,há 2 anos,0,
rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
 @matheussccp2023  rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
Não tem  copa do Brasil kkkkkkk,há 2 anos,0,
 @matheussccp2023  rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
 @r.rodrigues4393  rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
 @samue.l-j  rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
 @emanuelglawber6254  rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
 @classico5302  rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
 @joaopaulo05  rapaziada tou estar transmitindo Corinthians x fluminense com imagem,há 2 anos,0,
Continua fraco,há 2 anos,0,
E a copa do Brasil do são piroquinha?,há 2 anos,0,
 @arielmods1687  NÃO PRECISO MN EU TENHO PREMIERE CARAMB4,há 2 anos,5,
 @vithor_vinhaz  qual time brasileiro que tem mais mundial mesmo?,há 2 anos,4,
 @matheussccp2023  flw desumilde só boa pra vc,há 2 anos,0,
 @matheussccp2023  QUEM é Corinthians perto do são Paulo não é nada kkkkkkk,há 2 anos,2,
 @matheussccp2023  humildade primeiro lugar,há 2 anos,0,
 @matheussccp2023  time gigante jamais cai diferente de vcs 🤭🤭🤭🤭🤭🤭,há 2 anos,1,
Tmb acho 😊,há 2 anos,1,
 @matheussccp2023  time gigante de série a nunca cai jamais e vcs já caiu 😂😂😂😂🤣🤣🤣🤣🤣🤭🤭🤭😂🤣😂🤣🤣😂🤣😂😂🤣😂😂,há 2 anos,1,
"Estádio do Flabunda

👇👇👇















































ㅤ",há 2 anos,2,
 @corinthiansmaiordobrasil6777  Corinthians é piada,há 2 anos,1,
Volp foi melhor,há 2 anos,1,
🎶AEEEEEEEEE O SÃO PAULO VAI JOGA A SÉRIE B 🎶,há 2 anos,0,
