text,time,votes,replies
ATE o Corinthians ganha e o são Paulo não,há 3 anos,0,
"O uniforme é a cara do clube, ""tá quebrado"", 😂😂😂.",há 3 anos,0,
"Como toma gol nas costas do Fagner,TD jogo é isso, até quando?",há 3 anos,0,
"So ligo nesse lixo de canal pra ver o timão , Casa grande bosta , nojento cheirador de cocaina sem moral.",há 3 anos,1,
Uai e aquele gol do Jô?,há 3 anos,0,
Lionel mesquito 💥💥💥,há 3 anos,0,
Cada narrador fraco,há 3 anos,0,
Gente olha a cara do Fagner tá com a cara enxada,há 3 anos,0,
Esse jo e ruim de mas viu,há 3 anos,0,
"ela Jô joga demais, nunca deve sair do Corinthians!",há 3 anos,0,
"Beleza que foi impedimento, mas que Porra de gol foi esse que Mailson tomou , me ajude !",há 3 anos,0,
"Mesmo com gol anulado do Mosquito, eu consegui vencer os pernambucanos",há 3 anos,0,1
Vai curintia  😂😂😂😂😂,há 3 anos,0,
Qm marcou o primeiro gol? Kkkkkk,há 3 anos,0,
"Para bem mosquito apesar de não ter sido validado o gol
O que valeu foi a entensão.",há 3 anos,0,
Jô fez um gol depois que trocou a chuteira.,há 3 anos,0,
É visível que o Corinthians está aos poucos melhorando com o Silvinho,há 3 anos,0,
TIMÃO TIMÃO TIMÃÃÃÃO♠️🦅🦅♥️,há 3 anos,1,1
MENGÃO terror do Corinthians,há 3 anos,0,
2021 o mundo volta ao normal: Jô e Trelles fazendo gol no mesmo jogo,há 3 anos,1,
4,há 3 anos,0,
4,há 3 anos,0,
Mosquito tem q ir para a copa oh tite tá perdendo o mlhr ponta direito do Brasil,há 3 anos,1,2
Tb ganhar do sport é facil qualquer timinho vai ganhar. Esse ressuscita defunto. Até Jô fez gol kkkkkk,há 3 anos,0,
Quando pega um time forte perde,há 3 anos,0,
Leão na arena vira gato com peruca 😂😂😂😂,há 3 anos,0,1
Tem que melhorar,há 3 anos,0,
"Falta 37 ponto 
Vamos timão",há 3 anos,1,
É aquele gay,há 3 anos,1,
