text,time,votes,replies
"E aí, torcedor, o que achou da partida?😎 ⚽
Quem você acha que jogou melhor: Ceará ou São Paulo?",há 3 anos,146,68
O ceará quase venceu,há 2 anos,0,
"Muitos criticam o Volpi, mas, nesse jogo se não fosse o Volpi, seria mais uma derrota. Essa zaga no primeiro gol, falhou e muito!",há 2 anos,0,
"0:31 a 0:41 O Volpi tava pensando que isso era roda de pagode? 

O cara ficou trocando passe com o jogador do Ceará pô! 🙄

🤣😂😁",há 2 anos,0,
Esse gol do Ceará foi uma palhaçada da defesa!,há 2 anos,0,
🌃,há 3 anos,1,
São Paulo vai rebaixar mesmo,há 3 anos,0,
Credo saopaulo  não ganha de ninguém  nossa,há 3 anos,0,
Esse narrador é o Pilhado ou eu tô enganado ?,há 3 anos,0,
"Esse mendonza depois que levou uma voadora do nino paraiba parece que empenou,  ah fi duma mãe pra perder gol esse cabelo de xilito",há 3 anos (editado),0,
Ceará da show,há 3 anos,0,
"No 1o o gol o são Paulo já estava cansado, mas ainda era início de jogo.",há 3 anos,0,
São paulo iludiu todo mundo kkkkk,há 3 anos,0,
São Paulo ta e tirando ja 😒,há 3 anos,1,
1x1,há 3 anos,0,
Fiquei com pena do Volpi no primeiro gol,há 3 anos,0,
Que jogo horrível,há 3 anos,0,
"Série B de 2022:
Cruzeiro
Botafogo
Vasco
São Paulo
Grêmio

Essa série B será épica!",há 3 anos,2,
"O São Paulo n vai cair n tem time pra Série B, mas 7 jogos sem ganhar pro elenco que o São Paulo tem é vergonhoso demais kkk",há 3 anos,0,
Esses torcedor do são paulo são burros vei eles sabem q o time do são paulo não vai cair e q vão provalvelmente estar no meio pra cima da tabela kkk esses torcedor São tudo de  momento e não visam pra frente 🤦🏻‍♂️,há 3 anos,0,
SP na Série B  já é realidade,há 3 anos (editado),22,
Isso não dára copa do brasil pra shu paulo,há 3 anos,13,
Doria é a salvação,há 3 anos,3,
Vao tomar vergonha na cara,há 3 anos,3,
2022 TEMOS CLASSICO COM O SP,há 3 anos,3,
"São Paulo menor de sp , até o bragantino é maior q esse atomo kkkkk",há 3 anos,8,
 @DanielSantos-ku6zc  São Paulo ruim nunca ganha,há 3 anos,4,
" @guilhermerian9474  vdd meu amigo , shu paulo sempre foi nanico",há 3 anos,4,
Ceará o melhor,há 3 anos,8,
 @DanielSantos-ku6zc  né,há 3 anos,0,
São buceta vai disputar série B ano que vem com o Cruzeiro kkkk,há 3 anos,0,
Ceará,há 3 anos,4,
São bunda tem copa do Brasil?,há 3 anos,1,
 @Vanni1  são micão o menor de são Paulo virou chácota nas redes sociais kkkk,há 3 anos,0,
 @DanielSantos-ku6zc  pelo menos não ganha só roubado igual o flamengo,há 3 anos,0,
 @dropezinff7744  claro q ganha roubado,há 3 anos,0,
"Vcs nem arrumam todos os lances importantes, seus noia",há 3 anos,1,
 @xpirion_store  e a Copa do Brasil?? Kkkkkkk,há 3 anos,4,
"Incrível como a defesa parou e assistiu o Ceará jogar, só Volpi defendeu! Vamos São Paulo FC!! Meu Deus Mano 🇾🇪🇾🇪",há 3 anos,2,
"Um jogo com o Ceará melhor , mais o São Paulo teve algumas oportunidades , a galinhada que nos aguarde 🐔, quarta o Benítez vai dar show na arena remédio ✌🏽👍🏽🇾🇪🏆🇾🇪🏆🇾🇪",há 3 anos,2,
 @xpirion_store  fds ?,há 3 anos,0,
Ceará 🏁,há 3 anos,2,
"Bragantino não ganhou nada , é só cavalo paraguaio   @DanielSantos-ku6zc ",há 3 anos,0,
São Paulo,há 3 anos,0,
" @xpirion_store  amigo presta atenção o que eu vou dizer, são Paulo só vai ganhar no Brasileiro depois de 4 de julho, um amigo meu disse que colocaram uma zica no são Paulo depois que o São Paulo Eliminou o 4 de JULHO",há 3 anos,0,
"Depois que o são Paulo ganhou do 4 de julho não venceu uma, tou achando que o são Paulo só vai Volta a vencer depois de 4 de julho kkkkkk, que por cenhecidencia vai ser a 8° Partida após aquela partida contra o 4 de julho que o são Paulo fez 8 Gols 👀",há 3 anos,0,
 @clovisraymundo6525  não ganhou nada???,há 3 anos,0,
VOZÃO,há 3 anos,0,
O dia que o São Paulo e Santos caírem. O campeonato brasileiro perde o valor. São os maiores do Brasil e são muito respeitados.Nos outros países os principais não caem. Então SP não vai cair. Mas esse jogo foi horrível. Acorda São Paulo.,há 3 anos,1,
"Daniel aí comedia do Caraí seu mzr, e o Ceará foi melhor o jogo todo.",há 3 anos,0,
"Jogo horrível, a diretoria tem que convocar uma reunião às pressas, tem muito jogador pé de rato aí no spfc que nao tá jogando nada!!!!!",há 3 anos,2,
 @GHOST-iy6ug  faz sentido kkkkk,há 3 anos,0,
Ceará jogou melhor,há 3 anos,0,
QUERO REFORMULAÇÃO NO ELENCO  JÁ!!! FICOU BEM CLARO QUE DEPOIS DO TÍTULO ESSE ELENCO FICOU DESCOMPROMISSADO COM O SÃO PAULO!!! 😡😡😡😡,há 3 anos,2,
𝐂𝐨𝐫𝐢𝐧𝐭𝐡𝐢𝐚𝐧𝐬 𝐞𝐭𝐞𝐫𝐧𝐨 𝐌𝐞𝐧𝐨𝐫 𝐓𝐢𝐦𝐞 𝐝𝐞 𝐒𝐏,há 3 anos,1,
"𝐏𝐫𝐢𝐧𝐜𝐞𝐬𝐚𝐬 𝐝𝐞 𝐈𝐭𝐚𝐪𝐮𝐞𝐫𝐚 𝐢𝐦𝐩𝐥𝐨𝐫𝐚𝐦  
                  𝐩𝐨𝐫 𝐮𝐦𝐚              
             𝐒𝐮𝐥-𝐀𝐦𝐞𝐫𝐢𝐜𝐚𝐧𝐚
      😭😭😭😭😭😭😭😭

     𝐅𝐋𝐀𝐌𝐄𝐍𝐆𝐎 𝐄 𝐍𝐎𝐒𝐒𝐎
           ＦＲＥＧＵＥＳ

        𝟱𝟭 𝗘 𝗣𝗜𝗡𝗚𝗔 𝗣𝗘𝗣𝗔𝗦
    🐷🐷🐷🐷🐷🐷🐷🐷🐷",há 3 anos,2,
" @robsondecastro8537  
𝗣𝗢𝗦𝗦𝗢 𝗖𝗢𝗠𝗘𝗥 𝗔 𝗦𝗨𝗔 𝗜𝗥𝗠𝗔 ❓",há 3 anos,1,
 @loudkids3439  Ñ,há 3 anos,0,
São bunda vai jogar a série b,há 3 anos,1,
 @loudkids3439  Ala o corno manso,há 3 anos,0,
" @robsondecastro8537  
𝗙𝗶𝗰𝗮 𝗖𝗮𝗹𝗮𝗱𝗶𝗻𝗵𝗮 🤫",há 3 anos,1,
" @winchester5377  
𝗔𝗼 𝗲𝘀𝘁𝘂𝗱𝗮𝗿 𝗮𝘀 𝗰𝗮𝗿𝗮𝗰𝘁𝗲𝗿𝗶𝘀𝘁𝗶𝗰𝗮𝘀 𝗲 𝗮 𝗶𝗻𝗱𝗼𝗹𝗲 𝗱𝗼𝘀 𝗮𝗻𝗶𝗺𝗮𝗶𝘀, 𝗲𝗻𝗰𝗼𝗻𝘁𝗿𝗲𝗶 𝘂𝗺 𝗿𝗲𝘀𝘂𝗹𝘁𝗮𝗱𝗼 𝗵𝘂𝗺𝗶𝗹𝗵𝗮𝗻𝘁𝗲 𝗽𝗮𝗿𝗮 𝘃𝗰  🤫",há 3 anos,1,
 @loudkids3439  Ñ,há 3 anos,0,
" @robsondecastro8537  
𝐄 𝐦𝐚𝐢𝐬 𝐅𝐚𝐜𝐢𝐥 𝐂𝐨𝐧𝐯𝐞𝐫𝐬𝐚𝐫 𝐜𝐨𝐦 𝐦𝐞𝐮 𝐂𝐚𝐜𝐡𝐨𝐫𝐫𝐨 🤦🏻‍♂️ 🐕‍🦺",há 3 anos,1,
Ceará jogou melhor !!!,há 3 anos,1,
" SAGAZ FF  
𝐒𝐚𝐛𝐞 𝐄𝐬𝐜𝐫𝐞𝐯𝐞𝐫  🤦🏻‍♂️",há 3 anos,1,
 @xpirion_store  se é maior campeão pq não venceu?😂,há 3 anos,0,
"1. Defesa do São Paulo é muito ruim  (nunca imaginei que o Arboleda fosse tão bom);
2. Ataque do Ceará é muito ruim (era pra meter uns 3 gols, pelo menos);
3. Ataque do São Paulo é muito ruim.
4. Pensando na Série B 2022😭😭😭",há 3 anos,0,
"Não assisti , só vi os piores momentos",há 3 anos,0,
BAMBIS N TEM COPA BR,há 3 anos,0,
 ᴊᴜɴɪᴏʀ CMB✅  quem ganhou um ponto e quem perdeu 2,há 3 anos,0,
 @vitoriacristina1092  não me diga😂 E como foi que você chegou nessa conclusão?😂,há 3 anos,1,
"Copa do Brasil nunca fez falta p SP,  enquanto os pequenos tava disputando essa copinha na época o SP tava na libertadores...",há 3 anos,0,
"Sou São Paulino. Mas, o Ceará jogou muito. Tristeza de ser rebaixado 😔",há 3 anos,0,
olha ceara jogou melhor e se o sao paulo nao abrir o olho e serie b,há 3 anos,0,
 @DanielSantos-ku6zc  o piot q e vdd o bragantino q eu um time pequeno ate ta melhor q os grandes de sao paulo,há 3 anos,0,
Esse ano novamente o campeão Brasileiro não será o São Paulo. Os caras ontem estavam com uma feijoada pessada na barriga kkkkk,há 3 anos,0,
Péssima,há 3 anos,1,
 @xpirion_store  12*,há 3 anos,0,
Ceará jogou melhor,há 3 anos,0,
 @xpirion_store  faltou um título copa do Brasil que ñ tem,há 3 anos,0,
O goleiro do São Paulo. Pior: zaga do São Paulo e ataque,há 3 anos,1,
Gente cadê o hernan crespo o técnico do São Paulo?,há 3 anos,0,
 @xpirion_store  kkkkkkk e jogando ruim desse jeito são Paulo é um lixo,há 3 anos,0,
Se não fosse o Volpi era para o Ceará ter vencido.,há 3 anos,1,
" @vitoriacristina1092  Mas tem tri mundial coisa que só nos temos , ! Mas gostamos da sua Inveja ! Kkk",há 3 anos,0,
Foi o Flamengo,há 2 anos,0,
Volpi kkkk,há 2 anos,0,
Que jogo em,há 3 anos,0,
"CHUPAULINO ILUDIDO COM PAULISTINHA, MAIS DE 8 ANOS SEM TÍTULO DE EXPRESSÃO, ISSO É MUSEU FUTEBOL CLUBE.",há 3 anos,0,
🏆👏👏👏👏👏👏👏😍😍😍😍😭😭😭😭😭😭😭😭😁😁😁,há 3 anos,0,
🦾🦾🦾🦾🦾🦾👍👍❤️❤️❤️❤️🎉🎉🎉,há 3 anos,0,
Como o jogador do ceara nao estava impedido no gol do ceara ?,há 3 anos,0,
Esse ano os Bambis cai no brasileiro!!!,há 3 anos,0,
No São Paulo é ataque contra Goleiro nem zagueiro tem nessa bosta ...,há 3 anos,0,
Que pressão do Ceará!!!,há 3 anos,0,
"Mds esse brasileirão os times grandes tão uma inhaca impossível! Todo mundo acreditou que séria ano de show, mas ta disputados por baixo. Os times intermediários tão sobrando.",há 3 anos,0,
Véi! Os zagueiros tomaram remédio pra dormir?,há 3 anos,0,
E Verdade eu torço para o São Paulo e para o Flamengo e Thiago Luiz Volpi é muito bom am é para quem não sabe Thiago Luiz Volpi e Thiago Volpi ele e lui muito  tem um grande potencial,há 3 anos,0,
"Time pipoqueiro,  e ainda quer vender o melhor jogador do time(Volpi)",há 3 anos,0,
"Vamos Ganhar , quando nós "" Jogar com nosso saco de pancada Flamengo "" vamos somar nosso 3 pontos 🤣🤣🤣",há 3 anos,0,
"Fala sério que gol mais besta essa do Ceará, tá de sacanagem",há 3 anos,0,
Ainda tem sao paulino que acredita que vai ganhar do gamba.kkkķkkkk infelizmente sao paulo chega em itaquera cagando de medo.,há 3 anos,0,
"Como bruno alves esta um lixo,esta no nivel do diego costa,uma bosta de jogadores.",há 3 anos,0,
