text,time,votes,replies
"Faaala, galera! Será que Danilo Gomes vai sonhar com a chance perdida no fim?",há 3 anos,44,18
Pior que linguiça assada,há 3 anos,0,
"Situação difícil hein Sport, se não derem um jeito até o fim do 1° turno pode ter certeza que as chances de ser rebaixado é de 98%. Não custa acreditar né 🇩🇪",há 3 anos,1,1
"Jogo foi Tão Ruim Assim ??
Melhores Momentos em 1 min ??",há 3 anos,1,
os jogadores não quere joga de graça não quase 3 meses salários atrasado quem quer joga de graça,há 3 anos,0,
Boa tarde meu.sou pernambucano mais dá vergonha de falar que sou torcedor do sport clube do Recife.vergonhoso...,há 3 anos,1,
Jogaco,há 3 anos,0,
O Cuiabá deve tá se lamentando até agora de não ter ganho este jogo...este é o típico jogo em que se perdeu dois pontos,há 3 anos,0,
Quantos lances 😂😂,há 3 anos,0,
Cuiabá ta jogando bem só não ta ganhando,há 3 anos,0,
Time vagabundo. Sem alma!,há 3 anos,0,
Sport uma vergonha time não merda,há 3 anos,0,
Parece duelo de série C,há 3 anos,1,
"""Pelo menos não perdi pro CSA na série B KKKKKKKK""

Thiago Frozen 2021",há 3 anos,1,
Jogo ruim da porra  o sport tá uma bosta vai se fuder,há 3 anos,0,
Melhores momentos do Cuiabá viu,há 3 anos,0,
O melhor é a thumb 😂😂,há 3 anos,1,
Q jogo ein acho que o cr7 e Messi queriam participar pq foi o melhor jogo da rodade sem dúvida,há 3 anos,0,
"Lógica da Globo nos jogos de horário nobre (domingo as 16, quartas as 21:30):

Se a partida envolve time(s) de Rio de Janeiro ou São Paulo - vou transmitir no país todo, fds. 
Se a partida for entre 2 times fora do eixo RJ SP - vou transmitir no seu estado e olhe lá...",há 3 anos,0,
Rapaz quem não quiser jogar no Sport que peça para sair agora a partida de ontem foi abaixo da crítica foi nítido que o Sport não entrou em campo corpo mole para derrubar treinador que ficou calado o primeiro tempo todo. O sport virou zona Bivar destriu o Sport se não queria ficar no crube para se candidator a presidente e pede demissão 3 meses depois isso é palhaçada.,há 3 anos,0,
"Não sei, só sei que vou sonhar com a mãe de quem leu esse comentário👍",há 3 anos,0,
"SÃO CADELA: 7 JOGOS, 3 GOLS, 0 VITÓRIA

O SOBERANO VOLTOU.💅",há 3 anos,5,
Só sei que o Bruzeiro é freguês do CSA.,há 3 anos,4,
 @VictorHugo_1909  tomou gol do Ribamar kkkk,há 3 anos,3,
Ok agora cadê a supercopa das moranguete 🍓 campeão de tudo ? Jogaram a série B nem se quer GANHARAM o título 🙊,há 3 anos,2,
 @Thfc10  perdemos mesmo e daí só pra ti lembrar que nem teve jogo Moranguinha 🍓,há 3 anos,1,
 @Thfc10  vcs perderam pro juventude também kkkkkkkkkk,há 3 anos,3,
