text,time,votes,replies
"Que isso, John Kennedy! Assim você emociona o estagiário... #CraqueDoJogo
E pra vocês quem foi o craque do clássico?

Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos (editado),"1,2 mil",220
Andres perreira pô perdeu a falta,há 2 semanas,0,
Eu sou vasco Flamengo ❤️🖤 e fluminense,há 2 semanas,0,
"Slk mano oq aconteceu com o fluminense, John Kennedy era pique Gabigol",há 3 semanas,0,
Roger machado ainda gosta de ganhar do varmengo,há 1 mês,0,
"Antes a gente tinha vários jogadores com vontade, jogadores jovens... Hoje temos um time Envelhecido, lento e previsível!!!",há 1 mês,1,
Vindo aqui depois do JK decidir  a libertadores para o Fluminense,há 3 meses,0,
"2 anos depois, o mesmo John Kennedy derrota o Grandioso Boca Juniors, isso sim é história",há 4 meses,1,
A globo começou a editar os melhores momentos até na comemoração do gol. Que perdeu a transmissão do campeonato carioca,há 5 meses,1,
Toma a benção do pai 😂,há 6 meses,1,1
E esse Marcos Felipe monstruoso,há 6 meses,0,
"Sempre é muito bom, vê o flamerda perder 😅",há 6 meses,0,1
"JK fará o Brasil voltar a ser campeão do mundo, anotem. 

A estrela desse rapaz é de jogador predestinado.",há 7 meses,0,
"1:49 
Pô cara desculpa.... Que golasso DO CRL .
Eu vi ao vivo esse jogo e não acreditei na jogada do mlk .",há 7 meses,1,
Quem tá revendo esse jogão depois da final da libertadores? Faz o Urso!!! 🐻🐻🐻,há 7 meses,1,1
John Kennedy é mito demais,há 7 meses,0,
Nccnfkfk,há 7 meses,0,
Flamengo é time de bixo,há 8 meses,1,
JOHN KENNEDY 23,há 8 meses,2,
JK herói do título da libertadores! Urso eterno 🏆🇭🇺,há 8 meses,4,
"foi horrível,parecia o São Paulo!

               Flabundistas.",há 2 anos (editado),80,
"Gente eu sou flamenguista só apareço nas boas fases igual 90% da torcida do Flamengo que nasceu em 2019, poderiam me dizer quanto tá o jogo ? Caso esteja perdendo ou empatando eu paro de torcer e só volto quando tiver em boa fase, ABRAÇO!!",há 2 anos (editado),72,
isto dará sulamericana ao corinlixo?,há 2 anos (editado),26,
Chupa Flamidia freguês do Fluminense 😂😂😂😂,há 2 anos,46,
"Esses Dias Atrás Um Pessoal Me Perguntou Pra Que Time Eu Torcia, aí Sem Querer Eu Falei ""FLAMENGO"" é Do Nada Os Cara Começaram a Passar a carteira, relógio, cordão, celular é colocaram as mão pro alto. Não Entendi Nada!",há 2 anos (editado),35,
Só verem um três cores que eles se cagam,há 2 anos,36,
PARABÉNS AO FLUMINENSE MAIOR DO RIO TERROR DA MULAMBADA,há 2 anos (editado),54,
Flacorrupção teve o que merecia,há 2 anos (editado),33,
 @jonaspfc6331  Kkkkkkkkkkkkkkkkk boa,há 2 anos,4,
