text,time,votes,replies
Qm viu esse jogo?,há 1 ano,0,
bruninho                                                                            mauricio,há 1 ano,1,
Amo 😍😍,há 2 anos (editado),1,
"O Inter deveria ter caído junto com o rival. Já que gostou da B, pq todo ano, termina na quase Z4. Já não acompanho o Inter desde 2010",há 2 anos,0,
Esse Arthur joga pra caramba,há 2 anos,0,
"Artur! O que joga esse cara, incrível,pior q ngm fala do cara,ah e parabéns bragantino grande temporada",há 2 anos (editado),1,
Heitor não deveria nem fardar no Inter. 48 do segundo tempo e o cara entregando a rapadura desse jeito.,há 2 anos,0,
Como é bom goleiro o Lomba!,há 2 anos,0,
Internscional. Ruim de bola inter ruim,há 2 anos,1,
Artur mt brabo,há 2 anos,0,
O super inter tá demais,há 2 anos,0,
Excelente time do Bragantino,há 2 anos,0,
"RB Bragantino 6°
Libertadores

Internacional 12°
Sul-americana",há 2 anos,0,
Que chocolate do bragantino! Mais duas rodadas esse timinho do Inter estava rebaixado também. Não é atoa que foi vice do Grêmio.,há 2 anos,0,
Tá aí um jogo que nenhum colorado viu,há 2 anos,0,
O bragantino masagro o Internacional bom time,há 2 anos,0,
Da-lhe Braga,há 2 anos,0,
"Bragantino vai ser uma potência Nacional, anotem aí! Pra mim, é um time diferente de todos os outros do brasileirão, daqui a uns 2 anos esse time vai ser campeão brasileiro",há 2 anos,1,
Inter podre mesmo kkkkkkkkkk,há 2 anos,0,
Inter tem camisa passada Mas meus parabéns pelo Bragantino! Mereceram a Vitória  e vai ter MT história pela frente  . Torcedor Colorado  aqui.,há 2 anos,0,
2:20 Q Golaço do Artur ⚽️🔥,há 2 anos (editado),2,
Monstro de narrador Guga Villani narra demais,há 2 anos,0,
Artur herói milagreiro,há 2 anos,0,
Boa sorte touro na liberta 2022,há 2 anos (editado),0,
Eu acho a iluminação desse Estádio muito ruim.,há 2 anos,0,
"Boa, Bragantino!
👏👏👏👏👏👏👏👏",há 2 anos,1,
belo gol esse do jogador do Bragantino,há 2 anos,0,
"Um dos piores times do campeonato. O Inter me decepciona a cada jogo. O Inter entra em campo com 11 jogadores, mas apenas uns 4 jogam. Os demais jogam de terno. Só assistem o jogo. Se não renovar 100%, ano que vem será rebaixado.",há 2 anos,0,
São Paulo e Internacional meros coadjuvantes nesse Brasileirão 😱,há 2 anos,1,
"O Lomba tentou não deixar o Braga ir para fase de grupos da libertadores, mas o Artur foi la e toma um golaço.",há 2 anos,0,
O que esse Arthur jogar é absurdo parabéns bragantino espero que vcs façam uma boa campanha na libertadores e quem sabe consigam chegar até a final e ser campeão Deus abençoe vcs,há 2 anos,2,
"DOU SOU SÃO PAULINO, MAIS DOU OS MEUS PARABÉNS PARA O BRAGANTINO PELA LIBERTADORES, BOA SORTE BRAGANTINO",há 2 anos,1,
"Vim indignar minha insatisfação com o cavalo PARAGUAI  O BINTER nem pra empatar serve. 
AK É FLUZAO.",há 2 anos,0,
Puta golaço 🔥,há 2 anos,0,
Mas será que os Red Burr num tem dinhero pá ponha umas luiz mais forte nesse estadio?,há 2 anos,1,1
Grande trabalho de Maurício Barbiere no Redbull Brangantino,há 2 anos,0,
"Narração extradordinaria do Villani, quem n se arrepiou na hora que ele fala que é o gol da américa é louco pô",há 2 anos,0,
Chupa colorado,há 2 anos,0,
Falam do gremio é verdadi time horrivel fiasco mais o inter fez so 5 pontos a mais que o gremio horrivel tambem a gauchada foi pessima esse ano.  Eka,há 2 anos,0,
Braga Minha vida,há 2 anos,0,
🤣🤣🤣,há 2 anos,0,
"Justiça para o Bragantino... quanto ao Internacional.... bem, teve sorte em não disputar a B c/o Grêmio...",há 2 anos,0,
jogo q ninguem ligou na rodada,há 2 anos,0,
(  ferroviário. Cabo de st. Agostinho. PE. Brasil. Alô rapaziada. ),há 2 anos,0,
Esse Arthur joga demais cê tá loko,há 2 anos,0,
Time de série B tambem. Vão! vão assim que já já vai ter grenal lá na série B. Kkkkkkkkkkkkkk,há 2 anos,0,
O que esse Arthur jogar é brincadeira👏🔥,há 2 anos,0,
Que baita jogador é Artur 🤙,há 2 anos,0,
"INTER se n melhora ano q vem cai, Porr time morto",há 2 anos,0,
Parabéns ao RB BRAGANTINO,há 2 anos,1,
Vaga na libertadores merecida pro massa bruta,há 2 anos,1,
Legal que o único time que perdeu para a chape no campeonato inteiro foi o bragantino kkkk,há 2 anos,0,
