text,time,votes,replies
"Fala, torcedor! 🤙
Diniz está fazendo um bom trabalho?",há 3 anos,90,24
"Já perdemos 10 pontos pra times pequenos só nesse Brasileirão capaz de perdemos mais, se cairmos pra Série B será mais que merecido 😡😡",há 3 anos,0,
Parabéns dragao,há 3 anos,0,
Agora eu entendo porquê o Diniz nunca foi Campeão,há 3 anos,1,
Mais um campeonato que vamos lutar pra ficar no meio da tabela...MAIS UM,há 3 anos,0,
"Kaio Jorge perder aquele gol tá foda , como Juventus quer uma merda dessa !!!",há 3 anos,0,
O goleiro do Santos teria que ser expulso trocou o pelo o pênalti além do mais último homem ou não,há 3 anos,0,
Diniz nem com reza brava aff,há 3 anos,0,
Venceu o maior,há 3 anos,1,
Se o atlético disputar o Paulista seria campeão de fato 🤣🤣🤣🤣🤣,há 3 anos,0,
Atl p ♥️,há 3 anos,1,
Vende o Caio Jorge por qualquer valor ou troca por qualquer coisa...E esse Diniz! Troca pelo Elano...,há 3 anos,0,
"Vergonha ......
Esse time tava ganhando d ninguém..........
Jogou nadar contra o Palmeiras......

Não VAI ganhar d mais ninguém....
Vai fazer q nem o AMÉRICA Mg...
Só ganhou do santos.
Vai sair pra segundona ⚡⚡⚡⚡⚡⚡⚡😻😻😻😻⚡😻😻😻😻😻😻",há 3 anos,0,1
Eu acho que se tivesse uma criança de 10 anos aí saberia que os zagueiros não por jogar tão avançado só esse bizonho desse Diniz não vê isso,há 3 anos,2,
Incrível como o Santos desperdiça chances,há 3 anos,0,
O peixe já virou freguês do dragão essa é a 2 vez que o atlético go ganha do peixe na vila belmiro ano passado foi isso agora de novo fora que o dragão atropelou o timão no brasileiro é na copa do Brasil 😁😁😆😆dragão fogo neles 🐉🔥🔥🔥,há 3 anos,0,
Barroca mostrando que entende do riscado,há 3 anos,0,
Fernando Diniz? Até quando ainda vão dar emprego a esse teimoso cheio de desculpas esfarrapadas e patéticas..?,há 3 anos,0,
"a rodada do domingo foi dos Rubro Negros, Flamengo 5 São Paulo 1, Atlético PR 2 Inter 1 Atético Goianiense 1 Santos 0",há 3 anos,0,
29 chutes a gol do Santos Fc! a p... do GE só mostra lances do Atlético GO! O SANTOS TEM QUE ROMPER TODOS OS LAÇOS COM A GLOBO URGENTE!!!!!!!!!!!!!!!!,há 3 anos,0,
Cruzeiro vai morrer na série C,há 3 anos,15,
Ta fazendo oque pode. Nota 8.0,há 3 anos,4,
 @igorcetico311  o que isso tem haver com santos cara ??,há 3 anos,5,
 @isaquemartins1110  Sabe nem zuar o santos mlk Santos nem tem zuaçao kk,há 3 anos,4,
 @isaquemartins1110  chora fregues do ATLÉTICO-GO,há 3 anos (editado),2,
 @bolt7824  Vou torçe pra vcs eliminar o Sao paulo na libertadores,há 3 anos,4,
Não sou torcedor do santos mais o Santos teria que vencer pelo menos três partidas seguidas ou oito aí sim eu poderia falar que o santos faz boa campanha,há 3 anos,2,
Bom trabalho não ganha dentro de casa quase pede a vaga para independente esse time tem melhora muito  santos e grande tem q brigar por título.,há 3 anos,2,
Agr sim o Independiente foi vingado,há 3 anos,2,
 @igorcetico311  calado sem foto,há 3 anos,2,
" @edmarsales7827  estávamos 11 jogos invictor na vila Belmiro, so não ganhamos pq o Atlético Goianiense e mt retranqueiro, time horrível.",há 3 anos,1,
 @samuelsanches7240  vou torcer para vcs chegarem mas longe na sul americana,há 3 anos,2,
"Estatísticas do Jogo

29 chutes do Santos
7 do Atlético Goianiense

Fora que o Santos teve 75% de Posse de Bola, amassamos o jogo todo. Mais os cara tava com 11 na Zaga",há 3 anos,1,
" @igorcetico311  serie c não, e ss serie d",há 3 anos,2,
Tá fazendo o ruim é a zaga,há 3 anos,1,
"DINIZ SÓ TÁ FAZENDO MERDA,O TIME SÓ TOCA DE UM LADO PARA O OUTRO E NÃO CHUTA, SÓ  DA VEXAME E TA PRÓXIMO ZONA DO  REBAIXAMENTO..",há 3 anos,0,
não,há 3 anos,0,
 @igorcetico311  quem derá! Meu sonho,há 3 anos,0,
 @lr_comps9134  Vou torcer pra vc para de falar merda e cuida da sua vida,há 3 anos,0,
 @samuelsanches7240  tá bravo?,há 3 anos,0,
Santos time pequeno.,há 3 anos,0,
Diniz simmm,há 3 anos,0,
Só tem que treinar mais finalizações com o time,há 3 anos,0,
Não KKKK,há 2 anos,0,
Vamos vê no final do campeonato se vc está certo,há 3 anos,0,
Mesmo resultado  do ano passado,há 3 anos,0,
Jogaco,há 3 anos,0,
"Um gol gigante desse o SANTOS não acerta, vamos po o pé na forma",há 3 anos,1,
Venceu o que tem mais torcida.,há 3 anos,0,
Gente o santos da melhor do que era,há 3 anos,0,
Vai dragão 🐲!,há 3 anos,2,
Arê-rê-ê-ê o Santos vai jogar a Série B-ê-ê!,há 3 anos,1,
"Seus perninha , mascaradinhos .
DINIZ FERNANDO : 2021 DC .",há 3 anos,0,
aí sim😎 ei,há 3 anos,0,
"Futebol esta estranho, clubes grandes não conseguem mais se firmar.",há 3 anos,1,
Fora Diniz fora Diniz fora Diniz fora Diniz fora Diniz fora Diniz fora Diniz fora,há 3 anos,0,
