text,time,votes,replies
"Faaaala torcedor! Que retorno incrível do Renato Augusto, hein?! ⚽",há 2 anos,2 mil,204
😎,há 6 meses,0,
Obg Adson por tudo! Jogo muito pelo Corinthians 🥺🦅🖤🤍,há 11 meses,0,
"Foi depois desse jogo que o Corinthians deu uma melhorada e virou o que é hoje, antes era time que brigava no meio de tabela, hoje briga por vaga na Libertadores e até título",há 1 ano,0,3
Que Golaço de Renato Augusto e Rick,há 1 ano,0,
SLK ainda bem que 2020 se foi era muito ruim ver o jogo do Corinthians aí quando o jogador marcava o gol era um tédio sem o grito de vitória da torcida,há 1 ano,2,
CORINTHIANS 3X1 CEARÁ,há 1 ano,1,
Hoje faz um ano desse jogo,há 1 ano,1,
Eu sou corintiano,há 2 anos,1,
Vai    Corinthians,há 2 anos,2,
"OLHA A DIFERENÇA DO TIME PRO TIME ATUAL, E OLHE Q TAVA SEM ROGER GUEDES E WILLIAN .",há 2 anos,1,
Chupa freguês,há 2 anos (editado),1,
Renato Augusto gosto dms aí lembro que traiu o Flamengo mais sempre será meu ídolo 😞🥺❤️🖤,há 2 anos,0,
2:21 jogaço,há 2 anos,0,
"Quem diria o Renato Augusto, hein? Voltou com tudo",há 2 anos,0,
MANO FOI TOP E O RENATO JA ESTREIOU METENDO UM GOLAÇO,há 2 anos,0,
MALUKO Q GOLAÇO DO R.AUGUSTO VEY,há 2 anos,0,
Nós tinhamos que contratar o rick ele vai b4ilhar,há 2 anos,0,
Cássio com a amarelinha n perde nunca,há 2 anos,0,
"Engraçado Ceará se torna um diabo na vdd todo time do Brasil, se tornar um diabo qnd o assunto é flamengo",há 2 anos,1,
Sim,há 2 anos,49,
Blz,há 2 anos,31,
Golaço!,há 2 anos,39,
Simm,há 2 anos,19,
OK,há 2 anos,18,
Corincachorra continua sem sul americana e marmita,há 2 anos,10,
Joga demais,há 2 anos,29,
Coringay menor de SP,há 2 anos,6,
"FOI BOM O RENATO AUGUSTO DEVOLTA A FAZER O GOL E QUASE 😬😬ADSON PEDE MUSICA APOS 2 GOLS DELE 
😱O ADSON PERDEU O TERCEIRO DELE
MAS MESMO ASSIM O TIMAO VOLTA VENCER EM CASA ENTAO 
VAI CORINTHIANS ⚽️⚽️🏴🏳⚫⚪",há 2 anos,27,
 @mjr6420  foda-se 😉👍,há 2 anos,8,
 @somaisumkidnoyt6855  crefisa fc ganha roubando,há 2 anos,18,
Corincaralho time nanico,há 2 anos (editado),3,
VAI CORINTHIANS 🏁🏁,há 2 anos,14,
 @mjr6420  COMEDIA,há 2 anos,7,
" @mjr6420  so fala merda , doente",há 2 anos,6,
@GoPro  kkkkkkk,há 2 anos (editado),1,
" @entotstorm6039  pra que sul americana, se temos libertadores e mundial ?, somos o atual campeão das Américas, nenhuma equipe brasileira dps de nós ganhou o mundial 😎👍🏾",há 2 anos,12,
Parece que o time chato da mídia está voltando. Vamos ver.,há 2 anos,6,
Melhor que arrascaeta,há 2 anos,11,
 @mjr6420  tipo inveja?,há 2 anos,1,
Vrdd,há 2 anos,2,
 @entotstorm6039  isso que é inveja kkkk assistiu esse vídeo só pra vim expressar sua inveja,há 2 anos,3,
Bem,há 2 anos,2,
ESPERO QUE ELE CUSTE BEM CARO AO CORINTHIANS ASSIM ESSE TIMINHO VAI A FALÊNCIA,há 2 anos (editado),0,
" @mjr6420  óbvio q nn, vc não sabe nem oq e futebol mlk kkk, o goleiro foi certinho mais a bola pegou raspando na trave",há 2 anos,1,
"CORINTHIAS MAIOR QUE TODOS, ENTREGUEM AS TAÇAS VADIAS",há 2 anos,7,
"Eu sei que grande parte da torcida do Marminthians começou a torcer em 2012, mas o Corinthians é isso daí mesmo, um time que sem a mídia e o apito não seria nada, possui eliminação vergonhosas na Libertadores, foi rebaixado em 2007 e só ganha roubado mesmo. Esse time é uma piada.",há 2 anos,0,
 @mjr6420  CHORA TU SO FALA MERDA LIXO,há 2 anos,0,
Vdd,há 2 anos,1,
 @entotstorm6039  PALMERDA SEGUE SEM MUNDIAL E ESTADIO,há 2 anos,0,
 @kieza1882  nanico é quem tem fax é bi rebaixado tem torcida pequena e não tem nem 1 gol em mundial e tem nome de pé de árvore 🌳,há 2 anos,1,
 @somaisumkidnoyt6855  MENOR O O PALCÚ,há 2 anos,0,
 @kieza1882  NANICO E O PALCÚ,há 2 anos,0,
Esse Renato Augusto e boa cara o golaço que jogaço 👍,há 2 anos,5,
Grande retorno de Renato Augusto,há 2 anos,1,
 @english5666  vc. Tosrce pra qual time,há 2 anos,0,
Impressionante,há 2 anos,0,
Em seleção brasileira gol do Renato Augusto cabeça no fundo do gol fez 2 a 1 na copa do mundo 2018 Brasil eliminado contra o Bélgica.,há 2 anos,0,
*DEUSNATO AUGUSTO,há 2 anos,0,
 @mjr6420  sai dai sei kidzao,há 2 anos,0,
 @mjr6420  outra pessoa que fez falha foi sua mãe ao trazer vc para o mundo,há 2 anos,1,
 @michellelima7773  Nem sou palmerdense seu palhaço,há 2 anos,0,
Renato augusto mito,há 2 anos,1,
 @mjr6420  ala o cara ama o Corinthians,há 2 anos,4,
 @gfbpaluizz7959  seu time da mais vexame q uma criança esbarrando em público 🤣🤣🤣🤣,há 2 anos,1,
E um craque,há 2 anos,0,
Verdade o car joga muito,há 2 anos,0,
 @entotstorm6039  quem tem mundial não liga pra esse título de time pequeno amigão comemorar aí sua sulinha que eu comemoro meus Mundias FIFA 😎,há 2 anos,4,
@UC_ZJBgIv1_eXqloLvVFWW1A o flamengo acertou agradeceu 27 pontos VAI FLAMENGO ESFORÇA-TE EM OTO PATAMAAAAAAT🔴⚫🔴⚫🔴⚫,há 2 anos,0,
O dono da camisa 8 retornar a sua casa,há 2 anos,1,
" @entotstorm6039  E BEM SHUPAULLO PRA TA FALANDO MERDA, TEU TIME TA UM CU MKKKKKK",há 2 anos,0,
 @gfbpaluizz7959  tu torce pro sport entao comentario anulado,há 2 anos,0,
 @LUIZ.CLEBERG91  Flamengo que não é kkkk,há 2 anos,0,
Obrigado Corinthians por trazer Renato Augusto e Giuliano vai Corinthians,há 2 anos,1,
Jogou Muito MOSTRO 🏁🏁,há 2 anos,0,
"Golaço é GE, Deu á lógica, Maior do Brasil Venceu 👻👻🤪🤪",há 2 anos,1,
vapo,há 2 anos,1,
A porcada continua sem mundial mane,há 2 anos,1,
O flabosta continua sem teto,há 2 anos,0,
Vcs tambem são incriveis,há 2 anos,0,
Globo lixo,há 2 anos,1,
 @entotstorm6039  vai chora e kkkkkkkkk,há 2 anos,1,
 @somaisumkidnoyt6855  Chora nao,há 2 anos,0,
Simmm😍,há 2 anos,0,
 @aytonlacerda911  seu pai a globo é otimo,há 2 anos,0,
 @english5666  fazer uque,há 2 anos,0,
Poxa vc e corithiana?,há 2 anos,0,
Aí o craque neto endoida de vez kkk,há 2 anos,1,
Pra caralho,há 2 anos,1,
" @mjr6420  bobao, vai Corinthians 😁🤣🤣😂",há 2 anos,0,
 @osdepreto8370  0 mundial 😁😁😁😁😂,há 2 anos,0,
😍🔥🔥,há 2 anos,0,
E não foi nem 100%,há 2 anos,1,
E não jogava desde de dezembro,há 2 anos,1,
 @xpirion_store  dúvido kkkkkkkkkkk,há 2 anos,0,
EU TY AMO RENATO ALGUSTO EU TO LOCO EU TO RENATIZADO KK,há 2 anos,0,
 @entotstorm6039  fregues timinho,há 2 anos,0,
 @somaisumkidnoyt6855   Eo o Lixo do seu TIMIMHO,há 2 anos,0,
Sim,há 2 anos,0,
So falta dizer agora que o Corinthians vai ser campeão 😂😂😂😂😂,há 2 anos,0,
 @gfbpaluizz7959  VC E UM COMEDIA A TORCIDA MAIS FANATICA E A MAIOR E MELHOR TORCIDA E A DO CORINTHIANS MANE TIMIMHO,há 2 anos,1,
Paaaaaaaooo,há 2 anos,0,
 @entotstorm6039  vc e Bambe,há 2 anos,0,
 @juliocesar-rw1uq  2 MUNDIAL CORINTHIANS ✌🏁🏁 CHORA,há 2 anos,1,
Ja chegou e merecer seleção,há 2 anos,1,
.... -,há 2 anos,0,
Ei anti continua falando que o corinthians vai cair fazendo favor kkkkk,há 2 anos,0,
 @entotstorm6039  vdd kkkk,há 2 anos,0,
 @gfbpaluizz7959  kkkkk Tem certeza que conhece a historia da torcida do corinthians para falar que comecaram a torcer em 2012? Ja ouviu falar de socrates e a democracia corinthiana?,há 2 anos,0,
Vei pra modificar o time,há 2 anos,1,
Timão,há 2 anos,1,
Çin,há 2 anos,2,
 @entotstorm6039  sai dai anti invejoso,há 2 anos,0,
 @somaisumkidnoyt6855  vc errou aí deixa eu corrigi pra vc MAIOR DO BRASIL!!!!!!!!!!,há 2 anos,0,
Só tapa de qualidade monstra,há 2 anos,1,
Golaço de Renato Augusto com passe de Giuliano,há 2 anos,1,
 @entotstorm6039  maior campeão da década chupa,há 2 anos,0,
 @entotstorm6039  sulamericana grande coisa kkkk,há 2 anos,0,
"joga muito , muito técnico e inteligente!!!",há 2 anos,3,
" @entotstorm6039  grande bosta , quem quer isso ??",há 2 anos,1,
" @gfbpaluizz7959  kkkkk , pra falar vc tem q ser maior , e somos o maior do pais , e temos mais de 35 milhões de loucos , chupaaaaa anti",há 2 anos,0,
os antis pira,há 2 anos,1,
 @somaisumkidnoyt6855  você só gosta de grande né?,há 2 anos,0,
 @english5666  mais fácil seu pai ir a falência do que um time profissional kkkk,há 2 anos,0,
 @gfbpaluizz7959  imagina o Sport? Time péssimo dos péssimos. Só ganha estadual mesmo!,há 2 anos,0,
S,há 2 anos,0,
 @wendeltoschi4651  VAMOS CORINTHIANS  ○●○●○●○●,há 2 anos,1,
 @entotstorm6039  chora mais,há 2 anos,0,
Craque de bola,há 2 anos,0,
 @somaisumkidnoyt6855  Palmeiras menor de sp***,há 2 anos,0,
 @kieza1882  BI mundial 😘,há 2 anos,0,
 @english5666  tá inxok kkkkkk não aguenta mais o Corinthians kkkkk,há 2 anos,0,
golaço,há 2 anos,0,
Agora Sylvinho mostrou que é estrategista.,há 2 anos,0,
 @xpirion_store  so pq eu tinha falado no vídeo do Corinthians tu vem me copia,há 2 anos,0,
Pq não voltam com os hinos dos clubes após o gol? Essa musiquinha é muito chata,há 2 anos,1,
"Vamos parar de homofobia, respeitem o SYLVINHO💅🐼💅",há 2 anos,1,
😍🤩,há 2 anos,0,
 @lourogomes6846  aqui é santos ⚪⚫,há 2 anos,0,
 @michellelima7773  aqui é  santos ⚪⚫,há 2 anos,0,
"Aí globo, volta com os hinos do time porra.... dava muito mais emoção do que essa música de carnaval que toca depois do gol",há 2 anos,0,
"Agora não tem desculpa antis, O CAMPEÃO TÁ VOLTANDO!!!!!!",há 2 anos,0,
 @kieza1882  freguês do timão 🤣🤣😎😎😎😎👍👍👍👍,há 2 anos,0,
E noix,há 2 anos,0,
 @michellelima7773  maior que o timaun 😎👍,há 2 anos,0,
"Renato Augusto tinha que ter feito esse gol contra a Bélgica, não contra o Ceará!",há 2 anos,0,
"Vai, ser campeão 💥💥💥",há 2 anos,0,
 @english5666  vai o invejosa Corinthians e forte nunca vai a falência e só para sua informação ele não tá em um preço tão alto è 500 mil ou 600 mil chora baba,há 2 anos,0,
Sim,há 2 anos,1,
Sim,há 2 anos,1,
" @wendeltoschi4651  dps proximo Cuiabá 
Flamengo x Cuiabá o flamengo vai se Peñarol",há 2 anos,0,
" @wendeltoschi4651  perdesse com timão 
Corinthians 0 x 2 Peñarol
Cuiabá 0 x 2 flamengo 
Peñarol 4 x 0 Corinthians
Flamengo x Cuiabá",há 2 anos,0,
Pegou time fraco né,há 2 anos,0,
 @kieza1882  maior em que???,há 2 anos,0,
Ixquece istorado,há 2 anos,0,
@Luiz ff o timaso n e timaço,há 2 anos (editado),0,
 @nnnsd  vdd,há 2 anos,0,
melhor meia do mundo slk,há 2 anos,1,
" @english5666  vai postar stories pintando as unhas muié, aqui o papo não chegou no salão de beleza.",há 2 anos,0,
Concerteza,há 2 anos,0,
Cássio monstro,há 2 anos,0,
Fica queto seu merda,há 2 anos,1,
Joga fácil ⚽,há 2 anos,0,
" @gilmaramado1780  e 0
Pegou mesmo o time mesmo Franco",há 2 anos,0,
 @brunobarrosnaatividade9787  vrdd,há 2 anos,0,
" @nanmonttys3926  e serie b , c e d kkkkkkkk",há 2 anos,0,
" @kieza1882  santos time sem midia , derrubador de audiência rsrsrsrsrsrsrs",há 2 anos,0,
 @GuilhermeSantos-yh9qp  os ants piram,há 2 anos,0,
 @GuilhermeSantos-yh9qp  larga mão de ser idiota chorão,há 2 anos,0,
Sensacional 🙏,há 2 anos,0,
 @entotstorm6039  xiu ai despeitado vai comentar  o seu time,há 2 anos,0,
 @kieza1882  xiu despeitado vai comentar no seu time,há 2 anos,0,
" @gfbpaluizz7959  xiu ai perdedor, vai comentar no seu time kkk nem mundial vcs tem kkkkkk lixos",há 2 anos,0,
 @michellelima7773  piada são vocês que nem libertadores nunca ganharam vai dormi o nanico,há 2 anos,0,
 @jeffersonlopess7  kkkkkkkk vdd,há 2 anos,0,
 @GuilhermeSantos-yh9qp  cala boca freguês,há 2 anos,0,
FAAAAAALAA DERICK HAHAHAHAUAUAUAUAJAJAJAJAJAJAJAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAYAH,há 2 anos,0,
 @sant59XXXIX  por isso que tu não pega ngm,há 2 anos,0,
 @michellelima7773  campeonato brasileiro libertadores.,há 2 anos,0,
 @gfbpaluizz7959  kkkkkkk 87 e do Flamengo,há 2 anos,0,
 @kieza1882  kkkkk Só no passado q ganhava só por causa do Pelé e do Neymar kkkkkkkk,há 2 anos,0,
 @asaventurasdemarcos7780  sai fs sem teto,há 2 anos,0,
Maestro,há 2 anos,1,
S.C.C.P 1910 🏁🏁,há 2 anos,1,
 @entotstorm6039  Quem ?,há 2 anos,0,
Fera mostro 👏,há 2 anos,1,
 @marcelodecastro6201  e isso,há 2 anos,0,
O torcedor do Ceará está gostando da sua torcida para o Corinthians.,há 2 anos,0,
 @somaisumkidnoyt6855  tudo isso é medo?,há 2 anos,0,
 @pirocudo1411  nem ganha kkkkk,há 2 anos,0,
 @english5666  wtf KKKKKKKK o que tem haver?,há 2 anos,0,
Octa brasileiro já é realidade vai Corinthians,há 2 anos,1,
Time feio da porra esse Corinthians,há 2 anos,0,
Já estou Me iludindo ☺ VAI Corinthians,há 2 anos,0,
Sim,há 2 anos,0,
Joga demais o menino,há 2 anos,0,
" @somaisumkidnoyt6855  Acho que vc quis dizer são paugay, AQUI É CORINTHIANS PORRA",há 2 anos (editado),1,
"Demais, GE ! Que loucura o Renato de volta :)",há 2 anos,0,
Nossa ge qual empresa que upou este vídeo pra vocês? A tekpix?,há 2 anos,0,
" @PEDROHENRIQUECODE  QUANTO MAIOR A LUTA MAIOR A VITÓRIA, 
QUE DEUSTE ABENÇOE BASTANTE
ÚNICO DEUS EO PAI O FILHO EO ESPÍRITO SANTO.
QUE SÃO 3 EM UM UNICO DEUS. E ESSE DEUS SABE DE TODAS AS COISAS. ELE ESTÁ EM TODOS OS LUGARES AO MESMO TEMPOJÁ QUE ELE CRIOU TUDO ELE TEM O DOMÍNIO SOBRE TUDO.
É CE NOS MORRER COM NOSSOS PECADOS, NOS VAI PARA O INFERNO MAS JESUSCARREGO NOSSOS PECADOS BRIGADO DEUS E BRIGADO VCQUEVIU",há 2 anos,0,
 @evangelismo9617  ??,há 2 anos,0,
 @paidopalmeiras904  piada kkkk.,há 2 anos,0,
