text,time,votes,replies
"E ai Torcedores!😎
O que acharam desse empate? ⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,139,57
Pedro Raul jogava muito,há 1 ano,1,
1 ano se passou e o luciano continua cobrando penalti do mesmo jeito.,há 1 ano,1,
Goias sempre foi uma pedra no sapato,há 1 ano,0,
Thiago Couto tava com sono nesse jogo,há 1 ano,2,
São paulo e Goiás foi na pós formatura na obra social dom bosco de itaquera,há 1 ano,0,
São Paulo e Goiás foi na minha pós Formatura na Obra Social Dom Bosco de Itaquera,há 1 ano,0,
Fino senores🗿🍷,há 1 ano,0,
Eu tava ai,há 1 ano,0,
"esses pontos fora de casa do goias que faz o time estar numa boa posição na tabela, sem dúvidas",há 1 ano,1,1
KKKKKKKKK NO REPLAY DO GOL DO PATRICK TEVE REPLAY DO PÊNALTI DO LUCIGOL,há 2 anos,2,
2:11 ué kkkkk,há 2 anos,0,
Tai um goleiro que eu queria ver no tricolor era o Tadeu.,há 2 anos,0,
vamo,há 2 anos,0,
maior site de esportes do brasil e a edição de vídeos parece de alunos de quinta série kkkkk nao tem um vídeo de melhores momentos sem cortes bizarros ou lances no lugar errado,há 2 anos,0,
"Tadeu merecia muito ter uma chance na seleção. Pega demais.
O zagueiro do SP está até agora do procurando o Pedro Raul kkk",há 2 anos,0,1
Olha a felicidade do mascote do são Paulo na hora do gol do calleri 0:53 😗,há 2 anos,0,1
"Nem, o Volpi joga Assim",há 2 anos,0,
"O São Paulo   está melhorando desde de que o Rogério chegou mas,ainda precisa melhorar a atenção no final do jogo por conta dessa desatenção  perdemos de 6 a 8 pontos nessa temporada  se tivéssemos ganhado esses pontos estaríamos com 32 ou 34 pontos dentro da zona da Libertadores.",há 2 anos,0,
Meteram a mão no Goiás,há 2 anos,0,1
"Vergonha, time grande não pode empatar com o desqualificado e pequeno time das trikas 💅",há 2 anos,22,
1,há 2 anos,2,
Goleiro mao de alface parece o weverton e o Cássio.,há 2 anos,6,
"Acho que esse goleiro do são Paulo  e ruim , não sei pq Rogério coloca ele",há 2 anos,4,
"Trikas levar 3 gols do poderoso Goiás, Que vergonha! 🤣",há 2 anos,13,
"Legal, preferia que o São Paulo tivesse perdido mais foi bom ☺️☺️☺️",há 2 anos,6,
 @cruzeiro5848  série b seu time é um inseto,há 2 anos,3,
" @cruzeiro5848  , verdade",há 2 anos,1,
 @cruzeiro5848   cara tira o nome do meu time aí sua ridícula kkkkkkkkk só vejo vc em comentários da ge kkkkk baixa bola aí calma Muié,há 2 anos,0,
Jogão de bola,há 2 anos,1,
O goleiro do são paulo é muito ruim,há 2 anos,3,
Que ediçao porca do krlh ge,há 2 anos (editado),0,
Sou Torcedor do Botafogo e do Brasil mais eu Achei essa Partida um Jogao,há 2 anos,2,
 @joaomarcelo933  levo gol do Goiás,há 2 anos,1,
 @sheirlianemendes157  concordo plenamente com vc,há 2 anos,1,
Time sem vergonha nunca vi um time gostar de empata tanto assim igual o São Paulo,há 2 anos,4,
 @clientecard6937  concordo plenamente com vc,há 2 anos,1,
TRIKAS É PEQUENO AMIGÃO 🌈,há 2 anos,6,
 @joaomarcelo933  pelo menos impatou diferente do gamba que perdeu  pro cuiba kkkk,há 2 anos,1,
 @atleticomg5301  concordo,há 2 anos,2,
 @atleticomg5301  kkkkkkkkkk e maior que o seu time né meu freguês eliminadooooo,há 2 anos,1,
Pedro Raul tá fazendo muitos gols,há 2 anos,1,
Replay do gol não tem mais do pênalti perdido KKK,há 2 anos,1,
 @segoviawn  a diferença é que Everton e Cássio são maiores que o são paulo,há 2 anos,2,
Foi ruim sendo em casa,há 2 anos,1,
Trikas,há 2 anos,1,
 @yoshidaml  tá sem goleiro o tine...títular e reserva...esse dai é da copinha.,há 2 anos,1,
Edição péssima.,há 2 anos,1,
"Achei mal editado, pra variar!",há 2 anos,1,
 @coringaokg4976  quantos Mundiais q eles tem? Libertadores?? Sulamericana??? Títulos internacionais??? Rebaixamentos??? 🤣🤣🤣😂😂😂,há 2 anos,1,
"Essa zaga não treina não? Só leva Baile, até quando Rogério Ceni? E esse goleiro pelo amor de Deus leva um gol de cabeça lá do pênalti 😅 rindo p não chorar.",há 2 anos,1,
