text,time,votes,replies
0:21 0:22 0:23 0:24,há 2 meses,0,
Show de Bola São Paulo ❤️🖤,há 3 meses,0,
Auikiirw58hxaw68igdeuiurw69gxa48ijvzr8ihsq❤😂,há 3 meses,0,
Esse jogo foi um dos pougos jogos com empate que eu nao fiquei bravo depois. Foi um jogo muito bom das 2 equipes,há 11 meses,0,
Que jogaço eu não gosto do São Paulo mais quando eu era pequeno eu torcia pro São Paulo,há 11 meses,0,
Luciano tinha que voltar com a 11,há 1 ano,0,
"Como que o inter decaiu tanto do ano passado pra agora, mds",há 1 ano,0,1
Oi léo 🤩🤩,há 1 ano,0,
"Ação e reação, coisa linda",há 1 ano,0,
Eu tava nesse jogo ae,há 1 ano,0,
Que saudade eu já tô do Inter,há 1 ano,1,
São Paulo empatou?????????????????????????????????????????????,há 1 ano,0,
Hdufshtgdgggggkkkkhsjsgysbsushdsjs,há 1 ano,0,
O inter precisa urgentemente de um goleiro,há 1 ano,0,1
Muita gente criticando o goleiro do São paulo vocês estão morrendo de saber que ele é novo sem experiência só colocou ele pq jandrei si machucou é não tinha outro mais a culpa é dessa Diretória que vendeu o volpi é não trouxe o goleiro reserva,há 1 ano,0,
Sou o único colorado e minha família inteira é São Paulina mas foi um puto dum jogou muito acirrado os 2 times tinha o chance de de fazer 4x3 mas acabou 3x3 mas foi um jogo incrível,há 1 ano,1,
Mano esse goleiro  do são paulo  e muito ruim,há 2 anos,1,
o Daniel é muito ruim pelo amor de deus,há 2 anos,0,
Time sub 20 humilhou o inter tecnicamente...o inter só empatou pq o couto é um projeto de goleiro de futsal...pequeno e horrível!  3 gols 3 falhas dess3 mlq ...sp foi garfado tmb ..falta do heitor no Luciano nao marcada..mas td bem..ja deu pra ver q o inter ja nao ta bem como no começo com o mano,há 2 anos,1,
As defesas são duas mães kkkk,há 2 anos,0,
Focado na libertadores desse ano,há 7 meses,0,
John,há 1 ano,0,
Último gol defensável,há 2 anos (editado),0,
"esse goleiro do São Paulo é tão bom, que qualquer coisa podem me ligar KKKKKKK",há 2 anos,0,
"Põe um balde de água no gol do São Paulo,vai dar mais trabalho para os atacantes...🤔🤣🤣🤡🤡🤡",há 2 anos,0,
Torcida cocô essa do inter kkkk pensa em torcida xoxa multiplicado ao quadrado é essa do inter.,há 2 anos (editado),1,1
Novamente Goiás tropeçando fora de casa kkkkkk,há 2 anos,1,
