text,time,votes,replies
"Faaala, minha galera! O que acharam da partida?
🤙Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,389,80
✌👑👅😍,há 2 semanas,1,
eu achei bom placar 3x1,há 2 meses,0,
Parabéns ao time do Flamengo ❤🖤,há 3 meses,1,
Alguém fala que tem o jogo completo disso,há 3 meses,0,
Mais foi e,há 5 meses,0,
"sobre o gol perdido de David Luíz, eu acho que na hora ela pensou que o ataque era do são paulo, e achou que tava jogando contra a Espanha, e lembrou daquela tirada em cima da linha, e pensou em fazer o mesmo nesse jogo kkkk, brincadeiras a parte, sou fã do David Luíz.",há 6 meses,0,
S,há 7 meses,0,
Muito bom 😊,há 7 meses,1,
❤😅❤😅❤😅❤😅❤😅😅😂😅😂😂😅😂😅😂😅😂😅😂😅😂😅 0:44 0:44 0:44 😂 0:44 0:44 ❤😅❤😄😙😄😙😍😙😍😙🤩😙🤑😙😙🤑🤑😙🙂😍😍🙃😍🥰🙃🥰😉😃😉😃😉😃😉😃😉😄😉😉😍🥲🤩😙🤑🤐🤑😙🤐🤑🤑😙😙🤐🥰🤐😍😍🤐😙🥰🤐🥰🤐🤔😍🤫🤫🤩🤩🤫🤫🤔🤔🤩🤔🤑🤔🤔😝😝🤐🤐😝🥲🤪😝😙😍😙😍😙😍😙😙😍🥲,há 7 meses,0,
😅❤😅❤😅❤😅❤😅❤😅😅❤😊,há 7 meses,0,
EU ACREDITO NO MEU MENGAO,há 10 meses,1,
Calleri sempre metendo nelez,há 10 meses,0,
Respeita o flamengo,há 11 meses,1,1
Pq o arboleda não jogou? Aí,há 11 meses,0,
Perderam  são paulistas 👎🏻👎🏻,há 11 meses,1,
"Eu ja nem sei mais os anos dos torneios, Flamengo esta passando o rodo em tudo quanto é time de Sao Paulo todo ano.",há 1 ano,1,4
"25 1T                                           
24 2T
47 2T                      



41 1T",há 1 ano,1,
Os cara tomaram gol do isla kkkkkkkkkkkkk,há 1 ano,0,
Ele que é feio ele tá falando mal do arrascaeta,há 1 ano,0,
Toca no Calleri que e goooll,há 2 anos,6,
Ganha mais 12 e empata o confronto🤏,há 2 anos,2,
Flamengo não tem 🏟,há 2 anos,6,
"GLELE 









SÃO CAFUNDÓ MUITO MINÚSCULO FREGUÊS 🤣🤣🤣🤣🤣🤣",há 2 anos,11,
EU SEI SEUS NANICOS EU SEI QUE E DIFÍCIL DE PARA OS CORINGAS DO FLAMENGO,há 2 anos,18,
Toma teu chocolate são Paulo kkk,há 2 anos,12,
Copa do brasil do sao paulo?,há 2 anos,9,
Deu zebra hoje 👃👃👃👃,há 2 anos,3,
Complete comigo: sao paulo não tem_______.,há 2 anos,2,
"Eu disse que esse timinho das trikas é uma ilusão e que ia brigar pra não cair , se cair em intaquera o líder absoluto coringão não terá Piedade",há 2 anos,0,
Bem merecida os três pontos pro mengão,há 2 anos,1,
 @pneuqueimado5863  copa do Brasil,há 2 anos,0,
O freguesia continua,há 2 anos,0,
 @cruzeiro5848  união flazeiro?😢,há 2 anos,0,
 @cruzeiro5848  três anos na série b kkkkkkk 😂😂,há 2 anos,0,
PALMIXURUCA JA TA PREPARANDO A RETRANCA NÃO ADIANTA O MENGAO VAI DESTROSAR O PROFESSOR RETRANCA E ESSES PEREBAS,há 2 anos,0,
Flamengo jogou muito,há 2 anos,0,
Gabi💩💩,há 2 anos,0,
AI E FLAMENGO,há 2 anos,0,
 @kevinlukas9159  não adiantou d nada 🤣🤣🤣,há 2 anos,0,
 @kevinlukas9159  toma o chocolate pra vcs,há 2 anos,1,
 @jonaspfc6331  pode deixar 3 já foi kkkkk,há 2 anos,0,
 @jonaspfc6331  mais uma lapada quem ta virando freguês? só apanhando Kkkkk só não levou mais pq teve sorte 🤏🤏🤏,há 2 anos,0,
 @kevinlukas9159  agente fez a festa no d vc ano passado 4 no lombo 😉😉,há 2 anos,1,
"Pro lado do São Paulo, Jandrei é titular absoluto com certeza, fez ótimas defesas, Wellington só jogava a bola pra trás, éder mais uma vez não fez poha nenhuma, arboleda muito melhor que Léo pelé. Pro lado do flamengo dou os parabéns, buscaram jogo, não baixaram o ritmo e fizeram ótimas finalizações, acho que o Flamengo teve umas 8 chances de fazer gol.",há 2 anos,2,
 @cruzeiro5848  tão morto na série B e quer zoar Kkkkk 🤣🤣🤣,há 2 anos,0,
 @kevinlukas9159  Maracanã amigo e humilhamos vocês,há 2 anos,1,
 @jonaspfc6331  vai chora humilhamos vocês,há 2 anos,0,
SO  Um  DETALHE.  O  Fllamengo  TEM  ZAQUERO.,há 2 anos,1,
 @kevinlukas9159  ppp,há 2 anos,0,
Impecável do Flamengo,há 2 anos,0,
"GE bem parcial , pq nao mostrou os lances do SP ???",há 2 anos,0,
" @yagogreen665  porquê não teve lance do São Paulo, só deu flamengo",há 2 anos,0,
Legal,há 2 anos,0,
 @kevinlukas9159  qnto foi o resultado mermo mermão??,há 2 anos,0,
2:57 trikas só contrata dinossauro como goleiro olha isso,há 2 anos,0,
 @BOLSONAROHEROIDOBRASIL  cafundó kkk,há 2 anos,0,
" @coringaokg4976  

não é intaquera  

é itaquera 

essa música caiu em itaquera ja era 

estava no auge no ano de 2015 

mais quando o palmeiras ganhou la em itaquera 

a música caiu em itaquera ja era 

não permaneceu mais no auge 

ai surgiu uma nova música 

caiu em itaquera todo o time se recupera",há 2 anos,0,
 @odiferenciadodetodos5871  por que você sorriu nessa mensagem,há 2 anos,0,
" @clientecard6937  o que você esta querendo dizer com essa mensagem  

juridico",há 2 anos,0,
 @JulioCesar-ss8tl  o que você esta querendo dizer com essa pergunta,há 2 anos,0,
" @palzaoterrordananicada2395  o que você esta querendo dizer com essa mensagem  

contrata dinossauro",há 2 anos,0,
 @kevinlukas9159  guuuollll,há 2 anos,0,
 @jonaspfc6331  vai ganhar todas seguidas confia,há 2 anos,0,
 @kevinlukas9159  nem vc,há 2 anos,0,
 @cruzeiro5848  🅱️🅱️🅱️,há 2 anos,0,
 @antonioarnaldo1482  bracinho curto de se fosse outro goleiro tinha pego,há 2 anos,0,
"É isso meu Flamengo, vamos voltar ao bom futebol de antes, é isso!!! Pra cima deles Flamengo!!!!",há 2 anos,0,
Bom dia!!!! Conheça o canal Testemunhos Sobrenaturais; o canal das eqm e das revelações. Você irá se surpreender! . ..,há 2 anos,0,
 @kevinlukas9159  e o São Paulo não tem copa do Brasil,há 2 anos,0,
 @kevinlukas9159  sim mas entre Isla ou Lázaro prefiro o Lázaro!,há 2 anos,0,
 @kevinlukas9159  escala o Rodinei que toma gol isso sim kkk,há 2 anos,0,
"O São Paulo foi mais abaixo do que esperava, tirando o gol do calleri, o São não assustou em nada o Flamengo e foi totalmente dominado 😭😭😭😭",há 2 anos,0,
Eu apostei que seria 4 a 1 pro são Paulo mais foi infelizmente 3 a 1 para o Flamengo 😭😭😭😭,há 2 anos,0,
Gabigol e decisivo mais o que ele tem de banheira não é brincadeira podem reparar não ajuda os parceiros na marcação sempre na banheira.,há 2 anos,0,
Tem sim o flamengo,há 2 anos,0,
Mundial,há 2 anos,0,
Vc e flamengo,há 2 anos,0,
 @rayza5462  cala a boca lavar louças,há 2 anos,0,
Melhor time do mudo pode chamar todo mundo pra seleção é campeão na certa com rodilindo de capitão,há 2 anos,0,
@BIXARADA FREGAYS aí aí aí minha cueca azul escura está apertada,há 2 anos (editado),0,
 @rayza5462  ninguém liga pra você lavradora de pratos,há 2 anos,0,
 @kevinlukas9159  fjf,há 2 anos,0,
GE vcs tão de parabéns fantástico. 👍,há 2 anos,0,
 @luise...odonodabike6659  infelizmente concordo com você 👍,há 2 anos,0,
"@Levi Silva de Oliveira fazer o quê, seu Flamengo ganhou do meu São Paulo e estava torcendo pra ele meter uma goleada no Palmeiras, infelizmente foi 0 a 0",há 2 anos (editado),0,
"Saudade do Gerson , joguem sal e agua benta nesse time mascarado amigos quero meu Flamengo de 2019 de volta.",há 2 anos,1,
