text,time,votes,replies
"E ai Torcedores!😎
O que acharam da partida? ⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,22,1
Felipe Azevedo o nome da fera,há 1 ano,0,
Não sei se é pior esses melhores momentos incompletos esse cara do GE com essa voz ridícula no final tentando ser engraçado,há 2 anos,0,
Deu Coelho.,há 2 anos,0,
Parabéns América!!!!Essa partida pode ser a considerada ao fim do campeonato como : a partida crucial da permanência do América na série A!!!,há 2 anos,2,
"Bizarro  !!!
Ridículo  !! Juiz ladrão  !!!
Impedimento em gol contra ???????",há 2 anos,0,
Deus é bom,há 2 anos,2,
Tem que agradecer a Deus só de tá ai,há 2 anos,1,
Joga bom,há 2 anos,1,
Jogão⚽️,há 2 anos,1,
"HAHAAAA
HUHUUUU
ESSE DRAGAO SOLTA FOGO PELO C...",há 2 anos,0,
BOA COELHO 🇳🇬,há 2 anos,0,
Estão é Esse timeco que o Corinthians vai pegar kkkk,há 2 anos,0,
Coelho respira,há 2 anos,0,
🟢⚫🐰⚫🟢,há 2 anos,0,
Vai caindo o time mais arrogando do centro oeste,há 2 anos,0,
"Grande assistência do Eder, narrador perdido",há 2 anos,2,
"América pode pegar até uma sula, se continuar assim",há 2 anos,2,
"parabéns coelhão, que alivio",há 2 anos,6,
Impedimento???se foi gol contra essas arbitragem so qurem fuderem com o América MG ....parabens guerreiros temos time pra jogarmos de igual pra igual com o São Paulo.....boraaaa meu coelhao....,há 2 anos,2,
Sou Torcedor do Botafogo e do Brasil mais eu Achei a Partida Legal,há 2 anos,1,
"Meu Z4 no início do BR: 
Juventude
Cuiabá
América-MG
Avaí

Tomara que eu acerte, mas acho que o América não cai",há 2 anos,0,1
Será que o atlético goianiense ganha do Corinthians aí,há 2 anos,1,6
O Goiás não vê a hora do rival dragão cospir fogo 🔥 na série b em 2023,há 2 anos,0,
Atlético goiano e fortaleza e juventude situação difícil acho que vai cair esses ai,há 2 anos,0,
Matheuzinho do América tá fazendo um Belo campeonato!,há 2 anos,4,1
"Parabéns por sair do Z-4 coelho,uma bela Vitória importante q venha outras vitórias como essa nos próximos jogos😉",há 2 anos,5,
Vocês sabiam que o nome do time do América não é América MG de verdade?,há 2 anos,1,1
Aja replay pra conseguir tirar 3 minutos de melhores momentos desse jogo ruim 😅,há 2 anos,0,
Uai. Gol contra tem impedimento?kk,há 2 anos,1,
O Dragão perdeu o fogo.,há 2 anos,0,
Narração espetacular,há 2 anos,9,2
Boa Vitoria do America Mineiro,há 2 anos,10,
"Atlético go tá pior q o Fortaleza ainda, N duvido nada esse time eliminar outro tri campeão da libertadores o Nacional na sul americana kkkkkkk, esses times n conseguem ficar em 3 competições ao msm tempo",há 2 anos,1,
As lagartixas vão cair!!!!,há 2 anos,0,
Boa partida,há 2 anos,1,
Boa vitória do coelho,há 2 anos,2,
Venceu o maior.,há 2 anos,5,
Dragão vai cair 😬,há 2 anos,0,
Parabéns coelho,há 2 anos,1,
AMÉRICA MG 24/07/22,há 2 anos,0,
"E coloquei que iam subir:
Cruzeiro
Grêmio
Vasco 
Sport

Mas quem vai subir no lugar do Sport é o Bahia",há 2 anos,0,
"Só se o Corinthians tiver num dia merda pq se ganha do Galo fora de casa Ganha desse timeco tmb,sem falar que a decisão é na Arena",há 2 anos,1,
 @cristianomessinaldo1707  pdp só perguntei mais eu confio muito,há 2 anos,1,
"Não é só pq venceu o Atlético Mg que vai vencer o Atlético Go, no futebol não tem lógica e teoria. E o Atlético Go não tem tido atuações para estar no Z4 não, o time que é azarado, mas o Dragão não cai pra Série B. 

Atlético Go tá fazendo uma bela campanha na Copa Sul-americana, eliminou a Olimpia. Atlético Go é bom no mata-mata, venceu do seu rival fora de casa com o Estádio lotado contra o Goiás de 3x0. 

O Corinthains não vencia o Atlético Go a  7 jogos, o Corinthians só venceu aquela partida da 9° rodada (nesse ano) contra o Atlético Go por erro da arbitragem a favor do Corinthains. O Atlético Go eliminou o Corinthians ano passado n Copa do Brasil, e o Corinthians não vence o Atlético Go em casa (em SP) a 5 jogos (3 derrotas e empates). O Atlético Go já quebrou uma invencibilidade do Corinthains no Brasileiro de 2017 (19 Jogos sem perder o Corinthians). Atlético Go é uma zebra perigosa, da maioria das vezes surpreende...",há 2 anos (editado),1,
 @zek667  vm vê aí,há 2 anos,1,
" @isaacccp3667  + acredito que o Corinthians passa, empate em Goiânia e Vitória em SP.",há 2 anos,0,
 @zek667  eu acho que Vitória nos dois jogos mais veremos aí,há 2 anos,0,
Mais ou menos,há 2 anos,1,
"Sim, é só América.",há 2 anos,1,
E o Corinthians heim maceto as frangas,há 2 anos,1,
Coelhoooooooooo,há 2 anos,1,
"Que horror esses ""pernas de pau"" da defesa do Atlético!",há 2 anos,0,
❤❤❤❤🤙🤙🤙🤙😎😎😎,há 2 anos,1,
Mds a transmissão nesse estádio é ruim,há 2 anos,0,1
Olha o rebaixamento aí Atletico Go!,há 2 anos,14,
Uk,há 2 anos,0,
"Esse Atl.Goianiense é uma Tiriça, fez eu perder um bilhete de 10 mil, bocado de corno!",há 2 anos,0,
Mais um garantido na segundona,há 2 anos,1,
"América mg ganhou mais não convenceu. Eu não entendo pra que ficar tomando tanto ataque do adversário, me faz lembrar de um ditado ""água mole em pedra dura tanto bate até que fura."" É também esses passes errados, o América erra demais principalmente o goleiro que praticamente dá um toque para o adversário.",há 2 anos,3,2
"América nem lembrava mais, como é a sanção de vencer no brasileirão.",há 2 anos,0,
Se vemos na quarta atletico goias,há 2 anos,0,
"Tudo normal, venceu o maior 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",há 2 anos,20,
Vou torcer  pro resto da vida pro atletico go se fude.. perdi 100 conto só precisava da vitória ou empagr,há 2 anos,0,2
ATLÉTICO-GO 0X1 AMÉRICA-MG,há 2 anos,2,
Parabéns ao América-MG pela Vitória 👏👏👏👏,há 2 anos,29,
Sacanagem anular esse primeiro gol do América,há 2 anos,1,1
"Eu não quero que o América caia não, seria mais interessante se fosse algum time que nunca caiu, ou algum time grande.",há 2 anos,9,6
"Os otarios chamam o único Americo no campeonato brasileiro de america mineiro kkkk,nâo vejo nenhum time capixaba nem na serie A e nem na B e nem na ZZZZZZZ ,AMERICA FUTEBOL CLUBE.",há 2 anos,0,
"Atlético Goianiense não tem tido atuações para estar no Z4 não,time é azarado também,mas acho que o Dragão escapa da Série B.",há 2 anos,11,1
Sacanagem anular o primeiro gol do América,há 2 anos,7,1
América-MG Vai Cair Pode Anotar Galera!!!!,há 2 anos,0,2
Tem o q errado ai ?,há 2 anos,0,
"concordo, america tem ate um bom elenco, mas precisa de um tecnico melhor, que faça uma diferença no time, se não cai pra B dnv",há 2 anos,2,
 @gabrielelite9182  Bom elenco ? Kkkk,há 2 anos,0,
"100 no Atlético go e em casa ainda, vc é confiante em kkkkk",há 2 anos,1,
 @mlkcacheado572  kkkkkkk,há 2 anos,0,
