text,time,votes,replies
"Fala, galera!! O resultado foi justo??",há 1 ano,173,78
Boa meu Palmeiras 💚💚 🏆🏆🏆🏆,há 3 meses,1,
Palmeiras não tem mundial hahahahahahahaha,há 8 meses,0,
Estadio pequeno do krl e não consegui perceber isso na tv,há 1 ano,0,1
☝🏼 Inscreva - se: A Cada Lance,há 1 ano,0,
Esse time já deu o q tinha q dar .. Palmeiras precisa de caras novas .. jogadores q tenha técnica e q não tenha que ficar tendo q jogar sempre no limite pra arrumar alguma coisa,há 1 ano,0,
"Marcos Rocha levou bola nas costas, não tem mais gás pra ser titular Maike merece ser o titular da lateral direita fala isso pra eles Cafu",há 1 ano,0,
"O Palmeiras a muito tempo não vem jogando bem, tudo por causa da falta de humildade, onde os egos são inflados pela mídia paulista que fica babando ovo de uma equipe que tem mostrado suas deficiências a um bom tempo. 
Se continuar assim, vai perder o brasileiro, lembrando que vai jogar com: Santos, São Paulo, Atlético Mineiro, Atlético Paranaense, Botafogo e Cuiabá. Fora o Juventude e Coritiba!
Tá achando que as equipes que lá embaixo da tabela, vai vender barato uma derrota?
 Ninguém quer descer, então é bom, colocar as barbas de molho!",há 1 ano,0,
Piada foi Atualizada 😅😅,há 1 ano,1,
"Tabata vai se encontrar, espero muito.",há 1 ano,0,
Se o Palmeiras virase sé loco ia ter mais respeito,há 1 ano,0,
pra cimaa verdaao garra e coragem 👊💚💚,há 1 ano,1,
Palmeiras com tantas copa que ganhou . aonde foi todo aquele dinheiro?tem time que não ganhou nada e tem uma seleção de jogador que dava até pra substituir a seleção brasileira isso é lamentável,há 1 ano,0,
"Wow, this is the 1st time ever i witness a highlight that generates 1M view for that few hours of upload.. is this kinda derby game??",há 1 ano,0,1
"Não consegui assistir esse jogo. Mas não foi falta no início da jogada no segundo gol do Bragantino?
0:34 . Houve uma carga nas costa ali.",há 1 ano,0,
Palmeiras sempre palmeiras..o time que a mídia não suporta... maís somos os maiores CAMPEÕES do Brasil...,há 1 ano,1,
Bola rasteira no canto o weverton não pega de jeito nenhum,há 1 ano,0,
Werverton nós últimos jogos tomando cada gol,há 1 ano,0,
"Terça 3x0 o Palmeiras é como um filme que se repete diversas vezes com um começo ruim mas o final é sempre emocionante, Caio um cisco no meu olho, terça o trem verde tá na pista 🚂🐷🥋💚",há 1 ano,1,
Lateral-direito do Brgtno não acompanhou a jogada..próximo jogo é banco em,há 1 ano (editado),0,
Não. O bragatino tinha que ter vencido,há 1 ano,29,
NADA JUSTO VARMEIRAS COMO SEMPRE PRECISANDO DO ÁRBITRO PRA GANHAR,há 1 ano,17,
"Palmeiras não tem Mundial amigo.
Palmeiras é bi rebaixado amigo.",há 1 ano (editado),16,
As PEPPAS deveriam levar 5 na bunda depôis desse jogo 🤣🤣🤣🤣🤣🤣,há 1 ano,1,
"Jogando com reservas, resultado bom pro Palmeiras. Não tem nada do que reclamar",há 1 ano,9,
 @flamaquinarumoaotetradaame847  Aonde q teve ajuda da arbitragem? Sem chororó pq qm tem ajuda é vcs KKKKKKKKKKKKKKKKKK,há 1 ano,12,
Dois time ruim esse resultado foi esperado,há 1 ano,5,
PARMERA sem mundial e nanico isso sim 🤣🤣😂🤣😂🤣😂⚪⚫🔥 jamais serão botafogo,há 1 ano (editado),5,
 @futebolnacionalrb  copa toyota nao é mundial torcida tercirizada ficou no cheirinho👃👃👃👃👃,há 1 ano (editado),5,
Jogão,há 1 ano,0,
 @Jalinarrobei  realmente ser pequeno igual ao botafogo é difícil,há 1 ano,6,
"resultado justo,os dois jogaram muito bem e qualquer um merecia a vitória",há 1 ano,4,
" @flamaquinarumoaotetradaame847  primeiro gol do bragantino tava impedido e o segundo fez falta lá no começo da jogada, Palmeiras foi roubado",há 1 ano,3,
" @Jalinarrobei  e e esse bota merda eo que mesmo kkk não vejo nada nesse time 
U lugar deles e na série b onde ele tava",há 1 ano,1,
Bragantino era para ter ganhado,há 1 ano,1,
 @coringaokg4976  kkkk né,há 1 ano,1,
" @Jalinarrobei  quantas libertadores,quanta copa do Brasil, quantos brasileiro.vcs tem.  Botafogo e bairro kkkkkk",há 1 ano,3,
" @flamaquinarumoaotetradaame847   falou o varmengo:

Mlq seu time é conhecido por meme de arbitragem",há 1 ano,1,
 @coringaokg4976   falou o coringão:,há 1 ano,0,
" @Jalinarrobei   sem clubismo e com todo respeito.

Comparar botafogo com palmeiras é sacanagem né? Palmeiras é 109x maior e mais tradicional",há 1 ano,3,
 @Jalinarrobei   botafogo n tem mundial kkjjjkkkkjk,há 1 ano,1,
" @lucaZkkj2  21 Campeonatos Cariocas, 4 Torneios Rio-São Paulo, 3 Taças dos Campeões Estaduais Rio-São Paulo, 4 Campeonatos Brasileiros e 1 Copa Conmebol,4 COPA DO BRASIL
TRI MUNDIAL FIFA 1968,1969 E 1970
TRI LIBERTADORES (COPA CONMEBOL)
MAIOR DO RIO
MAIOR DO BRASIL
TIME COPEIRO BOTAFOGO ⚫⚪🔥",há 1 ano,0,
 @leonardo7274  exato,há 1 ano,0,
Palnanico jogou na retranca contra o bragantino kkkkkkk,há 1 ano,2,
 @regisfreefire  enquanto o Ney está voando vc está aqui passando vergonha nos comentários kkkkkkkkkkkkkkkk 😂😂😂,há 1 ano,0,
Tem que voltar a ganhar no Brasileirão urgente e na terça ir pra cima do Atlético,há 1 ano,0,
​ @Jalinarrobei  botafogo tri campeão mundial kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 1 ano,3,
"Palmeiras nanico sem Mundial, Bi-Rebaixado timeco precisa dos adversários fazer gol contra pra ganhar ou empatar",há 1 ano,1,
 @marcosbarbosadasilva8567  chora pra FIFA sem mundial 😭,há 1 ano,0,
"SIM!..APESAR D Q UM JOGADOR DO PLMEIRAS DEU D PRESENTE,O SEGUNDO GOL DO BRAGANTINO..S/FALAR DA PRECIPITAÇÃO DOS ATACANTES,NA HÓRA D FINALIZAR A JOGADA.",há 1 ano,0,
Sou palmeirense nao sou alienado nem fanático ta sem graça isso toda ves q palmeira chega na final ou semi sempre perde 😂🤣,há 1 ano,0,
 @Jalinarrobei  mais um burro,há 1 ano,0,
O mundo ja sabe q palmeira nao tem p mundial e o q outros time tem e nao tem 🙄😏😂🤣🤣😂,há 1 ano,0,
" @deboamarcelodiasbueno4174  E É???..🤣😂🤣
S/DÚVIDA,VC É O ""palmeirense"" MAIS FLAMENGUISTA Q EU JÁ VÍ!..😂🤣🤣🇳🇬🏆🇳🇬🏆🇳🇬🏆🇳🇬",há 1 ano,0,
 @futebolnacionalrb  e bi rebaixado mais nunca dependeu de ser ajudado como flamengo 🤣😏,há 1 ano,0,
" @deboamarcelodiasbueno4174  E É???..🤣🤣😂
VC É D MARTE?..OU É D JÚPITER?..🤣😂😂",há 1 ano,0,
​ @coringaokg4976  últimos cinco anos apenas o Flamengo se compara com o palmeiras,há 1 ano,0,
 @Jalinarrobei   hahahahaha,há 1 ano,0,
 @marcosbarbosadasilva8567   😘😘😘😘😘 calma amigues a titia Leila vai arruma as coisas 🤣🤣🤣🤣🤣,há 1 ano,0,
"O FUTEBOL DO PALMEIRAS XAIU MUITO BESSE SEGUNDO TURNO.  NÃO  VAI CONSEGUIR PASSAR O ATLÉTICO PARANAENSE.
ESSA VÉIA DESSARILA PEREIRA É  INCOMPETENTE, SÓ  TROUXE PEREBA PARA REFORÇOS  ! FORA COM ESSA VÉIA,  LEVEM PARA UM ASILO !!",há 1 ano,0,
"sonho do varmeiras e ser o galo 🐓🐓⚫⚪ 
varmeirinha time retranqueiro",há 1 ano,0,
Ímparavelmeiras vai voltar Antis,há 1 ano,0,
Ímparavelmeiras vai voltar Antis,há 1 ano,0,
 @Jalinarrobei  que ótimo kkkk,há 1 ano,0,
 @Jalinarrobei  Deus me livre se Botafogo!!,há 1 ano,0,
Não,há 1 ano,0,
 @flamaquinarumoaotetradaame847   q q,há 1 ano,0,
Palmeiras é uma vergonha no momento,há 1 ano,0,
"Sigam o canal da ""Giulia Soncini"" obrigado e saúde pra todos vocês!!✨✨🎵🎶",há 1 ano,0,
" @flamaquinarumoaotetradaame847  meu eterno vice... 

Ass deyverson...",há 1 ano,0,
"Empatou na sorte, com um gol contra do goleiro Cleiton, no último lance, aos 48 minutos do primeiro tempo. Se não fosse aquele gol, tinha perdido. Esse time reserva do Palmeiras é muito ruim. Está claro que o Palmeiras depende muito do time titular e o time já está desgastado fisicamente. Pois ainda, tem muito campeonato pela frente.",há 1 ano,1,
 @Jalinarrobei  meu Deus quanta insanidade kkkkkk,há 1 ano,0,
Cadê ajuda de arbitragem,há 1 ano,0,
"Sim o resultado foi justo, pois mesmo perdendo de 2 o time do Palmeiras foi buscar o empate, sem falar que foi beneficiado com a derrota do fluminense diante do atlético do Felipão, e falando nisso vamos ver na semana que vem o que vai acontecer!!!!!!!!!!!.Bom dia.",há 1 ano,0,
