text,time,votes,replies
"Fala, torcedor! 🤙 Fogão vai pra Liberta?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,83,21
Boa togão Bragantino 🖤🖤,há 3 meses,1,
"nao passa do bragantino jogando o jogo de volta , nao matou o jogo quando pode , agora fica dificil em bragança",há 5 meses,0,
"Por isso que eu gosto da globo, rápido, prático e muito bom, outros canais fazem melhores momentos de dez, quinze minutos.",há 5 meses,0,
vai daí de paula?,há 1 ano,0,
"COM CERTEZA TEXTOR TÁ LEVANDO UMA GRANA PRETA PRA “DAR” O GATITO, DAR O MATHEUS QUE FICOU SENDO FRITADO PELO CÚMPLICE PORTUGUÊS E LOGO SERÁ COM KAIQUE E JEFINHO.
ESSA GENTE NÃO TORCE PELO BOTAFOGO , NEMHUM TIME DELE FOI CAMPEÃO DE NADA , É SÓ LUCRO COM OS GAROTOS DA BASE E O TORCEDOR QUE SE FODA!!!",há 1 ano,0,
"Parece mentira que ganhamos em casa😂, avante meu fogãoooo 🖤🤍🔥🔥🔥",há 1 ano,1,
🌟🖤🤍🔥🔥,há 1 ano,1,
Sou flamengo mas gostaria de ver o Bota na liberta,há 1 ano,2,
⭐,há 1 ano,1,
Hehe Fogo neles.,há 1 ano,0,
Goleiro muito bom esse Cleiton,há 1 ano,0,
"Eu sou botafoguense,mais o goleiro  do bragantino pegou muito  heim.",há 1 ano,1,
🖤🤍🔥🔥🔥,há 1 ano,0,
VAMOS ACREDITAR ATÉ O FINAL!!!! ⭐,há 1 ano,0,
"RB Bragantino enganou, enganou agora mostra que é pequeno nunca será grande",há 1 ano,0,1
"Quem tiver feliz com o Botafogo voando curte        
👇",há 1 ano,1,
so da pra assitir pelo youtube mesmo... no site do ge é porcaira de anuncio toda hora... até no meio do video,há 1 ano,0,
"faltou o lance do Jefinho cara a cara, sem ser esse que estava no vídeo",há 1 ano,0,
Gloriosooooooooooooooooooooo,há 1 ano,0,
Tive que fazer microscópio pra ver esse jogo de 2 átomos,há 1 ano,3,
" @internacional7741  falo o cara q põem a bandeira da china no comentário, minúsculo igual eles uh uh uh uh ah ah ah ah cdm🐵",há 1 ano (editado),7,
Dois timecos só vai ficar no cheirinho da libertadores 👃,há 1 ano,1,
 @corinthians9408  Ano que Vêm o time vai ficar melhor ainda ze mane,há 1 ano,3,
"COM CERTEZA ,FOGOOO🖤🤍🔥⭐️⭐️",há 1 ano (editado),0,
"Libertadores não combina com o foguinho, o que combina é série B",há 1 ano,0,
