text,time,votes,replies
Timinho ruim esse Avaí apostei no Cuiabá e ganhei 180 reais,há 1 ano,0,
Avaí e Juventude são os piores times da série A,há 1 ano,0,
"Vim do Futuro para dizer 
1:Palmeiras 81 pts
2:Internacional 69 pts
3:Flamengo 67 pts
4:Fluminense 61 pts
5:Corinthians 60 pts
6:Atlético Paranaense 56 pts
FUI!!",há 1 ano (editado),0,
"É o que eu sempre digo... Avai é igual golfinho, sobe, faz graça e cai!",há 1 ano,0,
DALHEEEEE ATHLÉTICO DALHEEEEE CUIABÁ 👏👏👏👏👏👏,há 1 ano,0,
Grande vitória do Cuiabá na busca da permanência na Série A,há 1 ano,0,
Vaiaram o Pepe ele decidiu o jogo kkk,há 1 ano,1,
QUEM MERECEU GANHAR VENCER FOI O AVAI TEVE MAS CHANCES E OPORTUNIDADES CLARAS NO JOGO NA PARTIDA,há 1 ano,0,
SERÁ QUE HOUVE DESVIO DO JOGADOR DO AVAI NO GOL DO PEPÊ NO CHUTAÇO A FINALIZAÇÃO DELE FOI ANOTADO PELO ARBITRAGEM GOL CONTRA OU GOL DELE,há 1 ano,0,
"Apesar de simpatizar com o Cuiabá, eu não acredito que alguma dessas2 equipas permaneça no brasileirão. Deus queira que eu me engane.",há 1 ano,0,
"O lado bom do Cuiabá ser rebaixado é que ele pode se reorganizar e ficar mais forte, mas o lado ruim é que ele vai deixar de ser um dos nunca rebaixados.",há 1 ano,1,
Esse dourado ainda me mata do coração,há 1 ano,0,
Futebol brasileiro fraco p crlh mano,há 1 ano,1,
Cria do ninho 🖤❤,há 1 ano,1,
Depois desse jogo o Bruno Silva conseguiu desembarcar em SC? Kkkkk,há 1 ano,0,
B.Silva perdeu o gol feito e o Cuiabá fez na sequência,há 1 ano,0,
Quem não faiz leva o vai errou muitos gols,há 1 ano,0,
Calma! É só o Walter na barra,há 1 ano,0,
AVAI TIME IO IÔ ....sobe e desce ....uma vergonha ....o gol que o cara do Avaí perdeu ......tinha que ser mandado embora .,há 1 ano,0,
"Jean Pyerre, Eduardo e Bissoli são os únicos jogadores com qualidade nesse Avaí (Jean e Eduardo criticados pela torcida kkkkk), e a defesa se resumia ao Cortez e ao zagueiro jovem que foi vendido. Barroca fazia milagre com esse time e o demitiram. O planejamento do Avai foi péssimo, desde o primeiro dia na serie A planejaram como cair pra B",há 1 ano,1,
Vai cair essa merda 🙌🏻,há 1 ano,0,
Deu gren no fim,há 1 ano,0,
ava,há 1 ano,0,
🇫🇷🤝🇳🇬 obrigado Cuiabá,há 1 ano,2,
Bvai ressuscitou o Cuiabá 🤣🤣🤣,há 1 ano,2,
Gol do cria do Mengão ❤🖤,há 1 ano,3,
"TÉCNICO do Cuiabá é horrível n tem padrão nem um de jogo, faz gols só na individual, um time todo desorganizado n sei por n madou embora ainda...",há 1 ano,1,
CUIABÁ 1X0 AVAÍ,há 1 ano,0,
Vitoria do Cuiaba deve ser dedicada ao Goleiro. Porque a zaga tava bem ruinzinha.,há 1 ano,0,
Misericórdia . O futebol catarinense é semi amador . Nós catarinenses merecemos clubes melhores. Só tem saco de pancada aqui em Santa Catarina .,há 1 ano,0,
Vitória espetacular.,há 1 ano,0,
"Os dois merecem ir pra série B,um pior que o outro.e outra de futebol tivesse justiça a vitória teria sido do Avaí,os caras perderam um caminhão de gols.",há 1 ano,0,
Vamo Cuiabá  🇬🇫🇬🇫🇬🇫🇬🇫❤❤🥰🥰,há 1 ano,0,
Walter foi monstro nesse jogo,há 1 ano,1,
Cortar o grito de gol dos melhores momentos é um crime,há 1 ano,1,
Olha o gol que esse cara do Avai perdeu meu irmão  ....,há 1 ano,0,
Boa Cuiabá o avai Caio mesmo de produção,há 1 ano,1,
"Mais técnicos portuguas no Brasil por favor, eles fazem milagres 👌🙏",há 1 ano,1,
Ah se não fosse o Walter 🥵,há 1 ano,0,
"Mds, o Avaí é ruim d+. Criciúma é o maior de SC",há 1 ano,0,
Gracias Pepe 🙏🇪🇦,há 1 ano,0,
Pepê decisivo,há 1 ano,1,
Ótima vitória!!! mas tem q melhora mais...,há 1 ano,0,
Vixi  kanal. Piorou.,há 1 ano,0,
"O Cuiabá só depende dele pra não cair, mas esse elenco é muito ruim.",há 1 ano,1,
"Ja É  4° Queda Do Avai Na Serie B Em 2023 Foi Rebaixado Em 2015, 2017,2019,2022 E Sobe Desce Esse Time Devia Esta Na Serie D",há 1 ano,0,
Jogo bem disputado definido nos mínimos detalhes boa vitória para Cuiabá que no momento  sair do Z4 empatado com mesmo número de pontos do Ceará que fica no zona perigosa.,há 1 ano,0,
"torcendo por vcs grandes partidas e sem sorte, Honra",há 1 ano,0,
Avante Doradão🔰💪,há 1 ano,1,
Pq o flw deixou o pepe ir,há 1 ano,0,
avai nem é time!,há 1 ano,0,
"17 colocado Ceará
18 colocado Avaí 
19 colocado  Coritiba
20 Colocado rebaixado Juventude 
Esses times vão pra série B ano que vem",há 1 ano (editado),2,1
Seu dívida alguma o melhor jogador em campo foi o Walter,há 1 ano,0,
torço pela permanência do Cuiabá # Campo Grande ms,há 1 ano,7,
O gol que o Bruno Silva perdeu fez falta e muito para o Avaí,há 1 ano,1,
Chega a sangrar os olhos ter que pagar pra assistir um jogo ruim desse....série A ainda por cima 😂,há 1 ano (editado),0,
Sou botafogo mas nao qero q o cuiaba caia,há 1 ano,1,
Vlw Cuiabá deixou o kanal na zona!!!! 😂😂😂😂😂😂😂😂😂😂,há 1 ano,2,
dois times horríveis kkk,há 1 ano,0,
Eu torço pela permanência 🙏🥺do centro oeste Cuiabá MT 🐠🇬🇫e Atlético go 🐉🇦🇴 essa temporada foi muito inédito pra minhas gerações eu amei ver o casulinha da a arrebentando desci o ano passado na elite do brasileiro então força 💪 dourado vamos si salvar na elite se deus quiser,há 1 ano,6,1
Ceará não,há 1 ano,0,
Sou torcedor do Goiás e também torço pra permanência do Cuiabá e Atletico GO pra continuar junto do Goiás fortalecendo a região Centro Oeste na série A.,há 1 ano,3,
"kkkkkkkkkkk SE LASCA KANAAAALLLLLLLLLLL JOGOU O TIME DO KANAL NA ZONA 
DILICIAAAAAAAAAAA",há 1 ano,1,2
Gol do cria do flamengo,há 1 ano,0,
"Eu tava hoje, na fúria cuiaba",há 1 ano,1,
Torcendo pelo cuiba po causa do deyvinho,há 1 ano,0,
"Time pequeno com bastante expressão o Cuiabá não merece cair.
Que o meu vizinho caia no lugar.
Povo chorão da porra Esse aqui.

Valeu apena por um pequeno escudo do Cuiabá em cima do nosso FORTALEZA os nossos vizinhos tão tremendo até agora 🤣🤣🤣🤣",há 1 ano (editado),1,
"Que golaço,  que chute cruzado !",há 1 ano,5,
Que o Ceará caia no lugar do Cuiabá,há 1 ano,0,
Golaco Do Pepe,há 1 ano,0,
VAMOS CUIABÁ!!!,há 1 ano,1,
Pega fogo o z4.,há 1 ano,1,
"Boa vitoria do Cuiabá, não merece cair.",há 1 ano,0,1
Sou palmeiras mais to torcendo pro Cuiabá ficar na série a,há 1 ano,2,
"O Avaí amassou o Cuiabá
Cê tá doido",há 1 ano,1,
"2:33, alguém queimou a língua em menos de 10 segundos... KKKK",há 1 ano,1,
Da nem pra saber qual é pior kkkkkk,há 1 ano,0,
"Um dos maiores times do Mato Grosso venceu, parabéns ao Cuiabá por esta grande vitória! Agora neste momento está fora do Z4, eu espero que fiquei na série A :)",há 1 ano,10,
Quem não faz...leva... É impressionante como perderam inúmeras oportunidades os jogadores do Avaí...,há 1 ano,4,
"Show de bola, o dourado dando um gde salto. Parabéns CUIABÁ.",há 1 ano,15,
"O Avaí mereceu perder msm, Perdeu muito gol, Quem não faz leva, o primeiro gol foi mt bobo, a zaga tava toda perdida",há 1 ano,0,
"Quando não é do Flamengo, eles cortam o grito de gol tá por fora, isso tira a emoção do gol",há 1 ano,22,4
Pq kanal? Kkk,há 1 ano,0,
 @rod_1174  o Ceará,há 1 ano,0,
"Amigo os dois merecem cair,um pior que o outro, vão querer ficar na série A pra que???",há 1 ano,0,
"Sim, muito mal editado. O cara faz isso pro vídeo ficar com 3 minutos e meio, mas acho que não faria problema eles deixarem. Não sei por que a insistência",há 1 ano,4,
"Acho que vc está falando merda! De uns vídeos pra cá ficou assim, n só do flamengo mas todos eles cortam na hora do gol!",há 1 ano,0,
" @ivansantos1891  você acha, mas quem tá falando merda é você, pois eu sempre vejo os melhores momentos nessa porcaria de canal de puxa-sacos e é sempre assim, então fique com seu achismo pra você",há 1 ano,1,
mds kkk até em video de times diferentes tem flamengo no meio pqp kkkkk,há 1 ano,0,
Vozao vai cai kk,há 1 ano,0,
Reparem lá em cima na hora que o gol do PEPE sai até o segurança do campo comemora o gol 😂😂,há 1 ano,5,
Cade os pontos que o Cuiabá vai ganha do jogo contra o Ceará ??,há 1 ano,3,1
"Cadê o jogo do Cruzeiro estagiário?

Faz 4 horas que o jogo acabou e não postaram",há 1 ano,1,1
Grande bruno silva kkkk recuou p goleiro,há 1 ano,1,
🔵⚪🔴,há 1 ano,1,
Torcida vaia o jogador e quando o cara faz o gol só falta ajoelhar nos pés do jogador...,há 1 ano,1,
que caia o Ceara que não é ninguem fora da terra dele e deixe meu Cuiaba quieto,há 1 ano,1,
Valeu Cuiabá 🤙,há 1 ano,1,
Cuiaba segue vivo,há 1 ano,1,
Avai no minimo era pra ter feito 2 gols,há 1 ano,0,
Como diz o murici ramalho a bola puni.,há 1 ano,0,
Esse Pepê joga bem merecia um time de mais qualidade,há 1 ano,6,4
Walter muito bom goleiro,há 1 ano,6,
"Náutico x Avaí, quem leva?",há 1 ano,0,1
BOA CUIABA👋👋👋👋,há 1 ano,12,2
Aleluia 🙌🙌,há 1 ano,2,
"Histórico entre Cuiabá EC x Avaí FC

4 Vitórias do Cuiabá
0 Empates
0 Vitórias do Avaí",há 1 ano,25,2
Porque tiraram a hora que ele ia falar gol,há 1 ano,0,
obrigado jesus. Cuiabá vive!,há 1 ano,3,
Pode ganhar pontos a qualquer momento,há 1 ano,1,
2*,há 1 ano,0,
"Concordo meu amigo se esse garoto for para um time de melhor expressão com certeza ele vai para seleção brasileira, escreve isso",há 1 ano,1,
"Acredite, essa temporada pra ele não foi tão boa, claro o elenco não colabora mas entre os volantes ele foi o que mais errou, mas nessa reta final ele está recuperando o futebol que ele apresentou na temporada passada",há 1 ano,3,
"Sabe de nada inocente, esse Pepe é um perebão 😂",há 1 ano,2,
"Eu como Torcedor do Cuiabá Tbem penso isso. Tomara mesmo que ele vá pra outro time. Obrigado Pepê mas vida que segue Seja Feliz pra lá, aqui no Dourado já Deu. Final da temporada vc vaza",há 1 ano,1,
0x0.,há 1 ano,0,
Kkkkk,há 1 ano,0,
 @raulbfr4820  tá rindo para não chorar né 👻🅱️👻🅱️👻🅱️,há 1 ano,5,
Freguesia?,há 1 ano,2,
 @rod_1174  Avai é Mais Freguês do Bahia,há 1 ano,2,
"Avaí na segunda divisão,time ioiô e minúsculo,se não fosse os pênaltis a favor já estaria de mãos dadas com o Juventude.",há 1 ano,1,
"Boa vitória do Cuiabá, saiu da zona do rebaixamento!",há 1 ano,38,
Cadê os gols do cabuloso??,há 1 ano,1,4
"Bora Cuiabá, nunca rebaixado",há 1 ano,4,
"Pepe, nunca critiquei.",há 1 ano,1,
Torcendo pela permanência do Cuiabá na Série A.,há 1 ano,173,9
VENCEU O MAIOR 👏👏👏,há 1 ano,13,
Parabéns pela bela Vitória Cuiabá,há 1 ano,6,
Show de bola.,há 1 ano,2,
Que isso os cara pede gol muito fácil,há 1 ano,1,
Cadê os gols do cruzeiro que jogou as 19h até agora nada,há 1 ano,0,1
Dois rebaixados kkkkk,há 1 ano,1,2
Goiás o maior do centro oeste,há 1 ano,0,
Será que o Cuiabá escapa do rebaixamento?,há 1 ano,7,
1% de sorte 99% de calma!,há 1 ano,19,2
Quem tá feliz com a vitória do Cuiabá da o 👍 aqui 🙌🏻🙌🏻🙌🏻,há 1 ano,121,
Primeiro,há 1 ano,1,
Boa Cuiabá,há 1 ano,4,
Tmb quero saber,há 1 ano,0,
Cara postar Cuiabá e Avaí e não postar o Cruzeiro é inacreditável,há 1 ano,0,
 @SucodeFutebol.  só postam time grande,há 1 ano,0,
" @SucodeFutebol.  times da série 🅰️ vem primeiro, e Cuiabá nunca rebaixado, Maria 1000 dias na 🅱️",há 1 ano,0,
" @IrisXeGaming  verdade! Pena que Luan meteu a mão na bola, e kae Havertz fez o gol de pênalti e o palputa continua sem mundial",há 1 ano,6,
​ @IrisXeGaming  o hepta pq fax não vale sem mundial,há 1 ano,0,
 @IrisXeGaming  e fax não vale 51 e pinga seu sem mundieira 😂😂🤣🤣🤣🤣 e vc são hepta 🤣🤣,há 1 ano,0,
"Vai é cair essa porra, Ceará quem merece ficar",há 1 ano,1,
O palmeiras vai ter que ganhar do fortaleza e pelo menos impactar com Cuiabá,há 1 ano,0,
"marcos silva rodrigues
concordo plenamente com você eu digo o mesmo também",há 1 ano,0,
 @IrisXeGaming  Segundo a sua lógica o Flamengo seria hepta pq ele é octa atualmente,há 1 ano,0,
 @adelsonmarques7753  ceará tem mesmo q se fuder,há 1 ano,0,
Eu também,há 1 ano,0,
Falta profissionalismo pra esses caras,há 1 ano,0,
Cuiabá tá fora da zona se vc não sabe,há 1 ano,1,
 @__mc.  mas vai cair,há 1 ano,1,
Falou tudo,há 1 ano,3,
Ksksks,há 1 ano,1,
