text,time,votes,replies
"Faaaaaala galera! 
Qual foi o gol mais bonito? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,112,25
Até o juan fez gol kkkkks,há 1 dia,0,
"Tricôlor , diante duelo decisivo da copa do Brasil entra forte para conquistar vaga após a primeira vitória por 2 +0 empate classifica são Paulo , assim vamos torcer , para mas 1 vitoria .",há 2 dias,1,
Precisamos de 1 treinador e 11 jogadores,há 8 meses,0,
Façam uma limpa nesse elenco e montem um time de verdade ano que vem,há 8 meses,0,
São Paulo ❤🤍🖤✌,há 11 meses,0,
FORÇA JOVEM + INDEPENDENTE,há 1 ano,0,
"FORA FORA FORA FORA
ROGÉRIO CENI
FORA FÔRA FORA FORA FORA...........  ... JÁ",há 1 ano,0,
Eu também sou sãopaulino e gosto muito.,há 1 ano,0,
SÃO Paulooooooooooo FIO FIO FIO FIOFIO,há 1 ano,0,
goias foi usar um uniforme criado no bomba patch i deu nisso,há 1 ano,0,
Eu ainda acredito que o são Paulo pode ser campeão,há 1 ano,2,
🙌🙋💚💛💙😆👍👍🙏🙏🙏🙌🙌🙋🙋💛💛,há 1 ano,0,
O São Paulo tem bons jogadores mas o professor pardal não coloca pra jogar,há 1 ano,0,
O campeonato todo apanhando ai chega no ultimo jogo querem bancar de macho,há 1 ano,0,
O são Paulo acho que o campeonato tava começando kkkk,há 1 ano,0,1
🇪🇬,há 1 ano,0,
Os dois foi 4x0,há 1 ano,0,
S.P.F.C❤🇾🇪,há 1 ano,0,
Só lembro de 2000 meu time do coração sendo tri em cima de vcs 😂 😂,há 1 ano,0,
Parabéns ao São Paulo pela vitória contra o poderoso Goiás.,há 1 ano,8,
"Grupo do são Paulo na libertadores:
Controle del remoto
Sofá de lá casa
Television",há 1 ano,7,
" @teteudograu  valeu pelos três pontos curintiha 🤏😂😂
Aqui é galo 🐓🐓🐓🐓🐓🐓🐓",há 1 ano (editado),6,
 @DanielmattOs5013  Gol de pênalti se não fosse pênalti seu galo nem ia ganhar time ruim KKKKKKKKKKKK,há 1 ano,6,
Nenhum só gols na sorte,há 1 ano,1,
Todos os gols foram bonitos 👏👏👏,há 1 ano,2,
" @Comentoemalgunsvideosdoyoutube  mais foi gol não foi ?
O galo jogou muito mais q o Corinthians pô",há 1 ano,1,
Nenhum!,há 1 ano,0,
Gol do Galoppo,há 1 ano,3,
"​ @internacional7741  O primeiro o Galoppo desviou de cabeça pro canto, no segundo a bola passou entre as pernas do jogador do Goiás e foi pro canto, o terceiro foi uma pancada direta e o quarto foi uma pancada no canto, aonde q foi sorte?",há 1 ano,0,
"O terceiro gol, ao meu vê, foi o mais bonito! O menino Guilherme, arrasou. Arrumou pro colega, não foi fominha, mas quis Deus que a bola voltasse pra ele e.... O gol veio! Amei! ⚽🇾🇪🤩🤩🤩",há 1 ano,3,
Nenhum só gol bizarro desses pereba,há 1 ano,0,
São Trikas só passa vergonha vai disputar a Sul-Americana de novo kkkkkkkkkkkkkkkk,há 1 ano,0,
Todos,há 1 ano,1,
"Time de merda, só ganha jogo pequeno... vergonha desse clube que fracassados.",há 1 ano,0,
Nenhum,há 1 ano,0,
 @isaquemartins1110  tua mãe 🐀,há 1 ano,0,
" @Oincrivel785  pois e, o Goiás só toma gol de pancada no canto",há 1 ano,0,
"Ironicamente, o do Marcos Guilherme, o pior jogador do time!",há 1 ano,1,
