text,time,votes,replies
"Boa noite 😎😎😎😎
O que achou da partida? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,27,6
"CEARAMOR, MOFI , FORÇA JOVEM GOIÁS",há 1 ano,0,
só voltando nós jogos pra ver quais foram os erros do Ceará para ser rebaixado,há 1 ano,0,
Como é que pode que eu vi na foi expulso,há 1 ano,0,
"Tamos ferrados agora ,vamos pegar um clube grande atual campeão brasileiro no Mineirão, culpa sua vina😠",há 1 ano,0,
O que acontece com jogadores do ceara que anda tao nervosos,há 1 ano,0,
"Ceará tá rebaixado, cinco jogos que não vai ganhar! Atlético Mineiro, internacional,Corinthians, Fluminense, Atlético Goianiese, só resta três não da pra escapa, Grémio caiu com doze Vitória, Ceará só tem seis.😁",há 1 ano,0,
ai o vina ei vina tá triste é kkkkkkkkk,há 1 ano,0,
Simplesmente Goiás kkkk,há 1 ano,0,
Jogo nervoso.,há 1 ano,0,
O ceará não se manca,há 1 ano,0,
Recebeu qto pra arranjar desculpa e receber o segundo amarelo ?,há 1 ano,0,
Tome fumo kkk,há 1 ano,0,
Esse vina ta querendo sair do Ceará faz tempo,há 1 ano,0,
Goiás tá estranho,há 1 ano,1,
Nicolas 😎✅,há 1 ano,0,
Dois gigantes,há 1 ano,0,
Zaga do VOZÃO tá uma moleza,há 1 ano,2,
Po... ceará vai ganhar mais não é?,há 1 ano,2,
⚠️ LULADRÃ0 🚫... É A FAVOR DO AB0RT0.📍.. QUER CONTROLAR A MÍDIA... DEIXOU O GOVERNO COM DÍVIDA DE TRILHÕES. 📍.. CHEFE DO MAIOR ESQUEMA DE CORRUPÇÃO NO MUNDO. 📍... FINANCIA DITADORES COM NOSSO 💸.,há 1 ano,1,
Boa,há 1 ano,1,
Todas as partidas do Ceará tem sido uma tristeza ultimamente e eu espero que piore 😎👍,há 1 ano,1,
Mais top do mundo ♥️🖤,há 1 ano,0,
Volto novamente e pergunto qual a dificuldade de vcs deixarem passar a narração do gol toda? Minha opinião fica melhor revejam isso pfvr obrigado...,há 1 ano,0,
Ah é Bocão Essa eu gostei,há 1 ano,0,
Aê cearázão eu gostei,há 1 ano,0,
⚠️...QUEM VOTOU CONTRA O SANEAMENTO BÁSICO??..FOI O PT e PSOL..!!!🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻..🚫 PT = PCC 🚫...,há 1 ano,1,
Esse Vina esse cara tem que ir embora da pra ver ele tá insatisfeito no Ceará e é porque ganha meio milhão,há 1 ano,0,
"Ceará dominou, mas o Vina entregou a vitória com as birrinhas. Faz zona querendo sair não mano, só chega e pede.",há 1 ano,2,
Vina atraso de vida para o Ceará esse ano.,há 1 ano,0,
🥵,há 1 ano,0,
Esse Vina é um enganador... Faz 1 bom jogo e outros 10 não pega nem na bola...  Se acha o CR7.. fala muito! mais na hora que o time mais precisa dele ele PIPOCA 🍿🍿🍿🍿 Kanal tá fazendo de tudo pra cair...,há 1 ano,0,
Fica Vina e Lucho kkk,há 1 ano,0,
"Mais falando sério, o time ganhando o jogo.. escanteio ao seu favor... Aí o vina pipoqueiro arruma uma expulsão kkkkkk a torcida já tá querendo matar ele e o cara faz uma merda dessa??? Kkkk culpado pelo resultado",há 1 ano,0,
ceará é a vergonha do estado,há 1 ano,0,
Kkkkkk fica Lucho,há 1 ano,1,
Ceará deu muito mole e parabéns pelo campeonato que o Goiás vem fazendo,há 1 ano,5,
Time fuleiragem. Time de palhaço. Presidente pau no cu.,há 1 ano,0,
"Simplesmente Goiás parou de jogar com raça , Goiás deve ter parado de pagar bicho para os jogadores só os jogadores reservas estão correndo",há 1 ano (editado),0,
JÔ!🥰,há 1 ano,0,
"INSCREVA-SE NO NOSSO CANAL, TUDO SOBRE FUTEBOL, GOLS E MELHORES MOMENTOS .",há 1 ano,0,
"Time ruim esse kanal kkkk 
Série b já realidade",há 1 ano,1,
Um empate amargo para o Ceará que fica  há 2 pontos do z4 . Ruim também para Goiás que vem de 2 derrotas seguidas precisava vencer para retoma a confiança e subir na tabela.,há 1 ano,2,
"falta de frente,falta por trás e nada de  cartão vermelho....se é jogador do Palmeiras é expulsão na certa...é o VAR...",há 1 ano,0,
Ceará série b ter espera,há 1 ano,1,
Ceará vai pegar libertadores,há 1 ano,0,1
Quando? Só daqui a 90 anos 🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 1 ano,0,
Ceará tua glória é lutar....pr ñ caír! 😂,há 1 ano,7,
Vina é dódoi,há 1 ano,0,
Kanal é time de série B... Parabéns Goiás,há 1 ano,2,
UM GOL DESSES DO GOIÁS FOI VERGONHOSO,há 1 ano,1,
"Goias foi buscar esse empate na raça, velho.",há 1 ano,3,
Goiás fazendo excelente campeonato,há 1 ano,10,
Goiás rumo a libertadores,há 1 ano,1,2
"Um jogador irresponsável, sendo expulso por total descontrole. Até parece que o time não tem diretoria",há 1 ano,3,1
"Tadeu, Pedro Raul e Dieguinho os únicos que possuem alguma qualidade no time do Goiás, o resto é nível série b e A2 do paulistão, os caras não conseguem trocar 3 passes certos, Jair ventura está tirando leite de Pedra com esse time.",há 1 ano,3,1
Canal vai cai kkkkkkk,há 1 ano,2,
Futebol do vozão ta feio demais,há 1 ano,0,
Como sempre var queria anular o gol do Goiás!,há 1 ano,2,
5 minutos pro VAR olhar impedimento e bizarro,há 1 ano,0,
Time do Ceará preocupou só em bater,há 1 ano,0,
É o outro narrador q é pra narrar goool uu do goiás.  Narrou crb e chap.,há 1 ano,0,
E viva o nordeste.,há 1 ano,1,1
Zaga falhou faltando 2 minutos,há 1 ano,0,
2:27 47🔴🔵⚪,há 1 ano (editado),0,
Parece que o timinho que tem jogos infinitos em casa não consegue ganhar nem de outros timinhos kkkkk,há 1 ano,0,
Como um jogador consegue ser expulso com o time ganhando e por reclamação?,há 1 ano,13,
"PRA MIM, O GOIÁS TÁ TENTANDO BUSCAR UMA VAGA NA PRÉ LIBERTADORES OU NA COPA SUL AMERICANA DE 2023.",há 1 ano,0,
"O GOIÁS TEM UMA SEQUÊNCIA DE JOGOS PELA FRENTE, TEM O INTERNACIONAL FORA DE CASA, TEM O CORINTHIANS EM CASA, TEM O CUIABÁ FORA DE CASA E O AMÉRICA MINEIRO EM CASA.",há 1 ano,0,
Mas não tem,há 1 ano,1,
"Pow, Tadeu e Pedro Raul, Podem estar na elite do futebol brasileiro, Tipo os dois conseguiriam uma vaga em times como SP e Corinthians",há 1 ano,0,
🚩⭐,há 1 ano,1,
O var ficou doidão no lance do gol kkk,há 1 ano,4,
O Ceará depois que foi eliminado pelo são Paulo da copa Sul americana infelizmente não conseguiu mais se encontrar no Brasileirão e está traçando de forma perfeita o rebaixamento,há 1 ano,25,3
"É o ano todin de chibata, papai 🤣🤣🤣",há 1 ano,11,
Alô diretoria do vozao ja passou da hora de mandar esse palhaço chamado Vina vazar esse moleque.,há 1 ano,0,1
"Juiz sem vergonha cara Ceará deu uma entrada criminosa,e o gol esse var os cara sao muito malas pelo amor de deus",há 1 ano,0,
"Eu tava no estádio e posso afirmar, a culpa é do Vina, 2 amarelos seguidos em menos de 5 minutos por reclamação, tá na hora da diretoria deixar de passar pano pra ele e pra mais uns 10 do elenco.",há 1 ano,4,1
Espírito de rebaixamento,há 1 ano,1,
Ceará com riscos de ir pra série B,há 1 ano,1,
Empate justo,há 1 ano,3,
aquela entrada do Mendoza era pra vermelho e o juiz amarelou,há 1 ano,12,1
Goiás que não abre o olho não que ainda cai,há 1 ano,1,
Quanto que o Vina deve ter ganho com as casas de apostas hj..? 51 de odd..,há 1 ano (editado),2,
Te Lasca VoZaUummm,há 1 ano,1,
👻👻👻👻👻👻👻👻👻👻 B,há 1 ano,2,
Boa partida,há 1 ano,2,
Parabéns Goiás 🎉🎉🎉🎉,há 1 ano,30,
"EMPATE DO GOIÁS NO FINALZINHO, O GOIÁS BUSCOU UM EMPATE HERÓICO CONTRA O CEARÁ, BOM RESULTADO PARA O GOIÁS FORA DE CASA.",há 1 ano,33,2
A vovozinha vai cair ein 🤣🤣,há 1 ano,2,
CEARÁ 1X1 GOIÁS,há 1 ano,0,
