text,time,votes,replies
"E ai, o que achou da partida?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,77,29
Yes sir 🤩🤩,há 1 ano,0,
São Paulo empatou????????????????,há 1 ano,0,
Sao-paulo Fregues do bragantino.,há 2 anos,0,
Freguês!,há 2 anos,0,
"Excelente narração , como sempre.",há 2 anos,0,
"calleri perdeu uns 3 gols feitos, mas ta bem",há 2 anos,0,
o.rogério.fala.muito.ele.tem.q.ser.igual.o.tele.senta.no.banco.e.respira.se.nao.o.coração.acelera,há 2 anos,0,
Pelo amor de Deus...eu vendo os comentários e o pessoal contente com um empate com os reservas do Bragantino..é o São Paulo p....Tricampeão mundial...acordem está aquém da história do São Paulo...,há 2 anos,0,
Depois da derrota pro flamengo 👎,há 2 anos,0,
Tirem esse casagrande daí pelo amor de Deus,há 2 anos,0,
Merecia a vitória em,há 2 anos,0,
"Arbitragem mais uma vez sujando o espetáculo. E o pior é que não dá nada pra eles. Não gosto do SP mas independente do time, essa arbitragem brasileira tem sido uma vergonha",há 2 anos,0,
gol bobo,há 2 anos,0,
Nosso São Paulo  jogou bem mais o gol da Vitória não entrou,há 2 anos,0,
"Cara pelo incrivel q pareca eder e igor Gomes jogaram demais, e o caleri mesmo sem fazer gol jogou bem",há 2 anos,1,
Muitos gols perdidos e isso não pode acontecer e esse Jandrei já tá começando a me deixar em dúvidas... Mas o empate serviu depois de uma semana com jogos ruins. Enfim... Que venham vitórias agora porquê senão depois...,há 2 anos,0,
E esse cotovelo do alerrandro no diego costa ?,há 2 anos,0,
Excelente narração do Cleber 👏👏👏,há 2 anos,2,
❤🤍🖤,há 2 anos,0,
Fala Central do Braga,há 2 anos,4,
Eu gostei que vcs anularam o gol do São Paulo!,há 2 anos,4,
Oi ge,há 2 anos,0,
"Não sei, vcs estavam assistindo a mesma q eu? Errou em ademiro",há 2 anos,0,
SÃO FLOZOR CONTINUA PEQUENO,há 2 anos,3,
São Paulo é minúsculo,há 2 anos,3,
"Mano muito bom ver jogo entre são paulo e bragantino, dois times de forças iguais é sempre toma lá da cá",há 2 anos,0,
 @MHzscripts  mds,há 2 anos,0,
 @MHzscripts  só não é mais minúsculo que as cortinas,há 2 anos,3,
" @jobson173  seu time é o menor de SP, bi rebaixado sem Mundial 🤣",há 2 anos,1,
Ganhou o time grande,há 2 anos,0,
 @MHzscripts  cadê a copa do Brasil do São menstruação,há 2 anos,0,
 Diego Santos  e vcs pra portuguesa akakakak,há 2 anos,0,
 @MHzscripts  cê ta falando do cortinas?,há 2 anos,0,
"O jogo foi bom eu assistir na globo, mas a narração do Cleber Machado é horrível !",há 2 anos (editado),3,
 @palzaoterrordananicada2395  quem ganhou?,há 2 anos,0,
 @GuilhermeAlvesDaSilvah  não das cortinas,há 2 anos,0,
"⚽ JOGÃO, POSTEI OS GOLS NO CANAL",há 2 anos,1,
Um Pouco Boa,há 2 anos,0,
"Nikão parece uma peça de Dama e Xadrez: a impressão é que ele só sai do lugar se alguém mover.Apesar da estatura,da aparente velocidade,mobilidade, ele não pega a bola e vai pra dentro.Ele se move igual peça de tabuleiro: vertical ou Horizontal. Não tem a malemolência de um canhoto habilidoso...isso! Ele não é Habilidoso.Pronto...meu comentário se resumi assim: 
""Nikão, apesar de canhoto,baixinho,não tem habilidade.Parece um Robô"".",há 2 anos,0,
 Diego Santos  perdeu pro palmeiras kkkk,há 2 anos,0,
 Diego Santos  Eu acho que o Bragantino sofreu pra segurar o empate.,há 2 anos,0,
 Diego Santos  perdeu de 3 a 0 pro sem mundial IKKKKKKKK,há 2 anos,0,
 @RoyaleMarocaineFRMF  açaí KKKKKKKKKKKK,há 2 anos,0,
 @MHzscripts  minúsculo com 3 mundiais?,há 2 anos,0,
Uma bosta,há 2 anos,0,
Sp mereceu Vitória,há 2 anos,0,
Boa 🇾🇪,há 2 anos,0,
"Vocês acham legal, mas é muito chato a participação de vocês do GE após os vídeos. Antes era tudo mais clean... agora fica uma poluição desnecessária.",há 2 anos,0,
Foi um bom jogo teve chance de ganhar esse jogo mais tá bom só falta alguém junto do calleri pra fazer mais jogadas,há 2 anos,1,
"Eu respeito o fato de a empresa RB ter injetado muito dinheiro no CA Bragantino, mas desconfigurar o visual do uniforme tradicional era necessário?",há 2 anos,1,
Rogério deveria desistir de ser técnico. O perfil dele não é pra isso. Ele tem que ser presidente ou diretor.,há 2 anos,0,
"Que merda de cobertura, não mostra realmente os melhores momentos",há 2 anos,0,
