text,time,votes,replies
"Só golaço!  ⚽⚽
Fala aqui, o que acharam do resultado?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,452,76
Inacreditável esse time ter caído,há 2 meses,1,
Esse foi o pior corinthians ou o de 2020?,há 2 meses,0,
Corinthians vc quer a maretada do tor o amaretada de leve,há 2 meses,0,
Eu tava lá,há 3 meses,0,
jogo filho da puta,há 3 meses,0,
"Saudades do Ceará de Dorival, ele era um time muito bom, e eu admirava muito, acho que se ele tivesse continuado lá o Ceará não caia e talvez brigava pra ir pra libertadores",há 5 meses,1,1
Do tempo ki o Ceará jogava muita bola não consigo entender como esse time caiu,há 7 meses,0,
Goleiro frango,há 7 meses,0,
"torço p vozao e admito que o corinthians e gigante, sdds desse ceara!!",há 11 meses,0,
"Vagabundos desses jogadores, esquema de apostar derubaro o Ceará 😢😢😢",há 1 ano,0,
Só golaço rapaz. So não entendo como o ceara caiu...espero que voltem esse ano,há 1 ano,0,1
cede o câssio??,há 1 ano,0,
Saudades desse ceará com dorival mano se ele ainda estivesse estariamos na libertadores pois teriamos ganhado a sul americanas...,há 1 ano,1,
Vai vozão meu filho é ceará😊😊😊😊❤❤❤,há 1 ano,0,
E pensar que uma diretoria amadora e um presidente sem noção de administrar um clube de futebol acabou com o time que tinha muito potencial....espero que o vozão volte pra serie A merece disputar por coisas melhores....,há 1 ano,0,
saudades do Vina.,há 1 ano,0,
Oque o Rony tá fazendo no Corinthians,há 1 ano,0,
"Ceará jogou muito

Poderia saído com uma goleada",há 1 ano,0,
Jogo incrível,há 1 ano,1,
MARMIRINTHINS PIADA MELHOR PERDER POR W.O POR QUE NA LIBERTADORES VAI SER HUMILHADO PELO MENGAO,há 2 anos,11,
4° força já está acostumado a tomar goleadas,há 2 anos,8,
Lindo resultado e venceu o melhor 👍😉,há 2 anos,9,
Corinthians tá em segundo cadê o São Paulo  é santos na tabela?,há 2 anos,6,
Normal venceu o maior,há 2 anos,6,
MUNDIAL E ESTÁDIO DO FLAVADIA?,há 2 anos,4,
"KKKKKKKKK gamba pensando que ia ganhar alguma coisa, agora tem var gamba, só ganha paulistinha",há 2 anos,7,
amei.,há 2 anos,3,
 @jocileidemartinsnabas4803  sim kk deu sorte que tava com time reserva bora ver 4 feira bagaça esses flamidia,há 2 anos,1,
Péssimo era pro Corinthians ganhar,há 2 anos,2,
Vdd...,há 2 anos,2,
Chora seus gambá Nanicos filhos da putaaaaaa põe no dvd seus corno,há 2 anos,0,
CURTINA perdeu KKKKKKKKKKKK,há 2 anos,3,
 @cruzeiro5848   cruzeiro da série b fica queto que o Corinthians tá disputando todos os títulos,há 2 anos,0,
 @cruzeiro5848  foco do Corinthians é a libertadores amigão,há 2 anos,0,
" @BOLSONAROHEROIDOBRASIL  kkkkkkkkkkkkkkkkkkkkkkk 
Chapa foco é na libertadores e nos não vamos com esse timinho que entrou contra o Ceará ... Vamos ganhar os dois jogos 4 gols do Yuri A.",há 2 anos,0,
CORINTHIANS  maior do br,há 2 anos,0,
" @danielteodoro8225  Não é proibido sonhar,continue sonhando com esse timinho medíocre. Não irão chegar à lugar nenhum....",há 2 anos,3,
" @cruzeiro5848  Pobrezinhos desses gambás,estavam sonhando que iriam passar o domingo e a segunda feira na liderança,pura ilusão, o velhote vovô acabou com a alegria dos gambás.Isso não se faz,foi maldade do VOZAO,3x1 contra os gambás foi pouco,ficou de bom tamanho....",há 2 anos,3,
